source,target,tgt_lng
Beute wurde verbessert.,Reward drops upgraded,en-US
Canavar ve Boss Düşmanların seviyesi yükseldi,Monster and Boss levels increased,en-US
Canavar ve Boss Düşmanların seviyesi yükseldi. Düşen ödüller geliştirildi.,Monster and Boss levels increased,en-US
Cấp thế giới tăng đến Cấp 1,World Level increased to Lv. 1,en-US
Cấp thế giới tăng đến Cấp 3,World Level increased to Lv. 3,en-US
Das Limit der Abenteuerstufe wurde auf Stufe 25 erhöht.,Max Adventure Rank increased to 25,en-US
Das Limit der Abenteuerstufe wurde auf Stufe 35 erhöht.,Max Adventure Rank increased to 35,en-US
Das Limit der Abenteuerstufe wurde auf Stufe 45 erhöht.,Max Adventure Rank increased to 45,en-US
Das Limit der Abenteuerstufe wurde auf Stufe 60 erhöht.,Max Adventure Rank increased to 60,en-US
Drops de recompensas elevadas,Reward drops upgraded,en-US
Dünya Seviyesi 1'e yükseldi,World Level increased to Lv. 1,en-US
Dünya Seviyesi 3'e yükseldi,World Level increased to Lv. 3,en-US
Dünya Seviyesi yükseldi,World Level increased,en-US
Düşen ödüller geliştirildi.,Reward drops upgraded,en-US
El Mundo subió a Niv. 1,World Level increased to Lv. 1,en-US
El Mundo subió a Niv. 3,World Level increased to Lv. 3,en-US
El Mundo subió de nivel,World Level increased,en-US
Eşli sistem açıldı.,Co-Op system unlocked,en-US
Giới hạn Hạng Mạo Hiểm tăng đến cấp 45,Max Adventure Rank increased to 45,en-US
Giới hạn Hạng Mạo Hiểm tăng đến cấp 60,Max Adventure Rank increased to 60,en-US
Il grado avventura max è salito a 25,Max Adventure Rank increased to 25,en-US
Il grado avventura max è salito a 35,Max Adventure Rank increased to 35,en-US
Il grado avventura max è salito a 45,Max Adventure Rank increased to 45,en-US
Il grado avventura max è salito a 60,Max Adventure Rank increased to 60,en-US
Il livello del mondo è salito,World Level increased,en-US
Il livello del mondo è salito a 1,World Level increased to Lv. 1,en-US
Il livello del mondo è salito a 3,World Level increased to Lv. 3,en-US
Il livello di mostri e boss è aumentato,Monster and Boss levels increased,en-US
Keşif Gönderim Sınırı Yükseltildi,Expedition Dispatch Limit Increased,en-US
La limite de Niv. d'aventure passe au Niv.25.,Reward drops upgraded,en-US
La limite de Niv. d'aventure passe au Niv.35.,Reward drops upgraded,en-US
La limite de Niv. d'aventure passe au Niv.45.,Reward drops upgraded,en-US
La limite de Niv. d'aventure passe au Niv.60.,Reward drops upgraded,en-US
Las recompensas mejoraron,Reward drops upgraded,en-US
Le ricompense per la sconfitta dei mostri sono migliorate,Reward drops upgraded,en-US
Limite d'expéditions augmentée,Expedition Dispatch Limit Increased,en-US
Limite de Expedições aumentado,Expedition Dispatch Limit Increased,en-US
Limite spedizioni aumentato,Expedition Dispatch Limit Increased,en-US
Los monstruos y jefes subieron de nivel,Monster and Boss levels increased,en-US
Límite de expediciones aumentado,Expedition Dispatch Limit Increased,en-US
Maksimum Macera Rütbesi 25'e yükseldi.,Max Adventure Rank increased to 25,en-US
Maksimum Macera Rütbesi 35'e yükseldi.,Max Adventure Rank increased to 35,en-US
Maksimum Macera Rütbesi 45'e yükseldi.,Max Adventure Rank increased to 45,en-US
Maksimum Macera Rütbesi 60'a yükseldi.,Reward drops upgraded,en-US
Max. Erkundungs-Entsendungen erhöht,Expedition Dispatch Limit Increased,en-US
Mehrspielermodus verfügbar,Co-Op system unlocked,en-US
Missions- und Entsendungsfunktionen freigeschaltet,Commission & Dispatch system unlocked,en-US
Mode multijoueur débloqué,Co-Op system unlocked,en-US
Modo multijugador desbloqueado,Co-Op system unlocked,en-US
Mở khóa hệ thống nhiều người chơi,Co-Op system unlocked,en-US
Mở khóa hệ thống Ủy Thác và Phái Đi,Commission & Dispatch system unlocked,en-US
O Nível do Mundo aumentou,World Level increased,en-US
O Nível do Mundo aumentou para Nv.1,World Level increased to Lv. 1,en-US
O Nível do Mundo aumentou para Nv.3,World Level increased to Lv. 3,en-US
Os níveis dos Monstros e do Chefe aumentaram,Monster and Boss levels increased,en-US
Os níveis dos Monstros e dos Chefes aumentaram,Monster and Boss levels increased,en-US
Rango de Aventura Máx. aumentó a Niv. 25,Max Adventure Rank increased to 25,en-US
Rango de Aventura Máx. aumentó a Niv. 35,Max Adventure Rank increased to 35,en-US
Rango de Aventura Máx. aumentó a Niv. 45,Max Adventure Rank increased to 45,en-US
Rango de Aventura Máx. aumentó a Niv. 60,Max Adventure Rank increased to 60,en-US
Rank de Aventura Máx. aumentou para Nv.25,Max Adventure Rank increased to 25,en-US
Rank de Aventura Máx. aumentou para Nv.35,Max Adventure Rank increased to 35,en-US
Rank de Aventura Máx. aumentou para Nv.45,Max Adventure Rank increased to 45,en-US
Rank de Aventura Máx. aumentou para Nv.60,Max Adventure Rank increased to 60,en-US
Sistema de Expedição de Missões desbloqueada,Commission & Dispatch system unlocked,en-US
Sistema de encargos y expediciones desbloqueado,Commission & Dispatch system unlocked,en-US
Sistema di assegnazione spedizioni sbloccato,Commission & Dispatch system unlocked,en-US
Sistema di gioco cooperativo sbloccato,Co-Op system unlocked,en-US
Sistema multijogador desbloqueado,Co-Op system unlocked,en-US
Stufen von Monstern und Bossen wurden erhöht,Monster and Boss levels increased,en-US
Système de missions et d'expéditions déverrouillé,Commission & Dispatch system unlocked,en-US
Tăng cấp quái và thủ lĩnh,Monster and Boss levels increased,en-US
Tăng cấp thế giới,World Level increased,en-US
Tăng giới hạn phái đi thám hiểm,Expedition Dispatch Limit Increased,en-US
Tăng thưởng rơi ra,Reward drops upgraded,en-US
Tăng thưởng rơi ra\Giới hạn Hạng Mạo Hiểm tăng đến cấp 25,Reward drops upgraded,en-US
Tăng thưởng rơi ra\Giới hạn Hạng Mạo Hiểm tăng đến cấp 35,Reward drops upgraded,en-US
"Vos ennemis seront plus redoutables, mais ils vous laisseront de meilleurs butins.",Monster and Boss levels increased,en-US
Votre Niv. du monde a augmenté !,World Level increased,en-US
Votre monde est passé au Niv.1 !,World Level increased to Lv. 1,en-US
Votre monde est passé au Niv.3 !,World Level increased to Lv. 3,en-US
Weltstufe wurde auf Stufe 1 erhöht,World Level increased to Lv. 1,en-US
Weltstufe wurde auf Stufe 3 erhöht,World Level increased to Lv. 3,en-US
Weltstufe wurde erhöht,World Level increased,en-US
Özel Görev ve Keşif sistemi açıldı.,Commission & Dispatch system unlocked,en-US
Более щедрые награды,Reward drops upgraded,en-US
Лимит экспедиции повышен,Expedition Dispatch Limit Increased,en-US
Макс. Ранг приключений - 25,Max Adventure Rank increased to 25,en-US
Макс. Ранг приключений - 35,Max Adventure Rank increased to 35,en-US
Макс. Ранг приключений - 45,Max Adventure Rank increased to 45,en-US
Макс. Ранг приключений - 60,Max Adventure Rank increased to 60,en-US
Новый уровень мира,World Level increased,en-US
Новый уровень мира - 1,World Level increased to Lv. 1,en-US
Новый уровень мира - 3,World Level increased to Lv. 3,en-US
Повышены уровни монстров и боссов,Monster and Boss levels increased,en-US
Режим совместной игры открыт,Co-Op system unlocked,en-US
Система экспедиций и поручений открыта,Commission & Dispatch system unlocked,en-US
การดรอปของรางวัลเพิ่มสูงขึ้น,Reward drops upgraded,en-US
