id,term,src_table
Skill.10000.Ex,กระสุนแห่งความร้ายกาจ,students.json:Skills
Skill.10000.Public,นัวร์ แอทแท็ค!,students.json:Skills
Skill.10000.GearPublic,นัวร์ แอทแท็ค!+,students.json:Skills
Skill.10000.Passive,เกียรติภูมิของหัวหน้า,students.json:Skills
Skill.10000.WeaponPassive,เกียรติภูมิของหัวหน้า+,students.json:Skills
Skill.10000.ExtraPassive,วิถีคนนอกรีต,students.json:Skills
Skill.10001.Ex,ความตั้งใจที่ไม่ย่อท้อ,students.json:Skills
Skill.10001.Public,โจมตีเด็ดเดี่ยว,students.json:Skills
Skill.10001.GearPublic,โจมตีเด็ดเดี่ยว+,students.json:Skills
Skill.10001.Passive,การพักผ่อนของผู้เชี่ยวชาญ,students.json:Skills
Skill.10001.WeaponPassive,การพักผ่อนของผู้เชี่ยวชาญ+,students.json:Skills
Skill.10001.ExtraPassive,จิตใจที่แข็งแกร่ง,students.json:Skills
Skill.10002.Ex,สง่างามทะลุเกราะ,students.json:Skills
Skill.10002.Public,ระเบิดเอ็กซ์โซติก,students.json:Skills
Skill.10002.Passive,ศักดิ์ศรีของนักชิม,students.json:Skills
Skill.10002.WeaponPassive,ศักดิ์ศรีของนักชิม+,students.json:Skills
Skill.10002.ExtraPassive,ความสุขุมของนักชิม,students.json:Skills
Skill.10003.Ex,ท่านเพโรโร่ออกโรง!,students.json:Skills
Skill.10003.Public,กำลังใจของท่านเพโรโร่,students.json:Skills
Skill.10003.Passive,ความกล้าของนักสะสม,students.json:Skills
Skill.10003.WeaponPassive,ความกล้าของนักสะสม+,students.json:Skills
Skill.10003.ExtraPassive,นักสะสมผู้ฉับไว,students.json:Skills
Skill.10004.Ex,ปิดฉาก: อิชโบเชท,students.json:Skills
Skill.10004.Public,โหลดกระสุนและทำลาย!,students.json:Skills
Skill.10004.GearPublic,โหลดกระสุนและทำลาย!+,students.json:Skills
Skill.10004.Passive,ความเยือกเย็นของกรรมการวินัย,students.json:Skills
Skill.10004.WeaponPassive,ความเยือกเย็นของกรรมการวินัย+,students.json:Skills
Skill.10004.ExtraPassive,ความมุ่งมั่นที่แรงกล้า,students.json:Skills
Skill.10005.Ex,กลยุทธ์พิชิต,students.json:Skills
Skill.10005.Public,รักษาฉุกเฉิน,students.json:Skills
Skill.10005.GearPublic,รักษาฉุกเฉิน+,students.json:Skills
Skill.10005.Passive,ประธานคณะกรรมการแผนงาน,students.json:Skills
Skill.10005.WeaponPassive,ประธานคณะกรรมการแผนงาน+,students.json:Skills
Skill.10005.ExtraPassive,ยอดนักพิชิต,students.json:Skills
Skill.10006.Ex,กระสุนสายฟ้า,students.json:Skills
Skill.10006.Public,ประกาศจับ,students.json:Skills
Skill.10006.Passive,กระสุนพิฆาต,students.json:Skills
Skill.10006.WeaponPassive,กระสุนพิฆาต+,students.json:Skills
Skill.10006.ExtraPassive,ความกล้าของกรรมการวินัย,students.json:Skills
Skill.10007.Ex,เนรมิตโลกงาม!,students.json:Skills
Skill.10007.Public,ยิงลูกเพนท์บอล!,students.json:Skills
Skill.10007.Passive,การจัดแสดงที่สง่างาม,students.json:Skills
Skill.10007.WeaponPassive,การจัดแสดงที่สง่างาม+,students.json:Skills
Skill.10007.ExtraPassive,ความเจ็บปวดแห่งศิลปะ,students.json:Skills
Skill.10008.Ex,อ๊ะ~? เดี๋ยวก็ฆ่าซะหรอก!,students.json:Skills
Skill.10008.Public,อ๊ะ~? อย่าซ่าให้มันมากนักนะ!,students.json:Skills
Skill.10008.GearPublic,อ๊ะ~? อย่าซ่าให้มันมากนักนะ!+,students.json:Skills
Skill.10008.Passive,โค้ดเนมดับเบิ้ลโอ,students.json:Skills
Skill.10008.WeaponPassive,โค้ดเนมดับเบิ้ลโอ+,students.json:Skills
Skill.10008.ExtraPassive,โกรธทะลุจุดเดือด,students.json:Skills
Skill.10009.Ex,ชีส ช็อกโกแลต แฮมเบอร์เกอร์~,students.json:Skills
Skill.10009.Public,เตรียมตัวและ...ยิง!,students.json:Skills
