id,term,src_table
Card.101002.desc,Asura,Card/Card.txt
Card.101002.jp_CV,Emiri Kato,Card/Card.txt
Card.101002.name,Deep Blue Enforcer,Card/Card.txt
Card.101005.desc,Asura,Card/Card.txt
Card.101005.jp_CV,Emiri Kato,Card/Card.txt
Card.101005.name,Scribble Scramble,Card/Card.txt
Card.101008.desc,Asura,Card/Card.txt
Card.101008.jp_CV,Emiri Kato,Card/Card.txt
Card.101008.name,Freestyle Skater,Card/Card.txt
Card.101011.desc,Asura,Card/Card.txt
Card.101011.jp_CV,Emiri Kato,Card/Card.txt
Card.101011.name,Blaze Battler,Card/Card.txt
Card.101012.desc,Asura,Card/Card.txt
Card.101012.jp_CV,Emiri Kato,Card/Card.txt
Card.101012.name,Frosty Flippers,Card/Card.txt
Card.101013.desc,Asura,Card/Card.txt
Card.101013.jp_CV,Emiri Kato,Card/Card.txt
Card.101013.name,Forest Ranger,Card/Card.txt
Card.101018.desc,Asura,Card/Card.txt
Card.101018.jp_CV,Emiri Kato,Card/Card.txt
Card.101018.name,Emerald Tune,Card/Card.txt
Card.102001.desc,Echo,Card/Card.txt
Card.102001.jp_CV,Aya Uchida,Card/Card.txt
Card.102001.name,Stargazer,Card/Card.txt
Card.102005.desc,Echo,Card/Card.txt
Card.102005.jp_CV,Aya Uchida,Card/Card.txt
Card.102005.name,Bedtime Tale,Card/Card.txt
Card.102007.desc,Echo,Card/Card.txt
Card.102007.jp_CV,Aya Uchida,Card/Card.txt
Card.102007.name,Sparkle Rider,Card/Card.txt
Card.102008.desc,Echo,Card/Card.txt
Card.102008.jp_CV,Aya Uchida,Card/Card.txt
Card.102008.name,Mechanicat,Card/Card.txt
Card.102010.desc,Echo,Card/Card.txt
Card.102010.jp_CV,Aya Uchida,Card/Card.txt
Card.102010.name,Fiery Extraction,Card/Card.txt
Card.102011.desc,Echo,Card/Card.txt
Card.102011.jp_CV,Aya Uchida,Card/Card.txt
Card.102011.name,Marine Maverick,Card/Card.txt
Card.102012.desc,Echo,Card/Card.txt
Card.102012.jp_CV,Aya Uchida,Card/Card.txt
Card.102012.name,Mountain Trek,Card/Card.txt
Card.102013.desc,Echo,Card/Card.txt
Card.102013.jp_CV,Aya Uchida,Card/Card.txt
Card.102013.name,Berserk Gunner,Card/Card.txt
Card.102017.desc,Echo,Card/Card.txt
Card.102017.jp_CV,Aya Uchida,Card/Card.txt
Card.102017.name,Sparkle Hunter,Card/Card.txt
Card.102018.desc,Echo,Card/Card.txt
Card.102018.jp_CV,Aya Uchida,Card/Card.txt
Card.102018.name,Riptide Summers,Card/Card.txt
Card.102021.desc,Echo,Card/Card.txt
Card.102021.jp_CV,Aya Uchida,Card/Card.txt
Card.102021.name,Perfect Pitch,Card/Card.txt
Card.103002.desc,Triss,Card/Card.txt
Card.103002.jp_CV,Akari Kito,Card/Card.txt
Card.103002.name,Crimson Charm,Card/Card.txt
Card.103003.desc,Triss,Card/Card.txt
Card.103003.jp_CV,Akari Kito,Card/Card.txt
Card.103003.name,Sideline Spotlight,Card/Card.txt
Card.103005.desc,Triss,Card/Card.txt
Card.103005.jp_CV,Akari Kito,Card/Card.txt
Card.103005.name,Dessert Guardian,Card/Card.txt
Card.103006.desc,Triss,Card/Card.txt
Card.103006.jp_CV,Akari Kito,Card/Card.txt
Card.103006.name,Bedlam,Card/Card.txt
Card.103007.desc,Triss,Card/Card.txt
Card.103007.jp_CV,Akari Kito,Card/Card.txt
Card.103007.name,Fantasia Guitarist,Card/Card.txt
Card.103008.desc,Triss,Card/Card.txt
Card.103008.jp_CV,Akari Kito,Card/Card.txt
Card.103008.name,Pure Grace,Card/Card.txt
Card.103009.desc,Triss,Card/Card.txt
Card.103009.jp_CV,Akari Kito,Card/Card.txt
Card.103009.name,Alluring Crescent,Card/Card.txt
Card.103010.desc,Triss,Card/Card.txt
Card.103010.jp_CV,Akari Kito,Card/Card.txt
Card.103010.name,Electro Storm,Card/Card.txt
Card.103011.desc,Triss,Card/Card.txt
Card.103011.jp_CV,Akari Kito,Card/Card.txt
Card.103011.name,A Minor Mishap,Card/Card.txt
Card.103012.desc,Triss,Card/Card.txt
Card.103012.jp_CV,Akari Kito,Card/Card.txt
Card.103012.name,Twin Shadows,Card/Card.txt
Card.103017.desc,Triss,Card/Card.txt
Card.103017.jp_CV,Akari Kito,Card/Card.txt
Card.103017.name,Cetacean Echoes,Card/Card.txt
Card.103019.desc,Triss,Card/Card.txt
Card.103019.jp_CV,Akari Kito,Card/Card.txt
Card.103019.name,Dream Weaver,Card/Card.txt
Card.103021.cn_CV,Olivia,Card/Card.txt
Card.103021.desc,Triss,Card/Card.txt
Card.103021.jp_CV,Shiomi Mizusaki,Card/Card.txt
Card.103021.name,Heartfelt Healing,Card/Card.txt
Card.104001.desc,Minami,Card/Card.txt
Card.104001.jp_CV,Emiri Kato,Card/Card.txt
Card.104001.name,Scarlet Samurai,Card/Card.txt
Card.104002.desc,Minami,Card/Card.txt
Card.104002.jp_CV,Emiri Kato,Card/Card.txt
Card.104002.name,Storm Chaser,Card/Card.txt
Card.104003.desc,Minami,Card/Card.txt
Card.104003.jp_CV,Emiri Kato,Card/Card.txt
Card.104003.name,Catwalk Diva,Card/Card.txt
Card.104004.desc,Minami,Card/Card.txt
Card.104004.jp_CV,Emiri Kato,Card/Card.txt
Card.104004.name,Defiant Stand,Card/Card.txt
Card.104005.desc,Minami,Card/Card.txt
Card.104005.jp_CV,Emiri Kato,Card/Card.txt
Card.104005.name,Ghost Agent,Card/Card.txt
Card.104007.desc,Minami,Card/Card.txt
Card.104007.jp_CV,Emiri Kato,Card/Card.txt
Card.104007.name,Waves & Rides,Card/Card.txt
Card.104008.desc,Minami,Card/Card.txt
Card.104008.jp_CV,Emiri Kato,Card/Card.txt
Card.104008.name,Doctor on Duty,Card/Card.txt
Card.104009.desc,Minami,Card/Card.txt
Card.104009.jp_CV,Emiri Kato,Card/Card.txt
Card.104009.name,Tide Chaser,Card/Card.txt
Card.104013.desc,Minami,Card/Card.txt
Card.104013.jp_CV,Emiri Kato,Card/Card.txt
Card.104013.name,Ghoulish Prancer,Card/Card.txt
Card.104016.desc,Minami,Card/Card.txt
Card.104016.jp_CV,Emiri Kato,Card/Card.txt
Card.104016.name,Pulse of Elegance,Card/Card.txt
Card.105001.desc,Nate,Card/Card.txt
Card.105001.jp_CV,Hepaisutosu Kurogane,Card/Card.txt
Card.105001.name,Barrier Blaster,Card/Card.txt
Card.105002.desc,Nate,Card/Card.txt
Card.105002.jp_CV,Hepaisutosu Kurogane,Card/Card.txt
Card.105002.name,Campus Watcher,Card/Card.txt
Card.105004.desc,Nate,Card/Card.txt
Card.105004.jp_CV,Hepaisutosu Kurogane,Card/Card.txt
Card.105004.name,Thunderous Shatter,Card/Card.txt
Card.105006.desc,Nate,Card/Card.txt
Card.105006.jp_CV,Hepaisutosu Kurogane,Card/Card.txt
Card.105006.name,Beach Adventure,Card/Card.txt
