source,target,tgt_lng
 Sol Command,左Command,zh-CN
! (TN),小键盘 !,zh-CN
! (цифр. кл.),小键盘 !,zh-CN
! pavé num.,小键盘 !,zh-CN
! Tn,小键盘 !,zh-CN
"""%s"" chỉ bao gồm dữ liệu bắt buộc.
""%s"" bao gồm cả dữ liệu bắt buộc và dữ liệu không bắt buộc.","“%s”仅包含必要数据。
“%s”包含可选数据和必要数据。",zh-CN
"""%s"" includes only the required data.
""%s"" includes optional, as well as the required data.","“%s”仅包含必要数据。
“%s”包含可选数据和必要数据。",zh-CN
"""%s"" inclui apenas os dados necessários.
""%s"" inclui os dados necessários e opcionais.","“%s”仅包含必要数据。
“%s”包含可选数据和必要数据。",zh-CN
"""%s"" n'inclut que les données requises.
""%s"" inclut les données facultatives et requises.","“%s”仅包含必要数据。
“%s”包含可选数据和必要数据。",zh-CN
"""%s"" ประกอบด้วยข้อมูลที่จำเป็นเท่านั้น
""%s"" ประกอบด้วยข้อมูลที่ไม่จำเป็นและจำเป็น","“%s”仅包含必要数据。
“%s”包含可选数据和必要数据。",zh-CN
"""%s""은(는) 필수 데이터만 포함합니다.
""%s""은(는) 필수 데이터뿐만 아니라 선택적 데이터도 포함합니다.","“%s”仅包含必要数据。
“%s”包含可选数据和必要数据。",zh-CN
"""Kalite & Performans"" ayarlarını istenilen kaliteye göre makul varsayılanlara ayarlar.",根据需要为“品质与性能”设置合适的默认值。,zh-CN
"""품질 및 성능"" 설정이 원하는 품질에 알맞는 기본 설정값들로 설정됩니다.",根据需要为“品质与性能”设置合适的默认值。,zh-CN
# (TN),小键盘 #,zh-CN
# (цифр. кл.),小键盘 #,zh-CN
# pavé num.,小键盘 #,zh-CN
# Tn,小键盘 #,zh-CN
% (цифр. кл.),小键盘 %,zh-CN
%% (TN),小键盘 %,zh-CN
%% pavé num.,小键盘 %,zh-CN
%% Tn,小键盘 %,zh-CN
%1$s번 버튼,鼠标按键%1$s,zh-CN
%2$s öneriden %1$s. seçildi: %3$s,已选中%2$s项建议中的第%1$s项：%3$s,zh-CN
%2$s öneriden %1$s. seçildi: %3$s (%4$s),已选中%2$s项建议中的第%1$s项：%3$s（%4$s）,zh-CN
%2$s 個畫面元素中的第 %1$s 個,第%s个屏幕控件，共%s个,zh-CN
%2$s個のうち%1$s番目のスクリーン要素,第%s个屏幕控件，共%s个,zh-CN
%2$s個のうち%1$s番目の候補%3$s、%4$sが選択されました,已选中%2$s项建议中的第%1$s项：%3$s（%4$s）,zh-CN
%2$s個のうち%1$s番目の候補%3$sが選択されました,已选中%2$s项建议中的第%1$s项：%3$s,zh-CN
%2$s個のうち%1$s番目の行の要素が選択されました,已选中一列控件中的第%s项，共%s项,zh-CN
%2$s個のタブのうち%1$s番目を選択しました,已选中第%s个标签页，共%s个,zh-CN
%2$s行のリストのうち%1$s行目が選択されました,已选中列表的第%s行，共%s行,zh-CN
%s,%s fps,zh-CN
%s : %s,%s：%s,zh-CN
%s : %s %%,%s：%s%%,zh-CN
%s : %s px,%s：%spx,zh-CN
%s : +%s %%,%s：+%s%%,zh-CN
%s : Non,%s：关,zh-CN
%s : Oui,%s：开,zh-CN
%s auf Standard zurücksetzen,重置%s按钮,zh-CN
%s bir tuşa atanmamış,%s未绑定,zh-CN
%s blocchi,%s个方块,zh-CN
%s Blocks,%s个方块,zh-CN
%s blocos,%s个方块,zh-CN
%s blocs,%s个方块,zh-CN
%s Blok,%s个方块,zh-CN
%s bloques,%s个方块,zh-CN
%s Blöcke,%s个方块,zh-CN
%s chunk,%s个区块,zh-CN
%s Chunks,%s个区块,zh-CN
%s chunks,%s个区块,zh-CN
%s chưa được gán,%s未绑定,zh-CN
%s est lié au %s,%s已绑定至%s,zh-CN
%s está asignado a %s,%s已绑定至%s,zh-CN
%s FPS,%s fps,zh-CN
%s geçmek için Enter tuşuna basın,按下Enter键切换到%s,zh-CN
%s geçmek için sol tıklayın,单击鼠标左键切换到%s,zh-CN
"%s graphics uses screen shaders for drawing weather, clouds, and particles behind translucent blocks and water.
This may severely impact performance for portable devices and 4K displays.","%s画质使用屏幕着色器绘制天气、云以及半透明方块和水后面的粒子。
这也许会在便携设备和4K显示屏上造成严重的性能负担。",zh-CN
%s is bound to %s,%s已绑定至%s,zh-CN
%s is not bound,%s未绑定,zh-CN
%s ist auf %s gesetzt,%s已绑定至%s,zh-CN
%s ist nicht zugewiesen,%s未绑定,zh-CN
%s için çeviri dosyası boş veya eksik. Oyunu ve başlatıcıyı yeniden başlatıp tekrar deneyin.,%s的翻译文件为空或缺失。请重启游戏及启动器并重试。,zh-CN
%s khối,%s个方块,zh-CN
%s n'est pas défini,%s未绑定,zh-CN
%s no está asignado,%s未绑定,zh-CN
%s saattir oynuyorsunuz,你的游戏时长已达%s小时,zh-CN
"%s selecionado, jogado pela última vez: %s, %s",已选择%s，上次进入游戏：%s，%s,zh-CN
"%s seçildi, en son oynama: %s, %s, %s, sürüm: %s",已选择%s，上次进入游戏：%s，%s，%s，版本：%s,zh-CN
"%s sélectionné, ouvert pour la dernière fois le %s, en %s, %s, en version %s",已选择%s，上次进入游戏：%s，%s，%s，版本：%s,zh-CN
%s tarifi,%s的配方,zh-CN
%s tuşunu sıfırla,重置%s按钮,zh-CN
%s yükleniyor,加载中：%s,zh-CN
%s Yığın,%s个区块,zh-CN
"%s × %s (%s Hz, %s Bit)",%s×%s@%sHz（%s位色深）,zh-CN
"%s × %s (%s Hz, %s bit)",%s×%s@%sHz（%s位色深）,zh-CN
"%s × %s (%s Hz, %s bits)",%s×%s@%sHz（%s位色深）,zh-CN
%s đoạn,%s个区块,zh-CN
%s được gán thành %s,%s已绑定至%s,zh-CN
%s блоков,%s个方块,zh-CN
%s чанков,%s个区块,zh-CN
%s ชังก์,%s个区块,zh-CN
%s ถูกตั้งไว้กับ %s,%s已绑定至%s,zh-CN
%s บล็อก,%s个方块,zh-CN
%s ไม่ได้ถูกตั้งไว้,%s未绑定,zh-CN
%s 個區塊,%s个区块,zh-CN
%s 個方塊,%s个方块,zh-CN
%s 已被綁定為 %s,%s已绑定至%s,zh-CN
%s 未被綁定,%s未绑定,zh-CN
"%s 畫質使用畫面著色器來繪製透明方塊與 水後方的天氣、雲以及粒子。
此選項可能會嚴重影響使用行動裝置或是 4K 解析度時的效能。","%s画质使用屏幕着色器绘制天气、云以及半透明方块和水后面的粒子。
这也许会在便携设备和4K显示屏上造成严重的性能负担。",zh-CN
%s 的合成配方,%s的配方,zh-CN
