id,term,src_table
AccusationVo.1.type,게임 내 불법 행위,Basic/AccusationVo.txt
AccusationVo.2.type,정책위반행위,Basic/AccusationVo.txt
AccusationVo.3.type,폭언 욕설,Basic/AccusationVo.txt
AccusationVo.4.type,닉네임 규정 위반,Basic/AccusationVo.txt
AccusationVo.5.type,허위 광고,Basic/AccusationVo.txt
AchievementTag.0.englishName,Overview,Tasks/AchievementTag.txt
AchievementTag.0.name,전체 보기,Tasks/AchievementTag.txt
AchievementTag.1.englishName,Collect,Tasks/AchievementTag.txt
AchievementTag.1.name,수집,Tasks/AchievementTag.txt
AchievementTag.2.englishName,Cultivate,Tasks/AchievementTag.txt
AchievementTag.2.name,육성,Tasks/AchievementTag.txt
AchievementTag.3.englishName,Challenge,Tasks/AchievementTag.txt
AchievementTag.3.name,도전,Tasks/AchievementTag.txt
AchievementTag.4.englishName,Other,Tasks/AchievementTag.txt
AchievementTag.4.name,기타,Tasks/AchievementTag.txt
Achievements.1010101.desc,중복되지 않는 전투원 5명 획득,Tasks/Achievements.txt
Achievements.1010101.taskTitle,중복되지 않는 전투원 5명 획득,Tasks/Achievements.txt
Achievements.1010102.desc,중복되지 않는 전투원 10명 획득,Tasks/Achievements.txt
Achievements.1010102.taskTitle,중복되지 않는 전투원 10명 획득,Tasks/Achievements.txt
Achievements.1010103.desc,중복되지 않는 전투원 15명 획득,Tasks/Achievements.txt
Achievements.1010103.taskTitle,중복되지 않는 전투원 15명 획득,Tasks/Achievements.txt
Achievements.1010104.desc,중복되지 않는 전투원 20명 획득,Tasks/Achievements.txt
Achievements.1010104.taskTitle,중복되지 않는 전투원 20명 획득,Tasks/Achievements.txt
Achievements.1010105.desc,중복되지 않는 전투원 30명 획득,Tasks/Achievements.txt
Achievements.1010105.taskTitle,중복되지 않는 전투원 30명 획득,Tasks/Achievements.txt
Achievements.1010106.desc,중복되지 않는 전투원 40명 획득,Tasks/Achievements.txt
Achievements.1010106.taskTitle,중복되지 않는 전투원 40명 획득,Tasks/Achievements.txt
Achievements.1010107.desc,중복되지 않는 전투원 50명 획득,Tasks/Achievements.txt
Achievements.1010107.taskTitle,중복되지 않는 전투원 50명 획득,Tasks/Achievements.txt
Achievements.1010201.desc,초기 등급이 SSR인 전투원 1명 획득,Tasks/Achievements.txt
Achievements.1010201.taskTitle,초기 등급이 SSR인 전투원 1명 획득,Tasks/Achievements.txt
Achievements.1010202.desc,초기 등급이 SSR인 전투원 3명 획득,Tasks/Achievements.txt
Achievements.1010202.taskTitle,초기 등급이 SSR인 전투원 3명 획득,Tasks/Achievements.txt
Achievements.1010203.desc,초기 등급이 SSR인 전투원 5명 획득,Tasks/Achievements.txt
Achievements.1010203.taskTitle,초기 등급이 SSR인 전투원 5명 획득,Tasks/Achievements.txt
Achievements.1010204.desc,초기 등급이 SSR인 전투원 7명 획득,Tasks/Achievements.txt
Achievements.1010204.taskTitle,초기 등급이 SSR인 전투원 7명 획득,Tasks/Achievements.txt
Achievements.1010205.desc,초기 등급이 SSR인 전투원 10명 획득,Tasks/Achievements.txt
Achievements.1010205.taskTitle,초기 등급이 SSR인 전투원 10명 획득,Tasks/Achievements.txt
Achievements.1010206.desc,초기 등급이 SSR인 전투원 15명 획득,Tasks/Achievements.txt
Achievements.1010206.taskTitle,초기 등급이 SSR인 전투원 15명 획득,Tasks/Achievements.txt
Achievements.1010207.desc,초기 등급이 SSR인 전투원 20명 획득,Tasks/Achievements.txt
Achievements.1010207.taskTitle,초기 등급이 SSR인 전투원 20명 획득,Tasks/Achievements.txt
Achievements.1020101.desc,R등급 장비 10개 획득,Tasks/Achievements.txt
Achievements.1020101.taskTitle,R등급 장비 10개 획득,Tasks/Achievements.txt
Achievements.1020102.desc,R등급 장비 20개 획득,Tasks/Achievements.txt
Achievements.1020102.taskTitle,R등급 장비 20개 획득,Tasks/Achievements.txt
Achievements.1020103.desc,R등급 장비 35개 획득,Tasks/Achievements.txt
Achievements.1020103.taskTitle,R등급 장비 35개 획득,Tasks/Achievements.txt
Achievements.1020104.desc,R등급 장비 50개 획득,Tasks/Achievements.txt
Achievements.1020104.taskTitle,R등급 장비 50개 획득,Tasks/Achievements.txt
Achievements.1020105.desc,R등급 장비 70개 획득,Tasks/Achievements.txt
Achievements.1020105.taskTitle,R등급 장비 70개 획득,Tasks/Achievements.txt
Achievements.1020106.desc,R등급 장비 90개 획득,Tasks/Achievements.txt
Achievements.1020106.taskTitle,R등급 장비 90개 획득,Tasks/Achievements.txt
Achievements.1020107.desc,R등급 장비 120개 획득,Tasks/Achievements.txt
Achievements.1020107.taskTitle,R등급 장비 120개 획득,Tasks/Achievements.txt
Achievements.1020108.desc,R등급 장비 150개 획득,Tasks/Achievements.txt
Achievements.1020108.taskTitle,R등급 장비 150개 획득,Tasks/Achievements.txt
Achievements.1020109.desc,R등급 장비 200개 획득,Tasks/Achievements.txt
Achievements.1020109.taskTitle,R등급 장비 200개 획득,Tasks/Achievements.txt
Achievements.1020201.desc,SR 등급 장비 10개 획득,Tasks/Achievements.txt
Achievements.1020201.taskTitle,SR 등급 장비 10개 획득,Tasks/Achievements.txt
Achievements.1020202.desc,SR 등급 장비 20개 획득,Tasks/Achievements.txt
Achievements.1020202.taskTitle,SR 등급 장비 20개 획득,Tasks/Achievements.txt
Achievements.1020203.desc,SR 등급 장비 35개 획득,Tasks/Achievements.txt
Achievements.1020203.taskTitle,SR 등급 장비 35개 획득,Tasks/Achievements.txt
Achievements.1020204.desc,SR 등급 장비 50개 획득,Tasks/Achievements.txt
Achievements.1020204.taskTitle,SR 등급 장비 50개 획득,Tasks/Achievements.txt
Achievements.1020205.desc,SR 등급 장비 70개 획득,Tasks/Achievements.txt
Achievements.1020205.taskTitle,SR 등급 장비 70개 획득,Tasks/Achievements.txt
Achievements.1020206.desc,SR 등급 장비 90개 획득,Tasks/Achievements.txt
Achievements.1020206.taskTitle,SR 등급 장비 90개 획득,Tasks/Achievements.txt
Achievements.1020207.desc,SR 등급 장비 120개 획득,Tasks/Achievements.txt
Achievements.1020207.taskTitle,SR 등급 장비 120개 획득,Tasks/Achievements.txt
Achievements.1020208.desc,SR 등급 장비 150개 획득,Tasks/Achievements.txt
Achievements.1020208.taskTitle,SR 등급 장비 150개 획득,Tasks/Achievements.txt
Achievements.1020209.desc,SR 등급 장비 200개 획득,Tasks/Achievements.txt
Achievements.1020209.taskTitle,SR 등급 장비 200개 획득,Tasks/Achievements.txt
Achievements.1020301.desc,SSR 등급 장비 10개 획득,Tasks/Achievements.txt
Achievements.1020301.taskTitle,SSR 등급 장비 10개 획득,Tasks/Achievements.txt
Achievements.1020302.desc,SSR 등급 장비 20개 획득,Tasks/Achievements.txt
Achievements.1020302.taskTitle,SSR 등급 장비 20개 획득,Tasks/Achievements.txt
Achievements.1020303.desc,SSR 등급 장비 35개 획득,Tasks/Achievements.txt
Achievements.1020303.taskTitle,SSR 등급 장비 35개 획득,Tasks/Achievements.txt
Achievements.1020304.desc,SSR 등급 장비 50개 획득,Tasks/Achievements.txt
Achievements.1020304.taskTitle,SSR 등급 장비 50개 획득,Tasks/Achievements.txt
Achievements.1020305.desc,SSR 등급 장비 70개 획득,Tasks/Achievements.txt
Achievements.1020305.taskTitle,SSR 등급 장비 70개 획득,Tasks/Achievements.txt
Achievements.1020306.desc,SSR 등급 장비 90개 획득,Tasks/Achievements.txt
Achievements.1020306.taskTitle,SSR 등급 장비 90개 획득,Tasks/Achievements.txt
Achievements.1020307.desc,SSR 등급 장비 120개 획득,Tasks/Achievements.txt
Achievements.1020307.taskTitle,SSR 등급 장비 120개 획득,Tasks/Achievements.txt
Achievements.1020308.desc,SSR 등급 장비 150개 획득,Tasks/Achievements.txt
Achievements.1020308.taskTitle,SSR 등급 장비 150개 획득,Tasks/Achievements.txt
Achievements.1020309.desc,SSR 등급 장비 200개 획득,Tasks/Achievements.txt
Achievements.1020309.taskTitle,SSR 등급 장비 200개 획득,Tasks/Achievements.txt
Achievements.1030101.desc,각기 다른 냥냥볼 10개 획득,Tasks/Achievements.txt
Achievements.1030101.taskTitle,각기 다른 냥냥볼 10개 획득,Tasks/Achievements.txt
Achievements.1030102.desc,각기 다른 냥냥볼 20개 획득,Tasks/Achievements.txt
Achievements.1030102.taskTitle,각기 다른 냥냥볼 20개 획득,Tasks/Achievements.txt
Achievements.1030103.desc,각기 다른 냥냥볼 30개 획득,Tasks/Achievements.txt
Achievements.1030103.taskTitle,각기 다른 냥냥볼 30개 획득,Tasks/Achievements.txt
Achievements.1030104.desc,각기 다른 냥냥볼 40개 획득,Tasks/Achievements.txt
Achievements.1030104.taskTitle,각기 다른 냥냥볼 40개 획득,Tasks/Achievements.txt
Achievements.1030105.desc,각기 다른 냥냥볼 50개 획득,Tasks/Achievements.txt
Achievements.1030105.taskTitle,각기 다른 냥냥볼 50개 획득,Tasks/Achievements.txt
Achievements.1030106.desc,각기 다른 냥냥볼 60개 획득,Tasks/Achievements.txt
Achievements.1030106.taskTitle,각기 다른 냥냥볼 60개 획득,Tasks/Achievements.txt
Achievements.1040101.desc,모든 어장 도감 수집,Tasks/Achievements.txt
Achievements.1040101.taskTitle,모든 어장 도감 수집,Tasks/Achievements.txt
Achievements.1040201.desc,모든 어장 도감 XXL급 달성,Tasks/Achievements.txt
Achievements.1040201.taskTitle,모든 어장 도감 XXL급 달성,Tasks/Achievements.txt
Achievements.2010101.desc,플레이어 5레벨 달성,Tasks/Achievements.txt
Achievements.2010101.taskTitle,플레이어 5레벨 달성,Tasks/Achievements.txt
Achievements.2010102.desc,플레이어 10레벨 달성,Tasks/Achievements.txt
Achievements.2010102.taskTitle,플레이어 10레벨 달성,Tasks/Achievements.txt
Achievements.2010103.desc,플레이어 15레벨 달성,Tasks/Achievements.txt
Achievements.2010103.taskTitle,플레이어 15레벨 달성,Tasks/Achievements.txt
Achievements.2010104.desc,플레이어 20레벨 달성,Tasks/Achievements.txt
Achievements.2010104.taskTitle,플레이어 20레벨 달성,Tasks/Achievements.txt
Achievements.2010105.desc,플레이어 25레벨 달성,Tasks/Achievements.txt
Achievements.2010105.taskTitle,플레이어 25레벨 달성,Tasks/Achievements.txt
Achievements.2010106.desc,플레이어 30레벨 달성,Tasks/Achievements.txt
Achievements.2010106.taskTitle,플레이어 30레벨 달성,Tasks/Achievements.txt
Achievements.2010107.desc,플레이어 35레벨 달성,Tasks/Achievements.txt
Achievements.2010107.taskTitle,플레이어 35레벨 달성,Tasks/Achievements.txt
Achievements.2010108.desc,플레이어 40레벨 달성,Tasks/Achievements.txt
Achievements.2010108.taskTitle,플레이어 40레벨 달성,Tasks/Achievements.txt
Achievements.2010109.desc,플레이어 45레벨 달성,Tasks/Achievements.txt
Achievements.2010109.taskTitle,플레이어 45레벨 달성,Tasks/Achievements.txt
Achievements.2010110.desc,플레이어 50레벨 달성,Tasks/Achievements.txt
Achievements.2010110.taskTitle,플레이어 50레벨 달성,Tasks/Achievements.txt
Achievements.2010111.desc,플레이어 55레벨 달성,Tasks/Achievements.txt
Achievements.2010111.taskTitle,플레이어 55레벨 달성,Tasks/Achievements.txt
Achievements.2010112.desc,플레이어 60레벨 달성,Tasks/Achievements.txt
Achievements.2010112.taskTitle,플레이어 60레벨 달성,Tasks/Achievements.txt
Achievements.2010113.desc,플레이어 65레벨 달성,Tasks/Achievements.txt
Achievements.2010113.taskTitle,플레이어 65레벨 달성,Tasks/Achievements.txt
Achievements.2010114.desc,플레이어 70레벨 달성,Tasks/Achievements.txt
Achievements.2010114.taskTitle,플레이어 70레벨 달성,Tasks/Achievements.txt
Achievements.2010115.desc,플레이어 75레벨 달성,Tasks/Achievements.txt
Achievements.2010115.taskTitle,플레이어 75레벨 달성,Tasks/Achievements.txt
Achievements.2010116.desc,플레이어 80레벨 달성,Tasks/Achievements.txt
Achievements.2010116.taskTitle,플레이어 80레벨 달성,Tasks/Achievements.txt
Achievements.2010117.desc,플레이어 85레벨 달성,Tasks/Achievements.txt
