source,target,tgt_lng
"""Chilled Meat""",「冷鮮肉」,zh-TW
"""Chiếc Răng"" Kỳ Lạ",奇異的「牙齒」,zh-TW
"""Cuộn Tranh Bầu Trời Rực Lửa""",「熾空的繪卷」,zh-TW
"""Denizin Sakin Renkleri""",「凝靜的海色」,zh-TW
"""Dispositivo Tubion""",「圖比昂裝置」,zh-TW
"""Dispositivo di Tubion""",「圖比昂裝置」,zh-TW
"""Dòng Xoáy Trong Bể""",「旋流之瓶景」,zh-TW
"""Dấu Ấn Sắc Màu""",「繪綺之枕印」,zh-TW
"""Exalted Earth""",「大地之王」,zh-TW
"""Fragments of Innocence""",「童真的斷篇」,zh-TW
"""Ngọn gió nhìn thấy được""",「看得見的風」,zh-TW
"""Silken Print""",「繪綺之枕印」,zh-TW
"""Sombra Silenciosa do Mar""",「凝靜的海色」,zh-TW
"""Swirling Scene in a Bottle""",「旋流之瓶景」,zh-TW
"""Sắc Biển Tĩnh Lặng""",「凝靜的海色」,zh-TW
"""The Sea's Silent Shade""",「凝靜的海色」,zh-TW
"""The Visible Winds""",「看得見的風」,zh-TW
"""Thiết Bị Tourbillon""",「圖比昂裝置」,zh-TW
"""Tourbillon Cihazı""",「圖比昂裝置」,zh-TW
"""Tourbillon Device""",「圖比昂裝置」,zh-TW
"""Visible Winds""",「看得見的風」,zh-TW
"""Vua Của Mặt Đất""",「大地之王」,zh-TW
"""Yüce Toprak""",「大地之王」,zh-TW
"""Şişedeki Çalkantılar""",「旋流之瓶景」,zh-TW
"""กลไกฉายเงาพราย""",「掠影之球機」,zh-TW
"""ทิวทัศน์หมุนวนในขวด""",「旋流之瓶景」,zh-TW
"""เขี้ยว"" ประหลาด",奇異的「牙齒」,zh-TW
A Alegria de Narukami,鳴神御靈的歡喜,zh-TW
A Coragem de Narukami,鳴神御靈的勇武,zh-TW
A Flower Yet to Bloom,來自何處的待放之花,zh-TW
A Pedra Angular das Estrelas e Chamas,星與火的基石,zh-TW
A Sabedoria de Narukami,鳴神御靈的明惠,zh-TW
Aalfleisch,鰻肉,zh-TW
Abalorio de la tempestad,雷霆數珠,zh-TW
Abdomen luminescent,發光髓,zh-TW
Abendrot-Mondfisch,晚霞翻車魨,zh-TW
Abenteuer-EP,冒險閱歷,zh-TW
Aberrant Core of the Deep Shadow,深黯的怪核,zh-TW
Aberranter Kern der tiefen Schatten,深黯的怪核,zh-TW
Abgebrochener Zahn des borealischen Wolfs,凜風奔狼的斷牙,zh-TW
Abgekühltes Panzerbruchstück,冷裂殼塊,zh-TW
Abgelagerte Masse,沉積結塊,zh-TW
Abgelagerte Wucherung,沉積增生物,zh-TW
Abgelagertes Fragment,沉積殘片,zh-TW
Abgemessenes Aufgießen des eingelagerten spirituellen Nektars,藏窖靈漿的斟酌,zh-TW
Abgenutzte Bolzenspitze,歷戰的箭鏃,zh-TW
Abgenutzter Amtsausweis,磨損的執憑,zh-TW
Abgetrennter Schweif des Himmelswanderers,遊空之物的斷尾,zh-TW
Abgrundlichtflosse,淵光鰭翅,zh-TW
Abiding Angelfish,長生仙,zh-TW
Ablehnung und Urteilsspruch,否定裁斷,zh-TW
Abzeichen für Offiziere,尉官的徽記,zh-TW
Abzeichen für Unteroffiziere,士官的徽記,zh-TW
Abzeichen für neue Rekruten,新兵的徽記,zh-TW
Acará Devoto,長生仙,zh-TW
Acará Raimei,雷鳴仙,zh-TW
Accreted Fragment,沉積殘片,zh-TW
Accreted Growth,沉積增生物,zh-TW
Accreted Mass,沉積結塊,zh-TW
Accumulateur d'air de source secrète,秘源積氣喉,zh-TW
Accumulatore d'aria della Fonte segreta,秘源積氣喉,zh-TW
Acemi Asker Nişanı,新兵的徽記,zh-TW
Acqua non trascesa,未能達成超越之水,zh-TW
Acquaint Fate,相遇之緣,zh-TW
Acreción sedimentada,沉積增生物,zh-TW
Activated Starshroom,活化的星蕈,zh-TW
Acumulador de Ventilação da Fonte Secreta,秘源積氣喉,zh-TW
Acumulador de aire fuentenigma,秘源積氣喉,zh-TW
Adalet Felsefesi,「正義」的哲學,zh-TW
Adalet Rehberi,「正義」的指引,zh-TW
Adalet Öğretisi,「正義」的教導,zh-TW
Addio dell'Imperatore del gelo,凜雪帝皇的辭決,zh-TW
Addome luminescente,發光髓,zh-TW
Adeptenschwung-Flakon,仙速瓶,zh-TW
Adeptentee aus Chenyu,沉玉仙茗,zh-TW
Adepthé de Chenyu,沉玉仙茗,zh-TW
Adeptè di Chenyu,沉玉仙茗,zh-TW
Adhigama Kütüğü,證悟木,zh-TW
Adhigama Wood,證悟木,zh-TW
Adhigama-Holz,證悟木,zh-TW
Adieu de l'empereur glacial,凜雪帝皇的辭決,zh-TW
Adiós del emperador de la escarcha,凜雪帝皇的辭決,zh-TW
Adunata dell'esercito della Candida Stella,蒼星軍勢的集結,zh-TW
Adventure EXP,冒險閱歷,zh-TW
Adventurer's Experience,冒險家的經驗,zh-TW
Afecto de Narukami,鳴神御靈的親愛,zh-TW
Affection de Narukami,鳴神御靈的親愛,zh-TW
Affetto di Narukami,鳴神御靈的親愛,zh-TW
Afterglow of Long Night Flint,長夜燧火的殘照,zh-TW
Agata cremisi,緋紅玉髓,zh-TW
Agata cremisi pura,緋紅玉髓（純表現）,zh-TW
Agate pourpre,緋紅玉髓,zh-TW
Agate pourpre (affichage),緋紅玉髓（純表現）,zh-TW
Agent's Sacrificial Knife,特工祭刀,zh-TW
Agnidus Agate Chunk,燃願瑪瑙塊,zh-TW
Agnidus Agate Fragment,燃願瑪瑙斷片,zh-TW
Agnidus Agate Gemstone,燃願瑪瑙,zh-TW
Agnidus Agate Sliver,燃願瑪瑙碎屑,zh-TW
Agnidus Akiği Külçesi,燃願瑪瑙,zh-TW
Agnidus Akiği Kırıntısı,燃願瑪瑙斷片,zh-TW
Agnidus Akiği Parçası,燃願瑪瑙塊,zh-TW
Agnidus Akiği Tozu,燃願瑪瑙碎屑,zh-TW
Agnidus-Achat,燃願瑪瑙,zh-TW
Agnidus-Achat-Brocken,燃願瑪瑙塊,zh-TW
Agnidus-Achat-Bruchstück,燃願瑪瑙斷片,zh-TW
Agnidus-Achat-Splitter,燃願瑪瑙碎屑,zh-TW
Agrupamento de Habilidades,技藝團塊,zh-TW
Agua intrascendible,未能達成超越之水,zh-TW
Ahornholz,楓木,zh-TW
Aileron lunaire,月色鰭翅,zh-TW
Aileron plumeux,羽狀鰭翅,zh-TW
Aileron ténébreux,淵光鰭翅,zh-TW
Ailes de papillon,蝴蝶翅膀,zh-TW
Aino'nun Alet Çantası (Boş),愛諾的工具箱（空）,zh-TW
Aino's Toolbox (Empty),愛諾的工具箱（空）,zh-TW
Ainos Werkzeugkasten (leer),愛諾的工具箱（空）,zh-TW
Aizen Medaka,藍染花鱂,zh-TW
Aizen-Medaka,藍染花鱂,zh-TW
Ajanın Klasik Cep Saati,役人的制式懷錶,zh-TW
Ajanın Vefası,役人的時時刻刻,zh-TW
Ajilenakh Nut,棗椰,zh-TW
Ajilenakh Yemişi,棗椰,zh-TW
Akai Maou,赤魔王,zh-TW
Akai maou,赤魔王,zh-TW
Akarboynuz Pisi Bulan,長犀圓鳥和扁魚,zh-TW
Akkor Yem,溫火餌,zh-TW
Ako'nun Sake Kabı,赤穗酒枡,zh-TW
Ako's Sake Vessel,赤穗酒枡,zh-TW
Akos Sakegefäß,赤穗酒枡,zh-TW
Aktivierter Sternpilz,活化的星蕈,zh-TW
Akçaağaç Kütüğü,楓木,zh-TW
Ala rutilante,承光的鱗羽,zh-TW
Alaca Kristal,異色結晶石,zh-TW
Alacakaranlık Güneş Balığı,晚霞翻車魨,zh-TW
Alas de mariposa,蝴蝶翅膀,zh-TW
Alasquama portaluce,承光的鱗羽,zh-TW
Alberello lunare,謐暉白枝,zh-TW
Albero di trasmissione di precisione,精製機軸,zh-TW
Albero di trasmissione rinforzato,加固機軸,zh-TW
Albero di trasmissione rotto,毀損機軸,zh-TW
Alcaeste,「溶媒」,zh-TW
Alchemeter,藥材研析儀,zh-TW
Alchimeter,藥材研析儀,zh-TW
Alchimetro,藥材研析儀,zh-TW
Alchimètre,藥材研析儀,zh-TW
Alder Wood,榿木,zh-TW
