source,target,tgt_lng
 %s/%s mensagem(ns) selecionada(s),Messaggi selezionati: %s/%s,it-IT
 (con mods), (modificato),it-IT
 (Modded), (modificato),it-IT
 (modificado), (modificato),it-IT
 (modifiziert), (modificato),it-IT
 (Modlu), (modificato),it-IT
 (version moddée), (modificato),it-IT
 (Đã được sửa đổi), (modificato),it-IT
 (модифицировано), (modificato),it-IT
 (มีการดัดแปร), (modificato),it-IT
 (모드), (modificato),it-IT
"""%s"" adlı oyuncuyu bildiriyorsunuz.",Stai segnalando «%s».,it-IT
"""%s""을(를) 신고하려 합니다.",Stai segnalando «%s».,it-IT
%1$s + %2$s ile araç çubuğunu kaydedebilirsiniz,Salva la barra rapida con %1$s + %2$s,it-IT
%1$s + %2$s을(를) 눌러 단축 바를 저장할 수 있습니다,Salva la barra rapida con %1$s + %2$s,it-IT
%1$s 在 %3$s 說：%2$s,%s ha detto: %s alle %s,it-IT
%1$s 著,Di %1$s,it-IT
%1$s+%2$sでホットバーを保存します,Salva la barra rapida con %1$s + %2$s,it-IT
%1$sで立ち上がる,Premi %1$s per alzarti,it-IT
%1$sで降りる,Premi %1$s per scendere,it-IT
%1$sの%3$sでの発言：%2$s,%s ha detto: %s alle %s,it-IT
%1$s在%3$s说：%2$s,%s ha detto: %s alle %s,it-IT
%1$s이(가) 씀,Di %1$s,it-IT
%1$s／%2$sページ,Pagina %1$s di %2$s,it-IT
%2$s× %1$s,%s × %s,it-IT
%2$s個中%1$s個のメッセージを選択,Messaggi selezionati: %s/%s,it-IT
%2$s쪽 중 %1$s쪽,Pagina %1$s di %2$s,it-IT
"%s

%s

Buradan daha fazlasını öğrenin: %s","%s

%s

Scopri di più al collegamento seguente: %s",it-IT
"%s

%s

Consulta más información en el siguiente enlace: %s","%s

%s

Scopri di più al collegamento seguente: %s",it-IT
"%s

%s

Erfahre mehr unter folgendem Link: %s","%s

%s

Scopri di più al collegamento seguente: %s",it-IT
"%s

%s

Learn more at the following link: %s","%s

%s

Scopri di più al collegamento seguente: %s",it-IT
"%s

%s

Pour en savoir plus, consultez le lien suivant : %s","%s

%s

Scopri di più al collegamento seguente: %s",it-IT
"%s

%s

Saiba mais no link: %s","%s

%s

Scopri di più al collegamento seguente: %s",it-IT
"%s

%s

Tìm hiểu thêm tại liên kết sau: %s","%s

%s

Scopri di più al collegamento seguente: %s",it-IT
"%s

%s

Подробнее по ссылке: %s","%s

%s

Scopri di più al collegamento seguente: %s",it-IT
"%s

%s

เรียนรู้เพิ่มเติมที่ลิงก์ต่อไปนี้: %s","%s

%s

Scopri di più al collegamento seguente: %s",it-IT
"%s

%s

点击以下链接了解更多：%s","%s

%s

Scopri di più al collegamento seguente: %s",it-IT
"%s

%s

詳細はこちらのリンクから確認できます：%s","%s

%s

Scopri di più al collegamento seguente: %s",it-IT
"%s

%s

透過以下連結了解更多：%s","%s

%s

Scopri di più al collegamento seguente: %s",it-IT
"%s

%s

더 자세한 정보는 다음 링크에 있습니다: %s","%s

%s

Scopri di più al collegamento seguente: %s",it-IT
%s %s個,%s × %s,it-IT
%s (%s шт.),%s × %s,it-IT
%s + %s basılı tutuluyor. Eğer bırakılmazsa oyun çökecek.,"Stai tenendo premuti %s + %s. Se non li rilasci, il gioco verrà arrestato.",it-IT
%s + %s is held down. This will crash the game unless released.,"Stai tenendo premuti %s + %s. Se non li rilasci, il gioco verrà arrestato.",it-IT
%s + %s pressionados. O jogo será interrompido a menos que solte.,"Stai tenendo premuti %s + %s. Se non li rilasci, il gioco verrà arrestato.",it-IT
"%s + %s sind gedrückt. Dies wird das Spiel abstürzen lassen, wenn sie nicht losgelassen werden.","Stai tenendo premuti %s + %s. Se non li rilasci, il gioco verrà arrestato.",it-IT
%s + %s đã được giữ. Điều này sẽ làm trò chơi gặp sự cố trừ khi thả phím ra.,"Stai tenendo premuti %s + %s. Se non li rilasci, il gioco verrà arrestato.",it-IT
%s + %sが押されています。離さない限り、ゲームをクラッシュさせます。,"Stai tenendo premuti %s + %s. Se non li rilasci, il gioco verrà arrestato.",it-IT
%s + %s已被按下。若不放开按键则会使游戏崩溃。,"Stai tenendo premuti %s + %s. Se non li rilasci, il gioco verrà arrestato.",it-IT
%s + %s이(가) 눌려 있습니다. 놓지 않으면 게임에 잠시 후 크래시를 일으킵니다.,"Stai tenendo premuti %s + %s. Se non li rilasci, il gioco verrà arrestato.",it-IT
%s - %s,%s — %s,it-IT
%s - %s joueur,%s — %s giocatore,it-IT
%s - %s joueurs,%s — %s giocatori,it-IT
%s - %s người chơi,%s — %s giocatore,it-IT
%s - %s người chơi,%s — %s giocatori,it-IT
%s - %s oyuncu,%s — %s giocatore,it-IT
%s - %s oyuncu,%s — %s giocatori,it-IT
%s - %s player,%s — %s giocatore,it-IT
%s - %s players,%s — %s giocatori,it-IT
%s - %s 位玩家,%s — %s giocatore,it-IT
%s - %s 位玩家,%s — %s giocatori,it-IT
%s - %s人のプレイヤー,%s — %s giocatore,it-IT
%s - %s人のプレイヤー,%s — %s giocatori,it-IT
%s - %s名玩家,%s — %s giocatore,it-IT
%s - %s名玩家,%s — %s giocatori,it-IT
%s - ผู้เล่น %s คน,%s — %s giocatori,it-IT
%s - 플레이어 %s명,%s — %s giocatore,it-IT
%s - 플레이어 %s명,%s — %s giocatori,it-IT
%s . . . ？,%s . . . ?,it-IT
%s . . .？,%s . . . ?,it-IT
%s : %s,%s: %s,it-IT
%s : actuellement masqué,%s (attualmente nascosta),it-IT
%s : actuellement toujours visible,%s (attualmente sempre visibile),it-IT
%s : actuellement uniquement dans F3,%s (attualmente visibile premendo F3),it-IT
%s : actuellement uniquement dans l'overlay de débogage,%s (attualmente visibile nel cruscotto),it-IT
%s a accepté votre demande d'ami,%s ha accettato la tua richiesta,it-IT
%s a accompli le défi %s,%s ha completato l'impresa %s,it-IT
