source,target,tgt_lng
"""Blood of Egungun""",「沃贡贡之血」,zh-CN
"""Muratans""",穆纳塔,zh-CN
Alcor,死兆星号,zh-CN
Alcor-class No.2,死兆星级二号舰,zh-CN
Alliance of the Twenty-Nine Ocean Deys,二十九海洋代伊联盟,zh-CN
Arataki Gang,荒泷派,zh-CN
Atlas,阿特拉号,zh-CN
Ayn Al-Ahmar,阿赫玛尔之眼,zh-CN
Benny's Adventure Team,班尼冒险团,zh-CN
Blazing Beasts,炽光猎兽,zh-CN
Church of Favonius,西风教会,zh-CN
Confrerie of Cabriere,卡布里埃商会,zh-CN
Corps of Thirty,三十人团,zh-CN
Crimson Moon,赤月,zh-CN
Dakan Al-Ahmar,阿赫玛尔之须,zh-CN
Daydream Club,空想俱乐部,zh-CN
Dephi Pytho,德尔斐·皮托呢,zh-CN
Deshret's Relics,神王之遗,zh-CN
Eclipse,黑日,zh-CN
Fatui,愚人众,zh-CN
Feiyun Commerce Guild,飞云商会,zh-CN
Fontaine Research Institute,枫丹科学院,zh-CN
Fontaine Research Institute of Kinetic Energy Engineering,枫丹动能工程科学研究院,zh-CN
Forest Rangers / Rebel,巡林小队,zh-CN
Frostmoon Scions,霜月之子,zh-CN
Fruity Order,秩序水果团,zh-CN
Gardes,警备队,zh-CN
Gilded Journey,金砂之旅,zh-CN
Gourmet Supremos,全能美食队,zh-CN
Guhua Clan,古华派,zh-CN
Gunnhildr Clan,古恩希尔德家族,zh-CN
Hexenzirkel,魔女会,zh-CN
Hotel Bouffes d'ete,布法蒂公馆,zh-CN
House of the Hearth,壁炉之家,zh-CN
Huishan Hall,辉山厅,zh-CN
Hyperborea,亥珀波瑞亚,zh-CN
Kamisato Clan,神里家,zh-CN
Kanjou Commission,勘定奉行,zh-CN
Knights of Favonius,西风骑士团,zh-CN
Komaniya Express,狛荷屋,zh-CN
Lawrence Clan,劳伦斯家族,zh-CN
LightKeepers,执灯人,zh-CN
Liliacruces Forum,十字铃兰学会,zh-CN
Liyue Qixing / Qixing of Liyue,璃月七星,zh-CN
Maison Gardiennage,执律庭,zh-CN
Maison Gestion,复律庭,zh-CN
Maison Ordalie,检律庭,zh-CN
Marechaussee Phantom,逐影庭,zh-CN
Millelith,千岩军,zh-CN
Millelith Brigade,千岩团,zh-CN
Ministry of Civil Affairs,总务司,zh-CN
Nagarjunites,那伽朱那团,zh-CN
Narzissenkreuz Institute,水仙十字院,zh-CN
Order of Skeptics,矫论团,zh-CN
Ragnvindr Clan,莱艮芬德家族,zh-CN
