source,target,tgt_lng
回顾,ทบทวน,th-TH
回顧,ทบทวน,th-TH
Review,ทบทวน,th-TH
振り返る,ทบทวน,th-TH
리플레이,ทบทวน,th-TH
Tinjau,ทบทวน,th-TH
自动洗练,รีไฟน์อัตโนมัติ,th-TH
自動洗練,รีไฟน์อัตโนมัติ,th-TH
Auto Reset,รีไฟน์อัตโนมัติ,th-TH
자동 제련,รีไฟน์อัตโนมัติ,th-TH
Pemurnian-Auto,รีไฟน์อัตโนมัติ,th-TH
入职礼包,แพ็กมือใหม่,th-TH
入職禮包,แพ็กมือใหม่,th-TH
Onboard Bundle,แพ็กมือใหม่,th-TH
入職パック,แพ็กมือใหม่,th-TH
입사 패키지,แพ็กมือใหม่,th-TH
活动已经结束,กิจกรรมจบลงแล้ว,th-TH
活動已經結束,กิจกรรมจบลงแล้ว,th-TH
The event is ended.,กิจกรรมจบลงแล้ว,th-TH
イベントは終了しました。,กิจกรรมจบลงแล้ว,th-TH
이벤트 종료됨,กิจกรรมจบลงแล้ว,th-TH
Event telah berakhir.,กิจกรรมจบลงแล้ว,th-TH
解锁,ปลดล็อก,th-TH
解鎖,ปลดล็อก,th-TH
Unlock,ปลดล็อก,th-TH
解放,ปลดล็อก,th-TH
해제,ปลดล็อก,th-TH
Terbuka,ปลดล็อก,th-TH
在线奖励,รางวัลออนไลน์,th-TH
線上獎勵,รางวัลออนไลน์,th-TH
Online Rewards,รางวัลออนไลน์,th-TH
オンライン_NEW_LINE_報酬,รางวัลออนไลน์,th-TH
온라인 보상,รางวัลออนไลน์,th-TH
Online Bonus,รางวัลออนไลน์,th-TH
已下载完成,ดาวน์โหลดสำเร็จ,th-TH
已下載完成,ดาวน์โหลดสำเร็จ,th-TH
Download Complete,ดาวน์โหลดสำเร็จ,th-TH
ダウンロード完了,ดาวน์โหลดสำเร็จ,th-TH
다운로드를 완료했습니다,ดาวน์โหลดสำเร็จ,th-TH
Unduhan selesai.,ดาวน์โหลดสำเร็จ,th-TH
快速休息,พักผ่อน_NEW_LINE_ทันที,th-TH
Quick Rest,พักผ่อน_NEW_LINE_ทันที,th-TH
一括休憩,พักผ่อน_NEW_LINE_ทันที,th-TH
빠른 휴식,พักผ่อน_NEW_LINE_ทันที,th-TH
Auto Istirahat,พักผ่อน_NEW_LINE_ทันที,th-TH
