source,target,tgt_lng
"""%s"" será perdido para sempre! (é muito tempo!)","""%s"" sera perdu pour toujours ! (Très longtemps !)",fr-FR
"""%s"" 세계 폴더를 읽으면서 문제가 발생했습니다.
이전 상태로 세계를 복원하려 시도하거나 버그 트래커에 이 문제를 보고하실 수 있습니다.","Les problèmes suivants se sont produits en tentant de lire le dossier du monde ""%s"".
Essayez de restaurer le monde à partir d'un état antérieur ou signalez le bug sur le site dédié.",fr-FR
%%%s,%s %%,fr-FR
%1$s tuşuna basarak zıplayın,Sautez en appuyant sur la touche %1$s,fr-FR
%1$s 키를 눌러 보관함을 열 수 있습니다,Utilisez %1$s pour ouvrir votre inventaire,fr-FR
%1$s 키를 눌러 점프할 수 있습니다,Sautez en appuyant sur la touche %1$s,fr-FR
"%1$s, %2$s, %3$s, %4$s tuşlarına basarak hareket edin","Bougez en appuyant sur %1$s, %2$s, %3$s et %4$s",fr-FR
"%1$s, %2$s, %3$s, %4$s 키를 눌러 이동할 수 있습니다","Bougez en appuyant sur %1$s, %2$s, %3$s et %4$s",fr-FR
"%1$s, %2$s, %3$s, %4$s 키와 마우스를 사용해 움직일 수 있습니다","Utilisez les touches %1$s, %2$s, %3$s, %4$s et la souris pour vous déplacer",fr-FR
%1$s、%2$s、%3$s、%4$sキーとマウスで移動できます,"Utilisez les touches %1$s, %2$s, %3$s, %4$s et la souris pour vous déplacer",fr-FR
%1$s、%2$s、%3$s、%4$sキーを押すと移動できます,"Bougez en appuyant sur %1$s, %2$s, %3$s et %4$s",fr-FR
%1$sキーでジャンプできます,Sautez en appuyant sur la touche %1$s,fr-FR
%1$sキーで所持品を確認できます,Utilisez %1$s pour ouvrir votre inventaire,fr-FR
%2$s paketten %1$s tanesi indirilemedi,Échec du téléchargement de %s pack(s) sur %s,fr-FR
%2$s個中%1$s個のパックのダウンロードに失敗しました,Échec du téléchargement de %s pack(s) sur %s,fr-FR
%s,Sauvegardé : %s,fr-FR
%s doğum noktası koruması altında,%s est sous la protection de la zone d'apparition,fr-FR
%s está bajo la protección de la zona de aparición,%s est sous la protection de la zone d'apparition,fr-FR
%s está sob a proteção da área inicial,%s est sous la protection de la zone d'apparition,fr-FR
%s ile zıplayın,Sautez avec %s,fr-FR
%s is under spawn protection,%s est sous la protection de la zone d'apparition,fr-FR
%s kaynaklı durum: ,État du %s : ,fr-FR
%s out of %s pack(s) failed to download,Échec du téléchargement de %s pack(s) sur %s,fr-FR
%s trên %s gói không thể tải về,Échec du téléchargement de %s pack(s) sur %s,fr-FR
%s tuşuna basılı tutun,Maintenez %s,fr-FR
%s tuşuna basın,Appuyez sur %s,fr-FR
%s unterliegt dem Schutz des Einstiegsbereichs,%s est sous la protection de la zone d'apparition,fr-FR
%s von %s Paket(en) konnte(n) nicht heruntergeladen werden,Échec du téléchargement de %s pack(s) sur %s,fr-FR
%s è sotto la protezione della zona iniziale,%s est sous la protection de la zone d'apparition,fr-FR
%s đang được bảo vệ điểm hồi sinh,%s est sous la protection de la zone d'apparition,fr-FR
%s под защитой точки возрождения мира,%s est sous la protection de la zone d'apparition,fr-FR
%s จาก %s แพ็กล้มเหลวในการดาวน์โหลด,Échec du téléchargement de %s pack(s) sur %s,fr-FR
%s อยู่ภายใต้การป้องกันจุดเกิด,%s est sous la protection de la zone d'apparition,fr-FR
%s 個資源包下載失敗，共 %s 個資源包,Échec du téléchargement de %s pack(s) sur %s,fr-FR
%s 的狀態：,État du %s : ,fr-FR
%s 處於重生點保護下,%s est sous la protection de la zone d'apparition,fr-FR
%s%%,%s %%,fr-FR
%s(으)로 열 수 있습니다,Appuyez sur %s,fr-FR
%s(으)로 점프할 수 있습니다,Sautez avec %s,fr-FR
"%s, %s, %s ve %s ile hareket edin","Bougez avec %s, %s, %s et %s",fr-FR
"%s, %s, %s, %s(으)로 움직이고","Bougez avec %s, %s, %s et %s",fr-FR
%s/%s,%s / %s,fr-FR
%s/%s kaynak paketi indiriliyor,Téléchargement du pack de ressources %s/%s,fr-FR
%s、%s、%s、%sで移動します,"Bougez avec %s, %s, %s et %s",fr-FR
%sからの状態：,État du %s : ,fr-FR
%sでジャンプします,Sautez avec %s,fr-FR
%sで開きます,Appuyez sur %s,fr-FR
%sはリスポーン地点の保護下にあります,%s est sous la protection de la zone d'apparition,fr-FR
%sを押します,Appuyez sur %s,fr-FR
%sを長押しします,Maintenez %s,fr-FR
%s处于重生点保护下,%s est sous la protection de la zone d'apparition,fr-FR
%s的状态：,État du %s : ,fr-FR
%s로 스크린샷을 저장했습니다,Capture d'écran enregistrée sous le nom de %s,fr-FR
%s은(는) 생성 영역으로 보호받고 있습니다,%s est sous la protection de la zone d'apparition,fr-FR
%s을(를) 누르고 있으세요,Maintenez %s,fr-FR
%s을(를) 누르세요,Appuyez sur %s,fr-FR
%s의 상태: ,État du %s : ,fr-FR
%s／%s,%s / %s,fr-FR
'%s' sonsuza kadar kaybolacak! (Uzun bir süre!),"""%s"" sera perdu pour toujours ! (Très longtemps !)",fr-FR
'%s' sẽ bị mất vĩnh viễn! (Một thời gian dài!),"""%s"" sera perdu pour toujours ! (Très longtemps !)",fr-FR
'%s' will be lost forever! (A long time!),"""%s"" sera perdu pour toujours ! (Très longtemps !)",fr-FR
'%s' จะหายไปตลอดกาล! (นานมาก!),"""%s"" sera perdu pour toujours ! (Très longtemps !)",fr-FR
'%s' 세계 최적화 중,"Optimisation du monde ""%s""",fr-FR
'%s'이(가) 영원히 사라지게 됩니다!,"""%s"" sera perdu pour toujours ! (Très longtemps !)",fr-FR
'어려움' 난이도로 고정된 서바이벌 모드입니다. 죽으면 리스폰할 수 없습니다.,"Identique au mode Survie, mais verrouillé sur la difficulté ""Difficile"". Vous ne pouvez pas réapparaître si vous mourez.",fr-FR
"/gamemode, /experience gibi komutlar",Des commandes telles que /gamemode ou /experience.,fr-FR
"/gamemode, /experience 같은 명령어들",Des commandes telles que /gamemode ou /experience.,fr-FR
/gamemode、/experience等のコマンド,Des commandes telles que /gamemode ou /experience.,fr-FR
2日目,Deuxième jour,fr-FR
2일째,Deuxième jour,fr-FR
3日目,Troisième jour,fr-FR
3일째,Troisième jour,fr-FR
4日目,Quatrième jour,fr-FR
4일째,Quatrième jour,fr-FR
5日目が終了しました。作品のスクリーンショットを%sキーで撮ることができます。,Les 5 jours de la démo sont écoulés. Utilisez %s pour prendre une capture d'écran de votre création.,fr-FR
?,???,fr-FR
A altura limite para construir é %s,La hauteur maximale de construction est de %s,fr-FR
A altura mínima para construir é %s,La hauteur minimale de construction est de %s,fr-FR
A demonstração acabou!,Démo terminée !,fr-FR
A demonstração terminou. Compre o jogo para continuar ou inicie um novo mundo!,La démo est terminée. Achetez le jeu pour continuer ou créez un nouveau monde !,fr-FR
A pasta do mundo contém links simbólicos,Le dossier du monde contient des liens symboliques,fr-FR
A pasta do mundo parece já conter alguns arquivos atualizados. O jogo não consegue atualizar corretamente o seu mundo.,Le dossier du monde semble déjà contenir des fichiers mis à niveau. Le jeu ne peut pas mettre votre monde à niveau correctement.,fr-FR
"A seconda delle dimensioni del mondo, potrebbe volerci un po' di tempo. Non chiudere il gioco e non spegnere il dispositivo.","Selon la taille de votre monde, cela peut prendre un certain temps. Veuillez ne pas fermer le jeu ni éteindre votre appareil.",fr-FR
Abenteuer,Aventure,fr-FR
Abra o inventário,Ouvrez votre inventaire,fr-FR
Abre tu inventario,Ouvrez votre inventaire,fr-FR
Abrir carpeta de copias,Ouvrir le dossier des sauvegardes,fr-FR
Abrir carpeta del mundo,Ouvrir le dossier du monde,fr-FR
Abrir pasta de cópias,Ouvrir le dossier des sauvegardes,fr-FR
Abrir pasta do mundo,Ouvrir le dossier du monde,fr-FR
Accesso non riuscito,Échec de l'accès au monde,fr-FR
Achtung! Diese Einstellungen verwenden experimentelle Spielelemente,Attention ! Ces réglages utilisent des fonctionnalités expérimentales,fr-FR
Achtung! Diese Einstellungen verwenden veraltete Spielelemente,Attention ! Ces réglages utilisent des fonctionnalités dépréciées,fr-FR
Achtung! Wenig freier Speicherplatz!,Attention ! Espace disque faible !,fr-FR
Acquista adesso!,Acheter maintenant !,fr-FR
Actualización del mundo cancelada,Mise à niveau du monde annulée,fr-FR
Actualización del mundo completada,Mise à niveau du monde terminée,fr-FR
Actualizado: %s,Mis à niveau : %s,fr-FR
Actualizando archivos del mundo,Mise à niveau des fichiers du monde,fr-FR
Actualizando estructuras heredadas,Mise à niveau des anciennes structures,fr-FR
Actualizando regiones,Mise à niveau des régions,fr-FR
Actualizar y jugar,Mettre à niveau et jouer,fr-FR
Added pack(s) contain(s) symbolic links,Ajout de pack(s) contenant des liens symboliques,fr-FR
Adventure,Aventure,fr-FR
Aggiorna e gioca,Mettre à niveau et jouer,fr-FR
Aggiornamento del mondo annullato,Mise à niveau du monde annulée,fr-FR
Aggiornamento del mondo completato,Mise à niveau du monde réussie,fr-FR
Aggiornamento del mondo non riuscito,Impossible de mettre à niveau le monde,fr-FR
Aggiornamento del mondo non riuscito,Échec de la mise à niveau du monde,fr-FR
Aggiornamento del salvataggio...,Mise à niveau des fichiers du monde,fr-FR
Aggiornamento delle regioni...,Mise à niveau des régions,fr-FR
Aggiornamento delle strutture...,Mise à niveau des anciennes structures,fr-FR
Aggiornamento di tutte le entità...,Mise à jour de toutes les entités...,fr-FR
Aggiornamento di tutti i chunk...,Mise à jour de tous les chunks...,fr-FR
Aggiornamento di tutti i punti d'interesse...,Mise à jour de tous les points d'intérêt...,fr-FR
Aggiornati: %s,Mis à niveau : %s,fr-FR
Aktualisierte Chunks: %s,Chunks mis à jour : %s,fr-FR
Alcune funzioni utilizzate sono deprecate e smetteranno di funzionare in futuro. Vuoi continuare?,Certaines fonctionnalités utilisées sont dépréciées et ne fonctionneront plus à l'avenir. Voulez-vous continuer ?,fr-FR
"Aldeas, naufragios, etc.","Villages, épaves, etc.",fr-FR
"Algo deu errado ao tentar carregar um mundo de uma versão mais recente. Isso foi muito arriscado, desculpe.","Une erreur s'est produite en essayant de charger un monde d'une version future. C'était une opération risquée au départ, désolé que ça n'ait pas marché.",fr-FR
Algo deu errado ao tentar recriar um mundo.,Une erreur s'est produite en essayant de recréer un monde.,fr-FR
Algunas características usadas son obsoletas y dejarán de funcionar en el futuro. ¿Quieres continuar?,Certaines fonctionnalités utilisées sont dépréciées et ne fonctionneront plus à l'avenir. Voulez-vous continuer ?,fr-FR
Alguns recursos usados são obsoletos e deixarão de funcionar futuramente. Deseja continuar?,Certaines fonctionnalités utilisées sont dépréciées et ne fonctionneront plus à l'avenir. Voulez-vous continuer ?,fr-FR
Alle Chunks werden aktualisiert …,Mise à jour de tous les chunks...,fr-FR
Alle Objekte werden aktualisiert …,Mise à jour de toutes les entités...,fr-FR
Alle Zielpunkte werden aktualisiert …,Mise à jour de tous les points d'intérêt...,fr-FR
Allow Cheats,Commandes,fr-FR
Allow Commands,Commandes,fr-FR
Alt - %s,Fond - %s,fr-FR
"Alternativ sind hier einige, die wir zuvor erstellt haben!","Sinon, en voici quelques-uns créés par nos soins !",fr-FR
"Alternatively, here are some we made earlier!","Sinon, en voici quelques-uns créés par nos soins !",fr-FR
Altezza,Hauteur,fr-FR
Altezza massima di costruzione: %s,La hauteur maximale de construction est de %s,fr-FR
Altezza minima di costruzione: %s,La hauteur minimale de construction est de %s,fr-FR
Altre opzioni del mondo...,Plus d'options...,fr-FR
Altro,Plus,fr-FR
Altura,Hauteur,fr-FR
AMPLIFICADO,Amplifié,fr-FR
AMPLIFICATO,Amplifié,fr-FR
AMPLIFIED,Amplifié,fr-FR
An error occurred!,Une erreur s'est produite !,fr-FR
Analisi del salvataggio...,Analyse des fichiers...,fr-FR
and loading it could cause problems!,récente et le charger pourrait causer des problèmes !,fr-FR
"Ande com %1$s, %2$s, %3$s, %4$s","Bougez en appuyant sur %1$s, %2$s, %3$s et %4$s",fr-FR
"Ande com %s, %s, %s e %s","Bougez avec %s, %s, %s et %s",fr-FR
Anforderungen der experimentellen Spielelemente,Exigences de fonctionnalités expérimentales,fr-FR
Angepasst (alt),Personnalisé (ancien),fr-FR
"Angepasste Welten werden in dieser Version von Minecraft nicht mehr unterstützt. Es wird versucht, die Welt erneut mit demselben Startwert und denselben Eigenschaften zu erzeugen, aber alle Landschaftsanpassungen gehen verloren. Wir entschuldigen uns für die Unannehmlichkeiten!","Les mondes personnalisés ne sont plus pris en charge dans cette version de Minecraft. Nous pouvons essayer de le recréer avec les mêmes propriétés et la même graine, mais toute personnalisation du terrain sera perdue. Nous sommes désolés pour le dérangement !",fr-FR
Angepasste Welten werden nicht mehr unterstützt,Les mondes personnalisés ne sont plus pris en charge,fr-FR
Anpassen,Personnaliser,fr-FR
antes de cargarlo en esta versión.,avant de le charger dans cette version.,fr-FR
antes de carregá-lo na Snapshot.,avant de le charger dans cette version.,fr-FR
Apagar,Supprimer,fr-FR
Apagar dados em cache,Effacer les données mises en cache,fr-FR
Apri l'inventario,Ouvrez votre inventaire,fr-FR
Apri la cartella dei backup,Ouvrir le dossier des sauvegardes,fr-FR
Apri la cartella del mondo,Ouvrir le dossier du monde,fr-FR
Ara...,Rechercher...,fr-FR
Are you sure you want to delete this world?,Voulez-vous vraiment supprimer ce monde ?,fr-FR
"Are you sure you want to lock the difficulty of this world? This will set this world to always be %1$s, and you will never be able to change that again.",Voulez-vous vraiment verrouiller la difficulté de ce monde actuellement %1$s ? Cette opération est définitive et irréversible.,fr-FR
Arquivo ausente,Fichier manquant,fr-FR
Atenção! Esses ajustes usam recursos experimentais,Attention ! Ces réglages utilisent des fonctionnalités expérimentales,fr-FR
Atenção! Esses ajustes usam recursos obsoletos,Attention ! Ces réglages utilisent des fonctionnalités dépréciées,fr-FR
Atenção! Pouco espaço no disco!,Attention ! Espace disque faible !,fr-FR
Atlanan yığınlar: %s,Chunks ignorés : %s,fr-FR
Atribuciones,Attributions,fr-FR
Atribuições,Attributions,fr-FR
Attempt to Recover,Tenter de récupérer,fr-FR
Attempt to Restore,Tenter de restaurer,fr-FR
Attempting to restore world...,Tentative de restauration du monde...,fr-FR
"Attenzione!
Questa configurazione richiede funzionalità che sono ancora in fase di sviluppo. Il tuo mondo potrebbe arrestarsi, corrompersi o smettere di funzionare nelle versioni future.","Attention !
Cette configuration requiert des fonctionnalités qui sont toujours en développement. Votre monde pourrait planter, se corrompre ou ne plus fonctionner avec les futures mises à jour.",fr-FR
Attenzione! Funzioni sperimentali,Avertissement sur les fonctionnalités expérimentales,fr-FR
Attenzione! Poco spazio sul disco rimasto!,Attention ! Espace disque faible !,fr-FR
Attenzione! Questi parametri utilizzano funzioni deprecate,Attention ! Ces réglages utilisent des fonctionnalités dépréciées,fr-FR
Attenzione! Questi parametri utilizzano funzioni sperimentali,Attention ! Ces réglages utilisent des fonctionnalités expérimentales,fr-FR
Attribution,Attributions,fr-FR
Attribuzioni,Attributions,fr-FR
Atualizados: %s,Mis à niveau : %s,fr-FR
Atualizando arquivos do mundo,Mise à niveau des fichiers du monde,fr-FR
Atualizando estruturas antigas,Mise à niveau des anciennes structures,fr-FR
Atualizando regiões,Mise à niveau des régions,fr-FR
Atualizando todas as entidades...,Mise à jour de toutes les entités...,fr-FR
Atualizando todos os chunks...,Mise à jour de tous les chunks...,fr-FR
Atualizando todos os pontos de interesse...,Mise à jour de tous les points d'intérêt...,fr-FR
Atualizar e jogar,Mettre à niveau et jouer,fr-FR
Atualização do mundo cancelada,Mise à niveau du monde annulée,fr-FR
Atualização do mundo concluída,Mise à niveau du monde terminée,fr-FR
Atualize esse mundo antes de jogar. É aconselhável criar uma cópia antes de continuar para evitar que o mundo seja corrompido.,"Ce monde doit être mis à niveau avant de pouvoir y jouer. Nous vous recommandons fortement de créer une sauvegarde avant de continuer, au cas où vous rencontreriez une corruption de votre monde.",fr-FR
Atıflar,Attributions,fr-FR
"Auf deinem Gerät ist nicht mehr viel freier Speicherplatz vorhanden.
Wenn der Speicherplatz während des Spiels aufgebraucht ist, kann dies dazu führen, dass deine Welt beschädigt wird.","Il ne reste plus beaucoup d'espace sur votre appareil.
Manquer d'espace disque durant la partie pourrait endommager votre monde.",fr-FR
"Auf den Ordner, in dem die Welten gespeichert sind, konnte nicht zugegriffen werden!",Impossible de lire ou d'accéder au dossier de sauvegardes !,fr-FR
Auf die Datei mit den Generierungseinstellungen konnte nicht zugegriffen werden! %s,Impossible de lire ou d'accéder au fichier des paramètres de génération du monde ! %s,fr-FR
Ausgewählte Welt spielen,Jouer dans ce monde,fr-FR
Avanzamento: %s (dimensioni totali sconosciute),Progression : %s (taille totale inconnue),fr-FR
Avanzamento: %s%%,Progression : %s %%,fr-FR
Aventura,Aventure,fr-FR
Aviso de características experimentales,Avertissement sur les fonctionnalités expérimentales,fr-FR
Aviso de recursos experimentais,Avertissement sur les fonctionnalités expérimentales,fr-FR
"Aviso: solo por diversión, requiere un buen ordenador","Remarque : juste pour le fun, nécessite un ordinateur costaud.",fr-FR
Aviso: só por diversão! Requer um ótimo computador.,"Remarque : juste pour le fun, nécessite un ordinateur costaud.",fr-FR
Avventura,Aventure,fr-FR
Avvio rapido non riuscito,Échec du lancement de la partie rapide,fr-FR
Ayarlar dosyasını seçin (.json),Sélectionner un fichier de réglages (.json),fr-FR
Ayarlar içe aktarılırken hata,Erreur lors de l'importation des réglages,fr-FR
Ayarları İçe Aktar,Importer des réglages,fr-FR
Aynı Hayatta Kalma Modu gibi ama blok eklenemez veya kaldırılamaz.,"Identique au mode Survie, mais les blocs ne peuvent pas être placés ou détruits.",fr-FR
Açmak için %s tuşuna basın,Appuyez sur %s,fr-FR
Ağacı yok edin,Détruisez l'arbre,fr-FR
Aşama: %s/%s,Étape : %s/%s,fr-FR
Backed up: %s,Sauvegardé : %s,fr-FR
Backup creato (%s MB),Taille : %s Mo,fr-FR
Backup failed,Échec de la sauvegarde,fr-FR
Backup non riuscito,Échec de la sauvegarde,fr-FR
Baixando pacote de recursos: %s/%s,Téléchargement du pack de ressources %s/%s,fr-FR
Bakabilirsin ama dokunamazsın,Vous pouvez regarder mais pas toucher,fr-FR
Bakabilirsin ama dokunamazsın.,"Vous pouvez regarder, mais pas toucher.",fr-FR
Baule omaggio,Coffre bonus,fr-FR
Bauwerke generieren,Structures,fr-FR
Baú bônus,Coffre bonus,fr-FR
Başarısız oldu! :(,Échec ! :(,fr-FR
be added or removed,être placés ou retirés,fr-FR
"Be careful!
This configuration requires features that are still under development. Your world might crash, break, or not work with future updates.","Attention !
Cette configuration requiert des fonctionnalités qui sont toujours en développement. Votre monde pourrait planter, se corrompre ou ne plus fonctionner avec les futures mises à jour.",fr-FR
Bearbeiten,Modifier,fr-FR
Befehle,Commandes,fr-FR
Befehle erlauben,Commandes,fr-FR
"Befehle wie /gamemode, /experience",Des commandes telles que /gamemode ou /experience.,fr-FR
before you load it in this snapshot.,avant de le charger dans cette version.,fr-FR
Beim Laden einer Welt aus einer neueren Version ist ein Fehler aufgetreten. Dies war von Anfang an ein riskantes Unterfangen; leider hat es nicht funktioniert.,"Une erreur s'est produite en essayant de charger un monde d'une version future. C'était une opération risquée au départ, désolé que ça n'ait pas marché.",fr-FR
"Beim Versuch, den Weltordner „%s“ einzulesen, sind die unten angegebenen Fehler aufgetreten.
Möglicherweise lässt sich die Welt aus einem älteren Zustand wiederherstellen, oder du kannst dieses Problem im Bugtracker melden.","Les problèmes suivants se sont produits en tentant de lire le dossier du monde ""%s"".
Essayez de restaurer le monde à partir d'un état antérieur ou signalez le bug sur le site dédié.",fr-FR
"Benutze %1$s, %2$s, %3$s, %4$s und die Maus, um dich zu bewegen","Utilisez les touches %1$s, %2$s, %3$s, %4$s et la souris pour vous déplacer",fr-FR
Benutzerdefiniert,Personnalisé,fr-FR
bevor du sie in dieser Version öffnest.,avant de le charger dans cette version.,fr-FR
"Bewege dich mit %1$s, %2$s, %3$s, %4$s","Bougez en appuyant sur %1$s, %2$s, %3$s et %4$s",fr-FR
Bewege die Maus,Déplacez votre souris,fr-FR
Beşinci gününüz geçti. Eserinizin ekran görüntüsünü almak için %s tuşunu kullanın.,Les 5 jours de la démo sont écoulés. Utilisez %s pour prendre une capture d'écran de votre création.,fr-FR
bilinmeyen,inconnu,fr-FR
bilinmeyen,inconnue,fr-FR
Bioma singolo,Biome unique,fr-FR
Bioma único,Biome unique,fr-FR
Biomas vastos,Biomes vastes,fr-FR
Biomi vasti,Biomes vastes,fr-FR
Bir ağaç bulun,Trouvez un arbre,fr-FR
Bir hata oluştu!,Une erreur s'est produite !,fr-FR
Bir Kese kullanın,Remplissez un sac,fr-FR
"Bir şeyler inşa ettiğiniz, topladığınız, ürettiğiniz ve canavarlara savaştığınız gizemli bir dünyayı keşfedin.","Explorez un monde mystérieux où vous pouvez construire, collecter, fabriquer et combattre des monstres.",fr-FR
"Bist du sicher, dass du die Schwierigkeit dieser Welt sperren möchtest? Dies wird die Welt für immer auf %1$s setzen und du wirst diese Einstellung nicht mehr ändern können.",Voulez-vous vraiment verrouiller la difficulté de ce monde actuellement %1$s ? Cette opération est définitive et irréversible.,fr-FR
"Bist du sicher, dass du diese Welt löschen möchtest?",Voulez-vous vraiment supprimer ce monde ?,fr-FR
Bitiriliyor...,Finalisation...,fr-FR
Bitte wähle ein Biom,Sélectionnez un biome,fr-FR
Blocco della difficoltà del mondo,Verrouillage de la difficulté du monde,fr-FR
blokları anında kırabilme,et de détruire les blocs en un clic,fr-FR
Bloquear dificuldade do mundo,Verrouillage de la difficulté du monde,fr-FR
Bloquear dificultad del mundo,Verrouillage de la difficulté du monde,fr-FR
Boden – %s,Fond - %s,fr-FR
Bodenloser Abgrund,Puits sans fond,fr-FR
Bonus Chest,Coffre bonus,fr-FR
Bonus Sandık,Coffre bonus,fr-FR
Bonustruhe,Coffre bonus,fr-FR
Borrar datos en caché,Effacer les données mises en cache,fr-FR
Bottom - %s,Fond - %s,fr-FR
Bottomless Pit,Puits sans fond,fr-FR
Boyut: %s MB,Taille : %s Mo,fr-FR
Boşluk,Le vide,fr-FR
Bu ayarlar deneyseldir ve bir gün çalışmayı bırakabilirler. Devam etmek istiyor musunuz?,Ces réglages sont expérimentaux et pourraient un jour ne plus fonctionner. Voulez-vous continuer ?,fr-FR
"Bu başka bir program yükseltme sırasında dünyaya erişmiş ise yaşanabilir.
Bilgisiyarınızı yeniden başlatıp tekrar denemek yardımcı olabilir. Sorun devam ederse, lütfen bir hata bildirimi yapmayı düşünün.","Cela peut se produire si un autre programme a accédé au monde pendant la mise à niveau.
Redémarrer votre ordinateur et réessayer pourrait aider. Si le problème persiste, pensez à signaler le bug.",fr-FR
Bu deneme 5 oyun günü (gerçek zamanda yaklaşık 1 saat 40 dakika) sürecek. İpuçları için gelişimleri kontrol edin! İyi eğlenceler!,Cette démo durera 5 jours dans le jeu (soit 1 h 40 en temps réel). Jetez un œil aux progrès pour vous aider ! Bon jeu !,fr-FR
Bu deneme sürümü beş oyun günü sürecek. Elinizden gelenin en iyisini yapın!,"Cette démo durera 5 jours de jeu, profitez-en !",fr-FR
Bu dünya açılamıyor çünkü uyumsuz bir sürümle yaratılmıştır.,Ce monde ne peut pas être ouvert car il a été créé dans une version incompatible.,fr-FR
"Bu dünya bu sürümde açılamaz.
En son %s sürümünde oynanmıştır.","Ce monde ne peut pas être ouvert dans cette version.
Il a été ouvert pour la dernière fois en version %s.",fr-FR
Bu dünya en son %s sürümünde oynanmış ama %s sürümündesiniz. Lütfen dünyanın bozulma olasılığına karşın dünyanızı yedekleyin.,"Ce monde a été ouvert pour la dernière fois en version %s, or vous êtes en version %s. Faites une sauvegarde au cas où vous rencontreriez une corruption de votre monde.",fr-FR
Bu dünya en son %s sürümünde oynanmış ve bu sürümde yüklenmesi bozulmasına sebep olabilir!,Ce monde a été ouvert pour la dernière fois en version %s et le charger dans la version actuelle pourrait entraîner sa corruption !,fr-FR
"Bu dünya en son %s versiyonunda oynandı; siz %s versiyonundasınız. Bir dünyanın sürümünü düşürmek dünya üzerinde bozulmalara neden olur - yüklenmesine veya çalışmasına garanti veremeyiz. Eğer hâlâ devam etmek istiyorsanız, dünyanın bir yedeğini alın!","Ce monde a été ouvert pour la dernière fois en version %s, or vous êtes en version %s. Rétrograder un monde vers une version antérieure pourrait entraîner sa corruption et nous ne pouvons pas garantir qu'il se chargera ou fonctionnera. Si vous voulez quand même continuer, faites une sauvegarde.",fr-FR
Bu dünya her an çalışmayı durdurabilecek deneysel ayarlar kullanıyor. Yükleneceğine veya çalışacağına dair garanti veremiyoruz. Gözünüz açık olsun!,Ce monde utilise des réglages expérimentaux qui peuvent ne plus fonctionner à tout moment. Nous ne pouvons pas garantir qu'il se chargera ou fonctionnera. À vos risques et périls !,fr-FR
Bu dünyanın oynamadan önce güncellenmesi gerekiyor. Lütfen dünyanın bozulma olasılığına karşın dünyanızı yedekleyin.,"Ce monde doit être mis à niveau avant de pouvoir y jouer. Nous vous recommandons fortement de créer une sauvegarde avant de continuer, au cas où vous rencontreriez une corruption de votre monde.",fr-FR
Bu dünyanın zorluğunu kilitlemek istediğinizden emin misiniz? Bu dünya her zaman %1$s olarak ayarlanacak ve bunu tekrar değiştiremeyeceksiniz.,Voulez-vous vraiment verrouiller la difficulté de ce monde actuellement %1$s ? Cette opération est définitive et irréversible.,fr-FR
Bu dünyayı bu test sürümünde yüklemeden önce,N'oubliez pas de faire une copie de ce monde,fr-FR
Bu dünyayı gerçekten yüklemek istiyor musunuz?,Voulez-vous vraiment charger ce monde ?,fr-FR
Bu dünyayı güvenli bir şekilde dönüştürmek için eski bir sürümde (1.6.4 gibi) açılması gerekiyor,Ce monde doit être ouvert dans une ancienne version (comme la 1.6.4) pour être converti en toute sécurité.,fr-FR
