source,target,tgt_lng
"""... Até que as Dívidas nos Separem""",「…죽음과 채무만은 피할 수 없지」,ko-KR
"""... Bilmezsin Gece Ne Kadar Karanlık...""",「…밤의 색을 어찌 알 수 있겠는가…」,ko-KR
"""... Herkes gurme olabilir.""",「…누구나 식신이 될 수 있어」,ko-KR
"""... Krallıklara Utancını Göster.""",「…네 치부를 왕국들이 보게 하리라」,ko-KR
"""... Lagarto, Spock""",「…도마뱀이랑 스팍도 추가해」,ko-KR
"""... Ne Yeni Dalgası?""",「…무슨 새로운 물결?」,ko-KR
"""... Não indica a qualidade do produto final""",「…최종 퀄리티가 아닙니다」,ko-KR
"""... Um dia de Inverno""",「…하루 추위」,ko-KR
"""... Çünkü O İntikamını Kesinlikle Alacaktır.""",「…그녀는 반드시 되갚아줄 것이다」,ko-KR
"""...A Single Night's Work""",「…하루 추위」,ko-KR
"""...Abandon All Hope, Ye Who Enter Here.""",「…모든 희망을 버릴지어다」,ko-KR
"""...Ai cũng là thực thần.""",「…누구나 식신이 될 수 있어」,ko-KR
"""...Anyone can be a gourmet.""",「…누구나 식신이 될 수 있어」,ko-KR
"""...Chỉ có cái chết và nợ nần là không thể trốn tránh""",「…죽음과 채무만은 피할 수 없지」,ko-KR
"""...Cô Ta Nhất Định Sẽ Thực Thi Báo Ứng.""",「…그녀는 반드시 되갚아줄 것이다」,ko-KR
"""...Cố hết sức mình.""",「진인사대천명」,ko-KR
"""...E ainda Sorrindo!""",「…웃으면 됐지」,ko-KR
"""...For I Am Duty Bound""",「…유대가 있기에」,ko-KR
"""...For She Shall Surely Requite.""",「…그녀는 반드시 되갚아줄 것이다」,ko-KR
"""...Giống Như Mùi Nhựa Đường.""",「…아스팔트 냄새가 나」,ko-KR
"""...Không phải phẩm chất cuối cùng""",「…최종 퀄리티가 아닙니다」,ko-KR
"""...Lei avrà la sua vendetta.""",「…그녀는 반드시 되갚아줄 것이다」,ko-KR
