source,target,tgt_lng
"""A Department of Voidmatters student at Startorch Academy. Always there to flash her 'gentle' smile to one and all.""",« Une élève du département des matières du néant de l'académie Brandétoile. Elle ne manque aucune occasion de faire profiter les autres de son sourire plein de douceur. »,fr-FR
"""Uma estudante do Departamento de Matérias do Vazio da Academia Tochestrela. Sempre presente para exibir seu sorriso 'gentil' para todos.""",« Une élève du département des matières du néant de l'académie Brandétoile. Elle ne manque aucune occasion de faire profiter les autres de son sourire plein de douceur. »,fr-FR
"""นักเรียนจากแผนกสุญตาวิทยาแห่งสถาบันสตาร์ทอร์ช เธอมักจะประดับรอยยิ้มที่ ""อ่อนโยน"" ให้ทุกคนเห็นเสมอ""",« Une élève du département des matières du néant de l'académie Brandétoile. Elle ne manque aucune occasion de faire profiter les autres de son sourire plein de douceur. »,fr-FR
0,"L'espèce sifflante Le Tacet Discord, qui voyage dans la Forêt de l'Eclaircie, se rassemble généralement en groupes et a été enregistrée comme ayant un tempérament violent, une tendance à voler des objets humains et un niveau de danger de Vague.",fr-FR
A Calamity Class Howler TD under the depths of the seas. Melodies produced by it were recorded and found to resemble whalesongs.,Un TD qui apparaît dans la mer. Il est dit qu'il hurle comme la Baleine. Niveau de danger : Marée.,fr-FR
A Common Class Howler TD active in water. It excels at disguising and sneaking attacks on nearby enemies.,Ce Tacet Discord qui se trouve souvent dans les régions près de l'eau est une espèce de Hurleur. Son camouflage lui permet d'attaquer de manière discrète. Niveau de danger : moyen.,fr-FR
A Common Class Howler TD living in obscured environments. Records show that it possesses an impressive counterattack ability.,"Le Tacet Discord de la race hurlante de la zone sombre. Selon les rapports, il a une forte capacité de riposte. Niveau de danger : faible.",fr-FR
A Common Class Howler TD native to the Port City of Guixu. Records show it resembles objects from the city's lost civilization.,Ce Tacet Discord qui apparaît fréquemment dans les ruines des villes est une espèce de Vacarmeur. Sa forme ressemble à quelque chose venu d'une civilisation disparue… Niveau de danger : faible.,fr-FR
A Common Class Howler TD often found floating in the wild. Its power is puny.,Ce Tacet Discord assez commun de Huanglong est une espèce de Hurleur. Sa forme ressemble à papillon. Niveau de danger : faible.,fr-FR
A Common Class Howler TD often sighted in mountainous areas. It usually follows and works in concert with Tacet Discords of larger sizes.,Ce Tacet Discord apparaît dans les zones montagneuses est une espèce de Hurleur. Fréquemment vu avec des Tacets Discords plus grands. Niveau de danger: faible.,fr-FR
"A Common Class Howler TD often sighted in shallow waters. Judging from the records of charging humans on its own initiative, it might have a rather irritable temper.",Ce Tacet Discord qui apparaît généralement près des marais est une espèce de Hurleur. On dit qu'il s'écrase violemment ses ennemis. Niveau de danger : faible.,fr-FR
A Common Class Howler TD that frequents the wild. It charges at incredible speeds.,Ce Tacet Discord commun qui apparaît dans les régions rurales est une espèce de Hurleur. Faites attention à son sprint rapide. Niveau de danger : faible.,fr-FR
A Common Class Howler TD widely distributed in the wild. Individuals often take actions in groups and follow the leader in charges.,Ce Tacet Discord commun qui apparaît dans les régions rurales en poursuivant le chef d'un groupe est une espèce de Hurleur. Niveau de danger : faible.,fr-FR
A Common Class Howler TD widely distributed in the wild. Individuals often take actions in groups and this particular TD is often found to lead the charges.,"Un type de TD de classe Hurleur, largement répandu dans la nature. Les TD agissent en groupe et cette espèce est souvent à la tête de la charge.",fr-FR
A Common Class Howler TD widely distributed in water areas. Its size is relatively small.,Ce Tacet Discord qui se trouve souvent dans les régions près de l'eau de petite taille est une espèce de Hurleur. Niveau de danger : moyen.,fr-FR
"A Common Class Howler TD. Despite its wings, it is entirely terrestrial and highly sensitive to the cold.",Un Tacet Discord terrestre d'Hurleur. Il a des ailes mais ne peut pas voler et il ne supporte pas le froid. Niveau de dangeer : Onde.,fr-FR
A Common Class Howler TD. It inhabits areas beneath the tundra and is skilled in digging extensive underground tunnels.,Le Tacet Discord de l'Hurleur qui se cache sous le sol gelé qui est capable de créer des tunnels complexes. Niveau de danger : Onde.,fr-FR
A Common Class Tranquilite TD distributed in damp areas. Usually sighted beside maturer individuals.,Ce Tacet Discord qui apparaît généralement dans les régions humides est une espèce de Tranquilite. Fréquemment vu à côté d'un Champirose plus grand. Niveau de danger : faible.,fr-FR
A Common Class Tranquilite TD inhabiting mountainous areas. Often overlooked due to its lava-like shape.,"Le Tacet Discord de type silencieux apparaît dans les régions montagneuses. Il ressemble à de la lave, donc les gens l'ignorent souvent. Niveau de danger : Faible.",fr-FR
A Common Class Tranquilite TD inhabiting mountainous areas. Often overlooked due to its rock-like appearance.,"Ce Tacet Discord qui s'habite dans les zones rocheuses est une espèce de Tranquilite. Souvent ignoré par les gens, car l'apparence de celui-ci ressemble à une roche en fusion. Niveau de danger : Faible.",fr-FR
A Common Class Tranquilite TD often found gathering in the wild. Its shape resembles a frost ore.,Ce Tacet Discord de petite taille assez commun qui apparaît dans les lieux ruraux est une espèce de Tranquilite. Sa forme ressemble à une roche glacée. Niveau de danger : Faible.,fr-FR
A Common Class Tranquilite TD often found gathering in the wild. Its shape resembles a golden stone.,Ce Tacet Discord de petite taille assez commun qui apparaît dans les lieux ruraux est une espèce de Tranquilite. Sa forme ressemble à une roche d'or. Niveau de danger : Faible.,fr-FR
A Common Class Tranquilite TD often found gathering in the wild. Its shape resembles a lava rock.,Ce Tacet Discord de petite taille assez commun qui apparaît dans les lieux ruraux est une espèce de Tranquilite. Sa forme ressemble à une roche en fusion. Niveau de danger : Faible.,fr-FR
A Common Class Tranquilite TD often found gathering in the wild. Its shape resembles a pitch-dark lode.,Ce Tacet Discord de petite taille assez commun qui apparaît dans les lieux ruraux est une espèce de Tranquilite. Sa forme ressemble à une roche noire. Niveau de danger : Faible.,fr-FR
