source,target,tgt_lng
阿拜多斯,อะบิดอส,th-TH
アビドス,อะบิดอส,th-TH
Abydos,อะบิดอส,th-TH
아비도스,อะบิดอส,th-TH
阿里乌斯,อาเรียส,th-TH
アリウス,อาเรียส,th-TH
奧利斯,อาเรียส,th-TH
Arius,อาเรียส,th-TH
아리우스,อาเรียส,th-TH
歌赫娜,เกเฮนน่า,th-TH
ゲヘナ,เกเฮนน่า,th-TH
格黑娜,เกเฮนน่า,th-TH
Gehenna,เกเฮนน่า,th-TH
게헨나,เกเฮนน่า,th-TH
百鬼夜行,เฮียกคิยาโค,th-TH
Hyakkiyako,เฮียกคิยาโค,th-TH
백귀야행,เฮียกคิยาโค,th-TH
千禧年,มิลเลเนียม,th-TH
ミレニアム,มิลเลเนียม,th-TH
千年,มิลเลเนียม,th-TH
Millennium,มิลเลเนียม,th-TH
밀레니엄,มิลเลเนียม,th-TH
红冬,เรดวินเทอร์,th-TH
レッドウィンター,เรดวินเทอร์,th-TH
赤冬,เรดวินเทอร์,th-TH
Red Winter,เรดวินเทอร์,th-TH
붉은겨울,เรดวินเทอร์,th-TH
山海经,ซานไห่จิง,th-TH
山海経,ซานไห่จิง,th-TH
山海經,ซานไห่จิง,th-TH
Shanhaijing,ซานไห่จิง,th-TH
산해경,ซานไห่จิง,th-TH
崔尼蒂,ทรีนิตี้,th-TH
トリニティ,ทรีนิตี้,th-TH
三一,ทรีนิตี้,th-TH
Trinity,ทรีนิตี้,th-TH
트리니티,ทรีนิตี้,th-TH
瓦尔基丽,วัลคิรี่,th-TH
ヴァルキューレ,วัลคิรี่,th-TH
女武神,วัลคิรี่,th-TH
Valkyrie,วัลคิรี่,th-TH
발키리,วัลคิรี่,th-TH
其他,อื่นๆ,th-TH
その他,อื่นๆ,th-TH
Etc.,อื่นๆ,th-TH
그 외,อื่นๆ,th-TH
常盤台中学,โทคิวะได,th-TH
常盤台中學,โทคิวะได,th-TH
Tokiwadai,โทคิวะได,th-TH
토키와다이 중학교,โทคิวะได,th-TH
柵川中学,ซากุงาวะ,th-TH
柵川中學,ซากุงาวะ,th-TH
Sakugawa,ซากุงาวะ,th-TH
사쿠가와 중학교,ซากุงาวะ,th-TH
Other,อื่นๆ,th-TH
阿拜多斯,โรงเรียนมัธยมอะบิดอส,th-TH
アビドス高等学校,โรงเรียนมัธยมอะบิดอส,th-TH
阿拜多斯高中,โรงเรียนมัธยมอะบิดอส,th-TH
Abydos High School,โรงเรียนมัธยมอะบิดอส,th-TH
아비도스 고등학교,โรงเรียนมัธยมอะบิดอส,th-TH
阿里乌斯,โรงเรียนสาขาอาเรียส,th-TH
アリウス分校,โรงเรียนสาขาอาเรียส,th-TH
奧利斯分校,โรงเรียนสาขาอาเรียส,th-TH
Arius Satellite School,โรงเรียนสาขาอาเรียส,th-TH
아리우스 분교,โรงเรียนสาขาอาเรียส,th-TH
歌赫娜,สถาบันเกเฮนน่า,th-TH
ゲヘナ学園,สถาบันเกเฮนน่า,th-TH
格黑娜學園,สถาบันเกเฮนน่า,th-TH
Gehenna Academy,สถาบันเกเฮนน่า,th-TH
게헨나 학원,สถาบันเกเฮนน่า,th-TH
百鬼夜行,สหพันธ์เฮียกคิยาโค,th-TH
百鬼夜行連合学院,สหพันธ์เฮียกคิยาโค,th-TH
百鬼夜行聯合學園,สหพันธ์เฮียกคิยาโค,th-TH
Allied Hyakkiyako Academy,สหพันธ์เฮียกคิยาโค,th-TH
백귀야행 연합학원,สหพันธ์เฮียกคิยาโค,th-TH
千禧年,โรงเรียนวิทย์มิลเลเนียม,th-TH
ミレニアムサイエンススクール,โรงเรียนวิทย์มิลเลเนียม,th-TH
千年科學學園,โรงเรียนวิทย์มิลเลเนียม,th-TH
Millennium Science School,โรงเรียนวิทย์มิลเลเนียม,th-TH
밀레니엄 사이언스 스쿨,โรงเรียนวิทย์มิลเลเนียม,th-TH
红冬,สถาบันสหพันธ์เรดวินเทอร์,th-TH
レッドウィンター連邦学園,สถาบันสหพันธ์เรดวินเทอร์,th-TH
赤冬聯邦學園,สถาบันสหพันธ์เรดวินเทอร์,th-TH
Red Winter Federal Academy,สถาบันสหพันธ์เรดวินเทอร์,th-TH
붉은겨울 연방학원,สถาบันสหพันธ์เรดวินเทอร์,th-TH
山海经,โรงเรียนมัธยมซานไห่จิง,th-TH
山海経高級中学校,โรงเรียนมัธยมซานไห่จิง,th-TH
山海經高級中學,โรงเรียนมัธยมซานไห่จิง,th-TH
Shanhaijing Academy,โรงเรียนมัธยมซานไห่จิง,th-TH
산해경 고급중학교,โรงเรียนมัธยมซานไห่จิง,th-TH
SRT,สถาบันพิเศษ SRT,th-TH
SRT特殊学園,สถาบันพิเศษ SRT,th-TH
SRT特殊學園,สถาบันพิเศษ SRT,th-TH
SRT Academy,สถาบันพิเศษ SRT,th-TH
SRT 특수학원,สถาบันพิเศษ SRT,th-TH
崔尼蒂,โรงเรียนสามัญทรีนิตี้,th-TH
トリニティ総合学園,โรงเรียนสามัญทรีนิตี้,th-TH
三一綜合學園,โรงเรียนสามัญทรีนิตี้,th-TH
Trinity General School,โรงเรียนสามัญทรีนิตี้,th-TH
트리니티 종합학원,โรงเรียนสามัญทรีนิตี้,th-TH
瓦尔基丽,สถาบันฝึกตำรวจวัลคิรี่,th-TH
ヴァルキューレ警察学校,สถาบันฝึกตำรวจวัลคิรี่,th-TH
女武神警察學園,สถาบันฝึกตำรวจวัลคิรี่,th-TH
Valkyrie Police School,สถาบันฝึกตำรวจวัลคิรี่,th-TH
발키리 경찰학교,สถาบันฝึกตำรวจวัลคิรี่,th-TH
常盤台中學,โรงเรียนมัธยมต้นโทคิวะได,th-TH
常盤台中学,โรงเรียนมัธยมต้นโทคิวะได,th-TH
Tokiwadai Middle School,โรงเรียนมัธยมต้นโทคิวะได,th-TH
토키와다이 중학교,โรงเรียนมัธยมต้นโทคิวะได,th-TH
柵川中學,โรงเรียนมัธยมต้นซากุงาวะ,th-TH
柵川中学,โรงเรียนมัธยมต้นซากุงาวะ,th-TH
Sakugawa Middle School,โรงเรียนมัธยมต้นซากุงาวะ,th-TH
사쿠가와 중학교,โรงเรียนมัธยมต้นซากุงาวะ,th-TH
