source,target,tgt_lng
Amrita Mayfly,甘露遊蜉,zh-TW
Aranara,蘭那羅,zh-TW
Asha,阿夏,zh-TW
Augury Birds,讖鳥,zh-TW
Azure Rock Crab,碧藍岩居蟹,zh-TW
Azure-Necked Longplume Ibis,青頸長翎䴉,zh-TW
Barnacle Bullet,藤壺子彈,zh-TW
Bullet Barnacle,子彈藤壺,zh-TW
Chestnut Goat: Berry Jam,慄慄羊·莓莓果醬,zh-TW
Chestnut Goat: Cool Mint,慄慄羊·冰冰薄荷,zh-TW
Crimson Rock Crab,赤紅岩居蟹,zh-TW
Crimson-Necked Longplume Ibis,丹頸長翎䴉,zh-TW
Crystalfly,晶蝶,zh-TW
Domovoy,矮靈,zh-TW
Electro Seelie,雷靈,zh-TW
Elemental Lifeform,元素生命,zh-TW
Farrwick,靈芯,zh-TW
Gator Raja,鱷魚大王,zh-TW
Geo Crystalfly,巖晶蝶,zh-TW
Ghostfish,冥魚,zh-TW
Great Snowboar King,大雪豬王,zh-TW
Jack Frost,霜精,zh-TW
Jinni,鎮靈,zh-TW
Khvarena,靈光,zh-TW
Khvarena Mayfly,靈光遊蜉,zh-TW
Kuuhenki,月靈,zh-TW
Lantern Fae,燈之妖精,zh-TW
Leshy,樹妖,zh-TW
Luminous Seelie,發光仙靈,zh-TW
Luonnotar,努昂諾塔,zh-TW
Mandragora,曼陀草,zh-TW
Melusine,美露莘,zh-TW
Monetoo,幻寫靈,zh-TW
Oceanid / Lochfolk,純水精靈,zh-TW
Pari,花靈,zh-TW
Quicksand Unagi,流沙鰻鰻,zh-TW
Residual Pari of the Forest,谷木的殘靈,zh-TW
Rishboland Raja,長鬢虎羅闍,zh-TW
Seelie,仙靈,zh-TW
Seelie Court,仙靈之庭,zh-TW
Signal Spirit,風之厄靈,zh-TW
Sirens,海妖,zh-TW
Slothsheep,獺懶羊,zh-TW
Snegovik,雪精,zh-TW
Sniffer Moles,嗅嗅鼹鼠,zh-TW
Sumpter Beast,馱獸,zh-TW
Sumpter Beastlord,馱獸大王,zh-TW
Tassel Jelly,花纓水母,zh-TW
Umbrellafinch,傘雀,zh-TW
Venerable Jadestone Turtle,玉璜古龜,zh-TW
Vila,風仙,zh-TW
Volkodlak,獸怪,zh-TW
Warming Seelie,溫暖仙靈,zh-TW
Wayob,大靈,zh-TW
Weasel Thief,盜寶鼬,zh-TW
countless motes of Khvarena,靈光百種,zh-TW
アシャ,阿夏,zh-TW
アランナラ,蘭那羅,zh-TW
カサガラ,傘雀,zh-TW
クンクンモグラ,嗅嗅鼹鼠,zh-TW
ゲーターキング,鱷魚大王,zh-TW
ジンニー,鎮靈,zh-TW
ネムリヒツジ,獺懶羊,zh-TW
ハルバード・サイチョウ,戟冠鳥,zh-TW
フジツボ弾丸,藤壺子彈,zh-TW
マンドラゴラ,曼陀草,zh-TW
メリュジーヌ,美露莘,zh-TW
ランプのフェイ,燈之妖精,zh-TW
リシュボラン虎のラージャ,長鬢虎羅闍,zh-TW
ルオンノタル,努昂諾塔,zh-TW
丹颈长翎鹮,丹頸長翎䴉,zh-TW
予見の鳥,讖鳥,zh-TW
仙灵,仙靈,zh-TW
仙灵之庭,仙靈之庭,zh-TW
仙霊,仙靈,zh-TW
仙霊の庭,仙靈之庭,zh-TW
伞雀,傘雀,zh-TW
光彩仙霊,發光仙靈,zh-TW
兰那罗,蘭那羅,zh-TW
兽怪,獸怪,zh-TW
冥鱼,冥魚,zh-TW
努昂诺塔,努昂諾塔,zh-TW
发光仙灵,發光仙靈,zh-TW
大灵,大靈,zh-TW
大雪猪王,大雪豬王,zh-TW
大霊,大靈,zh-TW
子弹藤壶,子彈藤壺,zh-TW
宝盗イタチ,盜寶鼬,zh-TW
宝盗イタチ・中堅,藏金盜寶鼬,zh-TW
宝盗イタチ・新米,新手盜寶鼬,zh-TW
宝盗イタチ・黄金,大黃金盜寶鼬,zh-TW
小さき者,矮靈,zh-TW
岩晶蝶,巖晶蝶,zh-TW
岩晶蝶,巖晶蝶,zh-TW
幻写灵,幻寫靈,zh-TW
幻写霊,幻寫靈,zh-TW
弾丸フジツボ,子彈藤壺,zh-TW
月灵,月靈,zh-TW
月霊,月靈,zh-TW
木の精,樹妖,zh-TW
树妖,樹妖,zh-TW
栗栗羊·冰冰薄荷,慄慄羊·冰冰薄荷,zh-TW
栗栗羊·莓莓果酱,慄慄羊·莓莓果醬,zh-TW
栗皮ヤギ・ヒンヤリミント,慄慄羊·冰冰薄荷,zh-TW
栗皮ヤギ・ベリージャム,慄慄羊·莓莓果醬,zh-TW
海の精,海妖,zh-TW
温暖仙灵,溫暖仙靈,zh-TW
温暖仙霊,溫暖仙靈,zh-TW
漂流ペンギン,浮流鳥,zh-TW
灯之妖精,燈之妖精,zh-TW
灵光,靈光,zh-TW
灵光游蜉,靈光遊蜉,zh-TW
灵光百种,靈光百種,zh-TW
灵芯,靈芯,zh-TW
獭懒羊,獺懶羊,zh-TW
玉璜古ガメ,玉璜古龜,zh-TW
玉璜古龟,玉璜古龜,zh-TW
甘露カゲロウ,甘露遊蜉,zh-TW
甘露游蜉,甘露遊蜉,zh-TW
異怪の獣,獸怪,zh-TW
盗宝鼬,盜寶鼬,zh-TW
瞑彩鳥,暝彩鳥,zh-TW
矮灵,矮靈,zh-TW
碧蓝岩居蟹,碧藍岩居蟹,zh-TW
花房クラゲ,花纓水母,zh-TW
花灵,花靈,zh-TW
花缨水母,花纓水母,zh-TW
花霊,花靈,zh-TW
藤壶子弹,藤壺子彈,zh-TW
谶鸟,讖鳥,zh-TW
谷木の残霊,谷木的殘靈,zh-TW
谷木的残灵,谷木的殘靈,zh-TW
赤岩ヤドカニ,赤紅岩居蟹,zh-TW
赤红岩居蟹,赤紅岩居蟹,zh-TW
赤首長羽トキ,丹頸長翎䴉,zh-TW
镇灵,鎮靈,zh-TW
长鬓虎罗阇,長鬢虎羅闍,zh-TW
雪のイノシシ王,大雪豬王,zh-TW
雪の精,雪精,zh-TW
雷灵,雷靈,zh-TW
