source,target,tgt_lng
Boutique de cartes débloquée,ปลดล็อกร้านขายการ์ด,th-TH
Card Shop unlocked,ปลดล็อกร้านขายการ์ด,th-TH
Co-Op Match unlocked,ปลดล็อกการดูเอลโหมดเล่นหลายคน,th-TH
Convites desbloqueados,ปลดล็อกการเชิญร่วมดูเอล,th-TH
Có thể ghép đấu tại Bảng Mời,สามารถจับคู่ดูเอลได้ที่กระดานคำเชิญ,th-TH
Davet etme açıldı.,ปลดล็อกการเชิญร่วมดูเอล,th-TH
Davet panosu ile eşleştirme açıldı.,สามารถจับคู่ดูเอลได้ที่กระดานคำเชิญ,th-TH
Desafios Semanais de Convidados desbloqueado,ปลดล็อกแขกที่มาท้าทายประจำสัปดาห์,th-TH
Disponibili nuovi avversari,เพิ่มการดูเอลที่ท้าทายได้,th-TH
Disponibili nuovi avversari a Inazuma,เพิ่มการดูเอลที่ท้าทายได้ใน Inazuma,th-TH
Disponibili nuovi avversari a Liyue,เพิ่มการดูเอลที่ท้าทายได้ใน Liyue,th-TH
Disponibili nuovi avversari a Mondstadt,เพิ่มการดูเอลที่ท้าทายได้ใน Mondstadt,th-TH
Disponibili nuovi avversari a Sumeru,เพิ่มการดูเอลที่ท้าทายได้ใน Sumeru,th-TH
Duelos contra jugadores a través del tablón de invitaciones desbloqueados,สามารถจับคู่ดูเอลได้ที่กระดานคำเชิญ,th-TH
Duelos de visitantes semanales desbloqueados,ปลดล็อกแขกที่มาท้าทายประจำสัปดาห์,th-TH
Duelos multijugador en un mismo mundo desbloqueados,ปลดล็อกการดูเอลโหมดเล่นหลายคน,th-TH
Duelos por invitación desbloqueados,ปลดล็อกการเชิญร่วมดูเอล,th-TH
Défis de convive hebdomadaires débloqués,ปลดล็อกแขกที่มาท้าทายประจำสัปดาห์,th-TH
Einladungsduell freigeschaltet,ปลดล็อกการเชิญร่วมดูเอล,th-TH
Eşli Düello açıldı.,ปลดล็อกการดูเอลโหมดเล่นหลายคน,th-TH
Guia do Jogador desbloqueado,ปลดล็อกคู่มือแนะนำผู้เล่น,th-TH
Guide de joueur débloqué,ปลดล็อกคู่มือแนะนำผู้เล่น,th-TH
Haftalık Misafir Mücadeleleri açıldı.,ปลดล็อกแขกที่มาท้าทายประจำสัปดาห์,th-TH
Inazuma mở thêm khiêu chiến mới,เพิ่มการดูเอลที่ท้าทายได้ใน Inazuma,th-TH
Inazuma'da mücadele edilebilecek yeni oyuncular mevcut.,เพิ่มการดูเอลที่ท้าทายได้ใน Inazuma,th-TH
Invitationals unlocked,ปลดล็อกการเชิญร่วมดูเอล,th-TH
Invitations de partie débloquées,ปลดล็อกการเชิญร่วมดูเอล,th-TH
Kart Dükkanı açıldı.,ปลดล็อกร้านขายการ์ด,th-TH
Kartenbeschwörerhandbuch freigeschaltet,ปลดล็อกคู่มือแนะนำผู้เล่น,th-TH
Kartenhändler freigeschaltet,ปลดล็อกร้านขายการ์ด,th-TH
Liyue mở thêm khiêu chiến mới,เพิ่มการดูเอลที่ท้าทายได้ใน Liyue,th-TH
Liyue'de mücadele edilebilecek yeni oyuncular mevcut.,เพิ่มการดูเอลที่ท้าทายได้ใน Liyue,th-TH
Loja de Carta desbloqueada,ปลดล็อกร้านขายการ์ด,th-TH
Manual de jugador desbloqueado,ปลดล็อกคู่มือแนะนำผู้เล่น,th-TH
Manuale del giocatore sbloccato,ปลดล็อกคู่มือแนะนำผู้เล่น,th-TH
Matchmaking tramite la bacheca degli inviti sbloccato,สามารถจับคู่ดูเอลได้ที่กระดานคำเชิญ,th-TH
Matchmaking via the invitation board unlocked,สามารถจับคู่ดูเอลได้ที่กระดานคำเชิญ,th-TH
Mehrspielermodus via Duell-Einladungstafel möglich,สามารถจับคู่ดูเอลได้ที่กระดานคำเชิญ,th-TH
Mondstadt mở thêm khiêu chiến mới,เพิ่มการดูเอลที่ท้าทายได้ใน Mondstadt,th-TH
Mondstadt'ta mücadele edilebilecek yeni oyuncular mevcut.,เพิ่มการดูเอลที่ท้าทายได้ใน Mondstadt,th-TH
Mücadele edilebilecek yeni oyuncular mevcut.,เพิ่มการดูเอลที่ท้าทายได้,th-TH
Mở Khiêu Chiến Quán Rượu mới,ปลดล็อกการดูเอลในร้านเหล้าใหม่,th-TH
Mở khóa Cửa Hàng Thẻ Bài,ปลดล็อกร้านขายการ์ด,th-TH
Mở khóa Khiêu Chiến Khách Mỗi Tuần,ปลดล็อกแขกที่มาท้าทายประจำสัปดาห์,th-TH
Mở khóa Mời Quyết Đấu,ปลดล็อกการเชิญร่วมดูเอล,th-TH
Mở khóa Quyết Đấu Co-Op cùng thế giới,ปลดล็อกการดูเอลโหมดเล่นหลายคน,th-TH
Mở khóa Sổ Tay Bài Thủ,ปลดล็อกคู่มือแนะนำผู้เล่น,th-TH
Mở khóa ô bài mới,ปลดล็อกช่องบันทึกเด็คใหม่,th-TH
Mở thêm khiêu chiến mới,เพิ่มการดูเอลที่ท้าทายได้,th-TH
Negozio di carte sbloccato,ปลดล็อกร้านขายการ์ด,th-TH
Neue Duell-Herausforderung(en) in Inazuma verfügbar,เพิ่มการดูเอลที่ท้าทายได้ใน Inazuma,th-TH
Neue Duell-Herausforderung(en) in Liyue verfügbar,เพิ่มการดูเอลที่ท้าทายได้ใน Liyue,th-TH
Neue Duell-Herausforderung(en) in Mondstadt verfügbar,เพิ่มการดูเอลที่ท้าทายได้ใน Mondstadt,th-TH
Neue Duell-Herausforderung(en) in Sumeru verfügbar,เพิ่มการดูเอลที่ท้าทายได้ใน Sumeru,th-TH
Neue Duell-Herausforderung(en) verfügbar,เพิ่มการดูเอลที่ท้าทายได้,th-TH
Neue Tavernen-Herausforderung(en) freigeschaltet,ปลดล็อกการดูเอลในร้านเหล้าใหม่,th-TH
New Tavern Challenge(s) unlocked,ปลดล็อกการดูเอลในร้านเหล้าใหม่,th-TH
New available player(s) to challenge,เพิ่มการดูเอลที่ท้าทายได้,th-TH
New available player(s) to challenge in Inazuma,เพิ่มการดูเอลที่ท้าทายได้ใน Inazuma,th-TH
New available player(s) to challenge in Liyue,เพิ่มการดูเอลที่ท้าทายได้ใน Liyue,th-TH
New available player(s) to challenge in Mondstadt,เพิ่มการดูเอลที่ท้าทายได้ใน Mondstadt,th-TH
New available player(s) to challenge in Sumeru,เพิ่มการดูเอลที่ท้าทายได้ใน Sumeru,th-TH
New deck-saving slot(s) unlocked,ปลดล็อกช่องบันทึกเด็คใหม่,th-TH
Nouveaux joueurs à défier,เพิ่มการดูเอลที่ท้าทายได้,th-TH
Nouveaux joueurs à défier à Inazuma,เพิ่มการดูเอลที่ท้าทายได้ใน Inazuma,th-TH
Nouveaux joueurs à défier à Liyue,เพิ่มการดูเอลที่ท้าทายได้ใน Liyue,th-TH
Nouveaux joueurs à défier à Mondstadt,เพิ่มการดูเอลที่ท้าทายได้ใน Mondstadt,th-TH
Nouveaux joueurs à défier à Sumeru,เพิ่มการดูเอลที่ท้าทายได้ใน Sumeru,th-TH
Nouvel emplacement d'enregistrement de deck débloqué,ปลดล็อกช่องบันทึกเด็คใหม่,th-TH
Nouvelles parties de défi de taverne débloquées,ปลดล็อกการดูเอลในร้านเหล้าใหม่,th-TH
Novo espaço para guardar decks desbloqueado,ปลดล็อกช่องบันทึกเด็คใหม่,th-TH
Novos Desafios da Taverna desbloqueado,ปลดล็อกการดูเอลในร้านเหล้าใหม่,th-TH
Novos jogadores disponíveis para desafiar,เพิ่มการดูเอลที่ท้าทายได้,th-TH
Novos jogadores disponíveis para desafiar em Inazuma,เพิ่มการดูเอลที่ท้าทายได้ใน Inazuma,th-TH
Novos jogadores disponíveis para desafiar em Liyue,เพิ่มการดูเอลที่ท้าทายได้ใน Liyue,th-TH
Novos jogadores disponíveis para desafiar em Mondstadt,เพิ่มการดูเอลที่ท้าทายได้ใน Mondstadt,th-TH
Novos jogadores disponíveis para desafiar em Sumeru,เพิ่มการดูเอลที่ท้าทายได้ใน Sumeru,th-TH
Nuevos duelos disponibles,เพิ่มการดูเอลที่ท้าทายได้,th-TH
Nuevos duelos disponibles en Inazuma,เพิ่มการดูเอลที่ท้าทายได้ใน Inazuma,th-TH
Nuevos duelos disponibles en Liyue,เพิ่มการดูเอลที่ท้าทายได้ใน Liyue,th-TH
Nuevos duelos disponibles en Mondstadt,เพิ่มการดูเอลที่ท้าทายได้ใน Mondstadt,th-TH
Nuevos duelos disponibles en Sumeru,เพิ่มการดูเอลที่ท้าทายได้ใน Sumeru,th-TH
Nuevos duelos tabernarios desbloqueados,ปลดล็อกการดูเอลในร้านเหล้าใหม่,th-TH
Nuevos espacios para guardar mazos desbloqueados,ปลดล็อกช่องบันทึกเด็คใหม่,th-TH
Nuove sfide della taverna sbloccate,ปลดล็อกการดูเอลในร้านเหล้าใหม่,th-TH
Nuovi slot di salvataggio mazzi sbloccati,ปลดล็อกช่องบันทึกเด็คใหม่,th-TH
Oyuncu Rehberi açıldı.,ปลดล็อกคู่มือแนะนำผู้เล่น,th-TH
Partida Multijogador desbloqueada,ปลดล็อกการดูเอลโหมดเล่นหลายคน,th-TH
Parties en matchmaking via le tableau d'invitations débloquées,สามารถจับคู่ดูเอลได้ที่กระดานคำเชิญ,th-TH
Parties en multijoueur dans un même monde débloquées,ปลดล็อกการดูเอลโหมดเล่นหลายคน,th-TH
Partite multigiocatore sbloccate,ปลดล็อกการดูเอลโหมดเล่นหลายคน,th-TH
Partite su invito sbloccate,ปลดล็อกการเชิญร่วมดูเอล,th-TH
Platz für neues Deck freigeschaltet,ปลดล็อกช่องบันทึกเด็คใหม่,th-TH
Player Manual unlocked,ปลดล็อกคู่มือแนะนำผู้เล่น,th-TH
Procura de jogos através do Mural de Convites desbloqueado,สามารถจับคู่ดูเอลได้ที่กระดานคำเชิญ,th-TH
PvP-Duell in derselben offenen Welt freigeschaltet,ปลดล็อกการดูเอลโหมดเล่นหลายคน,th-TH
Sfide ospite settimanali sbloccate,ปลดล็อกแขกที่มาท้าทายประจำสัปดาห์,th-TH
Sumeru mở thêm khiêu chiến mới,เพิ่มการดูเอลที่ท้าทายได้ใน Sumeru,th-TH
Sumeru'da mücadele edilebilecek yeni oyuncular mevcut.,เพิ่มการดูเอลที่ท้าทายได้ใน Sumeru,th-TH
Tienda de cartas desbloqueada,ปลดล็อกร้านขายการ์ด,th-TH
Weekly Guest Challenges unlocked,ปลดล็อกแขกที่มาท้าทายประจำสัปดาห์,th-TH
Wöchentliche Gastherausforderung freigeschaltet,ปลดล็อกแขกที่มาท้าทายประจำสัปดาห์,th-TH
Yeni Han Mücadeleleri açıldı.,ปลดล็อกการดูเอลในร้านเหล้าใหม่,th-TH
Yeni deste depolama yuvaları açıldı.,ปลดล็อกช่องบันทึกเด็คใหม่,th-TH
«Руководство для игроков» открыто,ปลดล็อกคู่มือแนะนำผู้เล่น,th-TH
Дуэли-встречи открыты,ปลดล็อกการเชิญร่วมดูเอล,th-TH
Еженедельные гостевые испытания открыты,ปลดล็อกแขกที่มาท้าทายประจำสัปดาห์,th-TH
Карточный магазин открыт,ปลดล็อกร้านขายการ์ด,th-TH
Новые испытания,เพิ่มการดูเอลที่ท้าทายได้,th-TH
Новые испытания в Инадзуме,เพิ่มการดูเอลที่ท้าทายได้ใน Inazuma,th-TH
Новые испытания в Ли Юэ,เพิ่มการดูเอลที่ท้าทายได้ใน Liyue,th-TH
Новые испытания в Мондштадте,เพิ่มการดูเอลที่ท้าทายได้ใน Mondstadt,th-TH
Новые испытания в Сумеру,เพิ่มการดูเอลที่ท้าทายได้ใน Sumeru,th-TH
Новые испытания в таверне,ปลดล็อกการดูเอลในร้านเหล้าใหม่,th-TH
Новые ячейки для колоды,ปลดล็อกช่องบันทึกเด็คใหม่,th-TH
Совместные дуэли открыты,ปลดล็อกการดูเอลโหมดเล่นหลายคน,th-TH
Теперь на доске приглашений можно подбирать дуэли,สามารถจับคู่ดูเอลได้ที่กระดานคำเชิญ,th-TH
ウィークリーゲスト挑戦を開放,ปลดล็อกแขกที่มาท้าทายประจำสัปดาห์,th-TH
カードショップを開放,ปลดล็อกร้านขายการ์ด,th-TH
スメールに挑戦可能な対戦を新しく追加,เพิ่มการดูเอลที่ท้าทายได้ใน Sumeru,th-TH
プレイヤーハンドブックを開放,ปลดล็อกคู่มือแนะนำผู้เล่น,th-TH
モンドに挑戦可能な対戦を新しく追加,เพิ่มการดูเอลที่ท้าทายได้ใน Mondstadt,th-TH
卡牌商店解鎖,ปลดล็อกร้านขายการ์ด,th-TH
卡牌商店解锁,ปลดล็อกร้านขายการ์ด,th-TH
可以在邀請板進行配對牌局,สามารถจับคู่ดูเอลได้ที่กระดานคำเชิญ,th-TH
可以在邀请板进行匹配牌局,สามารถจับคู่ดูเอลได้ที่กระดานคำเชิญ,th-TH
同じ世界にいる人とのマルチ対戦を開放,ปลดล็อกการดูเอลโหมดเล่นหลายคน,th-TH
同一世界多人連線對局解鎖,ปลดล็อกการดูเอลโหมดเล่นหลายคน,th-TH
同一世界联机对局解锁,ปลดล็อกการดูเอลโหมดเล่นหลายคน,th-TH
招待ボードでマッチングゲームが可能,สามารถจับคู่ดูเอลได้ที่กระดานคำเชิญ,th-TH
招待対戦を開放,ปลดล็อกการเชิญร่วมดูเอล,th-TH
挑戦可能な対戦を新しく追加,เพิ่มการดูเอลที่ท้าทายได้,th-TH
新しいデッキの保存スロットを開放,ปลดล็อกช่องบันทึกเด็คใหม่,th-TH
新しい酒場挑戦の対戦を開放,ปลดล็อกการดูเอลในร้านเหล้าใหม่,th-TH
新增可挑战的对局,เพิ่มการดูเอลที่ท้าทายได้,th-TH
新增可挑戰的對局,เพิ่มการดูเอลที่ท้าทายได้,th-TH
每周来客挑战解锁,ปลดล็อกแขกที่มาท้าทายประจำสัปดาห์,th-TH
每週來客挑戰解鎖,ปลดล็อกแขกที่มาท้าทายประจำสัปดาห์,th-TH
牌手手冊解鎖,ปลดล็อกคู่มือแนะนำผู้เล่น,th-TH
牌手手册解锁,ปลดล็อกคู่มือแนะนำผู้เล่น,th-TH
璃月に挑戦可能な対戦を新しく追加,เพิ่มการดูเอลที่ท้าทายได้ใน Liyue,th-TH
璃月新增可挑战的对局,เพิ่มการดูเอลที่ท้าทายได้ใน Liyue,th-TH
璃月新增可挑戰的對局,เพิ่มการดูเอลที่ท้าทายได้ใน Liyue,th-TH
稲妻に挑戦可能な対戦を新しく追加,เพิ่มการดูเอลที่ท้าทายได้ใน Inazuma,th-TH
稻妻新增可挑战的对局,เพิ่มการดูเอลที่ท้าทายได้ใน Inazuma,th-TH
稻妻新增可挑戰的對局,เพิ่มการดูเอลที่ท้าทายได้ใน Inazuma,th-TH
蒙德新增可挑战的对局,เพิ่มการดูเอลที่ท้าทายได้ใน Mondstadt,th-TH
蒙德新增可挑戰的對局,เพิ่มการดูเอลที่ท้าทายได้ใน Mondstadt,th-TH
解鎖新的牌組儲存欄位,ปลดล็อกช่องบันทึกเด็คใหม่,th-TH
解鎖新的酒館挑戰對局,ปลดล็อกการดูเอลในร้านเหล้าใหม่,th-TH
解锁新的牌组储存栏位,ปลดล็อกช่องบันทึกเด็คใหม่,th-TH
解锁新的酒馆挑战对局,ปลดล็อกการดูเอลในร้านเหล้าใหม่,th-TH
邀約對局解鎖,ปลดล็อกการเชิญร่วมดูเอล,th-TH
邀约对局解锁,ปลดล็อกการเชิญร่วมดูเอล,th-TH
須彌新增可挑戰的對局,เพิ่มการดูเอลที่ท้าทายได้ใน Sumeru,th-TH
须弥新增可挑战的对局,เพิ่มการดูเอลที่ท้าทายได้ใน Sumeru,th-TH
같은 월드에 있는 플레이어와 다인 모드 대전 해금,ปลดล็อกการดูเอลโหมดเล่นหลายคน,th-TH
도전 가능한 대전 추가,เพิ่มการดูเอลที่ท้าทายได้,th-TH
리월에 도전 가능한 대전 추가,เพิ่มการดูเอลที่ท้าทายได้ใน Liyue,th-TH
몬드에 도전 가능한 대전 추가,เพิ่มการดูเอลที่ท้าทายได้ใน Mondstadt,th-TH
수메르에 도전 가능한 대전 추가,เพิ่มการดูเอลที่ท้าทายได้ใน Sumeru,th-TH
신규 술집 대전 해금,ปลดล็อกการดูเอลในร้านเหล้าใหม่,th-TH
신규 카드 덱 저장 슬롯 해금,ปลดล็อกช่องบันทึกเด็คใหม่,th-TH
이나즈마에 도전 가능한 대전 추가,เพิ่มการดูเอลที่ท้าทายได้ใน Inazuma,th-TH
주간 손님 도전 해금,ปลดล็อกแขกที่มาท้าทายประจำสัปดาห์,th-TH
초대 게시판에서 매칭 대전 가능,สามารถจับคู่ดูเอลได้ที่กระดานคำเชิญ,th-TH
초청 대전 해금,ปลดล็อกการเชิญร่วมดูเอล,th-TH
카드 상점 해금,ปลดล็อกร้านขายการ์ด,th-TH
플레이어 핸드북 해금,ปลดล็อกคู่มือแนะนำผู้เล่น,th-TH
