source,target,tgt_lng
Abgrundbote – Frostfall,Apostolo dell'Abisso: Cascata algida,it-IT
Abgrundbote – Reißender Strom,Apostolo dell'Abisso: Torrenti maligni,it-IT
Abgrundimitator,Mimiflora tenebrosa,it-IT
Abgrundsänger – Abgrundflammen,Cantore dell'Abisso: Fiamme imperscrutabili,it-IT
Abgrundsänger – Lila Blitze,Cantore dell'Abisso: Fulmine viola,it-IT
Ablutionneuse des Érémites,Eremita Acquachiara del deserto,it-IT
Abutre Vermelho da Ossada Sagrada,Avvoltoio rosso consacrato,it-IT
Abyss Herald - Wicked Torrents,Apostolo dell'Abisso: Torrenti maligni,it-IT
Abyss Herald: Frost Fall,Apostolo dell'Abisso: Cascata algida,it-IT
Abyss Herald: Wicked Torrents,Apostolo dell'Abisso: Torrenti maligni,it-IT
Abyss Lector - Fathomless Flames,Cantore dell'Abisso: Fiamme imperscrutabili,it-IT
Abyss Lector - Violet Lightning,Cantore dell'Abisso: Fulmine viola,it-IT
Abyss Lector: Fathomless Flames,Cantore dell'Abisso: Fiamme imperscrutabili,it-IT
Abyss Lector: Violet Lightning,Cantore dell'Abisso: Fulmine viola,it-IT
Aeonblight Drake,Drago cataclismatico,it-IT
Aerofidio Sacróseo,Serpente volante consacrato,it-IT
Ahşap Kalkanlı Dağ Azmanı,Mitachurl con scudo di legno,it-IT
Ahşap Kalkanlı Dağ Yabanisi Muhafızı,Guardia Hilichurl con scudo di legno,it-IT
Ajedrez Guardapuertas,La partita dinanzi alla porta,it-IT
Akış Kılıcı: Avcı Asker,Schermagliatrice della Lama fluente,it-IT
Akış Kılıcı: Yağlı Testere,Segantino della Lama fluente,it-IT
Akış Kılıcı: Zıpkın Atan,Arpioniere della Lama fluente,it-IT
Akışkan Lav Avatarı,Incarnazione della lava fluida,it-IT
Alabardera Alada,Cavaliere alato con alabarda,it-IT
Alem Muhafızı,Custode del Dominio,it-IT
Alev Baltalı Dağ Azmanı,Mitachurl con ascia di fuoco,it-IT
Algorithm of Semi-Intransient Matrix of Overseer Network,Algoritmo della Matrice semi-perenne della rete di sorveglianza,it-IT
Algorithme de semi-intransition matriciaire d'observation en néo-réseau,Algoritmo della Matrice semi-perenne della rete di sorveglianza,it-IT
Algorithmus der semi-inkonstanten Matrix des Observierer-Netzwerks,Algoritmo della Matrice semi-perenne della rete di sorveglianza,it-IT
Algoritmo de Semi-Incesante Matriz de Observación Navegadora,Algoritmo della Matrice semi-perenne della rete di sorveglianza,it-IT
All-Devouring Narwhal,Narvalo Divoramondi,it-IT
Alte Geo-Drachenechse,Geosauro primordiale,it-IT
Altın Alevli Gukuzor Tiran,Tiranno Qucusauro Fiammadoro,it-IT
Anciano Vigorarbóreo,Lesij anziano robusto,it-IT
Ancião Áspero Arbóreo,Lesij anziano robusto,it-IT
Anemo Hilichurl Rogue,Hilichurl reietto di Anemo,it-IT
Anemo Hypostasis,Ipostasi di Anemo,it-IT
Anemo Samachurl,Sciamachurl di Anemo,it-IT
Anemo Slime,Melmoso di Anemo,it-IT
Anemo Specter,Spettro di Anemo,it-IT
Anemo-Gespenst,Spettro di Anemo,it-IT
Anemo-Hypostase,Ipostasi di Anemo,it-IT
Anemo-Samachurl,Sciamachurl di Anemo,it-IT
Anemo-Schleim,Melmoso di Anemo,it-IT
Angelic Sea Hare,Lepre marina angelica,it-IT
