source,target,tgt_lng
Bí Cảnh Chúc Phúc: Biến Tấu I,축성 비경: 변주 I,ko-KR
Bí Cảnh Chúc Phúc: Biến Tấu II,축성 비경: 변주 II,ko-KR
Bí Cảnh Chúc Phúc: Biến Tấu III,축성 비경: 변주 III,ko-KR
Bí Cảnh Chúc Phúc: Biến Tấu IV,축성 비경: 변주 IV,ko-KR
Bí Cảnh Chúc Phúc: Băng Giá Tử Thần I,축성 비경: 죽음을 알리는 서리 I,ko-KR
Bí Cảnh Chúc Phúc: Băng Giá Tử Thần II,축성 비경: 죽음을 알리는 서리 II,ko-KR
Bí Cảnh Chúc Phúc: Băng Giá Tử Thần III,축성 비경: 죽음을 알리는 서리 III,ko-KR
Bí Cảnh Chúc Phúc: Băng Giá Tử Thần IV,축성 비경: 죽음을 알리는 서리 IV,ko-KR
Bí Cảnh Chúc Phúc: Băng Thực I,축성 비경: 빙식 I,ko-KR
Bí Cảnh Chúc Phúc: Băng Thực II,축성 비경: 빙식 II,ko-KR
Bí Cảnh Chúc Phúc: Băng Thực III,축성 비경: 빙식 III,ko-KR
Bí Cảnh Chúc Phúc: Băng Thực IV,축성 비경: 빙식 IV,ko-KR
Bí Cảnh Chúc Phúc: Bất Di I,축성 비경: 부동 I,ko-KR
Bí Cảnh Chúc Phúc: Bất Di II,축성 비경: 부동 II,ko-KR
Bí Cảnh Chúc Phúc: Bất Di III,축성 비경: 부동 III,ko-KR
Bí Cảnh Chúc Phúc: Bất Di IV,축성 비경: 부동 IV,ko-KR
Bí Cảnh Chúc Phúc: Cơ Sào I,축성 비경: 유적 장치 소굴 I,ko-KR
Bí Cảnh Chúc Phúc: Cơ Sào II,축성 비경: 유적 장치 소굴 II,ko-KR
Bí Cảnh Chúc Phúc: Cơ Sào III,축성 비경: 유적 장치 소굴 III,ko-KR
Bí Cảnh Chúc Phúc: Cơ Sào IV,축성 비경: 유적 장치 소굴 IV,ko-KR
Bí Cảnh Chúc Phúc: Cấu Trúc Lửa Bỏng I,축성 비경: 불의 구조물 I,ko-KR
Bí Cảnh Chúc Phúc: Cấu Trúc Lửa Bỏng II,축성 비경: 불의 구조물 II,ko-KR
Bí Cảnh Chúc Phúc: Cấu Trúc Lửa Bỏng III,축성 비경: 불의 구조물 III,ko-KR
Bí Cảnh Chúc Phúc: Cấu Trúc Lửa Bỏng IV,축성 비경: 불의 구조물 IV,ko-KR
Bí Cảnh Chúc Phúc: Hoa Diên I,축성 비경: 꽃밭 I,ko-KR
Bí Cảnh Chúc Phúc: Hoa Diên II,축성 비경: 꽃밭 II,ko-KR
Bí Cảnh Chúc Phúc: Hoa Diên III,축성 비경: 꽃밭 III,ko-KR
Bí Cảnh Chúc Phúc: Hoa Diên IV,축성 비경: 꽃밭 IV,ko-KR
Bí Cảnh Chúc Phúc: Hài Cốt I,축성 비경: 유해의 관 I,ko-KR
Bí Cảnh Chúc Phúc: Hài Cốt II,축성 비경: 유해의 관 II,ko-KR
Bí Cảnh Chúc Phúc: Hài Cốt III,축성 비경: 유해의 관 III,ko-KR
Bí Cảnh Chúc Phúc: Hài Cốt IV,축성 비경: 유해의 관 IV,ko-KR
Bí Cảnh Chúc Phúc: Hội Nghị Đổ Nát I,축성 비경: 부식된 집회소 I,ko-KR
Bí Cảnh Chúc Phúc: Hội Nghị Đổ Nát II,축성 비경: 부식된 집회소 II,ko-KR
Bí Cảnh Chúc Phúc: Hội Nghị Đổ Nát III,축성 비경: 부식된 집회소 III,ko-KR
Bí Cảnh Chúc Phúc: Hội Nghị Đổ Nát IV,축성 비경: 부식된 집회소 IV,ko-KR
Bí Cảnh Chúc Phúc: Kho Thánh I,축성 비경: 신성한 보관소 I,ko-KR
Bí Cảnh Chúc Phúc: Kho Thánh II,축성 비경: 신성한 보관소 II,ko-KR
Bí Cảnh Chúc Phúc: Kho Thánh III,축성 비경: 신성한 보관소 III,ko-KR
