source,target,tgt_lng
アビドス高等学校,阿拜多斯高中,zh-TW
Abydos High School,阿拜多斯高中,zh-TW
아비도스 고등학교,阿拜多斯高中,zh-TW
โรงเรียนมัธยมอะบิดอส,阿拜多斯高中,zh-TW
赤冬事务局,赤冬事務局,zh-TW
レッドウィンター事務局,赤冬事務局,zh-TW
Red Winter Office,赤冬事務局,zh-TW
붉은겨울 사무국,赤冬事務局,zh-TW
สำนักเลขาธิการเรดวินเทอร์,赤冬事務局,zh-TW
赤冬联邦学园,赤冬聯邦學園,zh-TW
レッドウィンター連邦学園,赤冬聯邦學園,zh-TW
Red Winter Federal Academy,赤冬聯邦學園,zh-TW
붉은겨울 연방학원,赤冬聯邦學園,zh-TW
สถาบันสหพันธ์เรดวินเทอร์,赤冬聯邦學園,zh-TW
玄武商会,玄武商會,zh-TW
Black Tortoise Promenade,玄武商會,zh-TW
현무상회,玄武商會,zh-TW
ย่านการค้าเทพเต่าดำ,玄武商會,zh-TW
白鲸市场,白鯨市場,zh-TW
白イルカ市場,白鯨市場,zh-TW
Beluga Market,白鯨市場,zh-TW
흰돌고래 시장,白鯨市場,zh-TW
ตลาดโลมาขาว,白鯨市場,zh-TW
山海经高级中学,山海經高級中學,zh-TW
山海経高級中学校,山海經高級中學,zh-TW
Shanhaijing Academy,山海經高級中學,zh-TW
산해경 고급중학교,山海經高級中學,zh-TW
โรงเรียนมัธยมซานไห่จิง,山海經高級中學,zh-TW
【失乐园度假村】群岛,「失樂園渡假勝地」群島,zh-TW
「ロスト・パラダイス・リゾート」群島,「失樂園渡假勝地」群島,zh-TW
Lost Paradise Resort Archipelago,「失樂園渡假勝地」群島,zh-TW
<로스트 파라다이스 리조트> 군도,「失樂園渡假勝地」群島,zh-TW
หมู่เกาะ <ลอสต์ พาราไดซ์ รีสอร์ต>,「失樂園渡假勝地」群島,zh-TW
【阿特拉哈西斯方舟】,「阿特拉哈西斯的方舟」,zh-TW
「アトラ・ハシースの箱舟」,「阿特拉哈西斯的方舟」,zh-TW
The Ark of Atrahasis,「阿特拉哈西斯的方舟」,zh-TW
<아트라하시스의 방주>,「阿特拉哈西斯的方舟」,zh-TW
<เรืออะทราฮาซิส>,「阿特拉哈西斯的方舟」,zh-TW
