source,target,tgt_lng
Fontaine,枫丹,zh-CN
Inazuma,稻妻,zh-CN
Liyue,璃月,zh-CN
Mondstadt,蒙德,zh-CN
Natlan,纳塔,zh-CN
Nod Krai,挪德卡莱,zh-CN
Nod-Krai,挪德卡莱,zh-CN
Sumeru,须弥,zh-CN
Инадзума,稻妻,zh-CN
Ли Юэ,璃月,zh-CN
Мондштадт,蒙德,zh-CN
Натлан,纳塔,zh-CN
Нод-Край,挪德卡莱,zh-CN
Сумеру,须弥,zh-CN
Фонтейн,枫丹,zh-CN
スメール,须弥,zh-CN
ナタ,纳塔,zh-CN
ナド・クライ,挪德卡莱,zh-CN
フォンテーヌ,枫丹,zh-CN
モンド,蒙德,zh-CN
挪德卡萊,挪德卡莱,zh-CN
楓丹,枫丹,zh-CN
稲妻,稻妻,zh-CN
納塔,纳塔,zh-CN
須彌,须弥,zh-CN
나타,纳塔,zh-CN
노드크라이,挪德卡莱,zh-CN
리월,璃月,zh-CN
몬드,蒙德,zh-CN
수메르,须弥,zh-CN
이나즈마,稻妻,zh-CN
폰타인,枫丹,zh-CN
