source,target,tgt_lng
Bí Cảnh Chúc Phúc: Biến Tấu I,祝圣秘境：变奏 I,zh-CN
Bí Cảnh Chúc Phúc: Biến Tấu II,祝圣秘境：变奏 II,zh-CN
Bí Cảnh Chúc Phúc: Biến Tấu III,祝圣秘境：变奏 III,zh-CN
Bí Cảnh Chúc Phúc: Biến Tấu IV,祝圣秘境：变奏 IV,zh-CN
Bí Cảnh Chúc Phúc: Băng Giá Tử Thần I,祝圣秘境：告死之霜 I,zh-CN
Bí Cảnh Chúc Phúc: Băng Giá Tử Thần II,祝圣秘境：告死之霜 II,zh-CN
Bí Cảnh Chúc Phúc: Băng Giá Tử Thần III,祝圣秘境：告死之霜 III,zh-CN
Bí Cảnh Chúc Phúc: Băng Giá Tử Thần IV,祝圣秘境：告死之霜 IV,zh-CN
Bí Cảnh Chúc Phúc: Băng Thực I,祝圣秘境：冰蚀 I,zh-CN
Bí Cảnh Chúc Phúc: Băng Thực II,祝圣秘境：冰蚀 II,zh-CN
Bí Cảnh Chúc Phúc: Băng Thực III,祝圣秘境：冰蚀 III,zh-CN
Bí Cảnh Chúc Phúc: Băng Thực IV,祝圣秘境：冰蚀 IV,zh-CN
Bí Cảnh Chúc Phúc: Bất Di I,祝圣秘境：不移 I,zh-CN
Bí Cảnh Chúc Phúc: Bất Di II,祝圣秘境：不移 II,zh-CN
Bí Cảnh Chúc Phúc: Bất Di III,祝圣秘境：不移 III,zh-CN
Bí Cảnh Chúc Phúc: Bất Di IV,祝圣秘境：不移 IV,zh-CN
Bí Cảnh Chúc Phúc: Cơ Sào I,祝圣秘境：机巢 I,zh-CN
Bí Cảnh Chúc Phúc: Cơ Sào II,祝圣秘境：机巢 II,zh-CN
Bí Cảnh Chúc Phúc: Cơ Sào III,祝圣秘境：机巢 III,zh-CN
Bí Cảnh Chúc Phúc: Cơ Sào IV,祝圣秘境：机巢 IV,zh-CN
Bí Cảnh Chúc Phúc: Cấu Trúc Lửa Bỏng I,祝圣秘境：深火的构筑 I,zh-CN
Bí Cảnh Chúc Phúc: Cấu Trúc Lửa Bỏng II,祝圣秘境：深火的构筑 II,zh-CN
Bí Cảnh Chúc Phúc: Cấu Trúc Lửa Bỏng III,祝圣秘境：深火的构筑 III,zh-CN
Bí Cảnh Chúc Phúc: Cấu Trúc Lửa Bỏng IV,祝圣秘境：深火的构筑 IV,zh-CN
Bí Cảnh Chúc Phúc: Hoa Diên I,祝圣秘境：花筵 I,zh-CN
Bí Cảnh Chúc Phúc: Hoa Diên II,祝圣秘境：花筵 II,zh-CN
Bí Cảnh Chúc Phúc: Hoa Diên III,祝圣秘境：花筵 III,zh-CN
Bí Cảnh Chúc Phúc: Hoa Diên IV,祝圣秘境：花筵 IV,zh-CN
Bí Cảnh Chúc Phúc: Hài Cốt I,祝圣秘境：骸馆 I,zh-CN
Bí Cảnh Chúc Phúc: Hài Cốt II,祝圣秘境：骸馆 II,zh-CN
Bí Cảnh Chúc Phúc: Hài Cốt III,祝圣秘境：骸馆 III,zh-CN
Bí Cảnh Chúc Phúc: Hài Cốt IV,祝圣秘境：骸馆 IV,zh-CN
Bí Cảnh Chúc Phúc: Hội Nghị Đổ Nát I,祝圣秘境：朽废的集所 I,zh-CN
Bí Cảnh Chúc Phúc: Hội Nghị Đổ Nát II,祝圣秘境：朽废的集所 II,zh-CN
Bí Cảnh Chúc Phúc: Hội Nghị Đổ Nát III,祝圣秘境：朽废的集所 III,zh-CN
Bí Cảnh Chúc Phúc: Hội Nghị Đổ Nát IV,祝圣秘境：朽废的集所 IV,zh-CN
Bí Cảnh Chúc Phúc: Kho Thánh I,祝圣秘境：圣库 I,zh-CN
Bí Cảnh Chúc Phúc: Kho Thánh II,祝圣秘境：圣库 II,zh-CN
Bí Cảnh Chúc Phúc: Kho Thánh III,祝圣秘境：圣库 III,zh-CN
Bí Cảnh Chúc Phúc: Kho Thánh IV,祝圣秘境：圣库 IV,zh-CN
