source,target,tgt_lng
Aaron Cherof — Precipice,Aaron Cherof - Precipice,es-ES
Aaron Cherof — Relic,Aaron Cherof - Relic,es-ES
Amos Roddy – Tears,Amos Roddy - Tears,es-ES
Amos Roddy — Tears,Amos Roddy - Tears,es-ES
C418 — 11,C418 - 11,es-ES
C418 — 13,C418 - 13,es-ES
C418 — blocks,C418 - blocks,es-ES
C418 — cat,C418 - cat,es-ES
C418 — chirp,C418 - chirp,es-ES
C418 — far,C418 - far,es-ES
C418 — mall,C418 - mall,es-ES
C418 — mellohi,C418 - mellohi,es-ES
C418 — stal,C418 - stal,es-ES
C418 — strad,C418 - strad,es-ES
C418 — wait,C418 - wait,es-ES
C418 — ward,C418 - ward,es-ES
fingerspit — Bounce,fingerspit - Bounce,es-ES
Hyper Potions — Lava Chicken,Hyper Potions - Lava Chicken,es-ES
Lena Raine - Creator (boîte à musique),Lena Raine - Creator (caja de música),es-ES
Lena Raine - Creator (Hộp nhạc),Lena Raine - Creator (caja de música),es-ES
Lena Raine - Creator (Music Box),Lena Raine - Creator (caja de música),es-ES
Lena Raine - Creator (Müzik Kutusu),Lena Raine - Creator (caja de música),es-ES
Lena Raine - Creator (Spieluhr),Lena Raine - Creator (caja de música),es-ES
Lena Raine - Creator (กล่องดนตรี),Lena Raine - Creator (caja de música),es-ES
Lena Raine - Creator (오르골),Lena Raine - Creator (caja de música),es-ES
Lena Raine - Creator（オルゴール）,Lena Raine - Creator (caja de música),es-ES
Lena Raine - Creator（八音盒）,Lena Raine - Creator (caja de música),es-ES
Lena Raine - Creator（音樂盒）,Lena Raine - Creator (caja de música),es-ES
Lena Raine — Creator,Lena Raine - Creator,es-ES
Lena Raine — Creator (Caixa Musical),Lena Raine - Creator (caja de música),es-ES
Lena Raine — Creator (carillon),Lena Raine - Creator (caja de música),es-ES
Lena Raine — otherside,Lena Raine - otherside,es-ES
Lena Raine — Pigstep,Lena Raine - Pigstep,es-ES
Samuel Åberg — 5,Samuel Åberg - 5,es-ES
Аарон Шероф — Precipice,Aaron Cherof - Precipice,es-ES
Аарон Шероф — Relic,Aaron Cherof - Relic,es-ES
Лена Рейн — Creator,Lena Raine - Creator,es-ES
Лена Рейн — Creator (Музыкальная шкатулка),Lena Raine - Creator (caja de música),es-ES
Лена Рейн — otherside,Lena Raine - otherside,es-ES
Лена Рейн — Pigstep,Lena Raine - Pigstep,es-ES
Самуель Оберг — 5,Samuel Åberg - 5,es-ES
Эймос Родди — Tears,Amos Roddy - Tears,es-ES
