source,target,tgt_lng
'Big Brawn' Musbeast Supplier,“力大如驮”鼷兽补给员,zh-CN
'Brassrust' Olmer Ingra,“锈铜”奥尔默·英格拉,zh-CN
'Charger' Ironhead Forward,“一往无前”铁头前锋,zh-CN
'Crossroads' Production Model,“十字路口”量产型,zh-CN
'Crossroads' Prototype,“十字路口”试做型,zh-CN
'Faircare' Sandbeast Supplier,“雨露均沾”沙地兽补给员,zh-CN
'Flying Boots' Elite Mercenary,“飞鞋党”精锐佣兵,zh-CN
'Flying Boots' Mercenary,“飞鞋党”佣兵,zh-CN
'Goggles' Gang Thief,“护目镜”帮派窃贼,zh-CN
'Goggles' Gang Thug,“护目镜”帮派打手,zh-CN
'Judgment' Radiance Scorer,“裁决者”眩光记录员,zh-CN
'Left-hand' Tytus Topola,“左手”泰特斯·白杨,zh-CN
'Millscar' Elite Mercenary,“铣痕”团伙精锐佣兵,zh-CN
'Millscar' Mercenary,“铣痕”团伙佣兵,zh-CN
'Neighborhood Watch' Leader,“街区自治队”队长,zh-CN
'Neighborhood Watch' Member,“街区自治队”成员,zh-CN
'Offender' Production Model,“肇事者”量产型,zh-CN
'Offender' Prototype,“肇事者”试做型,zh-CN
'Pearl of the Waves' Wavebringer,“水上明珠”引浪兽,zh-CN
'Plastic' Szewczyk,“塑料”瑟奇亚克,zh-CN
'Pothelm' Arbalest,“锅盖头”劲弩射手,zh-CN
'Pothelm' Marksman,“锅盖头”射手,zh-CN
'Rampage' Hammer Supplier,“横冲直撞”重锤补给员,zh-CN
'Redmark' Elite Eradicator,“红标”精英根除者,zh-CN
'Redmark' Elite Infiltrator,“红标”精英渗透者,zh-CN
'Redmark' Eradicator,“红标”根除者,zh-CN
'Redmark' Infiltrator,“红标”渗透者,zh-CN
'Soda POP!' Supply Wagon,“天车散花”赛场补给车,zh-CN
'Super Pincer' Salty Gym-goer,“超级钳”盐水健身客,zh-CN
'The Amphibian' Ship-Car,“两栖号”船车,zh-CN
"'The Last Kheshig', Tola",“最后的怯薛”，拓拉,zh-CN
'Timidthy' Burdenbeast Supplier,“胆小如鼷”驮兽补给员,zh-CN
'Traffic Tower' Production Model,“交通亭”量产型,zh-CN
'Traffic Tower' Prototype,“交通亭”试做型,zh-CN
'True Shot' Long-Armed Pitcher,“精准制导”长臂投手,zh-CN
'Weathervane' Seawind Manipulator,“风向标”潮风操控者,zh-CN
'Weightlifting Champ' Marine Strongman,“举重王”深水大力士,zh-CN
'고글'파 도둑,“护目镜”帮派窃贼,zh-CN
'고글'파 싸움꾼,“护目镜”帮派打手,zh-CN
'괴력'의 무스비스트 보급원,“力大如驮”鼷兽补给员,zh-CN
'교차로' 양산형,“十字路口”量产型,zh-CN
'교차로' 프로토타입,“十字路口”试做型,zh-CN
'교통 부스' 양산형,“交通亭”量产型,zh-CN
'교통 부스' 프로토타입,“交通亭”试做型,zh-CN
'녹슨 구리의 기사' 올머 잉그라,“锈铜”奥尔默·英格拉,zh-CN
