id,term,src_table
School.Abydos,อะบิดอส,localization.json:School
School.Arius,อาเรียส,localization.json:School
School.Gehenna,เกเฮนน่า,localization.json:School
School.Hyakkiyako,เฮียกคิยาโค,localization.json:School
School.Millennium,มิลเลเนียม,localization.json:School
School.RedWinter,เรดวินเทอร์,localization.json:School
School.Shanhaijing,ซานไห่จิง,localization.json:School
School.SRT,SRT,localization.json:School
School.Trinity,ทรีนิตี้,localization.json:School
School.Valkyrie,วัลคิรี่,localization.json:School
School.ETC,อื่นๆ,localization.json:School
School.Tokiwadai,โทคิวะได,localization.json:School
School.Sakugawa,ซากุงาวะ,localization.json:School
School.Other,อื่นๆ,localization.json:School
SchoolLong.Abydos,โรงเรียนมัธยมอะบิดอส,localization.json:SchoolLong
SchoolLong.Arius,โรงเรียนสาขาอาเรียส,localization.json:SchoolLong
SchoolLong.Gehenna,สถาบันเกเฮนน่า,localization.json:SchoolLong
SchoolLong.Hyakkiyako,สหพันธ์เฮียกคิยาโค,localization.json:SchoolLong
SchoolLong.Millennium,โรงเรียนวิทย์มิลเลเนียม,localization.json:SchoolLong
SchoolLong.RedWinter,สถาบันสหพันธ์เรดวินเทอร์,localization.json:SchoolLong
SchoolLong.Shanhaijing,โรงเรียนมัธยมซานไห่จิง,localization.json:SchoolLong
SchoolLong.SRT,สถาบันพิเศษ SRT,localization.json:SchoolLong
SchoolLong.Trinity,โรงเรียนสามัญทรีนิตี้,localization.json:SchoolLong
SchoolLong.Valkyrie,สถาบันฝึกตำรวจวัลคิรี่,localization.json:SchoolLong
SchoolLong.Tokiwadai,โรงเรียนมัธยมต้นโทคิวะได,localization.json:SchoolLong
SchoolLong.Sakugawa,โรงเรียนมัธยมต้นซากุงาวะ,localization.json:SchoolLong
