source,target,tgt_lng
 Sol Command,左 Command,zh-TW
! (TN),數字鍵 !,zh-TW
! (цифр. кл.),數字鍵 !,zh-TW
! pavé num.,數字鍵 !,zh-TW
! Tn,數字鍵 !,zh-TW
"""%s"" chỉ bao gồm dữ liệu bắt buộc.
""%s"" bao gồm cả dữ liệu bắt buộc và dữ liệu không bắt buộc.","「%s」只包含必要資料。
「%s」包含可選資料和必要資料。",zh-TW
"""%s"" includes only the required data.
""%s"" includes optional, as well as the required data.","「%s」只包含必要資料。
「%s」包含可選資料和必要資料。",zh-TW
"""%s"" inclui apenas os dados necessários.
""%s"" inclui os dados necessários e opcionais.","「%s」只包含必要資料。
「%s」包含可選資料和必要資料。",zh-TW
"""%s"" n'inclut que les données requises.
""%s"" inclut les données facultatives et requises.","「%s」只包含必要資料。
「%s」包含可選資料和必要資料。",zh-TW
"""%s"" ประกอบด้วยข้อมูลที่จำเป็นเท่านั้น
""%s"" ประกอบด้วยข้อมูลที่ไม่จำเป็นและจำเป็น","「%s」只包含必要資料。
「%s」包含可選資料和必要資料。",zh-TW
"""%s""은(는) 필수 데이터만 포함합니다.
""%s""은(는) 필수 데이터뿐만 아니라 선택적 데이터도 포함합니다.","「%s」只包含必要資料。
「%s」包含可選資料和必要資料。",zh-TW
"""Kalite & Performans"" ayarlarını istenilen kaliteye göre makul varsayılanlara ayarlar.",依據所需畫質，將「畫質與效能」設定成相應的合理預設值。,zh-TW
"""품질 및 성능"" 설정이 원하는 품질에 알맞는 기본 설정값들로 설정됩니다.",依據所需畫質，將「畫質與效能」設定成相應的合理預設值。,zh-TW
# (TN),數字鍵 #,zh-TW
# (цифр. кл.),數字鍵 #,zh-TW
# pavé num.,數字鍵 #,zh-TW
# Tn,數字鍵 #,zh-TW
% (цифр. кл.),數字鍵 %,zh-TW
%% (TN),數字鍵 %,zh-TW
%% pavé num.,數字鍵 %,zh-TW
%% Tn,數字鍵 %,zh-TW
%1$s번 버튼,滑鼠鍵 %1$s,zh-TW
%2$s öneriden %1$s. seçildi: %3$s,已從 %2$s 項建議中選擇了第 %1$s 項：%3$s,zh-TW
%2$s öneriden %1$s. seçildi: %3$s (%4$s),已從 %2$s 項建議中選擇了第 %1$s 項：%3$s (%4$s),zh-TW
%2$s個のうち%1$s番目のスクリーン要素,%2$s 個畫面元素中的第 %1$s 個,zh-TW
%2$s個のうち%1$s番目の候補%3$s、%4$sが選択されました,已從 %2$s 項建議中選擇了第 %1$s 項：%3$s (%4$s),zh-TW
%2$s個のうち%1$s番目の候補%3$sが選択されました,已從 %2$s 項建議中選擇了第 %1$s 項：%3$s,zh-TW
%2$s個のうち%1$s番目の行の要素が選択されました,已選擇 %2$s 個列元素中的第 %1$s 個,zh-TW
%2$s個のタブのうち%1$s番目を選択しました,已選擇第 %s 個頁籤，共 %s 個,zh-TW
