source,target,tgt_lng
"""""Hah! Loucura Muscular Poderosa!",嗚呼、マッスルボディ！,ja-JP
"""A Brisa da Sonúmia""",「集域から吹いてくるそよ風」,ja-JP
"""A Vigia Eterna""",「果てしない見守り」,ja-JP
"""A chama nunca se apaga. Ela perdura porque as pessoas se entregam a ela.""",火が消えないのではなく、誰かが常に薪になっているだけ。,ja-JP
"""All-Seeing Eye""",「全知の目」,ja-JP
"""All-Seeing Eye""",「全知の眼」,ja-JP
"""Ampola""",「アンプル」,ja-JP
"""Ampoule""",「アンプル」,ja-JP
"""Ampulheta Pequena""",「小型砂時計」,ja-JP
"""Anel-sinete""",「印鑑リング」,ja-JP
"""Angel Statue""",「神の使いの像」,ja-JP
"""Aqui é um lugar de oração. A violência é estritamente proibida nestas terras.""",清浄なる祈りの場において、何人の私闘も許さない。,ja-JP
"""As Almas Além do Buraco Negro""",「ブラックホールに捕らえられない魂」,ja-JP
"""As long as I don't have it on me, my editor will never find me...""",これを持っていなければ、編集は、きっと私を見つけられません……,ja-JP
"""As long as someone is profiting from these attacks, we can't rule out the possibility.""",事件の裏で利益を得ようとしている者がいる限り、その可能性を排除することはできないわ。,ja-JP
"""Bagas Secas""",「ドライベリー」,ja-JP
"""Balmy Resin""",「香る樹脂」,ja-JP
"""Banner of Balance""",「均衡の旗」,ja-JP
"""Banner of Eye""",「覗きの旗」,ja-JP
"""Batida Perfeita""",「完璧なビート」,ja-JP
"""Baú Enferrujado""",「錆びた箱」,ja-JP
"""Bebida Comprimida""",「圧縮ドリンク」,ja-JP
"""Bebida Gelada""",「冷たいドリンク」,ja-JP
"""Bebida Verde-escura""",「深緑のドリンク」,ja-JP
"""Being human is hard enough, but being a happy human? Even harder...""",人間ってのは本当に複雑だ。本当に難しい。楽しく生きるってことは、もっと難しい……,ja-JP
"""Berço da Eternidade""",「とわに続く揺り籠」,ja-JP
"""Bicicleta Movida a Pernas""",「手漕ぎバイク」,ja-JP
"""Bilhete de Entrada""",「入場券」,ja-JP
"""Bilhete-presente""",「招待券」,ja-JP
"""Biruta de Peixe""",「魚のぼり」,ja-JP
"""Biscoito Esmagado""",「砕けたビスケット」,ja-JP
"""Biscuit Stick""",「スティックビスケット」,ja-JP
"""Bitter Juice""",「ビタージュース」,ja-JP
"""Black Tea""",「紅茶」,ja-JP
"""Blue Candy""",「青のキャンディ」,ja-JP
"""Blue Inhalant""",「青の吸入薬」,ja-JP
"""Blue Insect""",「青い飛虫」,ja-JP
"""Blue Mineral""",「青の鉱石」,ja-JP
"""Blue Pendant""",「青いペンダント」,ja-JP
"""Blue Potion""",「青の薬剤」,ja-JP
"""Blue Surprise""",「青のサプライズ」,ja-JP
"""Bobina de Empuxo""",「推力コイル」,ja-JP
"""Boia de Natação""",「浮き輪」,ja-JP
"""Bolo Rosa""",「ピンクのお菓子」,ja-JP
"""Bone Flute""",「骨笛」,ja-JP
"""Bottle Water""",「ラムネ瓶」,ja-JP
"""Bound Chess""",「縛られた駒」,ja-JP
"""Bright Pendant""",「輝くペンダント」,ja-JP
"""Burglar"" Program Chip",「盗取者」プログラムチップ,ja-JP
"""But are you truly in control of your own fate?""",これで、自分の運命の主になれたのだろうか？,ja-JP
"""But are you truly in control of your own fate?""",だが、これであなたは自分の運命を支配したと言えるのだろうか？,ja-JP
"""Caderno Antigo""",「古いメモ」,ja-JP
"""Café""",「コーヒー」,ja-JP
"""Caixa Sinistra""",「不吉な箱」,ja-JP
"""Cajado do Chama-marés""",「喚潮の杖」,ja-JP
"""Camera""",「カメラ」,ja-JP
"""Canned Soda""",「缶入りソーダ」,ja-JP
"""Capsule""",「カプセルトイ」,ja-JP
"""Carambola""",「スターフルーツ」,ja-JP
"""Cartão Vermelho""",「赤いカード」,ja-JP
"""Cascas Secas""",「乾燥果皮」,ja-JP
"""Cassette Player""",「ポータブルプレーヤー」,ja-JP
"""Cat Paw""",「猫の爪」,ja-JP
"""Cavalo de Pau""",「サイドターン」,ja-JP
"""Caçador do Sol""",「太陽を追う者」,ja-JP
"""Chapéu""",「帽子」,ja-JP
"""Chave Escarlate""",「真紅の鍵」,ja-JP
"""Chave de Cobre""",「銅の鍵」,ja-JP
"""Chifre de Beber""",「角杯」,ja-JP
"""Chorale"" can be triggered when not in ""Distortion"" and deals increased DMG when in ""Distortion.""",「連携攻撃」は非「妄言」状態でも発動可能。「妄言」状態にいる場合、「連携攻撃」のダメージがアップ。,ja-JP
"""Chá Gelado""",「アイスティー」,ja-JP
"""Chá Preto""",「紅茶」,ja-JP
"""Ciclo Virtuoso""",「己を鍛えろ」,ja-JP
"""Clearing Master"" Trophy",「一括処理」マスターズトロフィー,ja-JP
"""Coffee""",「コーヒー」,ja-JP
"""Coins please. Give me some coins."" One of them seems to whisper.",「硬貨を投げ入れてくれ」——まるで壺がそう言っているかのように感じる。,ja-JP
"""Cold Drink""",「冷たいドリンク」,ja-JP
"""Cometa Branco""",「白色彗星」,ja-JP
"""Comida Inflada""",「膨化菓子」,ja-JP
"""Componente Holográfico""",「ホロ投影部品」,ja-JP
"""Compressed Beverage""",「圧縮ドリンク」,ja-JP
"""Comunicador""",「通信機」,ja-JP
"""Concha Vazia""",「空の巻貝」,ja-JP
"""Conjunto de Escrita""",「筆記セット」,ja-JP
"""Conjunto de Porcas""",「ナットセット」,ja-JP
"""Conjunto de Refrigerantes""",「ソーダセット」,ja-JP
"""Copper Key""",「銅の鍵」,ja-JP
"""Corredor Nº 1 do Dep. de Matéria do Vazio""",「ヘビーローダー」,ja-JP
"""Cradle of Eternity""",「とわに続く揺り籠」,ja-JP
"""Crimson Key""",「真紅の鍵」,ja-JP
"""Crushed Biscuit""",「砕けたビスケット」,ja-JP
"""Crushed Nuts""",「砕けたナッツ」,ja-JP
"""Cyan Canvas""",「青の帆布」,ja-JP
"""Cyan Mineral""",「蒼の鉱石」,ja-JP
"""Cyan Potion""",「蒼の薬剤」,ja-JP
"""Cápsula""",「カプセルトイ」,ja-JP
"""Câmera""",「カメラ」,ja-JP
"""Dados do Destino""",「運命のダイス」,ja-JP
"""Damson Canvas""",「深紫の帆布」,ja-JP
"""Dark Green Beverage""",「深緑のドリンク」,ja-JP
"""De agora em diante, abstenha-se de usar seus poderes. Estamos entendidos?"", alertou o médico.",「もうあの力は使わないで、分かった？」と、医者が言った。,ja-JP
"""Debts Paid In Full""",「借金の取り立て」,ja-JP
"""Deep Purple Spray""",「深紫のスプレー」,ja-JP
"""Detector""",「検出器」,ja-JP
"""Dice of Fate""",「運命のダイス」,ja-JP
"""Diced Fruit""",「果肉の粒」,ja-JP
"""Dim Pendant""",「暗いペンダント」,ja-JP
"""Distintivo de Logística""",「物流バッジ」,ja-JP
"""Diário Antigo""",「古い日誌」,ja-JP
"""Doce Azul""",「青のキャンディ」,ja-JP
"""Doce Roxo""",「紫のキャンディ」,ja-JP
"""Doce Verde""",「緑のキャンディ」,ja-JP
"""Domain of Yesterday""",「昨日の領域」,ja-JP
"""Domínio do Ontem""",「昨日の領域」,ja-JP
"""Dried Berries""",「ドライベリー」,ja-JP
"""Dried Peels""",「乾燥果皮」,ja-JP
"""Drift Bottle""",「海流瓶」,ja-JP
"""Drinking Horn""",「角杯」,ja-JP
"""Dusk Spray""",「薄暮のスプレー」,ja-JP
"""Déjà vu""",「デジャヴュ」,ja-JP
"""Dívidas Totalmente Pagas""",「借金の取り立て」,ja-JP
"""Easy peasy!"" Lynae's flashing a victory sign at the camera. We're all looking forward to her next showing!",「えへへ、こんなの楽勝だよ！」リンネー選手、カメラに向かってVサインです！彼女の活躍に期待しましょう！,ja-JP
"""Echo Boat Model""",「音骸船の模型」,ja-JP
"""Em Nome dos Heróis""",「ヒーローの名にかけて」,ja-JP
"""Empty Conch""",「空の巻貝」,ja-JP
"""Enquanto alguém estiver lucrando com esses ataques, não podemos descartar essa possibilidade.""",事件の裏で利益を得ようとしている者がいる限り、その可能性を排除することはできないわ。,ja-JP
"""Entrance Ticket""",「入場券」,ja-JP
"""Então vou lutar contra o destino... e vou vencer!""",私はその定めと戦う。そして、勝ってみせる。,ja-JP
"""Eroded Coin""",「錆びた古銭」,ja-JP
"""Espelho""",「鏡」,ja-JP
"""Essas são todas perdas necessárias!""",「すべて必要なコストだ！」,ja-JP
"""Esse Dragão Divino deve ser viciado em trabalho.""",そう、龍神なんて、ただの仕事中毒よ。,ja-JP
"""Estandarte Vermelho""",「赤い旗」,ja-JP
"""Estandarte de Balança""",「均衡の旗」,ja-JP
"""Estandarte de Olho""",「覗きの旗」,ja-JP
"""Estátua de Pena""",「羽根の像」,ja-JP
"""Estátua do Anjo""",「神の使いの像」,ja-JP
"""Eu realmente gosto desta cidade. Todo mundo aqui está correndo atrás de seus sonhos.""",僕はこの街が大好きだ。ここの人はみんな、自分の夢を持って一生懸命生きている。,ja-JP
"""Extrator Multiplicador""",「倍率ドレイン」,ja-JP
"""Feather Statue""",「羽根の像」,ja-JP
"""Festival Dessert""",「祭りの菓子」,ja-JP
"""Festival Lantern""",「祭りの提灯」,ja-JP
"""First-aid Kit""",「救急箱」,ja-JP
"""Fish Relievo""",「魚形レリーフ」,ja-JP
"""Fish Windsock""",「魚のぼり」,ja-JP
"""Fish""",「魚肉」,ja-JP
"""Flauta de Osso""",「骨笛」,ja-JP
"""Fogão Portátil""",「携帯コンロ」,ja-JP
"""Folhas""",「木の葉」,ja-JP
"""Fonógrafo""",「蓄音機」,ja-JP
"""Fresh Green Spray""",「淡青のスプレー」,ja-JP
"""From now on, refrain from using your powers. Is that understood?"" the doctor warned.",「もうあの力は使わないで、分かった？」と、医者が言った。,ja-JP
"""Fruta Picada""",「果肉の粒」,ja-JP
"""Gaiola Dourada""",「金メッキの鳥籠」,ja-JP
"""Garrafa ao Mar""",「海流瓶」,ja-JP
"""Garrafa d'Água""",「ラムネ瓶」,ja-JP
"""Gift Ticket""",「招待券」,ja-JP
"""Gilded Cage""",「金メッキの鳥籠」,ja-JP
"""Glass Wind Chime""",「硝子の風鈴」,ja-JP
"""Glowing Pendant""",「光るペンダント」,ja-JP
"""Gold Mineral""",「金の鉱石」,ja-JP
"""Gold Surprise""",「金のサプライズ」,ja-JP
"""Gravador""",「レコーダー」,ja-JP
"""Gray Canvas""",「灰色の帆布」,ja-JP
"""Green Candy""",「緑のキャンディ」,ja-JP
"""Green Canvas""",「緑の帆布」,ja-JP
"""Green Inhalant""",「緑の吸入薬」,ja-JP
"""Green Surprise""",「緑のサプライズ」,ja-JP
"""Guarda-chuva Transparente""",「ビニール傘」,ja-JP
"""Hah! Mighty Muscle Madness!""",嗚呼、マッスルボディ！,ja-JP
"""Handbrake Turn""",「サイドターン」,ja-JP
"""Hat""",「帽子」,ja-JP
"""High Adjudicator""",「アジュディケーター」,ja-JP
"""Hologram Component""",「ホロ投影部品」,ja-JP
"""Hologram Shell Credit""",「ホロシェルコイン」,ja-JP
"""I really like this city. Everyone here is chasing their dreams.""",僕はこの街が大好きだ。ここの人はみんな、自分の夢を持って一生懸命生きている。,ja-JP
"""Iced Tea""",「アイスティー」,ja-JP
"""In the Name of Heroes""",「ヒーローの名にかけて」,ja-JP
"""Inalante Azul""",「青の吸入薬」,ja-JP
"""Inalante Verde""",「緑の吸入薬」,ja-JP
"""Inalante Vermelho""",「赤の吸入薬」,ja-JP
"""Inseto Azul""",「青い飛虫」,ja-JP
"""Joia de Quebra-cabeça""",「謎のジュエリー」,ja-JP
"""Kit de Primeiros Socorros""",「救急箱」,ja-JP
"""Lamp""",「ランタン」,ja-JP
"""Lanterna do Festival""",「祭りの提灯」,ja-JP
"""Lanterna""",「トーチ」,ja-JP
"""Lata de Refrigerante""",「缶入りソーダ」,ja-JP
"""Leaves""",「木の葉」,ja-JP
"""Leg Power Bike""",「手漕ぎバイク」,ja-JP
"""Leite Vegetal""",「プラントミルク」,ja-JP
"""Leve esta canção com você...""

""E deixe seu sorriso comigo...""","「この歌を、故郷へ――」
「あなたの笑顔を、私に――」",ja-JP
"""Litoral Envolto em Mistério""",「霧に包まれた海岸」,ja-JP
"""Little Savior""",「小さき救世主」,ja-JP
"""Logistics Badge""",「物流バッジ」,ja-JP
"""Lâmpada""",「ランタン」,ja-JP
"""Melhor Dupla de Solaris""",「ソラリスで最高の相棒」,ja-JP
"""Merced""",【仁慈】,ja-JP
"""Mercy""",「仁慈」,ja-JP
"""Mercy""",【仁慈】,ja-JP
"""Mestre da Chuva""",「雨神」,ja-JP
"""Mineral Ameixa""",「紫紅の鉱石」,ja-JP
"""Mineral Azul""",「青の鉱石」,ja-JP
"""Mineral Ciano""",「蒼の鉱石」,ja-JP
"""Mineral Dourado""",「金の鉱石」,ja-JP
"""Mineral Roxo""",「紫の鉱石」,ja-JP
"""Mineral Vermelho""",「赤い鉱物」,ja-JP
"""Mineral Vermelho""",「赤の鉱石」,ja-JP
"""Mirror""",「鏡」,ja-JP
"""Modelo de Barco Eco""",「音骸船の模型」,ja-JP
"""Modelo de Navio""",「帆船の模型」,ja-JP
"""Moeda Corroída""",「錆びた古銭」,ja-JP
"""Moeda de Conchas Holográfica""",「ホロシェルコイン」,ja-JP
"""Moeda de Conchas""",「シェルコイン」,ja-JP
"""Moedas, por favor. Me dê algumas moedas."" Um deles parece sussurrar.",「硬貨を投げ入れてくれ」——まるで壺がそう言っているかのように感じる。,ja-JP
"""Mola de Precisão""",「精密スプリング」,ja-JP
"""Moleza!"" Lynae está fazendo o sinal de vitória para a câmera. Todos estamos ansiosos para ver sua próxima apresentação!",「えへへ、こんなの楽勝だよ！」リンネー選手、カメラに向かってVサインです！彼女の活躍に期待しましょう！,ja-JP
"""Monocle""",「モノクル」,ja-JP
"""Monóculo""",「モノクル」,ja-JP
"""Mother of Success""",「成功の母」,ja-JP
"""Multiplier Extract""",「倍率ドレイン」,ja-JP
"""Mãe do Sucesso""",「成功の母」,ja-JP
"""Nightveil Piercer"" Premium Model
The bundle includes the Premium Model ""Nightveil Piercer"" and Astrites.","デラックスモデル「黒き夜に差す光」
パック内容：デラックスモデル「黒き夜に差す光」、星声",ja-JP
"""No. 1""",「No.1」,ja-JP
"""Notebook Page""",「メモの断片」,ja-JP
"""Nozes Trituradas""",「砕けたナッツ」,ja-JP
"""Nut Set""",「ナットセット」,ja-JP
"""Nº 1""",「No.1」,ja-JP
"""O Docente""",「プロフェッサー」,ja-JP
"""O Leito Adormecido do Mar""",「深く眠る海底」,ja-JP
"""O Longo Curta""",「長すぎるメイキング映像」,ja-JP
"""O que significa projeto informal?""",「不必要なプロジェクトだって？」,ja-JP
"""Old Journal""",「古い日誌」,ja-JP
"""Old Notebook""",「古いメモ」,ja-JP
"""Olho que Tudo Vê""",「全知の目」,ja-JP
"""Olho que Tudo Vê""",「全知の眼」,ja-JP
"""Olho que tudo vê""",「全知の目」,ja-JP
"""Olive Juice""",「オリーブジュース」,ja-JP
"""Ominous Box""",「不吉な箱」,ja-JP
"""Painting of Prophecy""",「予言の画」,ja-JP
"""Palito de Biscoito""",「スティックビスケット」,ja-JP
"""Pata de Gato""",「猫の爪」,ja-JP
"""Peixe""",「魚肉」,ja-JP
"""Pelúcia Estranha""",「奇妙なぬいぐるみ」,ja-JP
"""Pendente Amarelo""",「黄色いペンダント」,ja-JP
"""Pequeno Salvador""",「小さき救世主」,ja-JP
"""Perfect Beat""",「完璧なビート」,ja-JP
