source,target,tgt_lng
%2$sを%1$s体倒しました,คุณฆ่า%2$s %1$s ตัว,th-TH
%2$s을(를) %1$s번 죽였습니다,คุณฆ่า%2$s %1$s ตัว,th-TH
%s %s öldürdün,คุณฆ่า%2$s %1$s ตัว,th-TH
%s hat dich %s‐mal getötet,%s ฆ่าคุณ %s ครั้ง,th-TH
%s killed you %s time(s),%s ฆ่าคุณ %s ครั้ง,th-TH
%s nunca matou você,คุณยังไม่เคยถูกฆ่าโดย%s,th-TH
%s seni %s defa öldürdü,%s ฆ่าคุณ %s ครั้ง,th-TH
%s tarafından hiç öldürülmediniz,คุณยังไม่เคยถูกฆ่าโดย%s,th-TH
%s đã giết bạn %s lần,%s ฆ่าคุณ %s ครั้ง,th-TH
%s убил вас %s раз,%s ฆ่าคุณ %s ครั้ง,th-TH
%sに%s回倒されました,%s ฆ่าคุณ %s ครั้ง,th-TH
%s杀死了你%s次,%s ฆ่าคุณ %s ครั้ง,th-TH
%s에게 %s번 죽었습니다,%s ฆ่าคุณ %s ครั้ง,th-TH
%s에게 죽은 적이 없습니다,คุณยังไม่เคยถูกฆ่าโดย%s,th-TH
%s을(를) 죽인 적이 없습니다,คุณยังไม่เคยฆ่า%s,th-TH
Abgebaut,จำนวนที่ขุด,th-TH
Acqua prelevata da calderoni,ตักน้ำออกจากหม้อปรุงยา,th-TH
Agua tomada de calderos,ตักน้ำออกจากหม้อปรุงยา,th-TH
Almalar,จำนวนที่หยิบไอเทม,th-TH
Alvos atingidos,ยิงโดนเป้า,th-TH
Alınan Hasar,ดาเมจที่ได้รับ,th-TH
Ambosse benutzt,ปฏิสัมพันธ์กับทั่ง,th-TH
Animais acasalados,สัตว์ที่ผสมพันธุ์,th-TH
Animales criados,สัตว์ที่ผสมพันธุ์,th-TH
Animali allevati,สัตว์ที่ผสมพันธุ์,th-TH
Animals Bred,สัตว์ที่ผสมพันธุ์,th-TH
Animaux engendrés,สัตว์ที่ผสมพันธุ์,th-TH
Aranan Bırakıcılar,ค้นหาในเครื่องดรอป,th-TH
Aranan Fırlatıcılar,ค้นหาในเครื่องยิง,th-TH
Aranan Huniler,ค้นหาในท่อส่ง,th-TH
Armaduras de cuero desteñidas,ทำความสะอาดชุดเกราะ,th-TH
Armor Pieces Cleaned,ทำความสะอาดชุดเกราะ,th-TH
Atla Alınan Yol,ระยะทางที่ขี่ม้า,th-TH
Aufgesammelt,จำนวนที่หยิบไอเทม,th-TH
Ayarlanan Nota Blokları,ปรับจูนกล่องตัวโน้ต,th-TH
Açılan Ender Sandıkları,เปิดหีบเอนเดอร์,th-TH
Açılan Fıçılar,เปิดบาร์เรล,th-TH
Açılan Sandıklar,เปิดหีบ,th-TH
Açılan Shulker Kutuları,เปิดกล่องชัลเกอร์,th-TH
Banner gewaschen,ทำความสะอาดธง,th-TH
Banners Cleaned,ทำความสะอาดธง,th-TH
Bannières nettoyées,ทำความสะอาดธง,th-TH
Barili aperti,เปิดบาร์เรล,th-TH
Barrels Opened,เปิดบาร์เรล,th-TH
Barriles abiertos,เปิดบาร์เรล,th-TH
Barris abertos,เปิดบาร์เรล,th-TH
Bauli aperti,เปิดหีบ,th-TH
Bauli di ender aperti,เปิดหีบเอนเดอร์,th-TH
Bauli trappola attivati,หีบกับดักที่ทริกเกอร์,th-TH
Baús abertos,เปิดหีบ,th-TH
Baús com Armadilha acionados,หีบกับดักที่ทริกเกอร์,th-TH
Baús de Ender abertos,เปิดหีบเอนเดอร์,th-TH
Bells Rung,สั่นระฆัง,th-TH
Benutzt,จำนวนที่ใช้,th-TH
Bersagli colpiti,ยิงโดนเป้า,th-TH
Bett benutzt,เวลาที่นอนบนเตียง,th-TH
Bileme Taşı ile etkileşimler,ปฏิสัมพันธ์กับหินลับมีด,th-TH
Blocchi sonori accordati,ปรับจูนกล่องตัวโน้ต,th-TH
Blocchi sonori suonati,เล่นกล่องตัวโน้ต,th-TH
Blocos Musicais afinados,ปรับจูนกล่องตัวโน้ต,th-TH
Blocos Musicais tocados,เล่นกล่องตัวโน้ต,th-TH
Blocs musicaux accordés,ปรับจูนกล่องตัวโน้ต,th-TH
Blocs musicaux joués,เล่นกล่องตัวโน้ต,th-TH
Bloques musicales afinados,ปรับจูนกล่องตัวโน้ต,th-TH
Bloques musicales tocados,เล่นกล่องตัวโน้ต,th-TH
Boîtes de Shulker nettoyées,ทำความสะอาดกล่องชัลเกอร์,th-TH
Boîtes de Shulker ouvertes,เปิดกล่องชัลเกอร์,th-TH
Braustände benutzt,ปฏิสัมพันธ์กับแท่นปรุงยา,th-TH
Büyülenen Eşyalar,ไอเทมที่ร่ายมนตร์,th-TH
Bırakmalar,ดรอปไอเทม,th-TH
Bırakılan Eşyalar,ไอเทมที่ดรอป,th-TH
Bạn chưa bao giờ bị giết bởi %s,คุณยังไม่เคยถูกฆ่าโดย%s,th-TH
Bạn chưa bao giờ giết %s,คุณยังไม่เคยฆ่า%s,th-TH
Bạn đã giết %s %s,คุณฆ่า%2$s %1$s ตัว,th-TH
Caixas de Shulker abertas,เปิดกล่องชัลเกอร์,th-TH
Caixas de Shulker limpas,ทำความสะอาดกล่องชัลเกอร์,th-TH
Cajas de shulker abiertas,เปิดกล่องชัลเกอร์,th-TH
Cajas de shulker vaciadas,ทำความสะอาดกล่องชัลเกอร์,th-TH
Cake Slices Eaten,ชิ้นเค้กที่กิน,th-TH
Caldeirões enchidos,เติมน้ำในหม้อปรุงยา,th-TH
Calderoni riempiti,เติมน้ำในหม้อปรุงยา,th-TH
Calderos rellenados,เติมน้ำในหม้อปรุงยา,th-TH
Campanas tocadas,สั่นระฆัง,th-TH
Campane suonate,สั่นระฆัง,th-TH
Cauldrons Filled,เติมน้ำในหม้อปรุงยา,th-TH
Cette créature ne vous a jamais tué,คุณยังไม่เคยถูกฆ่าโดย%s,th-TH
Cette créature vous a déjà tué %2$s fois,%s ฆ่าคุณ %s ครั้ง,th-TH
Chaudrons remplis,เติมน้ำในหม้อปรุงยา,th-TH
Chests Opened,เปิดหีบ,th-TH
Cibles touchées,ยิงโดนเป้า,th-TH
Cloches sonnées,สั่นระฆัง,th-TH
Coffres de l'Ender ouverts,เปิดหีบเอนเดอร์,th-TH
Coffres ouverts,เปิดหีบ,th-TH
Coffres piégés déclenchés,หีบกับดักที่ทริกเกอร์,th-TH
Cofres abiertos,เปิดหีบ,th-TH
Cofres de ender abiertos,เปิดหีบเอนเดอร์,th-TH
Cofres trampa activados,หีบกับดักที่ทริกเกอร์,th-TH
Comercios con aldeanos,แลกเปลี่ยนกับชาวบ้าน,th-TH
Consumati,จำนวนที่ทุบ,th-TH
Conversaciones con aldeanos,เวลาที่คุยกับชาวบ้าน,th-TH
Conversas com Aldeões,เวลาที่คุยกับชาวบ้าน,th-TH
Conversazioni con villici,เวลาที่คุยกับชาวบ้าน,th-TH
Creature uccise,จำนวนม็อบที่ฆ่า,th-TH
Criaturas asesinadas,จำนวนม็อบที่ฆ่า,th-TH
Criaturas mortas,จำนวนม็อบที่ฆ่า,th-TH
Créatures tuées,จำนวนม็อบที่ฆ่า,th-TH
Damage Absorbed,ดาเมจที่ดูดซับ,th-TH
Damage Blocked by Shield,ดาเมจที่บล็อกโดยโล่,th-TH
Damage Dealt,ดาเมจที่สร้าง,th-TH
Damage Dealt (Absorbed),ดาเมจที่สร้าง (ถูกดูดซึม),th-TH
Damage Dealt (Resisted),ดาเมจที่สร้าง (ถูกต้านทาน),th-TH
Damage Resisted,ดาเมจที่ต้านทาน,th-TH
Damage Taken,ดาเมจที่ได้รับ,th-TH
Danno assorbito,ดาเมจที่ดูดซับ,th-TH
Danno bloccato da scudo,ดาเมจที่บล็อกโดยโล่,th-TH
Danno inflitto,ดาเมจที่สร้าง,th-TH
Danno inflitto (assorbito),ดาเมจที่สร้าง (ถูกดูดซึม),th-TH
Danno inflitto (resistito),ดาเมจที่สร้าง (ถูกต้านทาน),th-TH
Danno resistito,ดาเมจที่ต้านทาน,th-TH
Danno subito,ดาเมจที่ได้รับ,th-TH
Dano absorvido,ดาเมจที่ดูดซับ,th-TH
Dano bloqueado por escudo,ดาเมจที่บล็อกโดยโล่,th-TH
Dano causado,ดาเมจที่สร้าง,th-TH
Dano causado (absorvido),ดาเมจที่สร้าง (ถูกดูดซึม),th-TH
Dano causado (resistido),ดาเมจที่สร้าง (ถูกต้านทาน),th-TH
Dano resistido,ดาเมจที่ต้านทาน,th-TH
Dano sofrido,ดาเมจที่ได้รับ,th-TH
Daño absorbido,ดาเมจที่ดูดซับ,th-TH
Daño bloqueado con escudo,ดาเมจที่บล็อกโดยโล่,th-TH
Daño causado,ดาเมจที่สร้าง,th-TH
Daño causado (absorbido),ดาเมจที่สร้าง (ถูกดูดซึม),th-TH
Daño causado (resistido),ดาเมจที่สร้าง (ถูกต้านทาน),th-TH
Daño recibido,ดาเมจที่ได้รับ,th-TH
Daño resistido,ดาเมจที่ต้านทาน,th-TH
Demirci Masası ile etkileşimler,ปฏิสัมพันธ์กับโต๊ะทำอาวุธ,th-TH
Descansos numa Cama,เวลาที่นอนบนเตียง,th-TH
Descansos numa Cama de Palha,เวลาที่นอนบนเตียงฟาง,th-TH
Dianas acertadas,ยิงโดนเป้า,th-TH
Dischi musicali riprodotti,เล่นแผ่นเสียง,th-TH
Discos Musicais tocados,เล่นแผ่นเสียง,th-TH
Discos reproducidos,เล่นแผ่นเสียง,th-TH
Dispensadores examinados,ค้นหาในเครื่องยิง,th-TH
Dispensers Searched,ค้นหาในเครื่องยิง,th-TH
Disques de musique joués,เล่นแผ่นเสียง,th-TH
Distance by Boat,ระยะทางที่พายเรือ,th-TH
Distance by Elytra,ระยะทางที่ร่อนปีก,th-TH
Distance by Happy Ghast,ระยะทางที่ขี่แฮปปี้แก๊สต์,th-TH
Distance by Horse,ระยะทางที่ขี่ม้า,th-TH
Distance by Minecart,ระยะทางที่นั่งรถราง,th-TH
Distance by Nautilus,ระยะทางที่ขี่หอยงวงช้าง,th-TH
Distance by Pig,ระยะทางที่ขี่หมู,th-TH
