source,target,tgt_lng
Bard's Arrow Feather,琴師的箭羽,zh-TW
Berserker's Battle Mask,戰狂的鬼面,zh-TW
Berserker's Bone Goblet,戰狂的骨杯,zh-TW
Berserker's Indigo Feather,戰狂的翎羽,zh-TW
Berserker's Rose,戰狂的薔薇,zh-TW
Berserker's Timepiece,戰狂的時計,zh-TW
Bloodstained Black Plume,染血的黑之羽,zh-TW
Bloodstained Chevalier's Goblet,染血的騎士之杯,zh-TW
Bloodstained Final Hour,騎士染血之時,zh-TW
Bloodstained Flower of Iron,染血的鐵之心,zh-TW
Bloodstained Iron Mask,染血的鐵假面,zh-TW
Broken Rime's Echo,破冰踏雪的迴音,zh-TW
Ceremonial War-Plume,昭武翎羽,zh-TW
Circle of Embers,焚盡之環,zh-TW
Concert's Final Hour,終幕的時計,zh-TW
Copper Compass,堅銅羅盤,zh-TW
Crown of the Brave,勇士的冠冕,zh-TW
Dance of Steel,鋼鐵之舞,zh-TW
Duel to the Fiery Death,紅蓮的真劍試合,zh-TW
Earthshaking Dragon,搖撼山嶽之龍,zh-TW
Elegaic Rime,告死之霜,zh-TW
Exile's Feather,流放者之羽,zh-TW
Exile's Flower,流放者之花,zh-TW
Exile's Goblet,流放者之杯,zh-TW
Exile's Pocket Watch,流放者懷錶,zh-TW
Feather of Jagged Peaks,嵯峨群峰之翼,zh-TW
Fires of Purification,淨化之炎,zh-TW
Flower of Accolades,勳績之花,zh-TW
Flower of Creviced Cliff,磐陀裂生之花,zh-TW
Frost,寒霜,zh-TW
Frost-Weaved Dignity,遍結寒霜的傲骨,zh-TW
Frozen Homeland's Demise,冰雪故園的終期,zh-TW
Gilded Corsage,飾金胸花,zh-TW
Gladiator's Destiny,角鬥士的歸宿,zh-TW
Gladiator's Intoxication,角鬥士的酣醉,zh-TW
Gladiator's Longing,角鬥士的希冀,zh-TW
Gladiator's Nostalgia,角鬥士的留戀,zh-TW
Goblet of Chiseled Crag,巉巖琢塑之樽,zh-TW
Goblet of Thundering Deep,沉波之盞,zh-TW
Gust of Nostalgia,追憶之風,zh-TW
Hopeful Heart,祈望之心,zh-TW
Hour of Soothing Thunder,平雷之刻,zh-TW
Hourglass of Thunder,雷霆的時計,zh-TW
Icebreaker's Resolve,摧冰而行的執望,zh-TW
In Remembrance of Viridescent Fields,野花記憶的綠野,zh-TW
Instructor's Brooch,教官的胸花,zh-TW
Instructor's Feather Accessory,教官的羽飾,zh-TW
Instructor's Pocket Watch,教官的懷錶,zh-TW
Instructor's Tea Cup,教官的茶杯,zh-TW
Lavawalker's Epiphany,渡火者的醒悟,zh-TW
Lavawalker's Resolution,渡火者的決絕,zh-TW
Lavawalker's Salvation,渡火者的解脫,zh-TW
Lavawalker's Torment,渡火者的煎熬,zh-TW
Lavawalker's Wisdom,渡火者的智慧,zh-TW
Lucky Encounter in the Clouds,雲蒸奇遇記,zh-TW
Maiden's Distant Love,遠方的少女之心,zh-TW
Maiden's Fleeting Leisure,少女片刻的閒暇,zh-TW
Maiden's Heart-stricken Infatuation,少女飄搖的思念,zh-TW
Maiden's Passing Youth,少女苦短的良辰,zh-TW
Martial Artist's Feather Accessory,武人的羽飾,zh-TW
Martial Artist's Wine Cup,武人的酒杯,zh-TW
Medal of the Brave,勇士的勳章,zh-TW
Memories: Guardian of Eternity,追憶：永恆的守護者,zh-TW
Mocking Mask,嗤笑之面,zh-TW
Moment of Cessation,停擺之刻,zh-TW
Morning Dew's Moment,朝露之時,zh-TW
Necropolis,骸館,zh-TW
Noble's Pledging Vessel,盟誓金爵,zh-TW
Omen of Thunderstorm,降雷的凶兆,zh-TW
Orichalceous Time-Dial,金銅時晷,zh-TW
Outset of the Brave,勇士的壯行,zh-TW
Prospect of the Brave,勇士的期許,zh-TW
Realm of Slumber,沉睡之國,zh-TW
Reign of Violet,堇染之國,zh-TW
Royal Flora,宗室之花,zh-TW
Royal Plume,宗室之翎,zh-TW
Royal Pocket Watch,宗室時計,zh-TW
Royal Silver Urn,宗室銀甕,zh-TW
Ruins of Thirsting Capital,渴水的廢都,zh-TW
Sand Burial,流沙之葬,zh-TW
Scarlet Vessel,緋花之壺,zh-TW
Scholar's Bookmark,學士的書籤,zh-TW
Scholar's Clock,學士的時鐘,zh-TW
Scholar's Ink Cup,學士的墨杯,zh-TW
Scholar's Lens,學士的鏡片,zh-TW
Scholar's Quill Pen,學士的羽筆,zh-TW
Snowswept Memory,歷經風雪的思念,zh-TW
Spring,驚蟄,zh-TW
Stainless Bloom,無垢之花,zh-TW
Stone Chamber,巖牢,zh-TW
Storm Cage,雷雲之籠,zh-TW
Summer Night's Bloom,夏祭之花,zh-TW
Summer Night's Finale,夏祭終末,zh-TW
Summer Night's Mask,夏祭之面,zh-TW
Summer Night's Moment,夏祭之刻,zh-TW
Summer Night's Waterballoon,夏祭水玉,zh-TW
Sundered Feather,切落之羽,zh-TW
Sundial of Enduring Jade,星羅圭璧之晷,zh-TW
Surpassing Cup,超越之盞,zh-TW
Survivor of Catastrophe,雷災的孑遺,zh-TW
Tarry Among the Peach Blossoms,桃源逗留記,zh-TW
Thunder Summoner's Crown,喚雷者的頭冠,zh-TW
Thunderbird's Mercy,雷鳥的憐憫,zh-TW
Thundering Valley,初雷幽谷,zh-TW
Thundersoother's Diadem,平雷之冠,zh-TW
Thundersoother's Goblet,平雷之器,zh-TW
Thundersoother's Heart,平雷之心,zh-TW
Thundersoother's Plume,平雷之羽,zh-TW
Travels of the Moonlit Venturer,水月俠行記,zh-TW
Trial Grounds of Thunder,古雷試煉場,zh-TW
Troupe's Dawnlight,樂團的晨光,zh-TW
Tutelage: A Thousand Scrolls,稽古·千扉繪卷,zh-TW
Tutelage: Castle of Scrolls,稽古·御館繪卷,zh-TW
Tutelage: King of Thieves,稽古·惡王亭,zh-TW
Tutelage: Nest-Bed of Ambition,稽古·礪伏之巢床,zh-TW
Tutelage: Umigozen's Mansion,稽古·御前府邸,zh-TW
Unyielding,不移,zh-TW
Vine-Infested Ruins,真葛廢都,zh-TW
Viridescent Arrow Feather,獵人青翠的箭羽,zh-TW
Viridescent Venerer's Determination,翠綠獵人的篤定,zh-TW
Viridescent Venerer's Vessel,翠綠獵人的容器,zh-TW
Voyage to the Sanguine Sky,霞蔚徵濤記,zh-TW
Wanderer's String-Kettle,吟遊者之壺,zh-TW
Windy Cliff,風湧的高崖,zh-TW
Wise Doctor's Pinion,賢醫之羽,zh-TW
Witch's End Time,魔女破滅之時,zh-TW
Witch's Ever-Burning Plume,魔女常燃之羽,zh-TW
Witch's Flower of Blaze,魔女的炎之花,zh-TW
Witch's Heart Flames,魔女的心之火,zh-TW
Witch's Scorching Hat,焦灼的魔女帽子,zh-TW
フィナーレの時計,終幕的時計,zh-TW
不動,不移,zh-TW
乐团的晨光,樂團的晨光,zh-TW
云蒸奇遇记,雲蒸奇遇記,zh-TW
亡命者のコップ,流放者之杯,zh-TW
亡命者の懐中時計,流放者懷錶,zh-TW
亡命者の羽根,流放者之羽,zh-TW
亡命者の花,流放者之花,zh-TW
偉勲の花,勳績之花,zh-TW
停摆之刻,停擺之刻,zh-TW
停頓の時,停擺之刻,zh-TW
冰雪故园的终期,冰雪故園的終期,zh-TW
净化之炎,淨化之炎,zh-TW
切落の羽,切落之羽,zh-TW
初雷の幽谷,初雷幽谷,zh-TW
剣闘士の希望,角鬥士的希冀,zh-TW
剣闘士の帰着,角鬥士的歸宿,zh-TW
剣闘士の未練,角鬥士的留戀,zh-TW
剣闘士の酩酊,角鬥士的酣醉,zh-TW
勇士の冠,勇士的冠冕,zh-TW
勇士の勲章,勇士的勳章,zh-TW
勇士の壮行,勇士的壯行,zh-TW
勇士の期待,勇士的期許,zh-TW
勇士的勋章,勇士的勳章,zh-TW
勇士的壮行,勇士的壯行,zh-TW
勇士的期许,勇士的期許,zh-TW
勋绩之花,勳績之花,zh-TW
危岩磐石の杯,巉巖琢塑之樽,zh-TW
历经风雪的思念,歷經風雪的思念,zh-TW
古雷试炼场,古雷試煉場,zh-TW
吟游者之壶,吟遊者之壺,zh-TW
吟遊者の水筒,吟遊者之壺,zh-TW
吹雪の中の思い,歷經風雪的思念,zh-TW
唤雷者的头冠,喚雷者的頭冠,zh-TW
啓蟄,驚蟄,zh-TW
嗤笑の面,嗤笑之面,zh-TW
坚铜罗盘,堅銅羅盤,zh-TW
堅い銅のコンパス,堅銅羅盤,zh-TW
堇染之国,堇染之國,zh-TW
夏祭りの仮面,夏祭之面,zh-TW
夏祭りの刻,夏祭之刻,zh-TW
夏祭りの水風船,夏祭水玉,zh-TW
夏祭りの終わり,夏祭終末,zh-TW
夏祭りの花,夏祭之花,zh-TW
夏祭终末,夏祭終末,zh-TW
学士的书签,學士的書籤,zh-TW
学士的墨杯,學士的墨杯,zh-TW
学士的时钟,學士的時鐘,zh-TW
学士的羽笔,學士的羽筆,zh-TW
学士的镜片,學士的鏡片,zh-TW
学者のしおり,學士的書籤,zh-TW
学者のコップ,學士的墨杯,zh-TW
学者のレンズ,學士的鏡片,zh-TW
学者の時計,學士的時鐘,zh-TW
学者の羽根ペン,學士的羽筆,zh-TW
宗室时计,宗室時計,zh-TW
宗室银瓮,宗室銀甕,zh-TW
少女の揺らぐ思い,少女飄搖的思念,zh-TW
少女の暫く息抜き,少女片刻的閒暇,zh-TW
少女の短い華年,少女苦短的良辰,zh-TW
少女片刻的闲暇,少女片刻的閒暇,zh-TW
少女飘摇的思念,少女飄搖的思念,zh-TW
山岳を揺るがす龍,搖撼山嶽之龍,zh-TW
岩牢,巖牢,zh-TW
岩牢,巖牢,zh-TW
嵯峨連山の翼,嵯峨群峰之翼,zh-TW
巉岩琢塑之樽,巉巖琢塑之樽,zh-TW
彼方にある少女の心,遠方的少女之心,zh-TW
惊蛰,驚蟄,zh-TW
