source,target,tgt_lng
Bí Cảnh Chúc Phúc: Biến Tấu I,Yadigar Zindanı: Çeşitlilik I,tr-TR
Bí Cảnh Chúc Phúc: Biến Tấu II,Yadigar Zindanı: Çeşitlilik II,tr-TR
Bí Cảnh Chúc Phúc: Biến Tấu III,Yadigar Zindanı: Çeşitlilik III,tr-TR
Bí Cảnh Chúc Phúc: Biến Tấu IV,Yadigar Zindanı: Çeşitlilik IV,tr-TR
Bí Cảnh Chúc Phúc: Băng Giá Tử Thần I,Yadigar Zindanı: Elemli Kırağı I,tr-TR
Bí Cảnh Chúc Phúc: Băng Giá Tử Thần II,Yadigar Zindanı: Elemli Kırağı II,tr-TR
Bí Cảnh Chúc Phúc: Băng Giá Tử Thần III,Yadigar Zindanı: Elemli Kırağı III,tr-TR
Bí Cảnh Chúc Phúc: Băng Giá Tử Thần IV,Yadigar Zindanı: Elemli Kırağı IV,tr-TR
Bí Cảnh Chúc Phúc: Băng Thực I,Yadigar Zindanı: Buz Aşınması I,tr-TR
Bí Cảnh Chúc Phúc: Băng Thực II,Yadigar Zindanı: Buz Aşınması II,tr-TR
Bí Cảnh Chúc Phúc: Băng Thực III,Yadigar Zindanı: Buz Aşınması III,tr-TR
Bí Cảnh Chúc Phúc: Băng Thực IV,Yadigar Zindanı: Buz Aşınması IV,tr-TR
Bí Cảnh Chúc Phúc: Bất Di I,Yadigar Zindanı: Boyun Eğmez I,tr-TR
Bí Cảnh Chúc Phúc: Bất Di II,Yadigar Zindanı: Boyun Eğmez II,tr-TR
Bí Cảnh Chúc Phúc: Bất Di III,Yadigar Zindanı: Boyun Eğmez III,tr-TR
Bí Cảnh Chúc Phúc: Bất Di IV,Yadigar Zindanı: Boyun Eğmez IV,tr-TR
Bí Cảnh Chúc Phúc: Cơ Sào I,Yadigar Zindanı: Makina Yuvası I,tr-TR
Bí Cảnh Chúc Phúc: Cơ Sào II,Yadigar Zindanı: Makina Yuvası II,tr-TR
Bí Cảnh Chúc Phúc: Cơ Sào III,Yadigar Zindanı: Makina Yuvası III,tr-TR
Bí Cảnh Chúc Phúc: Cơ Sào IV,Yadigar Zindanı: Makina Yuvası IV,tr-TR
Bí Cảnh Chúc Phúc: Cấu Trúc Lửa Bỏng I,Yadigar Zindanı: Derin Ateş Yapısı I,tr-TR
Bí Cảnh Chúc Phúc: Cấu Trúc Lửa Bỏng II,Yadigar Zindanı: Derin Ateş Yapısı II,tr-TR
