source,target,tgt_lng
Aaron Cherof — Precipice,Aaron Cherof - Precipice,zh-TW
Aaron Cherof — Relic,Aaron Cherof - Relic,zh-TW
Amos Roddy – Tears,Amos Roddy - Tears,zh-TW
Amos Roddy — Tears,Amos Roddy - Tears,zh-TW
C418 — 11,C418 - 11,zh-TW
C418 — 13,C418 - 13,zh-TW
C418 — blocks,C418 - blocks,zh-TW
C418 — cat,C418 - cat,zh-TW
C418 — chirp,C418 - chirp,zh-TW
C418 — far,C418 - far,zh-TW
C418 — mall,C418 - mall,zh-TW
C418 — mellohi,C418 - mellohi,zh-TW
C418 — stal,C418 - stal,zh-TW
C418 — strad,C418 - strad,zh-TW
C418 — wait,C418 - wait,zh-TW
C418 — ward,C418 - ward,zh-TW
fingerspit — Bounce,fingerspit - Bounce,zh-TW
Hyper Potions — Lava Chicken,Hyper Potions - Lava Chicken,zh-TW
Lena Raine - Creator (boîte à musique),Lena Raine - Creator（音樂盒）,zh-TW
Lena Raine - Creator (caja de música),Lena Raine - Creator（音樂盒）,zh-TW
Lena Raine - Creator (Hộp nhạc),Lena Raine - Creator（音樂盒）,zh-TW
Lena Raine - Creator (Music Box),Lena Raine - Creator（音樂盒）,zh-TW
Lena Raine - Creator (Müzik Kutusu),Lena Raine - Creator（音樂盒）,zh-TW
Lena Raine - Creator (Spieluhr),Lena Raine - Creator（音樂盒）,zh-TW
Lena Raine - Creator (กล่องดนตรี),Lena Raine - Creator（音樂盒）,zh-TW
Lena Raine - Creator (오르골),Lena Raine - Creator（音樂盒）,zh-TW
Lena Raine - Creator（オルゴール）,Lena Raine - Creator（音樂盒）,zh-TW
Lena Raine - Creator（八音盒）,Lena Raine - Creator（音樂盒）,zh-TW
Lena Raine — Creator,Lena Raine - Creator,zh-TW
Lena Raine — Creator (Caixa Musical),Lena Raine - Creator（音樂盒）,zh-TW
Lena Raine — Creator (carillon),Lena Raine - Creator（音樂盒）,zh-TW
Lena Raine — otherside,Lena Raine - otherside,zh-TW
Lena Raine — Pigstep,Lena Raine - Pigstep,zh-TW
Samuel Åberg — 5,Samuel Åberg - 5,zh-TW
Аарон Шероф — Precipice,Aaron Cherof - Precipice,zh-TW
Аарон Шероф — Relic,Aaron Cherof - Relic,zh-TW
Лена Рейн — Creator,Lena Raine - Creator,zh-TW
Лена Рейн — Creator (Музыкальная шкатулка),Lena Raine - Creator（音樂盒）,zh-TW
Лена Рейн — otherside,Lena Raine - otherside,zh-TW
Лена Рейн — Pigstep,Lena Raine - Pigstep,zh-TW
Самуель Оберг — 5,Samuel Åberg - 5,zh-TW
Эймос Родди — Tears,Amos Roddy - Tears,zh-TW
