source,target,tgt_lng
Adept,Esperto,it-IT
Alev Çiçeği Tomurcuğu,Pistillo di Fiorardente,it-IT
Amethyst Lump,Pezzo d'ametista,it-IT
Amethyst-Brocken,Pezzo d'ametista,it-IT
Ametist Parçası,Pezzo d'ametista,it-IT
Anbeginn,Origine,it-IT
Biển Cát Đỏ - Vương Miện,Grande Sabbia Rossa: Corona,it-IT
Biển Cát Đỏ: Đêm Dài,Grande Sabbia Rossa: Lunga notte,it-IT
Biển Cát Đỏ: Đồng Cổ,Grande Sabbia Rossa: Bronzo,it-IT
Biển Kỷ Nguyên Cũ - Vương Miện,Mare dei Tempi Remoti: Corona,it-IT
Biển Kỷ Nguyên Cũ: Ngủ Sâu,Mare dei Tempi Remoti: Sopore,it-IT
Brocken Kristall,Pezzo di cristallo,it-IT
Brocken magisches Kristall,Pezzo di cristallo magico,it-IT
Bách Hợp Lưu Ly,Splendigiglio,it-IT
Báu Vật Trong Bài,Tesori del mazzo,it-IT
Büyük Kızıl Çöl: Bronz,Grande Sabbia Rossa: Bronzo,it-IT
Büyük Kızıl Çöl: Taç,Grande Sabbia Rossa: Corona,it-IT
Büyük Kızıl Çöl: Uzun Gece,Grande Sabbia Rossa: Lunga notte,it-IT
Büyülü Kristal Parçası,Pezzo di cristallo magico,it-IT
Cecília,Cecilia,it-IT
Corolle de fleur de brume,Corolla di Fiordinebbia,it-IT
Coronación de Espinadragón,Picco del Drago: Corona,it-IT
Cristal Electro,Cristallo di Electro,it-IT
Crystal Chunk,Pezzo di cristallo,it-IT
Cécilia,Cecilia,it-IT
Dandelion Seed,Seme di dente di leone,it-IT
Dendrobio,Dendrobium,it-IT
Dendrobium sanglant,Dendrobium,it-IT
Despenhadeiro - Cristal Índigo,La Voragine: Cristallo blu,it-IT
Despenhadeiro - Diadema,La Voragine: Corona,it-IT
Despenhadeiro - Metal Sólido,La Voragine: Color del ferro,it-IT
Destenin Hazineleri,Tesori del mazzo,it-IT
Drachengrat – Krone,Picco del Drago: Corona,it-IT
Drachengrat – Spurensuche,Picco del Drago: Tracce,it-IT
Dragonspine - มงกุฎ,Picco del Drago: Corona,it-IT
Dragonspine - สำรวจ,Picco del Drago: Tracce,it-IT
Dragonspine: Crown,Picco del Drago: Corona,it-IT
Dragonspine: Traces,Picco del Drago: Tracce,it-IT
Efsanevi,Leggendario,it-IT
Eisnebelblumenblüte,Corolla di Fiordinebbia,it-IT
Ejdersırtı: Taç,Picco del Drago: Corona,it-IT
Ejdersırtı: İzler,Picco del Drago: Tracce,it-IT
Electro Crystal,Cristallo di Electro,it-IT
Electrocristal,Cristallo di Electro,it-IT
Elektrik Kristali,Cristallo di Electro,it-IT
Elektrisierter Kristall,Cristallo di Electro,it-IT
Enkanomiya - Vương Miện,Enkanomiya: Corona,it-IT
Enkanomiya - Đêm Đen,Enkanomiya: Notteterna,it-IT
Enkanomiya - มงกุฎ,Enkanomiya: Corona,it-IT
Enkanomiya - ราตรีนิรันดร์,Enkanomiya: Notteterna,it-IT
Enkanomiya : Couronne,Enkanomiya: Corona,it-IT
Enkanomiya : Nuit sans fin,Enkanomiya: Notteterna,it-IT
Enkanomiya – Ewige Nacht,Enkanomiya: Notteterna,it-IT
Enkanomiya – Krone,Enkanomiya: Corona,it-IT
Enkanomiya: Crown,Enkanomiya: Corona,it-IT
Enkanomiya: Diadema,Enkanomiya: Corona,it-IT
Enkanomiya: Ebedi Gece,Enkanomiya: Notteterna,it-IT
Enkanomiya: Evernight,Enkanomiya: Notteterna,it-IT
Enkanomiya: Noche infinita,Enkanomiya: Notteterna,it-IT
