source,target,tgt_lng
Abgrundbote – Frostfall,Abyss Herald: Frost Fall,en-US
Abgrundbote – Reißender Strom,Abyss Herald: Wicked Torrents,en-US
Abgrundimitator,Tenebrous Mimiflora,en-US
Abgrundsänger – Abgrundflammen,Abyss Lector: Fathomless Flames,en-US
Abgrundsänger – Lila Blitze,Abyss Lector: Violet Lightning,en-US
Ablutionneuse des Érémites,Eremite Desert Clearwater,en-US
Abutre Vermelho da Ossada Sagrada,Consecrated Red Vulture,en-US
Abyss Herald - Wicked Torrents,Abyss Herald: Wicked Torrents,en-US
Abyss Lector - Fathomless Flames,Abyss Lector: Fathomless Flames,en-US
Abyss Lector - Violet Lightning,Abyss Lector: Violet Lightning,en-US
Aerofidio Sacróseo,Consecrated Flying Serpent,en-US
Agente dei Fatui di Pyro,Fatui Pyro Agent,en-US
Ahşap Kalkanlı Dağ Azmanı,Wooden Shieldwall Mitachurl,en-US
Ahşap Kalkanlı Dağ Yabanisi Muhafızı,Wooden Shield Hilichurl Guard,en-US
Ajedrez Guardapuertas,The Game Before the Gate,en-US
Akış Kılıcı: Avcı Asker,Flowing Blade Skirmisher,en-US
Akış Kılıcı: Yağlı Testere,Flowing Blade Grease-Saw,en-US
Akış Kılıcı: Zıpkın Atan,Flowing Blade Harpoon-Thrower,en-US
Akışkan Lav Avatarı,Fluid Avatar of Lava,en-US
Alabardera Alada,Winged Halberd-Knight,en-US
Alem Muhafızı,Domain Keeper,en-US
Alev Baltalı Dağ Azmanı,Blazing Axe Mitachurl,en-US
Algorithme de semi-intransition matriciaire d'observation en néo-réseau,Algorithm of Semi-Intransient Matrix of Overseer Network,en-US
Algorithmus der semi-inkonstanten Matrix des Observierer-Netzwerks,Algorithm of Semi-Intransient Matrix of Overseer Network,en-US
Algoritmo de Semi-Incesante Matriz de Observación Navegadora,Algorithm of Semi-Intransient Matrix of Overseer Network,en-US
Algoritmo della Matrice semi-perenne della rete di sorveglianza,Algorithm of Semi-Intransient Matrix of Overseer Network,en-US
Alte Geo-Drachenechse,Primo Geovishap,en-US
Altın Alevli Gukuzor Tiran,Goldflame Qucusaur Tyrant,en-US
Anciano Vigorarbóreo,Rugged Elder Leshy,en-US
Ancião Áspero Arbóreo,Rugged Elder Leshy,en-US
Anemo-Gespenst,Anemo Specter,en-US
Anemo-Hypostase,Anemo Hypostasis,en-US
Anemo-Samachurl,Anemo Samachurl,en-US
Anemo-Schleim,Anemo Slime,en-US
Angler der verborgenen Tiefen,Fisher of Hidden Depths,en-US
Anordnung immerwährender Vorrichtungen,Perpetual Mechanical Array,en-US
Antilope radieuse,Radiant Antelope,en-US
Antilope radiosa,Radiant Antelope,en-US
Antílope Radiante,Radiant Antelope,en-US
Anémoblob,Anemo Slime,en-US
Anémoblob géant,Large Anemo Slime,en-US
Apep Vahası'nın Muhafızı,Guardian of Apep's Oasis,en-US
Apostolo dell'Abisso: Cascata algida,Abyss Herald: Frost Fall,en-US
Apostolo dell'Abisso: Torrenti maligni,Abyss Herald: Wicked Torrents,en-US
Apóstolo do Abismo - Corrente Torrencial,Abyss Herald: Wicked Torrents,en-US
Apóstolo do Abismo - Geada Imponente,Abyss Herald: Frost Fall,en-US
Apôtre de l'Abîme - Frimas,Abyss Herald: Frost Fall,en-US
Apôtre de l'Abîme - Torrent,Abyss Herald: Wicked Torrents,en-US
Arbalétrier Brutocollinus,Hilichurl Shooter,en-US
Arbalétrier Brutocollinus Cryo,Cryo Hilichurl Shooter,en-US
Arbalétrier Brutocollinus Pyro,Pyro Hilichurl Shooter,en-US
Arbalétrier Brutocollinus Électro,Electro Hilichurl Shooter,en-US
Arbalétrier des Érémites,Eremite Crossbow,en-US
Arbre congelé,Cryo Regisvine,en-US
Arbre enflammé,Pyro Regisvine,en-US
Arbre foudroyé,Electro Regisvine,en-US
Arlecchino,The Knave,en-US
Armadura do Vazio: Defensor,Shadowy Husk: Defender,en-US
Armadura do Vazio: Demolidor de Linhas,Shadowy Husk: Line Breaker,en-US
Armadura do Vazio: Porta-estandarte,Shadowy Husk: Standard Bearer,en-US
Armatura oscura: Alfiere,Shadowy Husk: Standard Bearer,en-US
Armatura oscura: Difensore,Shadowy Husk: Defender,en-US
Armatura oscura: Rompifile,Shadowy Husk: Line Breaker,en-US
Arpioniere della Lama fluente,Flowing Blade Harpoon-Thrower,en-US
Arraia Caçadora,Hunter's Ray,en-US
Arremessador Volkodlak,Volkodlak Lobber,en-US
Arremessador de Pontas da Lâmina Fluida,Flowing Blade Harpoon-Thrower,en-US
Artropojade Radiante,Radiant Lunapod,en-US
Asaltante Orejilargo,Long-Eared Striker,en-US
Asceta Espiritista,Wayward Hermetic Spiritspeaker,en-US
Asi Hermetik Ruh Sözcüsü,Wayward Hermetic Spiritspeaker,en-US
Asilzade,Childe,en-US
Assaltatore dalle orecchie lunghe,Long-Eared Striker,en-US
Atacante Volkodlak,Volkodlak Raider,en-US
Atacante das Ruínas,Ruin Destroyer,en-US
Ateş Bodurlopu,Pyro Slime,en-US
Ateş Hipostazı,Pyro Hypostasis,en-US
Ateş Uçarlopu,Pyro Specter,en-US
Ateş ve Demir İmparatoru,Emperor of Fire and Iron,en-US
Aufkommende Strömung – Nachkomme der Frostnacht,Surging Currents: Frostnight Scion,en-US
Auge des Sturms,Eye of the Storm,en-US
Ausgestiegene Suanni,Solitary Suanni,en-US
Automa della Fonte segreta: Cacciatore-Inseguitore,Secret Source Automaton: Hunter-Seeker,en-US
Automa della Fonte segreta: Dispositivo di configurazione,Secret Source Automaton: Configuration Device,en-US
Automa della Fonte segreta: Dispositivo di sorveglianza,Secret Source Automaton: Overseer Device,en-US
Automate de source secrète : Chasseur-chercheur,Secret Source Automaton: Hunter-Seeker,en-US
Automate de source secrète : Configurateur,Secret Source Automaton: Configuration Device,en-US
Automate de source secrète : Surveillant,Secret Source Automaton: Overseer Device,en-US
Autómata Fuentenigma - Máquina configuracional,Secret Source Automaton: Configuration Device,en-US
Autómata Fuentenigma - Máquina de control,Secret Source Automaton: Overseer Device,en-US
Autómata Fuentenigma - Rastreador,Secret Source Automaton: Hunter-Seeker,en-US
Autômato da Fonte Secreta: Caçador-Perseguidor,Secret Source Automaton: Hunter-Seeker,en-US
Autômato da Fonte Secreta: Dispositivo Supervisor,Secret Source Automaton: Overseer Device,en-US
Autômato da Fonte Secreta: Mecanismo Construtivo,Secret Source Automaton: Configuration Device,en-US
Avatar Fluido da Lava,Fluid Avatar of Lava,en-US
Avatar de Lava Erodindo,Eroding Avatar of Lava,en-US
Avatar fluide de lave,Fluid Avatar of Lava,en-US
Avatar érodant de lave,Eroding Avatar of Lava,en-US
Avcı Vatoz,Hunter's Ray,en-US
Avvoltoio rosso consacrato,Consecrated Red Vulture,en-US
Ayaklı Su Mantarı,Grounded Hydroshroom,en-US
Ayaklı Toprak Mantarı,Grounded Geoshroom,en-US
Aynalı Rahibe,Mirror Maiden,en-US
Aşınan Lav Avatarı,Eroding Avatar of Lava,en-US
Aşınmış Kadim Ateşin Efendisi,Lord of Eroded Primal Fire,en-US
Baleia Devoradora,All-Devouring Narwhal,en-US
Balon Ahtapot,Ball Octopus,en-US
Baloncuklu Denizatı,Bubbly Seahorse,en-US
Baracrabe,Sternshield Crab,en-US
Barbarischer Recke – Greifer,Ferocious Warrior: Grappler,en-US
Barbarischer Recke – Rammbock,Ferocious Warrior: Human Ram,en-US
Barbarischer Recke – Ringer,Ferocious Warrior: Wrestler,en-US
Bardo del Abismo - Llamas abismales,Abyss Lector: Fathomless Flames,en-US
Bardo del Abismo - Trueno púrpura,Abyss Lector: Violet Lightning,en-US
Bardo do Abismo - Chamas Abismais,Abyss Lector: Fathomless Flames,en-US
Bardo do Abismo - Trovão Violeta,Abyss Lector: Violet Lightning,en-US
Baskılama Uzmanı Meka,Suppression Specialist Mek,en-US
Batedor Volkodlak,Volkodlak Basher,en-US
Batedor da Tempestade de Passo Ágil,Swiftstep Storm Scout,en-US
Batedor das Ruínas,Ruin Scout,en-US
Batizador Iníquo,Iniquitous Baptist,en-US
Battezzante maligno,Iniquitous Baptist,en-US
Bautista Sacrílego,Iniquitous Baptist,en-US
Başmelek Deniz Tavşanı,Cherubic Sea Hare,en-US
Bebenmacher – Wayob-Verkörperung,Thundering Wayob Manifestation,en-US
Belette des montagnes à coquille fournaise,Furnace Shell Mountain Weasel,en-US
Berserker Brutocollinus,Hilichurl Berserker,en-US
Beschützer von Apeps Oase,Guardian of Apep's Oasis,en-US
Besta Quimérica Armada,Chimeric Armored Beast,en-US
Besta Quimérica Enterrada,Chimeric Burrowbeast,en-US
Besta Xuanwen,Xuanwen Beast,en-US
Besta de Presas da Ossada Sagrada,Consecrated Fanged Beast,en-US
Bestia Colmillofrenética,Fanged Zealot,en-US
Bestia Quimérica Acorazada,Chimeric Armored Beast,en-US
Bestia Quimérica Terralanzadera,Chimeric Burrowbeast,en-US
Bestia Xuanwen,Xuanwen Beast,en-US
Bestia chimerica corazzata,Chimeric Armored Beast,en-US
Bestia scavatrice chimerica,Chimeric Burrowbeast,en-US
Bestia zannuta consacrata,Consecrated Fanged Beast,en-US
Bin Yıllık İnci Denizatı,Millennial Pearl Seahorse,en-US
Blattraser – Wayob-Verkörperung,Foliar-Swift Wayob Manifestation,en-US
Blitze – Nachkomme der Frostnacht,Gleaming Charge: Frostnight Scion,en-US
Blitzhelm-Lawachurl,Thunderhelm Lawachurl,en-US
Blobbofoca,Blubberbeast,en-US
Blubber-Seepferd,Bubbler Seahorse,en-US
Blubber-Seepferdchen,Bubbly Seahorse,en-US
Bombacı Buz Dağ Yabanisi,Cryo Hilichurl Grenadier,en-US
Bombacı Dağ Yabanisi,Hilichurl Grenadier,en-US
Bombacı Elektrik Dağ Yabanisi,Electro Hilichurl Grenadier,en-US
Borboleta Fantasmagórica do Véu Lunar,Radiant Moonfly,en-US
Boudiné,Blubberbeast,en-US
Brand – Nachkomme der Frostnacht,Blazing Brilliance: Frostnight Scion,en-US
Brennkammer-Bergmarder,Furnace Shell Mountain Weasel,en-US
Brillance ardente : Héritier de givrenuit,Blazing Brilliance: Frostnight Scion,en-US
Brise-formation des Érémites,Eremite Linebreaker,en-US
Brutocollinus,Hilichurl,en-US
Brutocollinus avec bouclier de bois,Wooden Shield Hilichurl Guard,en-US
Brutocollinus avec bouclier de glace,Ice Shield Hilichurl Guard,en-US
Brutocollinus avec bouclier de pierre,Rock Shield Hilichurl Guard,en-US
Brutocollinus étrange,Unusual Hilichurl,en-US
Brutoshaman Anémo,Anemo Samachurl,en-US
Brutoshaman Cryo,Cryo Samachurl,en-US
Brutoshaman Dendro,Dendro Samachurl,en-US
Brutoshaman Géo,Geo Samachurl,en-US
Brutoshaman Hydro,Hydro Samachurl,en-US
Brutoshaman Électro,Electro Samachurl,en-US
Brutoviandu avec bouclier de bois,Wooden Shieldwall Mitachurl,en-US
Brutoviandu avec bouclier de glace,Ice Shieldwall Mitachurl,en-US
Brutoviandu avec bouclier de pierre,Rock Shieldwall Mitachurl,en-US
Brutoviandu avec hache Pyro,Blazing Axe Mitachurl,en-US
Brutoviandu avec hache Électro,Crackling Axe Mitachurl,en-US
Brutovéreux Anémo,Anemo Hilichurl Rogue,en-US
Brutovéreux Hydro,Hydro Hilichurl Rogue,en-US
Buitre Escarlata Sacróseo,Consecrated Red Vulture,en-US
Buz Ajanı,Frost Operative,en-US
Buz Bodurlopu,Cryo Slime,en-US
Buz Cicini,Cryo Cicin,en-US
Buz Dağ Şamanı,Cryo Samachurl,en-US
Buz Hipostazı,Cryo Hypostasis,en-US
Buz Kalkanlı Dağ Azmanı,Ice Shieldwall Mitachurl,en-US
Buz Kalkanlı Dağ Yabanisi Muhafızı,Ice Shield Hilichurl Guard,en-US
Buz Kollu Dağ Reisi,Frostarm Lawachurl,en-US
Buz Sırça: Donuk Gecenin Varisi,Icy Crystal: Frostnight Scion,en-US
Buz Uçarlopu,Cryo Specter,en-US
Buzkıran Su Ejderi,Rimebiter Bathysmal Vishap,en-US
Buzul Büyücüsü,Glaciomancer,en-US
Buzul Muhafızı,Glacial Warden,en-US
Buzul Rüzgarı Süiti,Icewind Suite,en-US
Bête cuirassée chimérique,Chimeric Armored Beast,en-US
Bête de Xuanwen,Xuanwen Beast,en-US
Bête-fouisse chimérique,Chimeric Burrowbeast,en-US
Bò Cạp Độc Thánh Hóa,Consecrated Scorpion,en-US
Bóng Ma - Băng,Cryo Specter,en-US
Bóng Ma - Hỏa,Pyro Specter,en-US
Bóng Ma - Lôi,Electro Specter,en-US
Bóng Ma - Nham,Geo Specter,en-US
Bóng Ma - Phong,Anemo Specter,en-US
Bóng Ma - Thảo,Dendro Specter,en-US
Bóng Ma - Thủy,Hydro Specter,en-US
Bölge Uyarı Mekası,Area Alert Mek,en-US
Bùng Cháy: Hậu Duệ Đêm Sương,Blazing Brilliance: Frostnight Scion,en-US
Büyük Ateş Bodurlopu,Large Pyro Slime,en-US
Büyük Buz Bodurlopu,Large Cryo Slime,en-US
Büyük Doğa Bodurlopu,Large Dendro Slime,en-US
Büyük Elektrik Bodurlopu,Large Electro Slime,en-US
Büyük Gelişmiş Patojen,Large Overgrown Breacher Primus,en-US
Büyük Kırıp Geçen Patojen,Large Shatterstone Breacher Primus,en-US
Büyük Rüzgar Bodurlopu,Large Anemo Slime,en-US
Büyük Su Bodurlopu,Large Hydro Slime,en-US
Büyük Toprak Bodurlopu,Large Geo Slime,en-US
Băng Nguyên Bản,Cryo Hypostasis,en-US
Bướm Ánh Trăng Bức Xạ,Radiant Moonfly,en-US
Bạch Tuộc Bóng Tròn,Ball Octopus,en-US
Bạch Tuộc Bức Xạ,Radiant Lunapod,en-US
Bạo Chúa Qucusaur Lửa Vàng,Goldflame Qucusaur Tyrant,en-US
Bạo Đồ Hilichurl Búa Lôi,Crackling Axe Mitachurl,en-US
Bạo Đồ Hilichurl Búa Lửa,Blazing Axe Mitachurl,en-US
Bạo Đồ Hilichurl Khiên Băng,Ice Shieldwall Mitachurl,en-US
Bạo Đồ Hilichurl Khiên Gỗ,Wooden Shieldwall Mitachurl,en-US
Bạo Đồ Hilichurl Khiên Đá,Rock Shieldwall Mitachurl,en-US
Bạo Đồ Nanh Thú,Fanged Zealot,en-US
Bụi Gai: Hậu Duệ Đêm Sương,Tangled Vines: Frostnight Scion,en-US
Caballero Serpiente Negra - Aire afilado,Black Serpent Knight: Windcutter,en-US
Caballero Serpiente Negra - Hachero demolerrocas,Black Serpent Knight: Rockbreaker Ax,en-US
Caballito Burbumarino,Bubbly Seahorse,en-US
Caballito Burbumarino Macho,Bubbler Seahorse,en-US
Cacciatore delle rovine,Ruin Hunter,en-US
Cacciatore di tesori becchino,Treasure Hoarders: Gravedigger,en-US
Cacciatore di tesori cecchino,Treasure Hoarders: Marksman,en-US
Cacciatore di tesori demolitore,Treasure Hoarders: Crusher,en-US
Cacciatore di tesori marinaio,Treasure Hoarders: Seaman,en-US
Cacciatore di tesori pozionista di Cryo,Treasure Hoarders: Cryo Potioneer,en-US
Cacciatore di tesori pozionista di Electro,Treasure Hoarders: Electro Potioneer,en-US
Cacciatore di tesori pozionista di Hydro,Treasure Hoarders: Hydro Potioneer,en-US
Cacciatore di tesori pozionista di Pyro,Treasure Hoarders: Pyro Potioneer,en-US
Cacciatore di tesori pugile,Treasure Hoarders: Pugilist,en-US
Cacciatore di tesori ricognitore,Treasure Hoarders: Scout,en-US
Cacciatore di tesori tuttofare,Treasure Hoarders: Handyman,en-US
Cacciatore selvaggio,Wilderness Hunter,en-US
Cacciatrice ululante,Voywolf Hunter,en-US
Cachorro Acechador Eléctrico,Thundercraven Rifthound Whelp,en-US
Cachorro Acechador Lítico,Rockfond Rifthound Whelp,en-US
Calamaro radioso,Radiant Lunapod,en-US
Canard à torgnoles,Knuckle Duckle,en-US
Cangrejo Acorazado,Armored Crab,en-US
Cangrejo Acorazado Robusto,Sternshield Crab,en-US
Caniné sacralisé,Consecrated Fanged Beast,en-US
Cantore dell'Abisso: Fiamme imperscrutabili,Abyss Lector: Fathomless Flames,en-US
Cantore dell'Abisso: Fulmine viola,Abyss Lector: Violet Lightning,en-US
Caranguejo Escudo-firme,Sternshield Crab,en-US
Caranguejo de Armadura,Armored Crab,en-US
Carapace sombre - Brise-formation,Shadowy Husk: Line Breaker,en-US
Carapace sombre - Défenseur,Shadowy Husk: Defender,en-US
Carapace sombre - Porte-étendard,Shadowy Husk: Standard Bearer,en-US
Carica luminosa: Erede della Notte gelata,Gleaming Charge: Frostnight Scion,en-US
Carnero Radiante,Radiant Antelope,en-US
Cavaleiro Alado Dançarino,Winged Soarer Knight,en-US
Cavaleiro Alado de Alabarda,Winged Halberd-Knight,en-US
Cavaleiro da Serpente Negra - Machado Quebra-rocha,Black Serpent Knight: Rockbreaker Ax,en-US
Cavaleiro da Serpente Negra - Quebra-Vento,Black Serpent Knight: Windcutter,en-US
Cavaliere alato con alabarda,Winged Halberd-Knight,en-US
Cavaliere del Serpente nero: Fendivento,Black Serpent Knight: Windcutter,en-US
Cavaliere del Serpente nero: Scure spaccapietra,Black Serpent Knight: Rockbreaker Ax,en-US
Cavaliere volante alato,Winged Soarer Knight,en-US
Cavalo-marinho Perolado Milenar,Millennial Pearl Seahorse,en-US
Cavalo-marinho com Mais Bolhas,Bubbler Seahorse,en-US
Cavalo-marinho de Bolhas,Bubbly Seahorse,en-US
Cazador de las Ruinas,Ruin Hunter,en-US
Cazador de los Páramos,Wilderness Hunter,en-US
Cazadora Aullalobo,Voywolf Hunter,en-US
Cazzotto Paperotto,Knuckle Duckle,en-US
Caçador Lupino,Voywolf Hunter,en-US
Caçador Selvagem,Wilderness Hunter,en-US
Caçador das Ruínas,Ruin Hunter,en-US
