source,target,tgt_lng
Abenteuermodus,Avventura,it-IT
Adventure Mode,Avventura,it-IT
Chế độ chơi của bạn đã được cập nhật thành %s,Cambiato la tua modalità di gioco in %s,it-IT
Chế độ khán giả,Spettatore,it-IT
Chế độ phiêu lưu,Avventura,it-IT
Chế độ sinh tồn,Sopravvivenza,it-IT
Chế độ siêu khó,Estrema,it-IT
Chế độ sáng tạo,Creativa,it-IT
Creative Mode,Creativa,it-IT
Dein Spielmodus wurde zu %s geändert,Cambiato la tua modalità di gioco in %s,it-IT
Hardcore Mode,Estrema,it-IT
Hardcore‐Modus,Estrema,it-IT
Hayatta Kalma Modu,Sopravvivenza,it-IT
Kreativmodus,Creativa,it-IT
Macera Modu,Avventura,it-IT
Mode Aventure,Avventura,it-IT
Mode Créatif,Creativa,it-IT
Mode Hardcore,Estrema,it-IT
Mode Spectateur,Spettatore,it-IT
Mode Survie,Sopravvivenza,it-IT
Modo Aventura,Avventura,it-IT
Modo aventura,Avventura,it-IT
Modo creativo,Creativa,it-IT
Modo Criativo,Creativa,it-IT
Modo Espectador,Spettatore,it-IT
Modo espectador,Spettatore,it-IT
Modo extremo,Estrema,it-IT
Modo Intenso,Estrema,it-IT
Modo Sobrevivência,Sopravvivenza,it-IT
Modo supervivencia,Sopravvivenza,it-IT
Oyun modunuz %s olarak değiştirildi,Cambiato la tua modalità di gioco in %s,it-IT
Seu modo de jogo foi alterado para %s,Cambiato la tua modalità di gioco in %s,it-IT
Seyirci Modu,Spettatore,it-IT
Spectator Mode,Spettatore,it-IT
Survival Mode,Sopravvivenza,it-IT
Tu modo de juego ha cambiado a %s,Cambiato la tua modalità di gioco in %s,it-IT
Votre mode de jeu a été changé en %s,Cambiato la tua modalità di gioco in %s,it-IT
Yaratıcı Mod,Creativa,it-IT
Your game mode has been updated to %s,Cambiato la tua modalità di gioco in %s,it-IT
Zorlayıcı Mod,Estrema,it-IT
Zuschauermodus,Spettatore,it-IT
Überlebensmodus,Sopravvivenza,it-IT
Ваш режим игры изменён на %s,Cambiato la tua modalità di gioco in %s,it-IT
Режим выживания,Sopravvivenza,it-IT
Режим наблюдателя,Spettatore,it-IT
Режим приключений,Avventura,it-IT
Творческий режим,Creativa,it-IT
Хардкор,Estrema,it-IT
โหมดผจญภัย,Avventura,it-IT
โหมดผู้ชม,Spettatore,it-IT
โหมดสร้างสรรค์,Creativa,it-IT
โหมดฮาร์ดคอร์,Estrema,it-IT
โหมดเกมของคุณได้รับการอัปเดตเป็น %s,Cambiato la tua modalità di gioco in %s,it-IT
โหมดเอาชีวิตรอด,Sopravvivenza,it-IT
アドベンチャーモード,Avventura,it-IT
クリエイティブモード,Creativa,it-IT
ゲームモードが%sに変更されました,Cambiato la tua modalità di gioco in %s,it-IT
サバイバルモード,Sopravvivenza,it-IT
スペクテイターモード,Spettatore,it-IT
ハードコアモード,Estrema,it-IT
你的游戏模式已被更新为%s,Cambiato la tua modalità di gioco in %s,it-IT
你的遊戲模式已被更新為 %s,Cambiato la tua modalità di gioco in %s,it-IT
冒险模式,Avventura,it-IT
冒險模式,Avventura,it-IT
创造模式,Creativa,it-IT
創造模式,Creativa,it-IT
旁觀者模式,Spettatore,it-IT
旁观模式,Spettatore,it-IT
极限模式,Estrema,it-IT
極限模式,Estrema,it-IT
生存模式,Sopravvivenza,it-IT
게임 모드가 %s로 갱신되었습니다,Cambiato la tua modalità di gioco in %s,it-IT
관전 모드,Spettatore,it-IT
모험 모드,Avventura,it-IT
서바이벌 모드,Sopravvivenza,it-IT
크리에이티브 모드,Creativa,it-IT
하드코어 모드,Estrema,it-IT
