source,target,tgt_lng
魔王权限等级,魔王權限等級,zh-TW
Authorization Level,魔王權限等級,zh-TW
魔王権限,魔王權限等級,zh-TW
마왕 권한 레벨,魔王權限等級,zh-TW
升级,升級,zh-TW
Level Up,升級,zh-TW
レベルアップ,升級,zh-TW
레벨업,升級,zh-TW
进阶,進階,zh-TW
Tier Up,進階,zh-TW
昇格,進階,zh-TW
승급,進階,zh-TW
觉醒,覺醒,zh-TW
Awakening,覺醒,zh-TW
覚醒,覺醒,zh-TW
각성,覺醒,zh-TW
Skills Description,技能概述,zh-TW
スキル,技能概述,zh-TW
스킬 설명,技能概述,zh-TW
技能强化,技能強化,zh-TW
Skills Enhancement,技能強化,zh-TW
スキル強化,技能強化,zh-TW
스킬 강화,技能強化,zh-TW
词条解锁,詞條解鎖,zh-TW
Unlocking Affixes,詞條解鎖,zh-TW
特性解放,詞條解鎖,zh-TW
옵션 오픈,詞條解鎖,zh-TW
词条契合度,詞條契合度,zh-TW
Affix Synergy,詞條契合度,zh-TW
特性のマッチ度,詞條契合度,zh-TW
옵션 호환도,詞條契合度,zh-TW
天赋概述,天賦概述,zh-TW
Talent Description,天賦概述,zh-TW
心相,天賦概述,zh-TW
특성 설명,天賦概述,zh-TW
天赋效果,天賦效果,zh-TW
Talent Effect,天賦效果,zh-TW
心相の効果,天賦效果,zh-TW
특성 효과,天賦效果,zh-TW
Affinity Description,默契概述,zh-TW
信頼,默契概述,zh-TW
호감도 설명,默契概述,zh-TW
默契获取-伙伴任务,默契獲得-夥伴任務,zh-TW
Increase Affinity - Affinity Task,默契獲得-夥伴任務,zh-TW
パートナー任務,默契獲得-夥伴任務,zh-TW
호감도 획득 - 파트너 임무,默契獲得-夥伴任務,zh-TW
旅人纹章,旅人紋章,zh-TW
Trekker Emblem,旅人紋章,zh-TW
巡遊者徽章,旅人紋章,zh-TW
여행가 배지,旅人紋章,zh-TW
纹章素材,紋章素材,zh-TW
Emblem Material,紋章素材,zh-TW
徽章素材,紋章素材,zh-TW
배지 재료,紋章素材,zh-TW
Trekker Preference,旅人偏好,zh-TW
徽章スロット,旅人偏好,zh-TW
여행가 취향,旅人偏好,zh-TW
纹章铸造,紋章鑄造,zh-TW
Emblem Forging,紋章鑄造,zh-TW
徽章の鋳造,紋章鑄造,zh-TW
배지 연성,紋章鑄造,zh-TW
纹章重铸,紋章重鑄,zh-TW
Emblem Reforging,紋章重鑄,zh-TW
特性の再抽選,紋章重鑄,zh-TW
배지 재련,紋章重鑄,zh-TW
重铸锁定,重鑄鎖定,zh-TW
Reforge Locking,重鑄鎖定,zh-TW
特性ロック,重鑄鎖定,zh-TW
재련 잠금,重鑄鎖定,zh-TW
纹章跃升,紋章躍升,zh-TW
Emblem Tempering,紋章躍升,zh-TW
特性強化,紋章躍升,zh-TW
배지 강화,紋章躍升,zh-TW
Monolith: Description,星塔-概述,zh-TW
星ノ塔探索,星塔-概述,zh-TW
별의 탑-설명,星塔-概述,zh-TW
星塔-潜能,星塔-潛能,zh-TW
Monolith: Potential,星塔-潛能,zh-TW
素質,星塔-潛能,zh-TW
별의 탑-잠재력,星塔-潛能,zh-TW
Monolith: Musical Note,星塔-音符,zh-TW
音符,星塔-音符,zh-TW
별의 탑-소리,星塔-音符,zh-TW
星塔-协奏技能,星塔-協奏技能,zh-TW
Monolith: Harmony Skill,星塔-協奏技能,zh-TW
アシスト効果,星塔-協奏技能,zh-TW
별의 탑-협주 스킬,星塔-協奏技能,zh-TW
Monolith: Event,星塔-事件,zh-TW
イベント,星塔-事件,zh-TW
별의 탑-사건,星塔-事件,zh-TW
星塔-纪录,星塔-紀錄,zh-TW
Monolith: Records,星塔-紀錄,zh-TW
記録,星塔-紀錄,zh-TW
별의 탑-기록,星塔-紀錄,zh-TW
Description,概述,zh-TW
星ノ塔研究,概述,zh-TW
설명,概述,zh-TW
研究层级,研究層級,zh-TW
Research Layers,研究層級,zh-TW
研究段階,研究層級,zh-TW
연구 단계,研究層級,zh-TW
研究条件,研究條件,zh-TW
Research Requirements,研究條件,zh-TW
연구 조건,研究條件,zh-TW
纪录概述,紀錄概述,zh-TW
Record Description,紀錄概述,zh-TW
記録,紀錄概述,zh-TW
기록 설명,紀錄概述,zh-TW
潜能与祝福,潛能與祝福,zh-TW
Potentials and Blessings,潛能與祝福,zh-TW
素質と音符,潛能與祝福,zh-TW
잠재력과 축복,潛能與祝福,zh-TW
潜能预设-分享与导入,潛能預設-分享與匯入,zh-TW
Potential Presets: Share & Import,潛能預設-分享與匯入,zh-TW
素質プリセット-共有とインポート,潛能預設-分享與匯入,zh-TW
잠재력 프리셋-공유 및 가져오기,潛能預設-分享與匯入,zh-TW
Travel Story,旅行故事,zh-TW
ストーリー,旅行故事,zh-TW
여행 스토리,旅行故事,zh-TW
日常勤务,日常勤務,zh-TW
Daily Task,日常勤務,zh-TW
基礎研修,日常勤務,zh-TW
일상 업무,日常勤務,zh-TW
强敌讨伐,強敵討伐,zh-TW
Enemy Hunting,強敵討伐,zh-TW
首領討伐,強敵討伐,zh-TW
강적 토벌,強敵討伐,zh-TW
纹章本,紋章冊,zh-TW
Emblem Hunting,紋章冊,zh-TW
徽章ダンジョン,紋章冊,zh-TW
배지 던전,紋章冊,zh-TW
巅峰秀场,巔峰秀場,zh-TW
Summit Show,巔峰秀場,zh-TW
頂上決戦,巔峰秀場,zh-TW
정상결전,巔峰秀場,zh-TW
属性增益,屬性增益,zh-TW
Stat Bonus,屬性增益,zh-TW
ステータス強化,屬性增益,zh-TW
속성 버프,屬性增益,zh-TW
Main Slot: Melody Skill,主位-主旋律技能,zh-TW
メイン枠のコア効果,主位-主旋律技能,zh-TW
메인-멜로디 스킬,主位-主旋律技能,zh-TW
主位-协奏技能,主位-協奏技能,zh-TW
Main Slot: Harmony Skill,主位-協奏技能,zh-TW
メイン枠のアシスト効果,主位-協奏技能,zh-TW
메인-협주 스킬,主位-協奏技能,zh-TW
辅位-初始音符,輔位-初始音符,zh-TW
Support Slot: Initial Musical Note,輔位-初始音符,zh-TW
サブ枠の初期音符,輔位-初始音符,zh-TW
보조-기본 소리,輔位-初始音符,zh-TW
联系人,聯絡人,zh-TW
Contacts,聯絡人,zh-TW
連絡先,聯絡人,zh-TW
연락처,聯絡人,zh-TW
聊天会话,聊天對話,zh-TW
Chats,聊天對話,zh-TW
チャット,聊天對話,zh-TW
메시지 대화,聊天對話,zh-TW
切换聊天,切換聊天,zh-TW
Chat History,切換聊天,zh-TW
チャット履歴,切換聊天,zh-TW
대화창 전환,切換聊天,zh-TW
干劲简介,活力簡介,zh-TW
Vigor Description,活力簡介,zh-TW
やる気,活力簡介,zh-TW
활력 설명,活力簡介,zh-TW
手动恢复,手動恢復,zh-TW
Vigor Recovery,手動恢復,zh-TW
やる気の回復,手動恢復,zh-TW
직접 회복,手動恢復,zh-TW
干劲储备,活力儲備,zh-TW
Vigor Reserve,活力儲備,zh-TW
やる気ストック,活力儲備,zh-TW
활력 저장,活力儲備,zh-TW
Gameplay Overview,玩法概述,zh-TW
無限リング,玩法概述,zh-TW
콘텐츠 설명,玩法概述,zh-TW
擂台规则,擂台規則,zh-TW
Arena Rules,擂台規則,zh-TW
リングのルール,擂台規則,zh-TW
아레나 규칙,擂台規則,zh-TW
灾变防线-编队,災變防線-編隊,zh-TW
Cataclysm Survivor: Squads,災變防線-編隊,zh-TW
