source,target,tgt_lng
"""Called In For Cleanup""",«Уборку заказывали?»,ru-RU
"""Crimson Witch of Embers""",Тлеющая алая ведьма,ru-RU
"""Công Việc Dọn Dẹp""",«Уборку заказывали?»,ru-RU
"""Lavoro di pulizia""",«Уборку заказывали?»,ru-RU
"""Temizlik İşi Vardı""",«Уборку заказывали?»,ru-RU
"""Trabalho de limpeza""",«Уборку заказывали?»,ru-RU
"""รูปแบบไร้พลังงาน""",Деактивировано,ru-RU
A Estrela Chegou: Grande Colapso Vulcânico,Ослепительное сошествие: Обрушение вулкана,ru-RU
Abenteuer,Опыт приключений,ru-RU
Abilità passiva,Пассивный навык,ru-RU
Absorción de poder elemental,Поглощение силы элемента,ru-RU
Absorption de la puissance d'un élément correspondant,Поглощение силы элемента,ru-RU
Absorve o poder do elemento correspondente,Поглощение силы элемента,ru-RU
Abstimmung,Гармонизация,ru-RU
Abwerfen,Отказ,ru-RU
Acción adicional,Дополнительное действие,ru-RU
Acción de combate,Боевое действие,ru-RU
Acción rápida,Быстрое действие,ru-RU
Action de combat,Боевое действие,ru-RU
Action rapide,Быстрое действие,ru-RU
Action supplémentaire,Дополнительное действие,ru-RU
Adil Yargı,Взвешенный вердикт,ru-RU
Adventure,Опыт приключений,ru-RU
Aegis of Abyssal Flame,Эгида пламени бездны,ru-RU
Aggressore dei Fatui,Фатуи в засаде,ru-RU
Agile Switch,Оперативное переключение,ru-RU
Ahorros de Taroumaru,Фонд Таромару,ru-RU
Ajuste de cuentas,«Уборку заказывали?»,ru-RU
Aktif Karakterine En Yakın Karakter,"Персонаж противника, наиболее близкий к вашему активному персонажу",ru-RU
Aldatıcı Tohum,Семена лжи,ru-RU
Alev Bariyeri,Пылающий щит,ru-RU
Alles wendender Heiliger Fürst,Священный владыка перемен,ru-RU
Alt Akıntının Laneti,Проклятие Скрытого течения,ru-RU
Amparo plumífero,Воронье покрывало,ru-RU
Anemo,Анемо,ru-RU
Anemo DMG,Анемо урон,ru-RU
Anemo-Reaktionen,Анемо реакции,ru-RU
Anemo-Reaktionen,Анемо реакция,ru-RU
Anemo-Related Reactions,Анемо реакции,ru-RU
Anemo-Related Reactions,Анемо реакция,ru-RU
Anemo-Schaden,Анемо урон,ru-RU
Angriff aus dem Fall,Атака в падении,ru-RU
Anémo,Анемо,ru-RU
Aplicación Cryo,Эффект Крио,ru-RU
Aplicación Dendro,Эффект Дендро,ru-RU
Aplicación Electro,Эффект Электро,ru-RU
Aplicación Geo,Эффект Гео,ru-RU
