source,target,tgt_lng
%s (Bắt buộc),%s (necessario),it-IT
%s (erforderlich),%s (necessario),it-IT
%s (facultatif),%s (facoltativo),it-IT
%s (facultatif) - désactivé,%s (facoltativo) — disattivato,it-IT
%s (Gerekli),%s (necessario),it-IT
%s (İsteğe Bağlı),%s (facoltativo),it-IT
%s (İsteğe Bağlı) - Devre Dışı,%s (facoltativo) — disattivato,it-IT
%s (Không bắt buộc),%s (facoltativo),it-IT
%s (không bắt buộc) - Đã tắt,%s (facoltativo) — disattivato,it-IT
%s (necesario),%s (necessario),it-IT
%s (obrigatório),%s (necessario),it-IT
%s (opcional),%s (facoltativo),it-IT
%s (opcional) — Não,%s (facoltativo) — disattivato,it-IT
%s (opcional): Desactivado,%s (facoltativo) — disattivato,it-IT
%s (Optional),%s (facoltativo),it-IT
%s (optional),%s (facoltativo),it-IT
%s (Optional) - Disabled,%s (facoltativo) — disattivato,it-IT
%s (optional) – Deaktiviert,%s (facoltativo) — disattivato,it-IT
%s (Required),%s (necessario),it-IT
%s (requis),%s (necessario),it-IT
%s (необязательно),%s (facoltativo),it-IT
%s (необязательно) — Отключено,%s (facoltativo) — disattivato,it-IT
%s (обязательно),%s (necessario),it-IT
%s (จำเป็น),%s (necessario),it-IT
%s (ไม่จำเป็น),%s (facoltativo),it-IT
%s (ไม่จำเป็น) - ปิดการใช้งาน,%s (facoltativo) — disattivato,it-IT
%s (선택적),%s (facoltativo),it-IT
%s (선택적) - 꺼짐,%s (facoltativo) — disattivato,it-IT
%s (필수),%s (necessario),it-IT
%s（任意）,%s (facoltativo),it-IT
%s（任意） - 無効,%s (facoltativo) — disattivato,it-IT
%s（可选）,%s (facoltativo),it-IT
%s（可选，已禁用）,%s (facoltativo) — disattivato,it-IT
%s（可選 – 已停用）,%s (facoltativo) — disattivato,it-IT
%s（可選）,%s (facoltativo),it-IT
%s（必要）,%s (necessario),it-IT
%s（必須）,%s (necessario),it-IT
Aceito o envio de telemetria opcional,Acconsento all'invio di dati di telemetria facoltativi,it-IT
Advancement ID,ID del progresso,it-IT
Advancement Made,Progresso compiuto,it-IT
Alcance visual,Visibilità,it-IT
Amostras de taxa de quadros (FPS),Campioni di frequenza dei fotogrammi [fps],it-IT
Amostras do tempo de renderização,Campioni del tempo di elaborazione grafica,it-IT
"Anhand dieses Ereignisses können wir nachvollziehen, wie zuverlässig und leistungsstark Direktverbindungen zwischen Spielern sind. Es erfasst Art und Dauer des interaktiven Verbindungsaufbaus (ICE, das für Direktverbindungen genutzte Protokoll) sowie den Verbindungserfolg.","Questo evento ci aiuta a capire l'affidabilità e le prestazioni delle connessioni a rete paritaria tra giocatori. Registra l'esito della connessione, il tipo di candidato usato per lo stabilimento di connettività interattiva (SCI, o ICE in inglese, il protocollo che usiamo per le connessioni a rete paritaria) e il tempo richiesto per stabilire la connessione.",it-IT
Anzahl der Datenwerte,Numero di campioni,it-IT
Arka Uç Adı,Nome della libreria grafica,it-IT
Arka Uç Oluşturma Hatası Eksik Özellikler,Funzionalità mancanti alla creazione della libreria,it-IT
Arka Uç Oluşturma Hatası Mesajı,Messaggio dell'errore nella creazione della libreria,it-IT
Arka Uç Oluşturma Hatası Nedeni,Motivo dell'errore nella creazione della libreria,it-IT
Ayrılmış Bellek (kB),Memoria dedicata [kB],it-IT
Backend Creation Failure Message,Messaggio dell'errore nella creazione della libreria,it-IT
Backend Creation Failure Missing Capabilities,Funzionalità mancanti alla creazione della libreria,it-IT
Backend Creation Failure Reason,Motivo dell'errore nella creazione della libreria,it-IT
Backend Name,Nome della libreria grafica,it-IT
Backend‐Initialisierungsfehler: Fehlende Funktionen,Funzionalità mancanti alla creazione della libreria,it-IT
Backend‐Initialisierungsfehler: Fehlermeldung,Messaggio dell'errore nella creazione della libreria,it-IT
Backend‐Initialisierungsfehler: Grund,Motivo dell'errore nella creazione della libreria,it-IT
Bağlantı Başarılı,Esito della connessione positivo,it-IT
Bağlantı Süresi (Milisaniye),Tempo di connessione di segnalamento [ms],it-IT
Başarısızlık Aşaması,Fase dell'errore,it-IT
Başlatıcı Adı,Nome del launcher,it-IT
Benutzer‐ID,ID dell'utente,it-IT
Betriebssystem,Sistema operativo,it-IT
"Bir dünyaya katılmanın ne kadar sürdüğünü ve bunun zaman içinde nasıl değiştiğini anlamak bizim için önemlidir. Örneğin, yeni özellikler eklediğimizde veya daha büyük teknik değişiklikler yaptığımızda, bunun yükleme süreleri üzerinde ne gibi bir etkisi olduğunu görmemiz gerekir.","Per noi è importante capire il tempo necessario per entrare in un mondo e come questo dato può cambiare. Ad esempio, quando aggiungiamo nuove funzionalità o apportiamo modifiche tecniche significative, ci serve sapere in che modo ciò incide sui tempi di caricamento.",it-IT
"Bir gelişim elde etmenin ardındaki mantığı anlamak, oyunun ilerlemesini daha iyi anlamamıza ve iyileştirmemize yardımcı olabilir.",Capire il contesto relativo al compimento di un progresso può aiutarci a comprendere meglio e a perfezionare la sequenza di gioco.,it-IT
Bootstrap Time (Milliseconds),Tempo di avvio [ms],it-IT
Bu durum bize başlangıç aşamalarının yürütüm zamanlarını ölçerek nerede performans iyileştirmelerinin gerekli olduğunu anlamamıza yardımcı olabilir.,"Misurando il tempo necessario a eseguire le fasi di avvio, quest'evento può aiutarci a capire dove c'è bisogno di migliorie.",it-IT
"Bu etkinlik oyuncular arasındaki eşler arası bağlantıların güvenilirlik ve performansını anlamamıza yardımcı oluyor. Bağlantının başarılı olup olmadığını, Etkileşimli Bağlantı Kuruluşu (ICE, eşler arası bağlantılar kurmak için kullandığımız protokol) adayının türünü ve bağlantıyı kurmanın ne kadar sürdüğünü kaydeder.","Questo evento ci aiuta a capire l'affidabilità e le prestazioni delle connessioni a rete paritaria tra giocatori. Registra l'esito della connessione, il tipo di candidato usato per lo stabilimento di connettività interattiva (SCI, o ICE in inglese, il protocollo che usiamo per le connessioni a rete paritaria) e il tempo richiesto per stabilire la connessione.",it-IT
Bu eylem oyunu çalıştırmak için kullanılan grafik aygıtının özellikleri hakkında bilgi verir.,Questo evento ci comunica le capacità del dispositivo grafico in uso durante la partita.,it-IT
"Bu olay, dünya oturumunun ne kadar sürdüğünü hesaplamak için Dünya Yüklendi olayıyla eşleştirilir.
Süre (saniye ve birim zaman cinsinden), bir dünya oturumu sona erdiğinde ölçülür (menüye dönmek, sunucudan ayrılmak).","Quest'evento viene usato insieme a «Mondo caricato» per calcolare la durata della sessione del mondo. La durata (in secondi e in tick) viene misurata al termine della sessione di un mondo, cioè quando si torna al menù principale o ci si disconnette da un server.",it-IT
"Bu veriyi toplamak, Minecraft’ı oyuncular için önemli açılardan geliştirmemizi sağlar.
Minecraft’ı geliştirmeye devam etmemize yardımcı olmak için ek geri bildirim de gönderebilirsiniz.","La raccolta di questi dati ci aiuta a migliorare Minecraft, indicandoci le decisioni più opportune per i giocatori. Inoltre, puoi inviare un riscontro aggiuntivo per aiutarci a migliorare Minecraft ulteriormente.",it-IT
Bộ nhớ chuyên dụng (kB),Memoria dedicata [kB],it-IT
Bộ nhớ truy cập ngẫu nhiên đã sử dụng,Utilizzo della memoria (RAM),it-IT
Caminho do Interactive Connectivity Establishment (ICE),Percorso dello stabilimento di connettività interattiva (SCI),it-IT
Capacidades gráficas,Funzionalità grafiche,it-IT
Capacités graphiques,Funzionalità grafiche,it-IT
Capacités manquantes lors de l'échec de la création du backend,Funzionalità mancanti alla creazione della libreria,it-IT
"Cet événement est associé à l'événement ""Monde chargé"" pour calculer la durée de la session de jeu.
La durée (en secondes et en ticks) est mesurée lorsqu'une session de jeu est terminée (en retournant au menu principal ou en se déconnectant d'un serveur).","Quest'evento viene usato insieme a «Mondo caricato» per calcolare la durata della sessione del mondo. La durata (in secondi e in tick) viene misurata al termine della sessione di un mondo, cioè quando si torna al menù principale o ci si disconnette da un server.",it-IT
"Cet événement nous aide à évaluer la fiabilité et les performances des connexions pair à pair entre les joueurs. Il enregistre la réussite ou l'échec de la connexion, le type de candidat utilisé pour l'établissement de connectivité interactive (ICE, le protocole que nous utilisons pour établir les connexions pair à pair) ainsi que le temps nécessaire pour établir la connexion.","Questo evento ci aiuta a capire l'affidabilità e le prestazioni delle connessioni a rete paritaria tra giocatori. Registra l'esito della connessione, il tipo di candidato usato per lo stabilimento di connettività interattiva (SCI, o ICE in inglese, il protocollo che usiamo per le connessioni a rete paritaria) e il tempo richiesto per stabilire la connessione.",it-IT
Cet événement nous informe des capacités du périphérique graphique utilisé pour jouer au jeu.,Questo evento ci comunica le capacità del dispositivo grafico in uso durante la partita.,it-IT
Cet événement peut nous aider à déterminer où des améliorations des performances au démarrage sont nécessaires en mesurant les temps d'exécution des phases.,"Misurando il tempo necessario a eseguire le fasi di avvio, quest'evento può aiutarci a capire dove c'è bisogno di migliorie.",it-IT
Chemin de l'établissement de connectivité interactive (ICE),Percorso dello stabilimento di connettività interattiva (SCI),it-IT
Chế độ chơi,Modalità di gioco,it-IT
Chọn tham gia,Consenso,it-IT
Client ID,ID del client,it-IT
Client Modded,Modifiche del client,it-IT
Client moddé ?,Modifiche del client,it-IT
Client modifiziert,Modifiche del client,it-IT
Cliente modificado,Modifiche del client,it-IT
Client‐ID,ID del client,it-IT
Coleta de dados telemétricos,Raccolta dei dati di telemetria,it-IT
"Coletar esses dados nos ajuda a melhorar o Minecraft, guiando nosso trabalho em direções relevantes para os jogadores.
Você também pode enviar seu feedback para nos ajudar a melhorar o Minecraft.","La raccolta di questi dati ci aiuta a migliorare Minecraft, indicandoci le decisioni più opportune per i giocatori. Inoltre, puoi inviare un riscontro aggiuntivo per aiutarci a migliorare Minecraft ulteriormente.",it-IT
Collecte des données de télémétrie,Raccolta dei dati di telemetria,it-IT
"Collecter ces données nous aide à améliorer Minecraft en nous guidant dans des directions qui sont pertinentes pour nos joueurs.
Vous pouvez aussi donner votre avis pour nous aider à améliorer le jeu.","La raccolta di questi dati ci aiuta a migliorare Minecraft, indicandoci le decisioni più opportune per i giocatori. Inoltre, puoi inviare un riscontro aggiuntivo per aiutarci a migliorare Minecraft ulteriormente.",it-IT
"Collecting this data helps us improve Minecraft by guiding us in directions that are relevant to our players.
You can also send in additional feedback to help us keep improving Minecraft.","La raccolta di questi dati ci aiuta a migliorare Minecraft, indicandoci le decisioni più opportune per i giocatori. Inoltre, puoi inviare un riscontro aggiuntivo per aiutarci a migliorare Minecraft ulteriormente.",it-IT
Compartir datos,Consenso,it-IT
Comprender el contexto en el que se realiza un progreso nos ayudará a entender y mejorar la progresión del juego.,Capire il contesto relativo al compimento di un progresso può aiutarci a comprendere meglio e a perfezionare la sequenza di gioco.,it-IT
Comprendre le contexte derrière la réalisation d'un progrès peut nous aider à améliorer la progression du jeu.,Capire il contesto relativo al compimento di un progresso può aiutarci a comprendere meglio e a perfezionare la sequenza di gioco.,it-IT
Conectado con éxito,Esito della connessione positivo,it-IT
Conexión P2P,Connessione a rete paritaria,it-IT
Conexão estabelecida,Esito della connessione positivo,it-IT
Conexão ponto a ponto,Connessione a rete paritaria,it-IT
"Conhecer o perfil geral de desempenho do Minecraft nos ajuda a otimizar o jogo para uma ampla variedade de dispositivos e sistemas operacionais. 
A versão do jogo é incluída para nos ajudar a comparar o desempenho das novas versões do Minecraft.","Conoscere il profilo delle prestazioni di Minecraft ci aiuta ad adattare e a ottimizzare il gioco per un'ampia gamma di dispositivi e sistemi operativi.
La versione del gioco è inclusa per aiutarci a effettuare il confronto con il profilo delle prestazioni delle nuove versioni di Minecraft.",it-IT
Connection Successful,Esito della connessione positivo,it-IT
Connexion pair à pair,Connessione a rete paritaria,it-IT
Connexion réussie,Esito della connessione positivo,it-IT
"Conocer el perfil de rendimiento de Minecraft nos ayuda a optimizar el juego para muchas especificaciones y sistemas operativos. 
La versión del juego se incluye para ayudarnos a comparar el rendimiento de nuevas versiones.","Conoscere il profilo delle prestazioni di Minecraft ci aiuta ad adattare e a ottimizzare il gioco per un'ampia gamma di dispositivi e sistemi operativi.
La versione del gioco è inclusa per aiutarci a effettuare il confronto con il profilo delle prestazioni delle nuove versioni di Minecraft.",it-IT
Consentement,Consenso,it-IT
Contagem de amostras,Numero di campioni,it-IT
Contenido del mapa de Realms (nombre del minijuego),Nome del minigioco o contenuto di Realms,it-IT
Contenu de la carte de Realms (nom du mini-jeu),Nome del minigioco o contenuto di Realms,it-IT
Conteúdo do mapa do Realms (nome do minijogo),Nome del minigioco o contenuto di Realms,it-IT
Dados incluídos,Dati inclusi,it-IT
Danos tu opinión,Invia riscontro,it-IT
Datenschutzerklärung,Info sulla riservatezza,it-IT
Datenwerte zur Bildwiederholrate (FPS),Campioni di frequenza dei fotogrammi [fps],it-IT
Datenwerte zur Renderzeit,Campioni del tempo di elaborazione grafica,it-IT
Datos incluidos,Dati inclusi,it-IT
Dauer (in Millisekunden) des interaktiven Verbindungsaufbaus (ICE),Tempo di connessione dello SCI [ms],it-IT
Declaración de privacidad,Info sulla riservatezza,it-IT
Declaração de Privacidade,Info sulla riservatezza,it-IT
Dedicated Memory (kB),Memoria dedicata [kB],it-IT
"Die Erhebung dieser Daten hilft uns, Minecraft zu verbessern, indem wir uns damit in die Richtungen weisen lassen, die unseren Spielern wichtig sind.
Du kannst auch zusätzliches Feedback abgeben, damit wir Minecraft weiter verbessern können.","La raccolta di questi dati ci aiuta a migliorare Minecraft, indicandoci le decisioni più opportune per i giocatori. Inoltre, puoi inviare un riscontro aggiuntivo per aiutarci a migliorare Minecraft ulteriormente.",it-IT
"Die genaue Ermittlung des allgemeinen Leistungsprofils von Minecraft hilft uns, das Spiel an eine Vielzahl von Geräteeigenschaften und Betriebssystemen abzustimmen und dafür zu optimieren. 
Die Angabe der Spielversion hilft uns, das Leistungsprofil für neue Versionen von Minecraft zu vergleichen.","Conoscere il profilo delle prestazioni di Minecraft ci aiuta ad adattare e a ottimizzare il gioco per un'ampia gamma di dispositivi e sistemi operativi.
La versione del gioco è inclusa per aiutarci a effettuare il confronto con il profilo delle prestazioni delle nuove versioni di Minecraft.",it-IT
