source,target,tgt_lng
"""Acqua pura""",「纯洁之水」,zh-CN
"""Nước Mạnh""",「强水」,zh-CN
"""Nước Tinh Khiết""",「纯洁之水」,zh-CN
"""Pure Water""",「纯洁之水」,zh-CN
"""Saf Su""",「纯洁之水」,zh-CN
"""Strength Tonic""",「强水」,zh-CN
"""Água da Pureza""",「纯洁之水」,zh-CN
A Alegria de Narukami,鸣神御灵的欢喜,zh-CN
A Coragem de Narukami,鸣神御灵的勇武,zh-CN
Aberrant Core of the Deep Shadow,深黯的怪核,zh-CN
Aberranter Kern der tiefen Schatten,深黯的怪核,zh-CN
Abgebrochener Zahn des borealischen Wolfs,凛风奔狼的断牙,zh-CN
Abgelagerte Masse,沉积结块,zh-CN
Abgelagerte Wucherung,沉积增生物,zh-CN
Abgenutzte Bolzenspitze,历战的箭簇,zh-CN
Abgrundlichtflosse,渊光鳍翅,zh-CN
Abzeichen für Offiziere,尉官的徽记,zh-CN
Abzeichen für Unteroffiziere,士官的徽记,zh-CN
Accreted Growth,沉积增生物,zh-CN
Accreted Mass,沉积结块,zh-CN
Aceite esencial de anhelo del destino,「缥缈仙缘」精油,zh-CN
Aceite esencial de doncella de la casa dorada,「金屋藏娇」精油,zh-CN
Aceite esencial de escarcha,霜劫精油,zh-CN
Aceite esencial de flora,丛林精油,zh-CN
Aceite esencial de impacto,惊雷精油,zh-CN
Aceite esencial de inmovilidad,磐石精油,zh-CN
Aceite esencial de llamas ardientes,烈火精油,zh-CN
Aceite esencial de menta,薄荷精油,zh-CN
Aceite esencial de tejedora de los valles,「山阴锦簇」精油,zh-CN
Aceite esencial de torrente,激流精油,zh-CN
Aceite esencial de ventisca,狂风精油,zh-CN
Aceite litoesencial especial,特殊的磐石精油,zh-CN
Acreción sedimentada,沉积增生物,zh-CN
Adalet Felsefesi,「正义」的哲学,zh-CN
Adalet Rehberi,「正义」的指引,zh-CN
Addio dell'Imperatore del gelo,凛雪帝皇的辞决,zh-CN
Adieu de l'empereur glacial,凛雪帝皇的辞决,zh-CN
Adiós del emperador de la escarcha,凛雪帝皇的辞决,zh-CN
Adunata dell'esercito della Candida Stella,苍星军势的集结,zh-CN
Afecto de Narukami,鸣神御灵的亲爱,zh-CN
Affection de Narukami,鸣神御灵的亲爱,zh-CN
Affetto di Narukami,鸣神御灵的亲爱,zh-CN
Afterglow of Long Night Flint,长夜燧火的残照,zh-CN
Agent's Sacrificial Knife,特工祭刀,zh-CN
Agnidus Agate Chunk,燃愿玛瑙块,zh-CN
Agnidus Agate Fragment,燃愿玛瑙断片,zh-CN
Agnidus Agate Gemstone,燃愿玛瑙,zh-CN
Agnidus Akiği Külçesi,燃愿玛瑙,zh-CN
Agnidus Akiği Kırıntısı,燃愿玛瑙断片,zh-CN
Agnidus Akiği Parçası,燃愿玛瑙块,zh-CN
Agnidus-Achat,燃愿玛瑙,zh-CN
Agnidus-Achat-Brocken,燃愿玛瑙块,zh-CN
Agnidus-Achat-Bruchstück,燃愿玛瑙断片,zh-CN
Agua pura,「纯洁之水」,zh-CN
Aileron lunaire,月色鳍翅,zh-CN
Aileron ténébreux,渊光鳍翅,zh-CN
Ajanın Klasik Cep Saati,役人的制式怀表,zh-CN
Ajanın Vefası,役人的时时刻刻,zh-CN
Akkor Yem,温火饵,zh-CN
Akıntı Özütü,激流精油,zh-CN
Alaca Kristal,异色结晶石,zh-CN
Albero di trasmissione di precisione,精制机轴,zh-CN
Albero di trasmissione rinforzato,加固机轴,zh-CN
Aleta lunar,月色鳍翅,zh-CN
Aleta luzabisal,渊光鳍翅,zh-CN
Aletta Baratroluce,渊光鳍翅,zh-CN
Aletta lunare,月色鳍翅,zh-CN
Alev Özütü,烈火精油,zh-CN
Alevli Fedakar Kalbin Kararlılığı,贡祭炽心的决绝,zh-CN
Alevli Fedakar Kalbin Çekincesi,贡祭炽心的踌躇,zh-CN
Alevli Fedakar Kalbin İhtişamı,贡祭炽心的荣膺,zh-CN
Alevli Göz,聚燃的游像眼,zh-CN
Alevli Prizma Kabuğu,明燃的棱状壳,zh-CN
Alevli Yaşam Tohumu,聚燃的命种,zh-CN
Alien Life Core,异界生命核,zh-CN
Alternação das Nuvens e o Mar,雾海云间的转还,zh-CN
Altın Ev Hanımı Özütü,「金屋藏娇」精油,zh-CN
Altın Felsefesi,「黄金」的哲学,zh-CN
Altın Kuzgun Nişanı,攫金鸦印,zh-CN
Altın Rehberi,「黄金」的指引,zh-CN
Amatista vajrada,最胜紫晶,zh-CN
Amplificação de Acreção,沉积增生物,zh-CN
Anemoculus Resonance Stone,风神瞳共鸣石,zh-CN
Anemoculus-Resonanzstein,风神瞳共鸣石,zh-CN
Angereichertes Harz,浓缩树脂,zh-CN
Anleitung zum „Elysium“,「乐园」的指引,zh-CN
Anleitung zum „Fleiß“,「勤劳」的指引,zh-CN
Anleitung zum „Gold“,「黄金」的指引,zh-CN
Anleitung zum „Licht“,「天光」的指引,zh-CN
Anleitung zum „Mondlicht“,「月光」的指引,zh-CN
Anleitung zum „Ruhm“,「荣光」的指引,zh-CN
Anleitung zum „Wettstreit“,「角逐」的指引,zh-CN
Anleitung zum „Widerstand“,「抗争」的指引,zh-CN
Anleitung zum „Wohlstand“,「繁荣」的指引,zh-CN
Anleitung zur „Beharrlichkeit“,「坚忍」的指引,zh-CN
Anleitung zur „Eleganz“,「风雅」的指引,zh-CN
Anleitung zur „Ermahnung“,「诤言」的指引,zh-CN
Anleitung zur „Fairness“,「公平」的指引,zh-CN
Anleitung zur „Findigkeit“,「巧思」的指引,zh-CN
Anleitung zur „Freiheit“,「自由」的指引,zh-CN
Anleitung zur „Gerechtigkeit“,「正义」的指引,zh-CN
Anleitung zur „Güte“,「慈爱」的指引,zh-CN
Anleitung zur „Ordnung“,「秩序」的指引,zh-CN
Anleitung zur „Poesie“,「诗文」的指引,zh-CN
Anleitung zur „Praxis“,「笃行」的指引,zh-CN
Anleitung zur „Verbrennung“,「焚燔」的指引,zh-CN
Anleitung zur „Vergänglichkeit“,「浮世」的指引,zh-CN
Anleitung zur „Wanderschaft“,「浪迹」的指引,zh-CN
Anleitung zur „Zwietracht“,「纷争」的指引,zh-CN
Antlitz des wahnsinnigen Fürsten,谵妄圣主的神面,zh-CN
Apito Dourado do Guerreiro de Coroa Sauriana,龙冠武士的金哨,zh-CN
Apito de Metal do Guerreiro,战士的铁哨,zh-CN
Appât aigre,酸桔饵,zh-CN
Appât braiserine,温火饵,zh-CN
Appât clignotant,维护机关频闪诱饵,zh-CN
Appât de baie,槲梭饵,zh-CN
Appât de pâte de fruit,果酿饵,zh-CN
Appât de rosée,甘露饵,zh-CN
Appât fétide,赤糜饵,zh-CN
Appât granispinelle,澄晶果粒饵,zh-CN
Appât scintillant,闪烁饵,zh-CN
Appât-lakka,清白饵,zh-CN
Arbre de transmission raffiné,精制机轴,zh-CN
Arbre de transmission renforcé,加固机轴,zh-CN
Ardor del fuego de la larga noche,长夜燧火的烈辉,zh-CN
Argent karstique,雾海云间的金丹,zh-CN
Artful Device Inheritance,奇巧秘器的继业,zh-CN
Artful Device Replica,奇巧秘器的模本,zh-CN
Artful Device Wish,奇巧秘器的真愿,zh-CN
Artificed Dynamic Gear,奇械机芯齿轮,zh-CN
Artiglio affilato nascosto,隐兽利爪,zh-CN
Artiglio di bestia nascosto,隐兽鬼爪,zh-CN
Asal Kimerik Düğüm,源生嵌合体,zh-CN
Asiduidad de Senescal,役人的时时刻刻,zh-CN
Aspecto do Santo Delirante,谵妄圣主的容光,zh-CN
Aspetto delirante del Sacro Signore,谵妄圣主的容光,zh-CN
Aspiración del instrumento misterioso,奇巧秘器的真愿,zh-CN
Aspirazione del Gladiatore dei denti di leone,狮牙斗士的理想,zh-CN
Asse del caos,混沌枢纽,zh-CN
Ateş Direnci İksiri,耐热药剂,zh-CN
Ateş Özü Rezonans Taşı,火神瞳共鸣石,zh-CN
Attitude délirante du seigneur sacré,谵妄圣主的容光,zh-CN
Augure mystique du vent nocturne,神合秘烟的征兆,zh-CN
Aureate Radiance of the Far-North Scions,终北遗嗣的煌熠,zh-CN
Ausgelassenheit des eingelagerten spirituellen Nektars,藏窖灵浆的恣意,zh-CN
Ausgereifter kräftiger Zahn,老练的坚齿,zh-CN
Auspicio mistico del Vento della Notte,神合秘烟的征兆,zh-CN
Außerweltliche Synapse,外世突触,zh-CN
Außerweltlicher Lebenskern,异界生命核,zh-CN
Avarelik Felsefesi,「浪迹」的哲学,zh-CN
Avarelik Rehberi,「浪迹」的指引,zh-CN
Axe du chaos,混沌枢纽,zh-CN
Ay Işığı Felsefesi,「月光」的哲学,zh-CN
Ay Işığı Rehberi,「月光」的指引,zh-CN
Ay Işığı Sırt Tüyü,月色鳍翅,zh-CN
Ayaz Özütü,霜劫精油,zh-CN
Ayaz İmparatorunun Ağıdı,凛雪帝皇的悲恤,zh-CN
Ayaz İmparatorunun Töreni,凛雪帝皇的庆仪,zh-CN
Ayaz İmparatorunun Vedası,凛雪帝皇的辞决,zh-CN
Ayrık Kabza,裂断的剑柄,zh-CN
Babas de Slime,史莱姆清,zh-CN
Bagliore della Notte gelata,霜夜的柔辉,zh-CN
Bagliore della Selce della Lunga notte,长夜燧火的明焰,zh-CN
Baldoria del nettare spirituale invecchiato,藏窖灵浆的恣意,zh-CN
Bec crochu des fonds,深黯的钩喙,zh-CN
Becco uncinato dell'ombra profonda,深黯的钩喙,zh-CN
Benevolenza del giardino dell'oasi,绿洲花园的恩惠,zh-CN
Berry Bait,槲梭饵,zh-CN
Berühmter Handschutz,名刀镡,zh-CN
Beständigkeit der Dienerin,役人的时时刻刻,zh-CN
Bewildering Broadleaf,惑光的阔叶,zh-CN
Bi Thương Của Hoàng Đế Băng Giá,凛雪帝皇的悲恤,zh-CN
Bico da Sombra Profunda,深黯的钩喙,zh-CN
Bit of Aerosiderite,漆黑陨铁的一角,zh-CN
Biểu Tượng Ý Chí Ngao Du,意志巡游的符像,zh-CN
Black Bronze Horn,黑铜号角,zh-CN
Black Crystal Horn,黑晶号角,zh-CN
Blaue Farbe,蓝色染料,zh-CN
Blaze of Long Night Flint,长夜燧火的烈辉,zh-CN
Blazing Prismshell,明燃的棱状壳,zh-CN
Blazing Sacrificial Heart's Hesitance,贡祭炽心的踌躇,zh-CN
Blazing Sacrificial Heart's Resolve,贡祭炽心的决绝,zh-CN
Blazing Sacrificial Heart's Splendor,贡祭炽心的荣膺,zh-CN
Bloco de Aerosiderite,漆黑陨铁的一块,zh-CN
Blue Dye,蓝色染料,zh-CN
Blühende Blume eines Nomaden,漫游者的盛放之花,zh-CN
Bodurlop Salgıları,史莱姆清,zh-CN
Bomba Flutuante,飘飘爆弹,zh-CN
Bomba Precisa,准准爆弹,zh-CN
Bomba Queimante,烫烫爆弹,zh-CN
Bomba calcinadora,烫烫爆弹,zh-CN
Bomba calcinatrice,烫烫爆弹,zh-CN
Bomba de precisión,准准爆弹,zh-CN
Bomba esplosiva,飘飘爆弹,zh-CN
Bomba flotante,飘飘爆弹,zh-CN
Bomba precisa,准准爆弹,zh-CN
Bombe brûlante,烫烫爆弹,zh-CN
Bombe directe,准准爆弹,zh-CN
Bombe explosive,飘飘爆弹,zh-CN
Boreal Wolf's Broken Fang,凛风奔狼的断牙,zh-CN
Boreal Wolf's Cracked Tooth,凛风奔狼的裂齿,zh-CN
Boreal Wolf's Nostalgia,凛风奔狼的怀乡,zh-CN
Bourgeon de vie,灵生分蘖节,zh-CN
Branche marine d'or,远海夷地的金枝,zh-CN
Branche marine de gemme,远海夷地的玉枝,zh-CN
Branche marine de jade,远海夷地的琼枝,zh-CN
Brandbombe,烫烫爆弹,zh-CN
Brilho Remanescente do Poder Escaldante,烈日威权的余光,zh-CN
Brilho Residual da Noite Eterna,长夜燧火的残照,zh-CN
Brillance de givrenuit,霜夜的柔辉,zh-CN
Brocado rojo lujoso,织金红绸,zh-CN
Brocart rouge luxueux,织金红绸,zh-CN
Broccato rosso sontuoso,织金红绸,zh-CN
Brocken pechschwarzer Aerosiderit,漆黑陨铁的一块,zh-CN
Brotes de líneas ley,地脉的新芽,zh-CN
Broto de Linha Ley,地脉的新芽,zh-CN
Bruchstück einer archaischen Serenade,悠古弦音的断章,zh-CN
Bulanık Prizma,混浊棱晶,zh-CN
Bullone del caos,混沌锚栓,zh-CN
Buz Direnci İksiri,耐寒药剂,zh-CN
Bánh Răng Chính,机关正齿轮,zh-CN
Bánh Răng Lõi Trung Tâm,奇械机芯齿轮,zh-CN
Bình Nước Đục,浊水的一掬,zh-CN
Böğürtlen Yemi,槲梭饵,zh-CN
Bùa Rừng Xanh Sương Đọng - Bạc,谧林涓露的银符,zh-CN
Bùa Rừng Xanh Sương Đọng - Sắt,谧林涓露的铁符,zh-CN
Bùa Rừng Xanh Sương Đọng - Vàng,谧林涓露的金符,zh-CN
Büyüleyici Geniş Yaprak,惑光的阔叶,zh-CN
Büyümüş Kitle,沉积增生物,zh-CN
Băng Đỏ Viền Vàng,镶边红绸,zh-CN
Băng Đỏ Ánh Vàng,织金红绸,zh-CN
Bản Vẽ Cấm Chú,禁咒绘卷,zh-CN
Bản Vẽ Phong Ấn,封魔绘卷,zh-CN
Bộ Não Hỗn Độn,混沌回路,zh-CN
Bột Huỳnh Quang,荧光孢粉,zh-CN
Bột Slime,史莱姆原浆,zh-CN
Bụi Tinh Thể,孢囊晶尘,zh-CN
Cabo Flamejante Ornamentado,宝饰的焰剑,zh-CN
Cabo Flamenjante Fraturado,残失的焰剑,zh-CN
Cadena de Diente de León,狮牙斗士的铁链,zh-CN
Caldera del caos,混沌炉心,zh-CN
Calice d'argento del mare immacolato,无垢之海的银杯,zh-CN
Calice d'oro del mare immacolato,无垢之海的金杯,zh-CN
Calice di vino del mare immacolato,无垢之海的酒盏,zh-CN
Campione d'acqua contaminata,浊水的一掬,zh-CN
Capacete da Névoa,幽雾兜盔,zh-CN
Caparazón grabado,锲纹的横脊,zh-CN
Caparazón sólido,密固的横脊,zh-CN
Capitolo di un antico accordo,悠古弦音的断章,zh-CN
Capricho del néctar espiritual de la bodega,藏窖灵浆的恣意,zh-CN
Capítulo de uma Corda Antiga,悠古弦音的断章,zh-CN
Carapace posteriore caldo,蕴热的背壳,zh-CN
Carapace prismardente,明燃的棱状壳,zh-CN
Caraprisme enflammé,明燃的棱状壳,zh-CN
Casco Duro,密固的横脊,zh-CN
Casco Marcado,锲纹的横脊,zh-CN
Casco brumoso,幽雾兜盔,zh-CN
Casque de brumevoile,幽雾兜盔,zh-CN
Catene del Gladiatore dei denti di leone,狮牙斗士的铁链,zh-CN
Cebo afrutado,果酿饵,zh-CN
Cebo centelleante,闪烁饵,zh-CN
Cebo cálido,温火饵,zh-CN
Cebo cítrico,酸桔饵,zh-CN
Cebo de bellota,槲梭饵,zh-CN
Cebo de lombriz falsa,蠕虫假饵,zh-CN
Cebo de mosca falsa,飞蝇假饵,zh-CN
Cebo de sangre,赤糜饵,zh-CN
Cebo espimahís,澄晶果粒饵,zh-CN
Cebo inmaculado,清白饵,zh-CN
Cebo maná,甘露饵,zh-CN
Cebo parpadeante de mecarreparadores,维护机关频闪诱饵,zh-CN
Cennet Felsefesi,「乐园」的哲学,zh-CN
Cennet Rehberi,「乐园」的指引,zh-CN
Ceremonia del emperador de la escarcha,凛雪帝皇的庆仪,zh-CN
Cerimonia dell'Imperatore del gelo,凛雪帝皇的庆仪,zh-CN
Cerimônia do Imperador da Neve,凛雪帝皇的庆仪,zh-CN
Cetim Vermelho,织金红绸,zh-CN
Cevherli Alevli Kabza,宝饰的焰剑,zh-CN
Chains of the Dandelion Gladiator,狮牙斗士的铁链,zh-CN
Chaos Axis,混沌枢纽,zh-CN
Chaos Bolt,混沌锚栓,zh-CN
Chaos Circuit,混沌回路,zh-CN
Chaos Core,混沌炉心,zh-CN
Chaos Module,混沌模块,zh-CN
Chaos Oculus,混沌真眼,zh-CN
Chaos-Achse,混沌枢纽,zh-CN
Chaos-Anker,混沌锚栓,zh-CN
Chaos-Getriebe,混沌炉心,zh-CN
Chaos-Modul,混沌模块,zh-CN
Chaos-Oculus,混沌真眼,zh-CN
Chaos-Schaltkreis,混沌回路,zh-CN
Chapitre d'un accord ancien,悠古弦音的断章,zh-CN
Chapter of an Ancient Chord,悠古弦音的断章,zh-CN
Chasmlight Fin,渊光鳍翅,zh-CN
Chaînes du Chevalier du Croc de Lion,狮牙斗士的铁链,zh-CN
Chifre de Bronze Negro,黑铜号角,zh-CN
Chifre de Cristal Preto,黑晶号角,zh-CN
Chinh Phục Của Quân Sao Nhạt,苍星军势的征服,zh-CN
Chunk of Aerosiderite,漆黑陨铁的一块,zh-CN
Chân Lý Vườn Hoa Ốc Đảo,绿洲花园的真谛,zh-CN
Chương Cung Đàn Cổ Xưa,悠古弦音的乐章,zh-CN
Chốt Neo Hỗn Độn,混沌锚栓,zh-CN
Chồi Non Địa Mạch,地脉的新芽,zh-CN
Circuit du chaos,混沌回路,zh-CN
Circuito del caos,混沌回路,zh-CN
Circuito do Caos,混沌回路,zh-CN
Ciuffi d'Erbafosca,雾虚灯芯,zh-CN
Clairon de l'armée pâle,苍星军势的鸣令,zh-CN
Clarim do Exército da Estrela Azul,苍星军势的鸣令,zh-CN
Clarion of the Pale Star Army,苍星军势的鸣令,zh-CN
Coiled Core of Life,灵生盘枝心,zh-CN
Colherada de Água Impura,浊水的一掬,zh-CN
Colmillo de tirano,横行霸者的利齿,zh-CN
Colmillo roto de lobo boreal,凛风奔狼的断牙,zh-CN
Colmillo veterano,老练的坚齿,zh-CN
Coltello sacrificale dell'ispettore,督察长祭刀,zh-CN
Coltello sacrificale dell'usuraio,特工祭刀,zh-CN
Compasión del emperador de la escarcha,凛雪帝皇的悲恤,zh-CN
Compianto del giardino dell'oasi,绿洲花园的哀思,zh-CN
Complainte de l'empereur glacial,凛雪帝皇的悲恤,zh-CN
Con Mắt Rực Cháy,聚燃的游像眼,zh-CN
Con Ngươi Hỗn Độn,混沌真眼,zh-CN
Concealed Talon,隐兽鬼爪,zh-CN
Concealed Unguis,隐兽利爪,zh-CN
Concentrato di Melmoso,史莱姆原浆,zh-CN
Concha Prismática Ardente,明燃的棱状壳,zh-CN
Concha Quente,蕴热的背壳,zh-CN
Condensed Resin,浓缩树脂,zh-CN
Congregación del ejército de la Estrella Albina,苍星军势的集结,zh-CN
Constance d'opérateur,役人的时时刻刻,zh-CN
Constância do Servo,役人的时时刻刻,zh-CN
