category,category_label,id,term,src_table
01_character,角色名称,AffinityLevel.2068.1,靈魂伴侶,AffinityLevel.json
01_character,角色名称,BoardNPC.173174.1,珀爾娜&維嘉爾,BoardNPC.json
01_character,角色名称,BoardNPC.713503.1,情人節霧語,BoardNPC.json
01_character,角色名称,BoardNPC.9102.1,薇洛,BoardNPC.json
01_character,角色名称,BoardNPC.9131.1,布洛可,BoardNPC.json
01_character,角色名称,BoardNPC.9159.1,彼岸,BoardNPC.json
01_character,角色名称,BoardNPC.916402.1,伊織,BoardNPC.json
01_character,角色名称,Character.103.1,琥珀,Character.json
01_character,角色名称,Character.107.1,緹莉婭,Character.json
01_character,角色名称,Character.108.1,卡西米拉,Character.json
01_character,角色名称,Character.110.1,翡冷翠,Character.json
01_character,角色名称,Character.111.1,鳶尾,Character.json
01_character,角色名称,Character.112.1,塵沙,Character.json
01_character,角色名称,Character.113.1,師渺,Character.json
01_character,角色名称,Character.114.1,貓眼,Character.json
01_character,角色名称,Character.115.1,火垂,Character.json
01_character,角色名称,Character.116.1,嶺川,Character.json
01_character,角色名称,Character.117.1,璟麟,Character.json
01_character,角色名称,Character.118.1,柯洛妮絲,Character.json
01_character,角色名称,Character.119.1,花原,Character.json
01_character,角色名称,Character.120.1,卡娜絲,Character.json
01_character,角色名称,Character.123.1,杏子,Character.json
01_character,角色名称,Character.125.1,蒼蘭,Character.json
01_character,角色名称,Character.126.1,紫槿,Character.json
01_character,角色名称,Character.127.1,特麗莎,Character.json
01_character,角色名称,Character.130.1,多娜,Character.json
01_character,角色名称,Character.132.1,密涅瓦,Character.json
01_character,角色名称,Character.133.1,夏花,Character.json
01_character,角色名称,Character.134.1,冬香,Character.json
01_character,角色名称,Character.135.1,霧語,Character.json
01_character,角色名称,Character.137.1,埃莉諾,Character.json
01_character,角色名称,Character.140.1,斯帕克拉,Character.json
01_character,角色名称,Character.141.1,赤霞,Character.json
01_character,角色名称,Character.142.1,珂賽特,Character.json
01_character,角色名称,Character.143.1,風影,Character.json
01_character,角色名称,Character.144.1,千都世,Character.json
01_character,角色名称,Character.145.1,乙葉,Character.json
01_character,角色名称,Character.147.1,焦糖,Character.json
01_character,角色名称,Character.149.1,格芮,Character.json
01_character,角色名称,Character.150.1,菈露,Character.json
01_character,角色名称,Character.155.1,希婭,Character.json
01_character,角色名称,Character.156.1,小禾,Character.json
01_character,角色名称,Character.157.1,花鈴,Character.json
01_character,角色名称,Character.158.1,聖夜菈露,Character.json
01_character,角色名称,Character.159.1,緋春柯洛妮絲,Character.json
01_character,角色名称,Character.160.1,沐夏薇洛,Character.json
01_character,角色名称,CharacterArchiveBaseInfo.10301.1,姓名,CharacterArchiveBaseInfo.json
01_character,角色名称,CharacterArchiveBaseInfo.10302.1,生日,CharacterArchiveBaseInfo.json
01_character,角色名称,CharacterArchiveBaseInfo.10303.1,所屬,CharacterArchiveBaseInfo.json
01_character,角色名称,CharacterArchiveBaseInfo.10304.1,技能,CharacterArchiveBaseInfo.json
01_character,角色名称,CharacterArchiveBaseInfo.10305.1,地址,CharacterArchiveBaseInfo.json
01_character,角色名称,CharacterArchiveBaseInfo.10306.1,經驗,CharacterArchiveBaseInfo.json
01_character,角色名称,CharacterArchiveBaseInfo.10307.1,武器,CharacterArchiveBaseInfo.json
01_character,角色名称,CharacterArchiveBaseInfo.10308.1,薪資,CharacterArchiveBaseInfo.json
01_character,角色名称,CharacterArchiveBaseInfo.11008.1,薪資,CharacterArchiveBaseInfo.json
01_character,角色名称,CharacterArchiveBaseInfo.11408.1,薪資,CharacterArchiveBaseInfo.json
01_character,角色名称,CharacterArchiveBaseInfo.11908.1,薪資,CharacterArchiveBaseInfo.json
01_character,角色名称,CharacterArchiveBaseInfo.12608.1,薪資,CharacterArchiveBaseInfo.json
01_character,角色名称,CharacterArchiveBaseInfo.13008.1,薪資,CharacterArchiveBaseInfo.json
01_character,角色名称,CharacterArchiveBaseInfo.14008.1,收費標準,CharacterArchiveBaseInfo.json
