source,target,tgt_lng
千巖牢固,Tenacity of the Millelith,en-US
圣遗物,artifact,en-US
悠久的磐岩,Archaic Petra,en-US
悠久的磐巖,Archaic Petra,en-US
旅立ちの日,A Day Carved From Rising Winds,en-US
时之沙,Sands of Eon,en-US
時の砂,Sands of Eon,en-US
時之沙,Sands of Eon,en-US
死の羽,Plume of Death,en-US
死之羽,Plume of Death,en-US
死之羽,Plume of Death,en-US
氷祭りの冠,Tiara of Frost,en-US
火祭りの冠,Tiara of Flame,en-US
理の冠,Circlet of Logos,en-US
理之冠,Circlet of Logos,en-US
理之冠,Circlet of Logos,en-US
生の花,Flower of Life,en-US
生之花,Flower of Life,en-US
生之花,Flower of Life,en-US
祭冰礼冠,Tiara of Frost,en-US
祭冰禮冠,Tiara of Frost,en-US
祭火礼冠,Tiara of Flame,en-US
祭火禮冠,Tiara of Flame,en-US
祭雷礼冠,Tiara of Thunder,en-US
祭雷禮冠,Tiara of Thunder,en-US
空の杯,Goblet of Eonothem,en-US
空之杯,Goblet of Eonothem,en-US
空之杯,Goblet of Eonothem,en-US
聖遺物,artifact,en-US
聖遺物,artifact,en-US
雷祭りの冠,Tiara of Thunder,en-US
