id,term,src_table
RoleTalent.10200201.desc,Deals additional _#passive_passiveper_1_1_1_1_ ATK as True DMG when skills crit.,Talent/RoleTalent.txt
RoleTalent.10200201.name,Cat's Rage,Talent/RoleTalent.txt
RoleTalent.10200202.desc,Deals additional _#passive_passiveper_1_1_1_1_ ATK as True DMG when skills crit.,Talent/RoleTalent.txt
RoleTalent.10200202.name,Cat's Rage,Talent/RoleTalent.txt
RoleTalent.10200203.desc,Deals additional _#passive_passiveper_1_1_1_1_ ATK as True DMG when skills crit.,Talent/RoleTalent.txt
RoleTalent.10200203.name,Cat's Rage,Talent/RoleTalent.txt
RoleTalent.10200204.desc,Deals additional _#passive_passiveper_1_1_1_1_ ATK as True DMG when skills crit.,Talent/RoleTalent.txt
RoleTalent.10200204.name,Cat's Rage,Talent/RoleTalent.txt
RoleTalent.10200301.desc,Deals _#passive_passiveper_1_1_1_1_ more DMG when using a skill for the first time each turn.,Talent/RoleTalent.txt
RoleTalent.10200301.name,Accurate Computation,Talent/RoleTalent.txt
RoleTalent.10200302.desc,Deals _#passive_passiveper_1_1_1_1_ more DMG when using a skill for the first time each turn.,Talent/RoleTalent.txt
RoleTalent.10200302.name,Accurate Computation,Talent/RoleTalent.txt
RoleTalent.10200303.desc,Deals _#passive_passiveper_1_1_1_1_ more DMG when using a skill for the first time each turn.,Talent/RoleTalent.txt
RoleTalent.10200303.name,Accurate Computation,Talent/RoleTalent.txt
RoleTalent.10200304.desc,Deals _#passive_passiveper_1_1_1_1_ more DMG when using a skill for the first time each turn.,Talent/RoleTalent.txt
RoleTalent.10200304.name,Accurate Computation,Talent/RoleTalent.txt
RoleTalent.10200401.desc,"After using an offensive skill, reduces all enemies' DEF by _#passive_passiveper_1_1_1_1_ for _#round_num_1_0_1_ turn(s), stacking up to _#stackmax_num_1_0_1_ time(s).",Talent/RoleTalent.txt
RoleTalent.10200401.name,Grinning Disguise,Talent/RoleTalent.txt
RoleTalent.10200402.desc,"After using an offensive skill, reduces all enemies' DEF by _#passive_passiveper_1_1_1_1_ for _#round_num_1_0_1_ turn(s), stacking up to _#stackmax_num_1_0_1_ time(s).",Talent/RoleTalent.txt
