source,target,tgt_lng
Abyss Corridor,深境回廊,ja-JP
Altar of Mirages,ミラージュ祭場,ja-JP
Ancient Watchowner,古の眺望台,ja-JP
Beneath the Dragon-Queller,「伏龍の木」の底,ja-JP
Binding Field of Universal Nirvana,万有涅槃縛境,ja-JP
Blazing Ruins,秘炎の幽墟,ja-JP
Chamber of Twisted Cranes,細径折旋の処,ja-JP
City of Gold,赤金の廃城,ja-JP
City of Hidden Runes,兆候隠遁の城,ja-JP
City of the Deceased,「亡者の都」,ja-JP
Clear Pool and Mountain Cavern,華池岩岫,ja-JP
Court of Desolation,帰元ノ庭,ja-JP
Court of Flowing Sand,砂流ノ庭,ja-JP
Defiled Chamber,染境,ja-JP
Denouement of Sin,罪禍の終末,ja-JP
Derelict Masonry Dock,荒れ果てた創造の地,ja-JP
Domain,秘境,ja-JP
Domain of Blessing,祈聖秘境,ja-JP
Domain of Forgery,煉武秘境,ja-JP
Domain of Forsaken Ruins,墟散人離の処,ja-JP
Domain of Guyun,孤雲凌霄の処,ja-JP
Domain of Mastery,熟知秘境,ja-JP
Domain of the Wayward Path,曲径通幽の処,ja-JP
Eagle's Gate,鷹の門,ja-JP
Echoes of the Deep Tides,深潮の余韻,ja-JP
Empty Boat of a Thousand Gates,千門の虚舟,ja-JP
End of the Oneiric Euthymia,夢想楽土の結末,ja-JP
Faded Theater,色褪せた劇場,ja-JP
False Moon Institute,偽月の研究所,ja-JP
Fane of Panjvahe,五大オアシスの殿堂,ja-JP
Formation Estate,陣代屋敷,ja-JP
Forsaken Rift,忘却の峡谷,ja-JP
Fragment of Childhood Dreams,幼夢の欠片,ja-JP
Frostladen Machinery,霜つく機軸,ja-JP
Garden of Endless Pillars,千柱の花園,ja-JP
Hidden Palace of Lianshan Formula,震雷連山密宮,ja-JP
Imaginarium Theater,幻想シアター,ja-JP
Joururi Workshop,淨琉璃工房,ja-JP
Ley Line Disorder,地脈異常,ja-JP
Lightless Capital,光なき深都,ja-JP
Lost Mooncourt,失われた月の庭,ja-JP
Midsummer Courtyard,仲夏の庭園,ja-JP
Molten Iron Fortress,熔鉄の孤砦,ja-JP
Moment of Syzygy,朔望の刻,ja-JP
