source,target,tgt_lng
"""A Próxima Jornada""",Следующее путешествие,ru-RU
"""Amanhecer da Montanha Beryl, Tempo Limpo""",«Ясное утро в горах Берилл»,ru-RU
"""Beril Dağları'nda Güneşli Bir Sabah""",«Ясное утро в горах Берилл»,ru-RU
"""Bir Sonraki Yolculuk""",Следующее путешествие,ru-RU
"""Cỗ Máy Chỉ Thị Phán Quyết""",«Оратрис Меканик д'Анализ Кардиналь»,ru-RU
"""Ekinoks Dağı'ndan Manzara""",«Вид с горы Мон Атонеки»,ru-RU
"""Esus Dağı Hatıraları""",«Воспоминания предгорья Эсус»,ru-RU
"""Fontaine Hot Springs""",«Горячие источники Фонтейна»,ru-RU
"""Fontaine Kaplıcaları""",«Горячие источники Фонтейна»,ru-RU
"""Hành Trình Tiếp Theo""",Следующее путешествие,ru-RU
"""Il prossimo viaggio""",Следующее путешествие,ru-RU
"""Kênh Đào Lam Nguyệt""",Голубой канал,ru-RU
"""Mekanik Analiz Danışmanı Oratrice""",«Оратрис Меканик д'Анализ Кардиналь»,ru-RU
"""Memories of Mont Esus""",«Воспоминания предгорья Эсус»,ru-RU
"""Memórias do Monte Esus""",«Воспоминания предгорья Эсус»,ru-RU
"""Morning in the Beryl Mountains, Clear Weather""",«Ясное утро в горах Берилл»,ru-RU
"""Narzissenkreuz Kingdom""",«Королевство Нарциссенкрейц»,ru-RU
"""Nergis Haçı Krallığı""",«Королевство Нарциссенкрейц»,ru-RU
"""Oratrice Mecanique d'Analyse Cardinale""",«Оратрис Меканик д'Анализ Кардиналь»,ru-RU
"""Oráquina de Análise Cardinal""",«Оратрис Меканик д'Анализ Кардиналь»,ru-RU
"""Reino da Cruz de Narcissus""",«Королевство Нарциссенкрейц»,ru-RU
"""Sahildeki Köy""",«Деревня у моря»,ru-RU
"""The Next Journey""",Следующее путешествие,ru-RU
"""The Seaside Village""",«Деревня у моря»,ru-RU
"""View From Mont Automnequi""",«Вид с горы Мон Атонеки»,ru-RU
"""Vila à Beira Mar""",«Деревня у моря»,ru-RU
"""Vista do Monte Automnequi""",«Вид с горы Мон Атонеки»,ru-RU
"""Águas Termais de Fontaine""",«Горячие источники Фонтейна»,ru-RU
"""กระดานหมากของเทพเจ้า""",Сафхе Шатрандж,ru-RU
"""การเดินทางครั้งต่อไป""",Следующее путешествие,ru-RU
"""ความทรงจำของเชิงเขา Esus""",«Воспоминания предгорья Эсус»,ru-RU
"""ชลธารอินทุคราม""",Голубой канал,ru-RU
"""ทิวทัศน์หมู่บ้านชายฝั่ง""",«Деревня у моря»,ru-RU
"""น้ำพุร้อน Fontaine""",«Горячие источники Фонтейна»,ru-RU
"""ประกาศิตเที่ยงธรรม""",«Оратрис Меканик д'Анализ Кардиналь»,ru-RU
"""มุมมองจากภูเขา Automnequi""",«Вид с горы Мон Атонеки»,ru-RU
"""รุ่งอรุณสดใส ณ ภูเขา Beryl""",«Ясное утро в горах Берилл»,ru-RU
"""อาณาจักร Narzissenkreuz""",«Королевство Нарциссенкрейц»,ru-RU
A Bountiful Land of Farming and Fecundity,Земля изобилия,ru-RU
A Cidade Sobre a Floresta,Город над лесом,ru-RU
A Cidade das Cinzas Inacabada,Недостроенный пепельный город,ru-RU
A Corte da Vida em Definhamento,Храм увядающей жизни,ru-RU
A Corte de Fontes Doces,Храм пересохших источников,ru-RU
A Destruição de Sonhos Quebrados,Следы разбившихся надежд,ru-RU
A Distant Harbor,Дальний порт,ru-RU
A Drop in the Ocean,Безбрежное море Гуюнь,ru-RU
A Floresta Sagrada ao Luar,Священный лунный лес,ru-RU
A Fortaleza da Escuridão,Чёрная крепость,ru-RU
A Fortaleza de Cobre,Медная крепость,ru-RU
A Fronteira Sob as Altas Muralhas,Граница под высокими стенами,ru-RU
A Gaze Toward the Stars,"Взор, обращённый к звёздам",ru-RU
A Gaze Upon the World,"Взор, обращённый к миру",ru-RU
A Hilly Hidey-Hole for Nectar,Холм-павильон нектара,ru-RU
A História Registrada,Записанная история,ru-RU
A Hollow in the Heart,Пустота в сердце,ru-RU
A Home in the Hills,Межгорье Цинцэ,ru-RU
A Lonely Mansion Against the Whiteout,Поместье в снежных горах,ru-RU
A Mão que Escreve Avança,Рождение письмён,ru-RU
A Night of Uninhibited Dance,Ночь раскованных танцев,ru-RU
A Oficina de Rolinho de Ovo Trilimlim,"Мастерская ""Дзынь-Клац""",ru-RU
A Sea of Exile,Море изгнания,ru-RU
A Terra Estéril Onde A Areia Dança,Бесплодная земля танцующих песков,ru-RU
A Vila Perto do Rio,Деревня у реки,ru-RU
A Vila de Pesca Silenciosa,Тихая рыбацкая деревня,ru-RU
A Vila na Rocha,Деревня в камне,ru-RU
Aaru Gölgesi,Отражение Аару,ru-RU
Aaru's Shut,Отражение Аару,ru-RU
Aarus Spiegelbild,Отражение Аару,ru-RU
Abandoned Capital of Howling Winds,Древняя столица пронзительных ветров,ru-RU
Aberración neonata,Новое заблуждение,ru-RU
Aberration néonatale,Новое заблуждение,ru-RU
Aberrazione neonata,Новое заблуждение,ru-RU
Aberração Recém-Nascida,Новое заблуждение,ru-RU
Abgesperrte Grube,Заблокированная штольня,ru-RU
Abismo plenilunado,Лунная бездна,ru-RU
Abrigo Zero,Убежище Ноль,ru-RU
Abrigo do Corpo Sombrio,Вместилище чёрного тела,ru-RU
Abrigos de Refugiados,Убежища беженцев,ru-RU
Abris de réfugiés,Убежища беженцев,ru-RU
Acampamento Tanit,Ночлег племени Танит,ru-RU
Accampamento dei Tanit,Ночлег племени Танит,ru-RU
Acquitrino dei guardiani celestiali,"Озеро, оберегающее статую",ru-RU
Ad-Hoc Headquarters of the Fatui Expeditionary Force,Временный штаб экспедиционных сил Фатуи,ru-RU
Adeptus's Realm of Repose,Тихая обитель Адепта,ru-RU
Adeptusun İstirahat Diyarı,Тихая обитель Адепта,ru-RU
Afueras de Inazuma,"Пригороды, город Инадзума",ru-RU
Aguas someras en calma,Отмель молчания,ru-RU
Aguas termales de Fontaine,«Горячие источники Фонтейна»,ru-RU
Ahengin Gölgesi,Тень гармонии,ru-RU
Ahmaklar Kalesi,Цитадель безумцев,ru-RU
Alba sulla Voragine oscura,Рассвет ночной бездны,ru-RU
Albero del chiaro di luna,"Дерево, купающееся в лунном свете",ru-RU
Albero madre della Fertilità,Материнское дерево изобилия,ru-RU
Alkazar Hatırası,Воспоминание об Алькасар-сарае,ru-RU
Altar Condensado,Концентрированный алтарь,ru-RU
Altar Olvidado,Потерянный жертвенный алтарь,ru-RU
Altar Perdido,Потерянный жертвенный алтарь,ru-RU
Altar bajo la tenue luz de la luna,"Церемониальное место, затерянное в ночной мгле",ru-RU
Altar condensado,Концентрированный алтарь,ru-RU
Altare condensato,Концентрированный алтарь,ru-RU
Alter Tempel der Tausend Winde,Пустынный храм Тысячи ветров,ru-RU
Altes Herz von Chu’ulel,Древнее Ядро Чуулел,ru-RU
Altes Schlachtfeld des Fu’ao-Tals,Древнее поле битвы в ущелье Фуао,ru-RU
Alturas del Mirador Chiwang,Плато Чиван,ru-RU
Altın Runlu Kaya İğneleri,"Шипы из скалы, оплетённые золотыми рунами",ru-RU
Além do Despenhadeiro,Около Разлома,ru-RU
Amanecer sobre el barranco de la noche,Рассвет ночной бездны,ru-RU
Amidst the Ink-Tinged Mist,Чернильная дымка,ru-RU
Among the Painted Peaks,Среди расписных вершин,ru-RU
Amrita-Nourished Nest,"Гнездо, вскормленное амритой",ru-RU
Amritadan Beslenen Yuva,"Гнездо, вскормленное амритой",ru-RU
Analizadora de Instrucción Cardenalicia,«Оратрис Меканик д'Анализ Кардиналь»,ru-RU
Ancien Temple des Mille Vents,Пустынный храм Тысячи ветров,ru-RU
Ancien champ de bataille du Vallon Fuao,Древнее поле битвы в ущелье Фуао,ru-RU
Ancien cœur de Chu'ulel,Древнее Ядро Чуулел,ru-RU
Ancient Conch Melody of Yore,Мелодия древней раковины,ru-RU
Ancient Pact,Обет прошлого,ru-RU
Ancient Thousand Winds Temple,Пустынный храм Тысячи ветров,ru-RU
Ante la Meseta Tezcatepetonco,Перед кряжем Тецкатепетонко,ru-RU
Antica città sigillata,Запечатанный древний город,ru-RU
Antica melodia delle conchiglie,Мелодия древней раковины,ru-RU
Antico patto,Обет прошлого,ru-RU
Antico pino sulle distese,Сосна на голой вершине,ru-RU
Antiga Melodia da Concha de Outrora,Мелодия древней раковины,ru-RU
Antigo Núcleo de Chu'ulel,Древнее Ядро Чуулел,ru-RU
Antigo Templo do Vento Milenar,Пустынный храм Тысячи ветров,ru-RU
Antigo campo de batalha no Vale Fu'ao,Древнее поле битвы в ущелье Фуао,ru-RU
Antigua ciudad invertida,Перевёрнутый город,ru-RU
Antigua sinfonía de la caracola vetusta,Мелодия древней раковины,ru-RU
Antiguo Corazón de Chu'ulel,Древнее Ядро Чуулел,ru-RU
Antiguo Templo de los Mil Vientos,Пустынный храм Тысячи ветров,ru-RU
Antiguo campo de batalla del Valle Fu'ao,Древнее поле битвы в ущелье Фуао,ru-RU
Anwesen des Morgenlichts,Усадьба лучей рассвета,ru-RU
Ao Nước Ngầm,Подземные воды,ru-RU
Aposentos sepultados,Тысяча погребённых опочивален,ru-RU
Aranaga'nın Küçük Bahçesi,Маленький садик Аранаги,ru-RU
Aranaga's Little Garden,Маленький садик Аранаги,ru-RU
Aranagas kleine Baumschule,Маленький садик Аранаги,ru-RU
Aranaraların Dünyası,Мир аранар,ru-RU
Arbre au clair de lune,"Дерево, купающееся в лунном свете",ru-RU
Arbre-mère de l'abondance fructueuse,Материнское дерево изобилия,ru-RU
Area segreta di un antico Ordine,Тайное местонахождение старинного ордена,ru-RU
Arena da Glória e Triunfo,Арена славы и триумфа,ru-RU
Arena di trionfo e gloria,Арена славы и триумфа,ru-RU
Arena of Glory and Triumph,Арена славы и триумфа,ru-RU
Arma de Váruna,Варунастра,ru-RU
Arrebol hundido de Bishui,Сумеречный блеск Бишуй,ru-RU
Arène de gloire et de triomphe,Арена славы и триумфа,ru-RU
Arınmışlar Vadisi,Долина безупречных,ru-RU
As Lindas Lendas de Petrichor,Прекрасные легенды Петрикора,ru-RU
As Montanhas Onde o Vento Noturno e Enigmas Crescem,"Предгорья, где растёт ночной ветер и загадки",ru-RU
As Nuvens em Cascata ao Redor do Porto,Каскад облаков над портом Илун,ru-RU
Asentamiento de las pequeñas hadas,Скрытое поселение альвов,ru-RU
Asentamiento de los Tanit,Ночлег племени Танит,ru-RU
Assentamento Oculto dos Feéricos,Скрытое поселение альвов,ru-RU
Ateşli Tüyler Vadisi,Долина огненных перьев,ru-RU
Auf dem Qingce-Berg,Межгорье Цинцэ,ru-RU
Aufbruch zu einer geheimen Insel,Путешествие к тайному острову,ru-RU
Augurio de la pesadilla,Предзнаменование кошмара,ru-RU
Autel condensé,Концентрированный алтарь,ru-RU
Avant les Monts Tezcatepetonco,Перед кряжем Тецкатепетонко,ru-RU
Aventure sur une île secrète,Путешествие к тайному острову,ru-RU
Avventurati verso un'isola misteriosa,Путешествие к тайному острову,ru-RU
Ay Işığındaki Kutsal Orman,Священный лунный лес,ru-RU
Ay Kalbi Boşluğu,Лунная расселина,ru-RU
Ay Mavisi Kanallar,Голубой канал,ru-RU
Aya Giden Gemi,Лунный корабль,ru-RU
Aya Yapılan Kutsal Yolculuk,Путь к луне,ru-RU
Ayazın Tüm Kederleri Hapsettiği Yer,"Там, где скорбь скована льдом",ru-RU
Ayın Kalbi,Сердце луны,ru-RU
Ağlayan Bahçe,Колыбель слёз,ru-RU
Bahçenin Yeni Filizleri,Новые ростки питомника,ru-RU
Bahía veraniega junto al mar,Летний залив у моря,ru-RU
Baia estiva sul mare,Летний залив у моря,ru-RU
Baie estivale en bord de mer,Летний залив у моря,ru-RU
Baixios Silenciosos,Отмель молчания,ru-RU
Bakır Kale,Медная крепость,ru-RU
Baratro Cuorlunare,Лунная расселина,ru-RU
Baratro delle Rovine nascoste,Трещина в скрытых руинах,ru-RU
Barco lunar,Лунный корабль,ru-RU
Bassa marea tra le fiamme della guerra,Приливная равнина в пламени войны,ru-RU
Bassofondo silenzioso,Отмель молчания,ru-RU
Baum inmitten des Mondlichts,"Дерево, купающееся в лунном свете",ru-RU
Beacon in the Long Night,Светоч во тьме,ru-RU
Before the Tezcatepetonco Range,Перед кряжем Тецкатепетонко,ru-RU
Belvedere di Yujing,Терраса Юйцзин,ru-RU
Berrak Pınarların Diyarı,Колыбель родника,ru-RU
Berrak Yankı,Звучное эхо,ru-RU
Beyaz Kulenin Çöküşü,Крушение белой башни,ru-RU
Beyaz Tipiye Karşı Yalnız Bir Malikane,Поместье в снежных горах,ru-RU
Beyond the Chasm,Около Разлома,ru-RU
Biblioteca de los Caballeros de Favonius,Ордо Фавониус: Библиотека,ru-RU
Biblioteca dei Cavalieri di Favonius,Ордо Фавониус: Библиотека,ru-RU
"Bibliothèque, Ordre de Favonius",Ордо Фавониус: Библиотека,ru-RU
Bin Rüzgarın Buluştuğu Liman,Порт тысячи ветров,ru-RU
Bin Sütunlu Salon,Зал тысячи столпов,ru-RU
Bir Soyun Kontrol Merkezi,Центр управления линией крови,ru-RU
Bir Titanın Kemiklerinin Kırıldığı Yer,"Там, где была сломлена голень великана",ru-RU
Bishui จมลงกับแสงพลบค่ำ,Сумеречный блеск Бишуй,ru-RU
Bishui'de Parıltılı Gün Batımı,Сумеречный блеск Бишуй,ru-RU
Bishui'nin Yeşim Ağıdı,Нефритовая элегия Бишуй,ru-RU
Bishui's Twilight Luster,Сумеречный блеск Бишуй,ru-RU
Bitki Muhafaza Odası,Двор лекарственных корзин,ru-RU
Biên Giới Dưới Bức Tường Cao,Граница под высокими стенами,ru-RU
Biển Màn Trời Vỡ Vụn,Море расколотого небосвода,ru-RU
Blick auf die üppige Wildnis in der Ferne,Вид на зелёные долины,ru-RU
Bloodline's Control Hub,Центр управления линией крови,ru-RU
Blossoms in Fragrant Bloom,Душистое цветение,ru-RU
Blüten in duftender Pracht,Душистое цветение,ru-RU
Boccioli in fragrante fioritura,Душистое цветение,ru-RU
