source,target,tgt_lng
%s caindo,下落的%s,zh-CN
%s en caída,下落的%s,zh-CN
%s in caduta,下落的%s,zh-CN
%s qui tombe,下落的%s,zh-CN
%s türündeki canlı çağrılamıyor,无法召唤类型为%s的实体,zh-CN
%s đang rơi,下落的%s,zh-CN
%s в падении,下落的%s,zh-CN
%s 유형의 개체를 소환할 수 없습니다,无法召唤类型为%s的实体,zh-CN
%sกำลังตก,下落的%s,zh-CN
%sという種類のエンティティを召喚することができません,无法召唤类型为%s的实体,zh-CN
Abeille,蜜蜂,zh-CN
Abeja,蜜蜂,zh-CN
Abelha,蜜蜂,zh-CN
Acacia Boat,金合欢木船,zh-CN
Acacia Boat with Chest,金合欢木运输船,zh-CN
Afogado,溺尸,zh-CN
Agricoltore,农民,zh-CN
Agricultor,农民,zh-CN
Ahogado,溺尸,zh-CN
Ajolote,美西螈,zh-CN
Akasya Tekne,金合欢木船,zh-CN
Akazienholzboot,金合欢木船,zh-CN
Akazienholztruhenboot,金合欢木运输船,zh-CN
Aksolotl,美西螈,zh-CN
Albañil,石匠,zh-CN
Aldeano,村民,zh-CN
Aldeano zombi,僵尸村民,zh-CN
Aldeão,村民,zh-CN
Aldeão Zumbi,僵尸村民,zh-CN
Alet Ustası,工具匠,zh-CN
Allay,悦灵,zh-CN
Alleviante,悦灵,zh-CN
Almofada,坐垫,zh-CN
Ampolla d'esperienza lanciata,掷出的附魔之瓶,zh-CN
Anemone,海葵鱼,zh-CN
Anemonenfisch,海葵鱼,zh-CN
Anfiprione,海葵鱼,zh-CN
Annegato,溺尸,zh-CN
Antriebslore,动力矿车,zh-CN
Anzuelo,浮漂,zh-CN
Anémona,海葵鱼,zh-CN
Anêmona,海葵鱼,zh-CN
Ape,蜜蜂,zh-CN
Araignée,蜘蛛,zh-CN
Araignée venimeuse,洞穴蜘蛛,zh-CN
Aranha,蜘蛛,zh-CN
Aranha das Cavernas,洞穴蜘蛛,zh-CN
Araña,蜘蛛,zh-CN
Araña de cueva,洞穴蜘蛛,zh-CN
Area Effect Cloud,区域效果云,zh-CN
Argilécaille,陶鱼类,zh-CN
Armadillo,犰狳,zh-CN
Armaiolo,武器匠,zh-CN
Armeiro,武器匠,zh-CN
Armeiro,盔甲匠,zh-CN
Armor Stand,盔甲架,zh-CN
Armorer,盔甲匠,zh-CN
Armurier,盔甲匠,zh-CN
Arpenteur,炽足兽,zh-CN
Arrow,箭,zh-CN
Arı,蜜蜂,zh-CN
Asino,驴,zh-CN
Assolotto,美西螈,zh-CN
At,马,zh-CN
Ateş Topu,火球,zh-CN
Ateşlenmiş TNT,被激活的TNT,zh-CN
Austral,石首类,zh-CN
Axolote,美西螈,zh-CN
Axolotl,美西螈,zh-CN
Azzannatore rosso,川纹笛鲷,zh-CN
Açougueiro,屠夫,zh-CN
Bacalao,鳕鱼,zh-CN
Bacalhau,鳕鱼,zh-CN
Baiacu,河豚,zh-CN
Bakır Golem,铜傀儡,zh-CN
Baliste,鳞鲀,zh-CN
Balsa de bambú,竹筏,zh-CN
Balsa de bambú con cofre,运输竹筏,zh-CN
Balçık,史莱姆,zh-CN
Balıkçı,渔夫,zh-CN
Bamboo Raft,竹筏,zh-CN
Bamboo Raft with Chest,运输竹筏,zh-CN
Bambu Sal,竹筏,zh-CN
Bambus-Truhenfloß,运输竹筏,zh-CN
Bambusfloß,竹筏,zh-CN
Barbudo,马鲅,zh-CN
Barca,船,zh-CN
Barca con baule,运输船,zh-CN
Barca con cofre,运输船,zh-CN
Barca de abedul,白桦木船,zh-CN
Barca de abedul con cofre,白桦木运输船,zh-CN
Barca de abeto,云杉木船,zh-CN
Barca de abeto con cofre,云杉木运输船,zh-CN
Barca de acacia,金合欢木船,zh-CN
Barca de acacia con cofre,金合欢木运输船,zh-CN
Barca de cerezo,樱花木船,zh-CN
Barca de cerezo con cofre,樱花木运输船,zh-CN
Barca de jungla,丛林木船,zh-CN
Barca de jungla con cofre,丛林木运输船,zh-CN
Barca de mangle,红树木船,zh-CN
Barca de mangle con cofre,红树木运输船,zh-CN
Barca de roble,橡木船,zh-CN
Barca de roble con cofre,橡木运输船,zh-CN
Barca de roble oscuro,深色橡木船,zh-CN
Barca de roble oscuro con cofre,深色橡木运输船,zh-CN
Barca de roble pálido,苍白橡木船,zh-CN
Barca de roble pálido con cofre,苍白橡木运输船,zh-CN
Barca de álamo,杨木船,zh-CN
Barca de álamo con cofre,杨木运输船,zh-CN
Barca di abete,云杉木船,zh-CN
Barca di abete con baule,云杉木运输船,zh-CN
Barca di acacia,金合欢木船,zh-CN
Barca di acacia con baule,金合欢木运输船,zh-CN
Barca di betulla,白桦木船,zh-CN
Barca di betulla con baule,白桦木运输船,zh-CN
Barca di ciliegio,樱花木船,zh-CN
Barca di ciliegio con baule,樱花木运输船,zh-CN
Barca di mangrovia,红树木船,zh-CN
Barca di mangrovia con baule,红树木运输船,zh-CN
Barca di mogano,丛林木船,zh-CN
Barca di mogano con baule,丛林木运输船,zh-CN
Barca di pioppo,杨木船,zh-CN
Barca di pioppo con baule,杨木运输船,zh-CN
Barca di quercia,橡木船,zh-CN
Barca di quercia con baule,橡木运输船,zh-CN
Barca di quercia pallida,苍白橡木船,zh-CN
Barca di quercia pallida con baule,苍白橡木运输船,zh-CN
Barca di quercia scura,深色橡木船,zh-CN
Barca di quercia scura con baule,深色橡木运输船,zh-CN
Bat,蝙蝠,zh-CN
Bateau,船,zh-CN
Bateau de stockage,运输船,zh-CN
Bateau de stockage en acacia,金合欢木运输船,zh-CN
Bateau de stockage en acajou,丛林木运输船,zh-CN
Bateau de stockage en bouleau,白桦木运输船,zh-CN
Bateau de stockage en cerisier,樱花木运输船,zh-CN
Bateau de stockage en chêne,橡木运输船,zh-CN
Bateau de stockage en chêne noir,深色橡木运输船,zh-CN
Bateau de stockage en chêne pâle,苍白橡木运输船,zh-CN
Bateau de stockage en palétuvier,红树木运输船,zh-CN
Bateau de stockage en peuplier,杨木运输船,zh-CN
Bateau de stockage en sapin,云杉木运输船,zh-CN
Bateau en acacia,金合欢木船,zh-CN
Bateau en acajou,丛林木船,zh-CN
Bateau en bouleau,白桦木船,zh-CN
Bateau en cerisier,樱花木船,zh-CN
Bateau en chêne,橡木船,zh-CN
Bateau en chêne noir,深色橡木船,zh-CN
Bateau en chêne pâle,苍白橡木船,zh-CN
Bateau en palétuvier,红树木船,zh-CN
Bateau en peuplier,杨木船,zh-CN
Bateau en sapin,云杉木船,zh-CN
Batık,沼骸,zh-CN
Bauer,农民,zh-CN
Bavosa rossa,红唇真蛇鳚,zh-CN
Bee,蜜蜂,zh-CN
Befehlsblocklore,命令方块矿车,zh-CN
Berger,牧羊人,zh-CN
Betta,背蒂类,zh-CN
Betty,背蒂类,zh-CN
Bibliotecario,图书管理员,zh-CN
Bibliotecário,图书管理员,zh-CN
Bibliothekar,图书管理员,zh-CN
Bibliothécaire,图书管理员,zh-CN
Biene,蜜蜂,zh-CN
Bigarrin,条纹类,zh-CN
Birch Boat,白桦木船,zh-CN
Birch Boat with Chest,白桦木运输船,zh-CN
Birkenholzboot,白桦木船,zh-CN
Birkenholztruhenboot,白桦木运输船,zh-CN
Black Tang,黑刺尾鲷,zh-CN
Blasseichenholzboot,苍白橡木船,zh-CN
