source,target,tgt_lng
'Cautus Valley Mining Area' Login Event,コータスバレー採鉱区,ja-JP
'햇빛이여 비추소서' 출석 이벤트,スタンプラリー,ja-JP
10회 헤드헌팅 허가증 증정,5周年 ログイン,ja-JP
2024 Festival Sign-In,4.5周年スタンプラリー,ja-JP
2024 페스티벌 출석,4.5周年スタンプラリー,ja-JP
2024罗德岛新春签到,4.5周年スタンプラリー,ja-JP
2025 Commemorative Limited-Time Event,スタンプラリー,ja-JP
2025 Festival Sign-In,5.5周年スタンプラリー,ja-JP
2025歡聚紀念限時活動,スタンプラリー,ja-JP
2025罗德岛新春签到,5.5周年スタンプラリー,ja-JP
2025羅德島慶典簽到,5.5周年スタンプラリー,ja-JP
2025羅德島新春簽到,4.5周年スタンプラリー,ja-JP
2025跨年纪念限时活动,スタンプラリー,ja-JP
2026 Festival Sign-In,6.5周年スタンプラリー,ja-JP
2026罗德岛新春签到,6.5周年スタンプラリー,ja-JP
2026羅德島新春簽到,6.5周年スタンプラリー,ja-JP
A Death in Chunfen,春分,ja-JP
A Flurry to the Flame,紅炎遣らう落葉,ja-JP
A Good Moony Time Login Event,嘉辰令月スタンプ,ja-JP
A Kazdelian Rescue,溶炉「還魂」譚,ja-JP
A Light Spark in Darkness,闇散らす火花,ja-JP
A Walk in the Dust,遺塵の道を,ja-JP
A Walk in the Dust - Rerun,遺塵の道を·復刻,ja-JP
Abnormal Spectrum,背理分光,ja-JP
Absolved Will Be the Seekers,慈悲光塔,ja-JP
Act or Die,緋染めのビロード,ja-JP
Adventure That Cannot Wait for the Sun,太陽すらも追い越して,ja-JP
Adventure That Cannot Wait for the Sun - Rerun,太陽すらも追い越して・復刻,ja-JP
An Obscure Wanderer,夕景に影ありて,ja-JP
Ancient Forge,洪炉示歳,ja-JP
Anniversary Celebration Special Event,6周年特別記念ログイン,ja-JP
Another Tides,沸き返る潮騒,ja-JP
April Fools' Day Event,エイプリルフール,ja-JP
Arknights x Rainbow Six Siege Login Event,アークナイツ×R6Sスタンプラリー,ja-JP
Ato,墟,ja-JP
Autumn Moon on Golden Osmanthus Login Event,金犀迎月スタンプ,ja-JP
Babel,バベル,ja-JP
Babel - Rerun,バベル・復刻,ja-JP
Back to Castle,再び古城へ,ja-JP
Battleplan Arclight,作戦コード「弧光」,ja-JP
Battleplan Extinguished Sins,作戦コード「浄罪」,ja-JP
Battleplan Pyrolysis,作戦コード「濁燃」,ja-JP
Battleplan Underdawn,作戦コード「潮曦」,ja-JP
Beyond Here,彼方を望む,ja-JP
Break the Ice,風雪一過,ja-JP
Break the Ice - Rerun,風雪一過・復刻,ja-JP
Brilliant Sun Rippling Sand Sign-In Event,5周年 スタンプ,ja-JP
Callipers Valley Mining Area Provisional Mining Permit,カリパスバレー採鉱区,ja-JP
Castle of Dreams Training Drill,夢のお城模擬訓練,ja-JP
Celebration Login Event,大感謝祭スタンプ,ja-JP
Ceobe's Fungimist,ケオベの茸狩迷界,ja-JP
Charcoal Fire Station,炭火保全駐在,ja-JP
Children of Ursus,ウルサスの子供たち,ja-JP
Clamour Zone Station,音波保全駐在,ja-JP
Climbing the Twin Spires Sign-In Event,双塔の高みを目指してスタンプラリー,ja-JP
Code of Brawl,喧騒の掟,ja-JP
Code of Brawl - Rerun,喧騒の掟・復刻,ja-JP
Come Catastrophes or Wakes of Vultures,ダーティマネー,ja-JP
Come Catastrophes or Wakes of Vultures - Rerun,ダーティマネー・復刻,ja-JP
Commemorative Sign-In Event,スタンプラリー,ja-JP
Conceptual Crucible Login Event,仮想試練スタンプ,ja-JP
Concert Zone Station,協奏保全駐在,ja-JP
Contingency Contract,危機契約,ja-JP
Crossing,十字路,ja-JP
Darknights Memoir,闇夜に生きる,ja-JP
Darknights Memoir - Rerun,闇夜に生きる・復刻,ja-JP
Defense Protocols,ロドス防衛協定,ja-JP
Delicious On Terra,テラ飯,ja-JP
Design of Strife,紛争演繹,ja-JP
Dissociative Recombination,解離結合,ja-JP
Dorothy's Vision,翠玉の夢,ja-JP
Dorothy's Vision - Retrospection,翠玉の夢・復刻,ja-JP
Dossoles Amazing Wall,ドッソレススクラッチ,ja-JP
Dossoles Holiday,ドッソレスホリデー,ja-JP
Duel Channel: Green Grassville,デュエルチャンネル：グリーングラスシティ,ja-JP
Duel Channel: Honeydew,デュエルチャンネル：ハニーデューシティ,ja-JP
Encounter At The Osmanthus Blossom - Mooncake-Making Tutorial,円満団楽-ロドス点心教室,ja-JP
Ending a Grand Overture,落日の向こうへ,ja-JP
Ending a Grand Overture - Rerun,落日の向こうへ・復刻,ja-JP
Exclusive Event,大感謝祭限定イベント,ja-JP
Exodus from the Pale Sea,白き海の彼方へ,ja-JP
Exodus from the Pale Sea - Rerun,白き海の彼方へ・復刻,ja-JP
Expeditioner's Jǫklumarkar,探索者と銀氷の果て,ja-JP
Fantasy in the Mirage,鏡中集,ja-JP
Farwest Station,極西保全駐在,ja-JP
First of A Thousand Autumns,辞歳行,ja-JP
Free 10-roll limited pull,5周年 ログイン,ja-JP
Freeze Security Service,極寒保全駐在,ja-JP
Furnaceside Fables Login Event,炉辺奇談スタンプ,ja-JP
Gourd Valley Mining Area Login Event,ゴードバレー採鉱区,ja-JP
Grani and the Knights' Treasure,騎兵と狩人,ja-JP
Grani and the Knights' Treasure - Rerun,騎兵と狩人・復刻,ja-JP
Grani and the Knights' Treasure Rerun Sign-in,騎兵と狩人・復刻ログボ,ja-JP
Greeting Ceremony of the Marionettes Sign-In Event,操り人形のお出迎えスタンプラリー,ja-JP
Guide Ahead,吾れ先導者たらん,ja-JP
Guide Ahead - Rerun,吾れ先導者たらん・復刻,ja-JP
Gyoko Kichion Limited-Time Mission,「福呼ぶ祭太鼓」期間限定任務,ja-JP
Have A Taste Of Terran Monsters,テラ魔物品評,ja-JP
Heart of Surging Flame,青く燃ゆる心,ja-JP
Heart of Surging Flame - Rerun,青く燃ゆる心・復刻,ja-JP
Here A People Sows,懐黍離,ja-JP
Here A People Sows - Rerun,懐黍離・復刻,ja-JP
Hortus de Escapismo,空想の花庭,ja-JP
Hortus de Escapismo - Retrospection,空想の花庭・復刻,ja-JP
Hymn to A New Beginning Sign-In Event,翼の賛歌ログイン,ja-JP
Hymnoi Wisdom,ヒュムノイの叡智,ja-JP
I Portatori dei Velluti,幕開く者たち,ja-JP
I Portatori dei Velluti - Rerun,幕開く者たち・復刻,ja-JP
IL Siracusano,シラクザーノ,ja-JP
Icebreaker Games #1,協心競技#1,ja-JP
Icebreaker Games #2,協心競技#2,ja-JP
Icebreaker Goals,協心目標,ja-JP
Ideal City: Endless Carnival,理想都市-エンドレスカーニバル-,ja-JP
Ideal City: Endless Carnival - Rerun,理想都市-エンドレスカーニバル-・復刻,ja-JP
Il Siracusano - Retrospection,シラクザーノ・復刻,ja-JP
Invitation to Wine,将進酒,ja-JP
Invitation to Wine - Rerun,将進酒・復刻,ja-JP
Iron Fist City Industry Cooperation Forum,アイアンリストシティ産業懇談会,ja-JP
It's Been a While,また会えたね,ja-JP
Languid Sentiment,コラボスタンプラリー「だらだら気分」,ja-JP
Limited-time Cumulative Sign-In,期間限定ログインボーナス,ja-JP
Limited-time Login Event,スタンプラリー,ja-JP
Limited-time Mission,期間限定任務,ja-JP
Limited-time Score Mission,期間限定Pt任務,ja-JP
Lingering Echoes,塵影に交わる残響,ja-JP
Lingering Echoes - Rerun,塵影に交わる残響・復刻,ja-JP
Lone Trail,孤星,ja-JP
Lone Trail - Rerun,孤星・復刻,ja-JP
Lucky Strips Login Event,龍門開運 おみくじ,ja-JP
Lungmen Lucky Strips,龍門おみくじ,ja-JP
Mansfield Break,孤島激震,ja-JP
Mansfield Break - Rerun,孤島激震·復刻,ja-JP
Maria Nearl,マリア・ニアール,ja-JP
Maria Nearl - Rerun,マリア·ニアール・復刻,ja-JP
May the Sunshine Still Sign-In Event,スタンプラリー,ja-JP
Medjehtiqedti Bound,アテヌス復讐記,ja-JP
Mizuki & Caerula Arbor,ミヅキと紺碧の樹,ja-JP
Moonlight Invite - Mooncake-Making Tutorial,清風明月-ロドス点心教室,ja-JP
Near Light,ニアーライト,ja-JP
Near Light - Rerun,ニアーライト·復刻,ja-JP
Newborn Pivot Login Event,新たな基軸 スタンプ,ja-JP
Nine-Colored Deer Onboarding Event Retrospective,九色鹿復刻スタンプラリー,ja-JP
Nulaiteburgh Industry Cooperation Forum,ニューライトバーグ市産業懇談会,ja-JP
Operation Lucent Arrowhead,OP:LA,ja-JP
Operation Originium Dust,OP:OD,ja-JP
Operation Originium Dust - Retrospection,OP:OD復刻,ja-JP
Operational Intelligence,戦地の逸話,ja-JP
Path of Life,生存航路,ja-JP
Path of Life - Rerun,生存航路・復刻,ja-JP
Phantom & Crimson Solitaire,ファントムと緋き貴石,ja-JP
Pinch-Out Experimental Operation,尖滅試験作戦,ja-JP
Pinus Sylvestris,赤松林,ja-JP
Poly Vision Museum,視像博物館,ja-JP
Pony Valley Mining Area Login Event,ポニーバレー採鉱区,ja-JP
Popping Valley Mining Area Login Event,ポッピングバレー採鉱区,ja-JP
Preludes to the Future Sign-in Event,大感謝祭スタンプ,ja-JP
Preluding Lights,灯火序曲,ja-JP
Pure Chime Zone Station,清音保全駐在,ja-JP
Rain Season Limited Login Event,長雨の候スタンプラリー,ja-JP
Rebuilding Mandate,再建画策,ja-JP
Recaptureland Station,掠地保全駐在,ja-JP
Reclamation Algorithm - Fire Within the Sand,生息演算：砂中の火,ja-JP
Recommended Monthly Card,大感謝祭月パス,ja-JP
