source,target,tgt_lng
Abeille blessée,ミツバチがダメージを受ける,ja-JP
Abeille qui entre dans une ruche,ミツバチが巣に入る,ja-JP
Abeille qui meurt,ミツバチが死ぬ,ja-JP
Abeille qui pique,ミツバチが刺す,ja-JP
Abeille qui sort d'une ruche,ミツバチが巣を離れる,ja-JP
Abeilles au travail,ミツバチが働く,ja-JP
Abeja entra en una colmena,ミツバチが巣に入る,ja-JP
Abeja herida,ミツバチがダメージを受ける,ja-JP
Abeja muere,ミツバチが死ぬ,ja-JP
Abeja pica,ミツバチが刺す,ja-JP
Abeja sale de una colmena,ミツバチが巣を離れる,ja-JP
Abeja zumba,ミツバチが羽音を立てる,ja-JP
Abeja zumba feliz,ミツバチが喜びの羽音を立てる,ja-JP
Abeja zumba furiosa,ミツバチが怒りの羽音を立てる,ja-JP
Abejas trabajan,ミツバチが働く,ja-JP
Abelha entra na colmeia,ミツバチが巣に入る,ja-JP
Abelha ferida,ミツバチがダメージを受ける,ja-JP
Abelha ferroa,ミツバチが刺す,ja-JP
Abelha morre,ミツバチが死ぬ,ja-JP
Abelha sai da colmeia,ミツバチが巣を離れる,ja-JP
Abelha zumbe,ミツバチが羽音を立てる,ja-JP
Abelha zumbe alegremente,ミツバチが喜びの羽音を立てる,ja-JP
Abelha zumbe furiosamente,ミツバチが怒りの羽音を立てる,ja-JP
Abelhas trabalham,ミツバチが働く,ja-JP
Aboiement de loup,オオカミが吠える,ja-JP
Abpinseln,ブラシで払う,ja-JP
Acciarino sferraglia,火打石と打ち金で着火する,ja-JP
Acqua gocciola,水が滴る,ja-JP
Acqua gocciola in un calderone,水が大釜に滴る,ja-JP
Acqua scorre,水が流れる,ja-JP
Affumicatore affumica,燻製器が煙を上げる,ja-JP
Afiladora usada,砥石が使用される,ja-JP
Afogado anda,ドラウンドが歩く,ja-JP
Afogado ferido,ドラウンドがダメージを受ける,ja-JP
Afogado gorgoleja,ドラウンドがゴボゴボと音を立てる,ja-JP
Afogado lança um Tridente,ドラウンドがトライデントを投げる,ja-JP
Afogado morre,ドラウンドが死ぬ,ja-JP
Afogado nada,ドラウンドが泳ぐ,ja-JP
Agricoltore lavora,農民が作業をする,ja-JP
Agricultor trabaja,農民が作業をする,ja-JP
Agricultor trabalha,農民が作業をする,ja-JP
Agua fluyendo,水が流れる,ja-JP
Agua gotea,水が滴る,ja-JP
Agua gotea en un caldero,水が大釜に滴る,ja-JP
Ahogado gorgotea,ドラウンドがゴボゴボと音を立てる,ja-JP
Ahogado herido,ドラウンドがダメージを受ける,ja-JP
Ahogado lanza un tridente,ドラウンドがトライデントを投げる,ja-JP
Ahogado muere,ドラウンドが死ぬ,ja-JP
Ahogado nadando,ドラウンドが泳ぐ,ja-JP
Ahumador echa humo,燻製器が煙を上げる,ja-JP
Ajolote ataca,ウーパールーパーが攻撃をする,ja-JP
Ajolote gorjea,ウーパールーパーが鳴く,ja-JP
Ajolote herido,ウーパールーパーがダメージを受ける,ja-JP
Ajolote muere,ウーパールーパーが死ぬ,ja-JP
Ajolote nadando,ウーパールーパーが泳ぐ,ja-JP
Ajolote recogido,ウーパールーパーがバケツですくわれる,ja-JP
Ajolote salpica,ウーパールーパーが飛び込む,ja-JP
Aksolotl cıvıldıyor,ウーパールーパーが鳴く,ja-JP
Aksolotl hasar aldı,ウーパールーパーがダメージを受ける,ja-JP
Aksolotl saldırdı,ウーパールーパーが攻撃をする,ja-JP
Aksolotl su sıçrattı,ウーパールーパーが飛び込む,ja-JP
Aksolotl yakalandı,ウーパールーパーがバケツですくわれる,ja-JP
Aksolotl yüzüyor,ウーパールーパーが泳ぐ,ja-JP
Aksolotl öldü,ウーパールーパーが死ぬ,ja-JP
Alambic qui bouillonne,醸造台が泡立つ,ja-JP
Alambicco bolle,醸造台が泡立つ,ja-JP
Alavanca estala,レバーが引かれる,ja-JP
Albañil trabaja,石工が作業をする,ja-JP
Aldeano acepta,村人が取引を受諾する,ja-JP
Aldeano celebra,村人が喜ぶ,ja-JP
Aldeano comercia,村人が取引をする,ja-JP
Aldeano herido,村人がダメージを受ける,ja-JP
Aldeano muere,村人が死ぬ,ja-JP
Aldeano murmura,村人がつぶやく,ja-JP
Aldeano rechaza,村人が取引を拒否する,ja-JP
Aldeano zombi agoniza,村人ゾンビが叫ぶ,ja-JP
Aldeano zombi gime,村人ゾンビがうめく,ja-JP
Aldeano zombi herido,村人ゾンビがダメージを受ける,ja-JP
Aldeano zombi muere,村人ゾンビが死ぬ,ja-JP
Aldeano zombi respira fuerte,村人ゾンビが治療される,ja-JP
Aldeão aceita,村人が取引を受諾する,ja-JP
Aldeão celebra,村人が喜ぶ,ja-JP
Aldeão ferido,村人がダメージを受ける,ja-JP
Aldeão morre,村人が死ぬ,ja-JP
Aldeão murmura,村人がつぶやく,ja-JP
Aldeão recusa,村人が取引を拒否する,ja-JP
Aldeão troca,村人が取引をする,ja-JP
Aldeão Zumbi ferido,村人ゾンビがダメージを受ける,ja-JP
Aldeão Zumbi funga,村人ゾンビが治療される,ja-JP
Aldeão Zumbi grunhe,村人ゾンビがうめく,ja-JP
Aldeão Zumbi morre,村人ゾンビが死ぬ,ja-JP
Aldeão Zumbi vocifera,村人ゾンビが叫ぶ,ja-JP
Alet Ustası çalışıyor,道具鍛冶が作業をする,ja-JP
Alfombra se suelta,カーペットを外す,ja-JP
Algo cae,何かが落ちる,ja-JP
Algo cae sobre un bloque,何かがブロックに落ちる,ja-JP
Algo cai num bloco,何かがブロックに落ちる,ja-JP
Algo caiu,何かが落ちる,ja-JP
Algo ferido,何かがダメージを受ける,ja-JP
Algo rebota en un políporo,サルノコシカケで何かが跳ねる,ja-JP
Algo salta num Políporo,サルノコシカケで何かが跳ねる,ja-JP
Allay allays,アレイが鎮まる,ja-JP
Allay anhela,アレイがアイテムを欲しがる,ja-JP
Allay blessé,アレイがダメージを受ける,ja-JP
Allay busca,アレイが探す,ja-JP
Allay bị thương,アレイがダメージを受ける,ja-JP
Allay chortles,アレイが笑う,ja-JP
Allay chết,アレイが死ぬ,ja-JP
Allay cười,アレイが笑う,ja-JP
Allay dies,アレイが死ぬ,ja-JP
Allay herido,アレイがダメージを受ける,ja-JP
Allay hurts,アレイがダメージを受ける,ja-JP
Allay muere,アレイが死ぬ,ja-JP
Allay ném,アレイがアイテムを投げる,ja-JP
Allay qui glousse,アレイが笑う,ja-JP
Allay qui jette,アレイがアイテムを投げる,ja-JP
Allay qui languit,アレイがアイテムを欲しがる,ja-JP
Allay qui meurt,アレイが死ぬ,ja-JP
Allay qui recherche,アレイが探す,ja-JP
Allay qui s'apaise,アレイが鎮まる,ja-JP
Allay recoge,アレイが鎮まる,ja-JP
Allay se ríe,アレイが笑う,ja-JP
Allay seeks,アレイが探す,ja-JP
Allay suelta,アレイがアイテムを投げる,ja-JP
Allay tosses,アレイがアイテムを投げる,ja-JP
Allay trả đồ,アレイが鎮まる,ja-JP
Allay tìm kiếm,アレイが探す,ja-JP
Allay xin xỏ,アレイがアイテムを欲しがる,ja-JP
Allay yearns,アレイがアイテムを欲しがる,ja-JP
Alleviante allevia,アレイが鎮まる,ja-JP
Alleviante brama,アレイがアイテムを欲しがる,ja-JP
Alleviante caccia,アレイが探す,ja-JP
Alleviante ferito,アレイがダメージを受ける,ja-JP
Alleviante lancia,アレイがアイテムを投げる,ja-JP
Alleviante muore,アレイが死ぬ,ja-JP
Alleviante ridacchia,アレイが笑う,ja-JP
Alma escapa,魂が抜け出る,ja-JP
Alma huye,魂が抜け出る,ja-JP
Almofada colocada,クッションが設置される,ja-JP
Almofada desocupada,クッションから立ち上がる,ja-JP
Almofada ocupada,クッションに座る,ja-JP
Almofada quebrada,クッションが破壊される,ja-JP
Alto horno chisporrotea,溶鉱炉が燃える,ja-JP
Alto-Forno crepita,溶鉱炉が燃える,ja-JP
Altın Karahindiba büyümeyi başlattı,金のタンポポが成長を再開させる,ja-JP
Altın Karahindiba büyümeyi durdurdu,金のタンポポが成長を止める,ja-JP
Altın zırh çınladı,金の防具が装着される,ja-JP
Alçapão aberto,トラップドアが開く,ja-JP
Alçapão fechado,トラップドアが閉じる,ja-JP
Alçapão range,トラップドアが開閉する,ja-JP
