source,target,tgt_lng
"""4""",「4」,ko-KR
"""???""",「???」,ko-KR
"""A Disrupted Recording""",「간섭받은 영상」,ko-KR
"""A Janela de Entrada do Invasor""",「파괴자의 잠입 시간」,ko-KR
"""A Soiled Note""",「얼룩진 쪽지」,ko-KR
"""Abracadabra""",「미스터 매직」,ko-KR
"""Abraço-amasso""",「거대 인형」,ko-KR
"""Acólita Sênior""",「나이 든 여성 성직자」,ko-KR
"""Acólito Cético""",「의심하는 성직자」,ko-KR
"""Acólito Tagarela""",「맞장구치는 성직자」,ko-KR
"""Aemeath""",「에이메스」,ko-KR
"""Aeschylus""",「아이스킬로스」,ko-KR
"""Aldeão""",「마을 사람」,ko-KR
"""Alter Ego""",제2의 자아,ko-KR
"""Amigo da Raposa Lunar""",「심월 여우의 벗」,ko-KR
"""Ancient Calamity""",「과거의 재난」,ko-KR
"""Anxious Noble""",「초조한 귀족」,ko-KR
"""Anátema Grave""",「원한의 재앙」,ko-KR
"""Anúncio de negócios portuários""",『항구 투자 유치 광고』,ko-KR
"""Artista Local""",「민간 예술가」,ko-KR
"""Ascend""",「올라가기」,ko-KR
"""Ascender""",「올라가기」,ko-KR
"""Assassino dos Sonhos""",「꿈속의 킬러」,ko-KR
"""Assistir ao Drama""",「연극 보기」,ko-KR
"""Assistir ao Drama"" (Tradução)",「연극 보기」(번역),ko-KR
"""Avatar Silencioso""",「무언의 화신」,ko-KR
"""Backwindow""",「뒷 창」,ko-KR
"""Bakie""",「베키」,ko-KR
"""Bastião de Ferro""",「철산」,ko-KR
"""Besessenheit""",「집념」,ko-KR
"""Bliss""",「블리스」,ko-KR
"""Blu""",「소람」,ko-KR
"""Blue Rain""",「짙푸른 비」,ko-KR
"""Bolito""",「베키」,ko-KR
"""Branco""",「화이트」,ko-KR
"""Bud-Headed Lionarch""",「폭탄 머리 수존」,ko-KR
"""Caged Beast""",「우리에 갇힌 짐승」,ko-KR
"""Calamidade Ancestral""",「과거의 재난」,ko-KR
"""Capollo""",「코폴라」,ko-KR
"""Carlotta""",「카를로타」,ko-KR
"""Carma Paradoxal""",「인과의 역설」,ko-KR
