source,target,tgt_lng
"""Coisas Brilhantes"" Coletadas: {q_count}/20",「ピカピカしたもの」の収集進捗：{q_count}/20,ja-JP
"""Coisas Brilhantes"" Coletadas: {q_count}/35",「ピカピカしたもの」の収集進捗：{q_count}/35,ja-JP
"""Dorothy""",「ドロシー」,ja-JP
"""Esfera Armilar Celeste""",「写霄器」,ja-JP
"""Lollo Joy Album"" Photo Quest",「ブブハッピーアルバム」撮影依頼,ja-JP
"""Mountain Road"" Challenge",「山道」チャレンジ,ja-JP
"""Perfect Trade""",「パーフェクトディール」,ja-JP
"""Return home""",「たまには家に帰ってくるように」,ja-JP
"""Return home""",「家に帰る」,ja-JP
"""Shiny Things"" Collected: {q_count}/20",「ピカピカしたもの」の収集進捗：{q_count}/20,ja-JP
"""Shiny Things"" Collected: {q_count}/35",「ピカピカしたもの」の収集進捗：{q_count}/35,ja-JP
"""Skyscribe Armillary""",「写霄器」,ja-JP
"""Soliskin in the Cave""",「洞窟の中の精霊」,ja-JP
"""Soliskin ในถ้ำ""",「洞窟の中の精霊」,ja-JP
"""Statement of Accountability""",「反省文」,ja-JP
"""Vernichte das Überbleibsel""",残像を倒す,ja-JP
"""Voltar para casa""",「たまには家に帰ってくるように」,ja-JP
"""Voltar para casa""",「家に帰る」,ja-JP
"""กลับบ้าน""",「家に帰る」,ja-JP
"""กลับมาเยี่ยมบ้าน""",「たまには家に帰ってくるように」,ja-JP
"""การค้าขายสมบูรณ์แบบ""",「パーフェクトディール」,ja-JP
"""ความคืบหน้าของฉัน"" ถึง 200 ในกิจกรรม ""ซีซันคอลแลปส์ 'โซลาริสที่สอง'""",イベント『第二ソラリス』コラボシーズンで、個人進捗が200に到達,ja-JP
"""ความคืบหน้าของฉัน"" ถึง 400 ในกิจกรรม ""ซีซันคอลแลปส์ 'โซลาริสที่สอง'""",イベント『第二ソラリス』コラボシーズンで、個人進捗が400に到達,ja-JP
"""ความคืบหน้าของฉัน"" ถึง 600 ในกิจกรรม ""ซีซันคอลแลปส์ 'โซลาริสที่สอง'""",イベント『第二ソラリス』コラボシーズンで、個人進捗が600に到達,ja-JP
"""ความคืบหน้าของฉัน"" ถึง 800 ในกิจกรรม ""ซีซันคอลแลปส์ 'โซลาริสที่สอง'""",イベント『第二ソラリス』コラボシーズンで、個人進捗が800に到達,ja-JP
"""ชำระล้าง"" ครั้งสุดท้ายให้เสร็จสิ้น",最後の過ぎし人を祓う,ja-JP
"""ชำระล้าง"" ผู้หลงเหลือ",過ぎし人を「祓う」,ja-JP
"""บันทึกจากวงแหวนส่องนภา""",「霄巡りの記録」,ja-JP
"""บันทึกถูกทิ้ง - 2""",『捨てられたノート・その二』,ja-JP
"""ผู้หลงเหลือ?""",「過ぎし人？」,ja-JP
"""ยอดนักยิงจันทรา"" เวลาจำกัด",「月壺打ち」時限挑戦,ja-JP
"""รายงานสำนึก""",「反省文」,ja-JP
"""สมุดบันทึกที่ถูกทิ้งร้าง ตอนที่ 1""",『捨てられたノート・その一』,ja-JP
"""สมุดบันทึกสุดท้าย""",『最後のノート』,ja-JP
"""สายสัมพันธ์"" ของเราต้องเข้มแข็งกว่านี้",もっと他人と「繋ぎ」たい。,ja-JP
"""เขตแดนแห่งโล่"" ครอบคลุมพื้นที่ทั้งหมด จะมอบโล่ให้แก่เรโซเนเตอร์",フィールド全域をカバーする「盾作り境域」：キャラにシールドを付与する,ja-JP
"""แช่อ่าง"" ด้วยกันกับ Tubpup",タブドッグと「泡遊び」,ja-JP
#N/A,test/,ja-JP
(Calamity Effigy),（天傀劫殺）,ja-JP
(Cumprimentar o Cãobanheira),タブドッグに声をかける,ja-JP
(Di Realm),（地の境界）,ja-JP
(Di-Reich),（地の境界）,ja-JP
(Effigie de la Calamité),（天傀劫殺）,ja-JP
(Efigie de Calamidad),（天傀劫殺）,ja-JP
(Efígie da Calamidade),（天傀劫殺）,ja-JP
(Empfohlen) Schmiede „Wächter-Schwert“,（推奨）「辺守迅刀・鎮護」を製造,ja-JP
(Faculatif) Se rendre à la Cathédrale du Mercure en utilisant la Railée,（任意）高天の使いでマーキュリー礼拝堂に向かう,ja-JP
(Faculatif) Se rendre à la destination en utilisant la Railée,（任意）「高天の使い」で目的地に向かう,ja-JP
(Faculatif) Se renseigner auprès des employés du port à proximité,（任意）近くの労働者に尋ねる,ja-JP
(Facultatif) Accompagner Danjin,（任意）丹瑾と二人乗りする,ja-JP
(Facultatif) Accéder au toit par un « raccourci »,「近道」で屋上に向かう（任意）,ja-JP
(Facultatif) Accéder aux amphithéâtres par un « raccourci »,「近道」でアカデミックエリアに向かう（任意）,ja-JP
(Facultatif) Activer la petite balise,（選択可）小型信号塔を解放,ja-JP
(Facultatif) Allez aux Ruines paisibles avec Chuxiu,（任意）初岫と一緒に寂れた淵墟へ向かう,ja-JP
(Facultatif) Briser les cocons de glace pour désactiver l'effet des dégâts sur la durée,（任意）全ての氷のまゆを撃破して持続ダメージ効果を解除する,ja-JP
(Facultatif) Chercher dans les eaux à proximité,（任意）付近の水場で探す,ja-JP
(Facultatif) Chercher des indices avec le Senseur,「スキャン」で手がかりを探す（任意）,ja-JP
(Facultatif) Collecter des matériaux médicinaux à la zone abondante,薬材の群生地へ向かう（任意）,ja-JP
(Facultatif) Contacter Cantarella,（任意）カンタレラと通信,ja-JP
(Facultatif) Continuer à chercher des indices,（任意）手がかりを探す,ja-JP
(Facultatif) Contrôler la garde avec l'appareil d'autorisation,（任意）権限装置で制御権を奪う,ja-JP
(Facultatif) Contrôler la garde avec l'appareil d'autorisation,（任意）権限装置で守衛の制御権を奪う,ja-JP
(Facultatif) Demander aux Septimontais leur avis sur la Lionne glorieuse,セブン・ヒルズ人に、アーシノサに対する見方を尋ねる,ja-JP
(Facultatif) Demander aux Septimontais leur avis sur la Lionne glorieuse,（任意）セブン・ヒルズ人のアーシノサに対する見方を尋ねる,ja-JP
(Facultatif) Demander aux Septimontais leur avis sur la Sentinelle,セブン・ヒルズ人に、歳主とラグーナに対する見方を尋ねる,ja-JP
(Facultatif) Demander aux Septimontais leur avis sur la Sentinelle,（任意）セブン・ヒルズ人に、歳主とラグーナに対する見方を尋ねる,ja-JP
(Facultatif) Descendre la montagne en ski,（選択可）雪の上を滑走して山を降りる,ja-JP
(Facultatif) Dire au revoir à tout le monde avant de partir,（任意）皆に別れの挨拶をする,ja-JP
(Facultatif) Discuter avec Danjin,（任意）丹瑾と会話する,ja-JP
(Facultatif) Discuter avec Meilleur vendeur,トップ販売員と会話する（任意）,ja-JP
(Facultatif) Discuter avec Polmes,ポンムズと会話する（任意）,ja-JP
(Facultatif) Découvrir ce que fait Lynae,（任意）リンネーの様子を見る,ja-JP
(Facultatif) Découvrir ce que fait Sigrika,（任意）シグリカの様子を見る,ja-JP
(Facultatif) Découvrir la Simulation : Potions de résonance,（選択可）仮想訓練：共鳴強化剤について調べる,ja-JP
(Facultatif) Enquêter autour de vous,現場を調べる（任意）,ja-JP
(Facultatif) Entrer dans le Somnoire anormal,（任意）異常な心の集域に入る,ja-JP
(Facultatif) Esquiver 10 attaques,（任意）回避を10回成功させる,ja-JP
(Facultatif) Esquiver 5 attaques,（任意）回避を5回成功させる,ja-JP
(Facultatif) Esquivez 10 attaques de l'ennemi,（任意）回避を10回成功させる,ja-JP
(Facultatif) Esquivez 5 attaques de l'ennemi,（任意）回避を5回成功させる,ja-JP
(Facultatif) Examiner l'album de Lucilla,ルシラーのアルバムを調べる,ja-JP
(Facultatif) Examiner la Fresque,壁画を調べる（任意）,ja-JP
(Facultatif) Examiner la fréquence perdue,（任意）流出の周波数を調べる,ja-JP
(Facultatif) Examiner la fréquence perdue I,（任意）流出の周波数を調べる・一,ja-JP
(Facultatif) Examiner la fréquence perdue II,（任意）流出の周波数を調べる・二,ja-JP
(Facultatif) Examiner la fréquence perdue III,（任意）流出の周波数を調べる・三,ja-JP
(Facultatif) Examiner la table,（任意）机を調べる,ja-JP
(Facultatif) Examiner la table d'opération,（任意）手術台を調べる,ja-JP
(Facultatif) Examiner le cabinet médical,（任意）薬棚を調べる,ja-JP
(Facultatif) Examiner le camp d'Aeolus,（任意）イエルの拠点を調べる,ja-JP
(Facultatif) Examiner le frigo,（任意）冷蔵庫を調べる,ja-JP
(Facultatif) Examiner les appareils de recherche,（任意）研究用品を調べる,ja-JP
(Facultatif) Explorer la zone des tuyaux,パイプエリアを探索する（任意）,ja-JP
(Facultatif) Explorer le Petit monde cubique,長離団子と会話する,ja-JP
(Facultatif) Explorer le Petit monde cubique,（任意）団子リトルワールドを見て回る,ja-JP
(Facultatif) Explorer le camp et parler à Brax,（任意）キャンプを探索し、ブラスクと話して様子を探る,ja-JP
(Facultatif) Explorer le camp et parler à Rokan,（任意）キャンプを探索し、ロークエンと話して様子を探る,ja-JP
(Facultatif) Explorer le premier étage pour plus d'information,一階で情報を集める（任意）,ja-JP
(Facultatif) Gravir la montagne avec Chuxiu,（任意）初岫と一緒に山を登る,ja-JP
(Facultatif) Interroger Scar,（選択可）スカーを問い質す,ja-JP
(Facultatif) Jeter un coup d'œil autour du restaurant,（任意）レストラン周辺の様子を見る,ja-JP
(Facultatif) Libérer « Ramollo »,（任意）残像「レイジー」を苦痛から解放する,ja-JP
(Facultatif) Lire la lettre de Carlotta,（任意）カルロッタからの依頼状を読む,ja-JP
(Facultatif) Lire la lettre de l'Ordre,（任意）教団からの依頼状を読む,ja-JP
(Facultatif) Lire le message dans la chambre,メッセージを読む（任意）,ja-JP
(Facultatif) Lire les pages à proximité,（任意）本のページを調べる,ja-JP
(Facultatif) Observer la Méduse Rose-Gélatine,（任意）ジェリーローズメデューサを観察する,ja-JP
(Facultatif) Observer la Pomme de mer,(任意）シーアップルを観察する,ja-JP
(Facultatif) Parler aux autres participants,（選択可）他の選手とと話す,ja-JP
(Facultatif) Parler aux autres participants,（選択可）他の選手と話す,ja-JP
(Facultatif) Parler aux enfants,隣の子供に尋ねる（選択可）,ja-JP
