source,target,tgt_lng
Astgenne the Lightchaser,溯光星源,zh-CN
Blaze the Igniting Spark,烛煌,zh-CN
Ch'en the Dawnstreak,赤刃明霄陈,zh-CN
Ch'en the Holungday,假日威龙陈,zh-CN
Crownslayer,弑君者,zh-CN
Executor the Ex Foedere,圣约送葬人,zh-CN
Exusiai the New Covenant,新约能天使,zh-CN
Eyjafjalla the Hvít Aska,纯烬艾雅法拉,zh-CN
Fang the Fire-Sharpened,历阵锐枪芬,zh-CN
Gavial the Invincible,百炼嘉维尔,zh-CN
Greyy the Lightningbearer,承曦格雷伊,zh-CN
Hibiscus the Purifier,濯尘芙蓉,zh-CN
Hoshiguma the Breacher,斩业星熊,zh-CN
Jessica the Liberated,涤火杰西卡,zh-CN
Kirin R Yato,麒麟R夜刀,zh-CN
Kroos the Keen Glint,寒芒克洛丝,zh-CN
Lappland the Decadenza,荒芜拉普兰德,zh-CN
Lava the Purgatory,炎狱炎熔,zh-CN
Leizi the Thunderbringer,司霆惊蛰,zh-CN
Nearl the Radiant Knight,耀骑士临光,zh-CN
Perfumer the Distilled,撷英调香师,zh-CN
Pramanix the Prerita,圣聆初雪,zh-CN
Rathalos S Noir Corne,火龙S黑角,zh-CN
Reed the Flame Shadow,焰影苇草,zh-CN
Silence the Paradigmatic,淬羽赫默,zh-CN
SilverAsh the Reignfrost,凛御银灰,zh-CN
Skadi the Corrupting Heart,浊心斯卡蒂,zh-CN
Specter the Unchained,归溟幽灵鲨,zh-CN
Swire the Elegant Wit,琳琅诗怀雅,zh-CN
Texas the Omertosa,缄默德克萨斯,zh-CN
Thorns the Lodestar,引星棘刺,zh-CN
Tragodia,酒神,zh-CN
Vina Victoria,维娜·维多利亚,zh-CN
Wiš'adel,维什戴尔,zh-CN
ウィシャデル,维什戴尔,zh-CN
キリンRヤトウ,麒麟R夜刀,zh-CN
クラウンスレイヤー,弑君者,zh-CN
トラゴーディア,酒神,zh-CN
レウスSノイルホーン,火龙S黑角,zh-CN
ヴィーナ・ヴィクトリア,维娜·维多利亚,zh-CN
假日威龍陳,假日威龙陈,zh-CN
凛御シルバーアッシュ,凛御银灰,zh-CN
凜御銀灰,凛御银灰,zh-CN
司霆レイズ,司霆惊蛰,zh-CN
司霆驚蟄,司霆惊蛰,zh-CN
寒芒クルース,寒芒克洛丝,zh-CN
寒芒克洛絲,寒芒克洛丝,zh-CN
帰溟スペクター,归溟幽灵鲨,zh-CN
弒君者,弑君者,zh-CN
引星ソーンズ,引星棘刺,zh-CN
承曦グレイ,承曦格雷伊,zh-CN
擷英調香師,撷英调香师,zh-CN
斬業ホシグマ,斩业星熊,zh-CN
斬業星熊,斩业星熊,zh-CN
新約エクシア,新约能天使,zh-CN
新約能天使,新约能天使,zh-CN
歴陣鋭槍フェン,历阵锐枪芬,zh-CN
歷陣銳槍芬,历阵锐枪芬,zh-CN
歸溟幽靈鯊,归溟幽灵鲨,zh-CN
淬羽サイレンス,淬羽赫默,zh-CN
溯光アステジーニ,溯光星源,zh-CN
滌火ジェシカ,涤火杰西卡,zh-CN
滌火潔西卡,涤火杰西卡,zh-CN
濁心スカジ,浊心斯卡蒂,zh-CN
濁心斯卡蒂,浊心斯卡蒂,zh-CN
濯塵ハイビスカス,濯尘芙蓉,zh-CN
濯塵芙蓉,濯尘芙蓉,zh-CN
火龍S黑角,火龙S黑角,zh-CN
炎獄ラヴァ,炎狱炎熔,zh-CN
炎獄炎熔,炎狱炎熔,zh-CN
焔影リード,焰影苇草,zh-CN
焰影葦草,焰影苇草,zh-CN
熾炎ブレイズ,烛煌,zh-CN
燭煌,烛煌,zh-CN
琳琅スワイヤー,琳琅诗怀雅,zh-CN
琳瑯詩懷雅,琳琅诗怀雅,zh-CN
百煉嘉維爾,百炼嘉维尔,zh-CN
百錬ガヴィル,百炼嘉维尔,zh-CN
純燼エイヤフィヤトラ,纯烬艾雅法拉,zh-CN
純燼艾雅法拉,纯烬艾雅法拉,zh-CN
維什戴爾,维什戴尔,zh-CN
維娜·維多利亞,维娜·维多利亚,zh-CN
緘默德克薩斯,缄默德克萨斯,zh-CN
耀騎士ニアール,耀骑士临光,zh-CN
耀騎士臨光,耀骑士临光,zh-CN
聖約イグゼキュター,圣约送葬人,zh-CN
聖約送葬人,圣约送葬人,zh-CN
聖聆プラマニクス,圣聆初雪,zh-CN
聖聆初雪,圣聆初雪,zh-CN
荒蕪ラップランド,荒芜拉普兰德,zh-CN
荒蕪拉普蘭德,荒芜拉普兰德,zh-CN
萃香パフューマー,撷英调香师,zh-CN
血掟テキサス,缄默德克萨斯,zh-CN
赤刃明霄チェン,赤刃明霄陈,zh-CN
赤刃明霄陳,赤刃明霄陈,zh-CN
遊龍チェン,假日威龙陈,zh-CN
가비알 디 인빈서블,百炼嘉维尔,zh-CN
그레이 더 라이트닝베어러,承曦格雷伊,zh-CN
니어 더 래디언트 나이트,耀骑士临光,zh-CN
라바 더 퍼거토리,炎狱炎熔,zh-CN
라플란드 더 데카덴차,荒芜拉普兰德,zh-CN
레우스S 느와르 코르네,火龙S黑角,zh-CN
레이즈 더 썬더브링어,司霆惊蛰,zh-CN
리드 더 플레임 섀도우,焰影苇草,zh-CN
블레이즈 디 이그나이팅 스파크,烛煌,zh-CN
비나 빅토리아,维娜·维多利亚,zh-CN
사일런스 더 패러디그매틱,淬羽赫默,zh-CN
스와이어 디 엘리건트 위트,琳琅诗怀雅,zh-CN
스카디 더 커럽팅 하트,浊心斯卡蒂,zh-CN
스펙터 디 언체인드,归溟幽灵鲨,zh-CN
실버애쉬 더 레인프로스트,凛御银灰,zh-CN
쏜즈 더 로드스타,引星棘刺,zh-CN
아스트젠 더 라이트체이서,溯光星源,zh-CN
에이야퍄들라 더 크비트 아스카,纯烬艾雅法拉,zh-CN
엑시아 더 뉴 커버넌트,新约能天使,zh-CN
위셔델,维什戴尔,zh-CN
이그제큐터 디 엑스 포에데레,圣约送葬人,zh-CN
제시카 더 리버레이티드,涤火杰西卡,zh-CN
첸 더 던스트릭,赤刃明霄陈,zh-CN
첸 더 홀룽데이,假日威龙陈,zh-CN
크라운슬레이어,弑君者,zh-CN
크루스 더 킨 글린트,寒芒克洛丝,zh-CN
키린R 야토,麒麟R夜刀,zh-CN
텍사스 디 오메르토사,缄默德克萨斯,zh-CN
트라고디아,酒神,zh-CN
팽 더 파이어 샤픈드,历阵锐枪芬,zh-CN
퍼퓨머 더 디스틸트,撷英调香师,zh-CN
프라마닉스 더 프레리타,圣聆初雪,zh-CN
호시구마 더 브리처,斩业星熊,zh-CN
히비스커스 더 퓨리파이어,濯尘芙蓉,zh-CN
