id,term,src_table
RoleTalent.10200201.desc,爆擊時，附帶_#passive_passiveper_1_1_1_1_攻擊力的真實傷害,Talent/RoleTalent.txt
RoleTalent.10200201.name,貓貓震怒,Talent/RoleTalent.txt
RoleTalent.10200202.desc,爆擊時，附帶_#passive_passiveper_1_1_1_1_攻擊力的真實傷害,Talent/RoleTalent.txt
RoleTalent.10200202.name,貓貓震怒,Talent/RoleTalent.txt
RoleTalent.10200203.desc,爆擊時，附帶_#passive_passiveper_1_1_1_1_攻擊力的真實傷害,Talent/RoleTalent.txt
RoleTalent.10200203.name,貓貓震怒,Talent/RoleTalent.txt
RoleTalent.10200204.desc,爆擊時，附帶_#passive_passiveper_1_1_1_1_攻擊力的真實傷害,Talent/RoleTalent.txt
RoleTalent.10200204.name,貓貓震怒,Talent/RoleTalent.txt
RoleTalent.10200301.desc,每回合首次釋放技能時，造成的傷害提升_#passive_passiveper_1_1_1_1_,Talent/RoleTalent.txt
RoleTalent.10200301.name,精密計算,Talent/RoleTalent.txt
RoleTalent.10200302.desc,每回合首次釋放技能時，造成的傷害提升_#passive_passiveper_1_1_1_1_,Talent/RoleTalent.txt
RoleTalent.10200302.name,精密計算,Talent/RoleTalent.txt
RoleTalent.10200303.desc,每回合首次釋放技能時，造成的傷害提升_#passive_passiveper_1_1_1_1_,Talent/RoleTalent.txt
RoleTalent.10200303.name,精密計算,Talent/RoleTalent.txt
RoleTalent.10200304.desc,每回合首次釋放技能時，造成的傷害提升_#passive_passiveper_1_1_1_1_,Talent/RoleTalent.txt
RoleTalent.10200304.name,精密計算,Talent/RoleTalent.txt
RoleTalent.10200401.desc,釋放攻擊技能後，降低敵方全體_#passive_passiveper_1_1_1_1_防禦力，持續_#round_num_1_0_1_回合，可疊加_#stackmax_num_1_0_1_層,Talent/RoleTalent.txt
RoleTalent.10200401.name,微笑的假面,Talent/RoleTalent.txt
RoleTalent.10200402.desc,釋放攻擊技能後，降低敵方全體_#passive_passiveper_1_1_1_1_防禦力，持續_#round_num_1_0_1_回合，可疊加_#stackmax_num_1_0_1_層,Talent/RoleTalent.txt
RoleTalent.10200402.name,微笑的假面,Talent/RoleTalent.txt
RoleTalent.10200403.desc,釋放攻擊技能後，降低敵方全體_#passive_passiveper_1_1_1_1_防禦力，持續_#round_num_1_0_1_回合，可疊加_#stackmax_num_1_0_1_層,Talent/RoleTalent.txt
RoleTalent.10200403.name,微笑的假面,Talent/RoleTalent.txt
RoleTalent.10200404.desc,釋放攻擊技能後，降低敵方全體_#passive_passiveper_1_1_1_1_防禦力，持續_#round_num_1_0_1_回合，可疊加_#stackmax_num_1_0_1_層,Talent/RoleTalent.txt
RoleTalent.10200404.name,微笑的假面,Talent/RoleTalent.txt
RoleTalent.10200501.desc,釋放奧義技能後，造成傷害提升_#passive_passiveper_1_1_1_1_，可疊加_#stackmax_num_1_0_1_層,Talent/RoleTalent.txt
RoleTalent.10200501.name,自由精神,Talent/RoleTalent.txt
RoleTalent.10200502.desc,釋放奧義技能後，造成傷害提升_#passive_passiveper_1_1_1_1_，可疊加_#stackmax_num_1_0_1_層,Talent/RoleTalent.txt
RoleTalent.10200502.name,自由精神,Talent/RoleTalent.txt
RoleTalent.10200503.desc,釋放奧義技能後，造成傷害提升_#passive_passiveper_1_1_1_1_，可疊加_#stackmax_num_1_0_1_層,Talent/RoleTalent.txt
RoleTalent.10200503.name,自由精神,Talent/RoleTalent.txt
RoleTalent.10200504.desc,釋放奧義技能後，造成傷害提升_#passive_passiveper_1_1_1_1_，可疊加_#stackmax_num_1_0_1_層,Talent/RoleTalent.txt
RoleTalent.10200504.name,自由精神,Talent/RoleTalent.txt
RoleTalent.10200601.desc,戰鬥開始時，攻擊相關能力提升_#passive_passiveper_1_1_1_1_，持續_#round_num_1_0_1_回合,Talent/RoleTalent.txt
RoleTalent.10200601.name,魔法加成,Talent/RoleTalent.txt
RoleTalent.10200602.desc,戰鬥開始時，攻擊相關能力提升_#passive_passiveper_1_1_1_1_，持續_#round_num_1_0_1_回合,Talent/RoleTalent.txt
RoleTalent.10200602.name,魔法加成,Talent/RoleTalent.txt
RoleTalent.10200603.desc,戰鬥開始時，攻擊相關能力提升_#passive_passiveper_1_1_1_1_，持續_#round_num_1_0_1_回合,Talent/RoleTalent.txt
RoleTalent.10200603.name,魔法加成,Talent/RoleTalent.txt
RoleTalent.10200604.desc,戰鬥開始時，攻擊相關能力提升_#passive_passiveper_1_1_1_1_，持續_#round_num_1_0_1_回合,Talent/RoleTalent.txt
RoleTalent.10200604.name,魔法加成,Talent/RoleTalent.txt
RoleTalent.10201001.desc,受到傷害時，獲得1回合_#passive_passiveper_1_1_1_1_傷害減免，可疊加_#stackmax_num_1_0_1_層,Talent/RoleTalent.txt
RoleTalent.10201001.name,乖寶寶的獎勵,Talent/RoleTalent.txt
RoleTalent.10201002.desc,受到傷害時，獲得1回合_#passive_passiveper_1_1_1_1_傷害減免，可疊加_#stackmax_num_1_0_1_層,Talent/RoleTalent.txt
RoleTalent.10201002.name,乖寶寶的獎勵,Talent/RoleTalent.txt
RoleTalent.10201003.desc,受到傷害時，獲得1回合_#passive_passiveper_1_1_1_1_傷害減免，可疊加_#stackmax_num_1_0_1_層,Talent/RoleTalent.txt
RoleTalent.10201003.name,乖寶寶的獎勵,Talent/RoleTalent.txt
RoleTalent.10201004.desc,受到傷害時，獲得1回合_#passive_passiveper_1_1_1_1_傷害減免，可疊加_#stackmax_num_1_0_1_層,Talent/RoleTalent.txt
RoleTalent.10201004.name,乖寶寶的獎勵,Talent/RoleTalent.txt
RoleTalent.10300101.desc,戰鬥開始時，獲得_#passive_passiveper_1_1_1_1_最大生命值的護盾，持續_#round_num_1_0_1_回合,Talent/RoleTalent.txt
RoleTalent.10300101.name,異化加護,Talent/RoleTalent.txt
RoleTalent.10300102.desc,戰鬥開始時，獲得_#passive_passiveper_1_1_1_1_最大生命值的護盾，持續_#round_num_1_0_1_回合,Talent/RoleTalent.txt
RoleTalent.10300102.name,異化加護,Talent/RoleTalent.txt
RoleTalent.10300103.desc,戰鬥開始時，獲得_#passive_passiveper_1_1_1_1_最大生命值的護盾，持續_#round_num_1_0_1_回合,Talent/RoleTalent.txt
RoleTalent.10300103.name,異化加護,Talent/RoleTalent.txt
RoleTalent.10300104.desc,戰鬥開始時，獲得_#passive_passiveper_1_1_1_1_最大生命值的護盾，持續_#round_num_1_0_1_回合,Talent/RoleTalent.txt
RoleTalent.10300104.name,異化加護,Talent/RoleTalent.txt
RoleTalent.10300201.desc,每回合開始時，獲得_#passive_passiveper_1_1_1_1_最大生命值的護盾，持續_#round_num_1_0_1_回合,Talent/RoleTalent.txt
RoleTalent.10300201.name,甜蜜守護,Talent/RoleTalent.txt
RoleTalent.10300202.desc,每回合開始時，獲得_#passive_passiveper_1_1_1_1_最大生命值的護盾，持續_#round_num_1_0_1_回合,Talent/RoleTalent.txt
RoleTalent.10300202.name,甜蜜守護,Talent/RoleTalent.txt
RoleTalent.10300203.desc,每回合開始時，獲得_#passive_passiveper_1_1_1_1_最大生命值的護盾，持續_#round_num_1_0_1_回合,Talent/RoleTalent.txt
RoleTalent.10300203.name,甜蜜守護,Talent/RoleTalent.txt
RoleTalent.10300204.desc,每回合開始時，獲得_#passive_passiveper_1_1_1_1_最大生命值的護盾，持續_#round_num_1_0_1_回合,Talent/RoleTalent.txt
RoleTalent.10300204.name,甜蜜守護,Talent/RoleTalent.txt
RoleTalent.10300301.desc,戰鬥開始時，防禦相關能力提升_#passive_passiveper_1_1_1_1_，持續_#round_num_1_0_1_回合,Talent/RoleTalent.txt
RoleTalent.10300301.name,保護意識,Talent/RoleTalent.txt
RoleTalent.10300302.desc,戰鬥開始時，防禦相關能力提升_#passive_passiveper_1_1_1_1_，持續_#round_num_1_0_1_回合,Talent/RoleTalent.txt
RoleTalent.10300302.name,保護意識,Talent/RoleTalent.txt
RoleTalent.10300303.desc,戰鬥開始時，防禦相關能力提升_#passive_passiveper_1_1_1_1_，持續_#round_num_1_0_1_回合,Talent/RoleTalent.txt
RoleTalent.10300303.name,保護意識,Talent/RoleTalent.txt
RoleTalent.10300304.desc,戰鬥開始時，防禦相關能力提升_#passive_passiveper_1_1_1_1_，持續_#round_num_1_0_1_回合,Talent/RoleTalent.txt
RoleTalent.10300304.name,保護意識,Talent/RoleTalent.txt
RoleTalent.10300401.desc,釋放增益技能後，友方全體下次使用進攻技能時造成的傷害提升_#passive_passiveper_1_1_1_1_，可疊加_#stackmax_num_1_0_1_層,Talent/RoleTalent.txt
RoleTalent.10300401.name,深受鼓舞,Talent/RoleTalent.txt
RoleTalent.10300402.desc,釋放增益技能後，友方全體下次使用進攻技能時造成的傷害提升_#passive_passiveper_1_1_1_1_，可疊加_#stackmax_num_1_0_1_層,Talent/RoleTalent.txt
RoleTalent.10300402.name,深受鼓舞,Talent/RoleTalent.txt
RoleTalent.10300403.desc,釋放增益技能後，友方全體下次使用進攻技能時造成的傷害提升_#passive_passiveper_1_1_1_1_，可疊加_#stackmax_num_1_0_1_層,Talent/RoleTalent.txt
RoleTalent.10300403.name,深受鼓舞,Talent/RoleTalent.txt
RoleTalent.10300404.desc,釋放增益技能後，友方全體下次使用進攻技能時造成的傷害提升_#passive_passiveper_1_1_1_1_，可疊加_#stackmax_num_1_0_1_層,Talent/RoleTalent.txt
RoleTalent.10300404.name,深受鼓舞,Talent/RoleTalent.txt
RoleTalent.10300501.desc,回合開始時，若生命值低於50%，則按最大生命值的_#passive_passiveper_1_1_1_1_回復生命值,Talent/RoleTalent.txt
RoleTalent.10300501.name,絕境逢生,Talent/RoleTalent.txt
