source,target,tgt_lng
ASH,Ash,ja-JP
Aak,ア,ja-JP
Absinthe,アブサント,ja-JP
Aciddrop,アシッドドロップ,ja-JP
Adnachiel,アドナキエル,ja-JP
Akafuyu,アカフユ,ja-JP
Akkord,アコルト,ja-JP
Alanna,アランナ,ja-JP
Alliance/Supportive Operator,盟約・補助オペレーター,ja-JP
Almond,アーモンド,ja-JP
Ambriel,アンブリエル,ja-JP
Amiya,アーミヤ,ja-JP
Andreana,アンドレアナ,ja-JP
Angelina,アンジェリーナ,ja-JP
Ansel,アンセル,ja-JP
Aosta,アオスタ,ja-JP
April,エイプリル,ja-JP
Archetto,アルケット,ja-JP
Arene,アレーン,ja-JP
Aroma,アロマ,ja-JP
Asbestos,アスベストス,ja-JP
Ascalon,アスカロン,ja-JP
Ashlock,アッシュロック,ja-JP
Astesia,アステシア,ja-JP
Astgenne,アステジーニ,ja-JP
Astgenne the Lightchaser,溯光アステジーニ,ja-JP
Aurora,オーロラ,ja-JP
Ayerscarpe,エアースカーペ,ja-JP
BLITZ,Blitz,ja-JP
Bagpipe,バグパイプ,ja-JP
Bassline,ベースライン,ja-JP
Beagle,ビーグル,ja-JP
Beanstalk,ビーンストーク,ja-JP
Beehunter,ビーハンター,ja-JP
Beeswax,ビーズワクス,ja-JP
Bellone,ベッローネ,ja-JP
Bena,ベナ,ja-JP
Bibeak,バイビーク,ja-JP
Bison,バイソン,ja-JP
Blacknight,ブラックナイト,ja-JP
Blaze,ブレイズ,ja-JP
Blaze the Igniting Spark,熾炎ブレイズ,ja-JP
Blemishine,ブレミシャイン,ja-JP
Blue Poison,アズリウス,ja-JP
Bobbing,ボビング,ja-JP
Breeze,ブリーズ,ja-JP
Brigid,ブリギッド,ja-JP
Broca,ブローカ,ja-JP
Bryophyta,ブライオファイタ,ja-JP
Bubble,バブル,ja-JP
Cairn,ケルン,ja-JP
Cantabile,カンタービレ,ja-JP
Caper,ケイパー,ja-JP
