source,target,tgt_lng
'블러드 다이아몬드'의 노래,“血钻”的歌声,zh-CN
'이런' 일,这种事,zh-CN
...Ask What I Seek,谓我何求,zh-CN
2차 돌격,二次冲锋,zh-CN
600ポンド,六百镑,zh-CN
A Bitterest Rhizome,苦涩的根茎,zh-CN
A Bolt From the Blue Oasis,绿洲惊雷,zh-CN
A Bright Flame in the Dark Forest,林昏焰明,zh-CN
A Chance Encounter,不期而遇,zh-CN
A Citadel and Its Walls,坚城高墙,zh-CN
A Complete Surprise,纯属意外,zh-CN
A Curse Without Words,无字诅咒,zh-CN
A Dance Together,共舞,zh-CN
A Day's Calamity,一日之祸,zh-CN
A Dilemma of Values,数字问题,zh-CN
A Dream,大梦,zh-CN
A Dream Under Rice,禾下梦,zh-CN
A Face-to-Face Meeting,一场相见,zh-CN
A Flower that Blooms Rot,倾泻腐朽的花,zh-CN
A Fowl Through the Window,飞进窗的羽兽,zh-CN
A Fulfilling Holiday,充实的假期,zh-CN
A Funeral,一场葬礼,zh-CN
A Game of Cards,牌局,zh-CN
A Game of Scents,气味游戏,zh-CN
A Glass with Old Stories,杯中旧事,zh-CN
"A Grand, Distant Ideal",远大理想,zh-CN
A Gunshot Rings Out,铳声回响,zh-CN
A Hero's Final Bow,英雄的落幕,zh-CN
A Hundred Years in Daily Steps,百年一日,zh-CN
A Job for a Museum Collection,文物也上班,zh-CN
A Knight's Journey,骑士的旅程,zh-CN
A Letter,来信,zh-CN
A Life for a Life,以命换命,zh-CN
A Lone Soul,只影孤身,zh-CN
A Lonely Winter's Night,雪夜独行,zh-CN
"A Long, Long Time Ago",很久很久以前,zh-CN
A Matter of Public Health,注意卫生,zh-CN
A Night of Terror,惊弓一夜,zh-CN
A Pair of Fowlbeasts,一双羽兽,zh-CN
A Perilous Road,崎路前行,zh-CN
A Piece of Graffiti,一个涂鸦,zh-CN
"A Pilgrimage, A Knell",圣巡与丧钟,zh-CN
A Pincer's Grace,一钳之恩,zh-CN
A Plan,计划,zh-CN
A Poem's Looks,诗的容貌,zh-CN
A Prayer for Peace,平安祈愿,zh-CN
A Priceless Medal,无价的勋章,zh-CN
A Question's Answer,一问之答,zh-CN
A Sailor Went to Sea,一个水手出海了,zh-CN
A Sigh,叹息,zh-CN
A Sliver of Light,一丝光亮,zh-CN
A Sob,一声呜咽,zh-CN
A Song Called April,四月的歌,zh-CN
A Song and a Blue Feather,蓝色羽毛与歌,zh-CN
A Streetcar Named Faith,信仰号街车,zh-CN
A Thousand Years in a Sigh,千年一叹,zh-CN
A Town Amidst the Clouds,小镇翳云,zh-CN
"A Trickle, a Rapids",涓滴亦江流,zh-CN
A Walk in the Rain,雨中漫步,zh-CN
A Word to the Audience,致观众,zh-CN
A6が生まれた日,A6成立的那一天,zh-CN
A6의 설립일,A6成立的那一天,zh-CN
Above the Dome,穹顶之上,zh-CN
Above the Embers,余烬之上,zh-CN
Acceptance Speech,获奖感言,zh-CN
Accidental Participation,意外入选,zh-CN
Accidental Reunion,重逢不乏意外,zh-CN
Across the Battlefield's Line,战场内外,zh-CN
Acute Stress Disorder,应激反应,zh-CN
Additional Ticket,补票！,zh-CN
Adhaint an Ghrian,寻灯续昼,zh-CN
"Adios, Salt Flat",别了，盐漠,zh-CN
"Adios, Tierra",别了，大地,zh-CN
Adjournment,封盘,zh-CN
Aegis of the Infected-1,感染者之盾-1,zh-CN
Aegis of the Infected-2,感染者之盾-2,zh-CN
Afraid to Return Home,近乡情怯,zh-CN
After the Choice,抉择过后,zh-CN
After-class Homework,课后作业,zh-CN
Afterdream,梦的余韵,zh-CN
Against the Light,逆光阴影,zh-CN
Aim,瞄准,zh-CN
Alcohol and Placebo,酒精与安慰剂,zh-CN
All Roads...,殊途,zh-CN
All She Cares About,祂所关心的,zh-CN
All Things Have a Soul,万物有灵,zh-CN
All the Same,我们都一样,zh-CN
All the Unrevealed,未明启示,zh-CN
Alternate Reality Tourism,沉浸式游览,zh-CN
Ambiguous Appearance,模糊的面容,zh-CN
Amidst the Wailing,呼号声中,zh-CN
Among Snowy Shrubs,雪灌木中,zh-CN
Among the Light and the Dust,和光同尘,zh-CN
An Absurd Morning,一个荒唐的早晨,zh-CN
"An Epilogue, or a Beginning",尾声，抑或开始,zh-CN
An Ordinary Sunset,寻常夕阳,zh-CN
An Unexpected Journey,意外之旅,zh-CN
An Unplanned Meeting,不虞之会,zh-CN
Anathema of Ægir,阿戈尔失格,zh-CN
Ancient Forge - Act I,洪炉示岁·迎春,zh-CN
Ancient Forge - Act II,洪炉示岁·贺岁,zh-CN
Ancient Forge - Act III,洪炉示岁·拜年,zh-CN
Ancient Mutters,旷古之晤,zh-CN
Anguish Hangs O'er,苦厄盘桓,zh-CN
Anniversary,纪念日,zh-CN
Anorexia,厌食,zh-CN
Another Breath of Death,腐败终息,zh-CN
Another Perspective,另一个视角,zh-CN
Another Round,再弈,zh-CN
Answer Me,回答我,zh-CN
Anterior,我无惧前路何往,zh-CN
Anti-Art Movement,反艺术运动,zh-CN
Anywhere I Wander,我如浮萍,zh-CN
Apparition,化物,zh-CN
Apparitional Waves,鬼影如潮,zh-CN
"Appassionata, ou Pathétique",热情，或悲怆,zh-CN
"Apple Pie Party, Now Preparing!",苹果派对准备中！,zh-CN
Apples,苹果,zh-CN
Approaching Blizzard,大雪将至,zh-CN
April Showers,无根之雨,zh-CN
"Arise, Treading Through Flames",昂首，足践烈焰,zh-CN
Armor and Crossbow,装甲与重弩,zh-CN
Arrival,降临,zh-CN
Artificial Cold,人工制冷,zh-CN
As A Medic,身为医者,zh-CN
As Time Itself,你与时间同长,zh-CN
Asking For Trouble,自讨苦吃,zh-CN
Aspiration,憧憬,zh-CN
Astray,不知返,zh-CN
Astray,失途,zh-CN
Asymmetrical Garden,不对称庭园,zh-CN
At Vendetta's Close,仇怨的尽头,zh-CN
At a Standstill,停滞,zh-CN
At the End of the Night,夜尽之时,zh-CN
Atop the Skyscrapers,高楼之上,zh-CN
Attack! King of the Skies!,来袭！天空的王者！,zh-CN
Aufführung im Abendrot,晚霞下的演奏,zh-CN
Awakening in Exhaustion,在疲惫中苏醒,zh-CN
"Awakening, A Dream's End",苏醒，浮出梦乡,zh-CN
Away in the Painting,画中,zh-CN
Azure,蓝色,zh-CN
Azure Memories,幽蓝怀想,zh-CN
Back Cover,封底纪事,zh-CN
Back on Track,重回正轨,zh-CN
Backflow Current,如海流倒灌,zh-CN
Bad Mesh,啮合不良,zh-CN
Bad to the Bone,彻入骨髓,zh-CN
Bai Jin,白锦,zh-CN
Ballroom,宴会厅,zh-CN
Band of Outsiders,法外之徒,zh-CN
Banner,旗帜,zh-CN
Banner in the Wind,风中旗帜,zh-CN
Bar Shin-Matsuri,新茉莉酒馆,zh-CN
Battered and Bruised,千疮百孔,zh-CN
Battle for the Core,核心舱攻防战,zh-CN
Battle of the Lord's Manor,领主宅邸攻防战,zh-CN
Battle! Blazin' Soul of a Warrior!,决战！燃烧的狩魂！,zh-CN
Battlefield Rescue,战地救援,zh-CN
Beach Blockade,沙滩阻击,zh-CN
Beach Landing,抢滩登陆,zh-CN
"Bear Witness, the Death of the Gods",目击众神死亡的荒原,zh-CN
Bearer of the Sword,执此剑者,zh-CN
Before I Say Goodbye,再见以前,zh-CN
Before Spring's Coming,在春天之前,zh-CN
Before the Rain,雨落之前,zh-CN
Before the Spilling Sunlight,阳光洒落之前,zh-CN
Beg for Mercy,求生,zh-CN
"Behold, the Twilight Comes",睁眼，便是日暮,zh-CN
Believe My Belief,信我所信,zh-CN
Believer,笃信者,zh-CN
Bells of Liberation,解开铃铛,zh-CN
Belonging,归属,zh-CN
Beneath the Worthy Wheel,巨轮之下,zh-CN
Benevolent Betrayal,善意背叛,zh-CN
Betrayal,背叛,zh-CN
Between Past and Present,过去与现在的交会,zh-CN
Beyond Cure,病入膏肓,zh-CN
Beyond the Snowy Mountain,雪山外,zh-CN
Beyond the Veil,柳暗花明,zh-CN
Birth,降生,zh-CN
"Black Rabbit, White Rabbit","黑兔子,白兔子",zh-CN
Black Rocks,黑色石头,zh-CN
Blind Journey,盲盒旅途,zh-CN
Blizzards Be Your Voice,风雪代为传达,zh-CN
Blockade Running,突围,zh-CN
Blood Diamond's Song,“血钻”的歌声,zh-CN
