id,term,src_table
Stage.Campaign.1011101,青叶中心区35番街,stages.json:Campaign
Stage.Campaign.1011102,D.U.西部公园,stages.json:Campaign
Stage.Campaign.1011103,黑猫市场,stages.json:Campaign
Stage.Campaign.1011104,中央区1番街,stages.json:Campaign
Stage.Campaign.1011105,D.U.577区域,stages.json:Campaign
Stage.Campaign.1012101,青叶中心区99番街,stages.json:Campaign
Stage.Campaign.1012102,D.U.西部公园中心,stages.json:Campaign
Stage.Campaign.1012103,黑猫市场外围,stages.json:Campaign
Stage.Campaign.1021101,双叶公园,stages.json:Campaign
Stage.Campaign.1021102,北区3丁目,stages.json:Campaign
Stage.Campaign.1021103,白门市场86,stages.json:Campaign
Stage.Campaign.1021104,北区芝町,stages.json:Campaign
Stage.Campaign.1021105,第7业务区第1区域,stages.json:Campaign
Stage.Campaign.1022101,双叶公园体育中心,stages.json:Campaign
Stage.Campaign.1022102,近邻公园服务中心,stages.json:Campaign
Stage.Campaign.1022103,北区5丁目,stages.json:Campaign
Stage.Campaign.1031101,黑市1番地,stages.json:Campaign
Stage.Campaign.1031102,黑市南区,stages.json:Campaign
Stage.Campaign.1031103,KV公路第7区域,stages.json:Campaign
Stage.Campaign.1031104,黑市北区,stages.json:Campaign
Stage.Campaign.1031105,第三主干道 3-51,stages.json:Campaign
Stage.Campaign.1031401,KV公路35号线,stages.json:Campaign
Stage.Campaign.1032101,黑市中心,stages.json:Campaign
Stage.Campaign.1032102,黑市外围,stages.json:Campaign
Stage.Campaign.1032103,KV公路第9区域,stages.json:Campaign
Stage.Campaign.1041101,北区多磨河,stages.json:Campaign
Stage.Campaign.1041102,南区西河,stages.json:Campaign
Stage.Campaign.1041103,阿拜多斯本町3番街,stages.json:Campaign
Stage.Campaign.1041104,砂尾町2丁目,stages.json:Campaign
Stage.Campaign.1041105,砂尾町3丁目,stages.json:Campaign
Stage.Campaign.1042101,多磨河北部绿化带,stages.json:Campaign
Stage.Campaign.1042102,阿拜多斯本町1番街,stages.json:Campaign
Stage.Campaign.1042103,砂尾町5街,stages.json:Campaign
Stage.Campaign.1051101,阿拜多斯干线 城森站,stages.json:Campaign
Stage.Campaign.1051102,阿拜多斯干线 四叶站,stages.json:Campaign
Stage.Campaign.1051103,西部遗迹地带,stages.json:Campaign
Stage.Campaign.1051104,凯撒PMC驻地,stages.json:Campaign
Stage.Campaign.1051105,东部遗迹地带,stages.json:Campaign
Stage.Campaign.1052101,东区新木吕尾站,stages.json:Campaign
Stage.Campaign.1052102,东部遗迹中心,stages.json:Campaign
Stage.Campaign.1052103,东部遗迹地带外围,stages.json:Campaign
Stage.Campaign.1061101,北山区2丁目,stages.json:Campaign
Stage.Campaign.1061102,八山山脊线地段,stages.json:Campaign
Stage.Campaign.1061103,纪州山樱花山口,stages.json:Campaign
Stage.Campaign.1061104,纪州山铃兰山口,stages.json:Campaign
Stage.Campaign.1061105,秋田山山谷,stages.json:Campaign
Stage.Campaign.1061401,秋田山青豆山口,stages.json:Campaign
Stage.Campaign.1062101,北山区中心,stages.json:Campaign
Stage.Campaign.1062102,八山外围登山道,stages.json:Campaign
