source,target,tgt_lng
A porcentagem de jogadores que devem dormir para passar a noite.,밤을 건너뛰려면 잠들어야 하는 플레이어들의 비율.,ko-KR
A quantidade de chunks que permanecem carregados ao redor do ponto de nascimento na Superfície.,오버월드 스폰 위치 주변에 항상 불러와진 상태를 유지하는 청크의 양.,ko-KR
Accesso al Nether,네더 허용,ko-KR
Accès au Nether,네더 허용,ko-KR
Actions destructives des créatures,파괴적 몹 행위 허용,ko-KR
Activar la barra localizadora de jugadores,플레이어 위치 표시 바 켜기,ko-KR
Actualisation du feu loin des joueurs,플레이어로부터 떨어진 불 틱,ko-KR
Actualisations du monde,세계 갱신,ko-KR
Actualizaciones del mundo,세계 갱신,ko-KR
Administratorbefehle protokollieren,관리자 명령 알림,ko-KR
Advance time of day,시간 흐름,ko-KR
"Akan lav, iki tarafı lav kaynaklarıyla çevrildiğinde kaynağa dönüşür.","흐르는 용암의 두 면이 용암 원천으로 둘러싸일 때, 그 블록이 원천으로 바뀝니다.",ko-KR
"Akan su, iki tarafı su kaynaklarıyla çevrildiğinde kaynağa dönüşür.","흐르는 물의 두 면이 물 원천으로 둘러싸일 때, 그 블록이 원천으로 바뀝니다.",ko-KR
"Al explotar (criaturas), algunos bloques no soltarán objetos","몹 폭발에서, 몇몇 블록이 노획물을 떨어뜨리지 않음",ko-KR
"Al explotar (por bloques), algunos bloques no soltarán objetos","블록 사용에 의한 폭발에서, 몇몇 블록이 노획물을 떨어뜨리지 않음",ko-KR
"Al verificarsi di determinati eventi, come la generazione di un boss, il suono verrà udito globalmente.","보스 생성 등 특정 게임 이벤트가 발생했을 때, 그 소리가 어디서나 들립니다.",ko-KR
Alcune entità potrebbero avere regole separate.,일부 개체는 별도의 규칙이 있을 수 있습니다.,ko-KR
Algumas entidades podem ter regras separadas.,일부 개체는 별도의 규칙이 있을 수 있습니다.,ko-KR
Algunas entidades pueden tener sus propias reglas.,일부 개체는 별도의 규칙이 있을 수 있습니다.,ko-KR
Algunos de los objetos soltados por bloques destruidos a causa de explosiones derivadas de criaturas desaparecen con la explosión.,"몹에 의한 폭발에서, 파괴된 블록이 떨궈야 할 아이템 중 일부가 그대로 사라집니다.",ko-KR
Algunos de los objetos soltados por bloques destruidos a causa de explosiones derivadas de interacciones con bloques desaparecen con la explosión.,"블록 사용에 의한 폭발에서, 파괴된 블록이 떨궈야 할 아이템 중 일부가 그대로 사라집니다.",ko-KR
Algunos de los objetos soltados por bloques destruidos a causa de explosiones derivadas de la dinamita desaparecen con la explosión.,"TNT에 의한 폭발에서, 파괴된 블록이 떨궈야 할 아이템 중 일부가 그대로 사라집니다.",ko-KR
Alguns itens largados por blocos destruídos em explosões de criaturas são perdidos na detonação.,"몹에 의한 폭발에서, 파괴된 블록이 떨궈야 할 아이템 중 일부가 그대로 사라집니다.",ko-KR
Alguns itens largados por blocos destruídos em explosões de TNT são perdidos na detonação.,"TNT에 의한 폭발에서, 파괴된 블록이 떨궈야 할 아이템 중 일부가 그대로 사라집니다.",ko-KR
Alguns itens largados por blocos destruídos na explosão de outros blocos são perdidos na detonação.,"블록 사용에 의한 폭발에서, 파괴된 블록이 떨궈야 할 아이템 중 일부가 그대로 사라집니다.",ko-KR
Allgemeine Verärgerung,무차별적 분노,ko-KR
Allow destructive mob actions,파괴적 몹 행위 허용,ko-KR
"Allow entities with passengers to teleport through Nether Portals, End Portals, and End Gateways.","탑승자가 있는 개체가 네더 차원문, 엔드 차원문, 엔드 관문을 통해 이동할 수 있도록 합니다.",ko-KR
Allow Nether,네더 허용,ko-KR
Allow spectators to generate terrain,관전자의 지형 생성 허용,ko-KR
Allow TNT to be activated and to explode,TNT의 점화 및 폭발 허용,ko-KR
Altezza di accumulo della neve,적설 높이,ko-KR
Altura de acumulación de nieve,적설 높이,ko-KR
Altura de acumulação de neve,적설 높이,ko-KR
"Angered neutral mobs attack any nearby player, not just the player that angered them. Works best if forgive_dead_players is disabled.",분노한 중립 몹이 자신을 화나게 한 플레이어뿐만 아니라 주변의 모든 플레이어를 공격합니다. forgive_dead_players가 비활성화되어 있을 때 가장 잘 작동합니다.,ko-KR
"Angered neutral mobs attack any nearby player, not just the player that angered them. Works best if forgiveDeadPlayers is disabled.",중립 몹이 화나면 화나게 한 플레이어뿐만 아니라 근처에 있는 모든 플레이어를 공격합니다. '죽은 플레이어 용서'가 꺼져 있을 때 가장 잘 작동합니다.,ko-KR
Angered neutral mobs stop being angry when the targeted player dies nearby.,중립 몹이 화나 있다가도 목표 플레이어가 근처에서 죽으면 화를 풉니다.,ko-KR
Announce advancements,발전 과제 알림,ko-KR
Anunciar comandos de administrador,관리자 명령 알림,ko-KR
Anunciar progresos,발전 과제 알림,ko-KR
Anunciar progressos,발전 과제 알림,ko-KR
Anunciar saída dos Blocos de Comando,명령 블록 출력 알림,ko-KR
Anında yeniden canlanma,즉시 리스폰,ko-KR
"Ao ativar, os jogadores só poderão fabricar receitas desbloqueadas.",이 설정을 켜면 플레이어들은 잠금 해제된 제작법으로만 제작할 수 있습니다.,ko-KR
"Ao ativar, uma barra na tela indica a direção dos jogadores.",켜져 있으면 플레이어가 있는 방향을 알려 주는 바를 화면에 표시합니다.,ko-KR
"Ao nevar, as camadas de neve formadas no solo podem atingir até essa altura.","눈이 올 때, 최대 이 숫자만큼 눈의 층이 쌓입니다.",ko-KR
Aplicável às cadeias de blocos de comando e funções.,명령 블록 연쇄와 함수에 해당.,ko-KR
Apparition,생성,ko-KR
Apparition des créatures,몹 생성,ko-KR
Apparition des marchands ambulants,떠돌이 상인 생성,ko-KR
Apparition des monstres,몬스터 생성,ko-KR
Apparition des patrouilles de pillards,약탈자 정찰대 생성,ko-KR
Apparition des Phantoms,팬텀 생성,ko-KR
Apparition des Wardens,워든 생성,ko-KR
Applies to command block chains and functions.,명령 블록 연쇄와 함수에 해당.,ko-KR
Are you sure you want to discard your pending game rule changes?,저장하지 않은 게임 규칙 변경 사항을 폐기하시겠습니까?,ko-KR
As entidades com passageiros podem atravessar portais,탑승자가 있는 개체의 차원문 사용 허용,ko-KR
Ateş hasarı alma,불 피해,ko-KR
Ateş ve lavın herhangi oyuncudan 8 yığın uzakta yayılabilmesini kontrol eder.,플레이어로부터 청크 8개 이상 떨어진 불과 용암의 틱 여부를 제어합니다.,ko-KR
Ateş yayılabilsin,불 갱신,ko-KR
Ateş yayılma yarıçapı,불 확산 반지름,ko-KR
Ativar Barra Localizadora de jogadores,플레이어 위치 표시 바 켜기,ko-KR
Ativar Blocos de Comando,명령 블록 켜기,ko-KR
Ativar Blocos Geradores,생성기 블록 켜기,ko-KR
Ativar invasões,습격 켜기,ko-KR
Ativar PvP,pvp 켜기,ko-KR
Atraso do Portal do Nether em modo não Criativo,크리에이티브 모드가 아닌 플레이어의 네더 차원문 지연 시간,ko-KR
Atraso do Portal do Nether no Modo Criativo,크리에이티브 모드인 플레이어의 네더 차원문 지연 시간,ko-KR
Atualizar as regras do jogo requer permissões de operador.,게임 규칙을 갱신하려면 관리자 권한이 필요합니다.,ko-KR
Atılabilirler blokları kırabilir,투사체가 블록 파괴 가능,ko-KR
Atılabilirlerin kendileri tarafından kırılabilen blokları kırıp kıramayacağını kontrol eder.,투사체 충돌이 투사체로 파괴 가능한 블록을 파괴할지 여부를 제어합니다.,ko-KR
Atılan Ender İncileri ölünce yok olurlar,죽을 때 던져져 있는 엔더 진주 소멸,ko-KR
Ausbeute,떨굼 설정,ko-KR
Avanzar ciclo de día y noche,시간 흐름,ko-KR
Azioni distruttive delle creature,파괴적 몹 행위 허용,ko-KR
Açıldığında ekranda diğer oyuncuların yönünü gösteren bir çubuk gösterilir.,켜져 있으면 플레이어가 있는 방향을 알려 주는 바를 화면에 표시합니다.,ko-KR
Baixando regras do jogo...,게임 규칙 받아오는 중...,ko-KR
Barra localizzatrice,플레이어 위치 표시 바 켜기,ko-KR
Barre de localisation,플레이어 위치 표시 바 켜기,ko-KR
Baskınlar olsun,습격 켜기,ko-KR
Baskınları kapat,습격 끄기,ko-KR
Bazı varlıkların ayrı kuralları olabilir.,일부 개체는 별도의 규칙이 있을 수 있습니다.,ko-KR
Başlangıç yığınları yarıçapı,스폰 청크 반지름,ko-KR
Befehlsausgabe anzeigen,명령 피드백 전송,ko-KR
Befehlsblockausgabe anzeigen,명령 블록 출력 알림,ko-KR
