source,target,tgt_lng
启动石碎片,기동석 조각,ko-KR
キーストーンのカケラ,기동석 조각,ko-KR
啟動石碎片,기동석 조각,ko-KR
Keystone Piece,기동석 조각,ko-KR
เศษคีย์สโตน,기동석 조각,ko-KR
加速券,부스터 티켓,ko-KR
ブースターチケット,부스터 티켓,ko-KR
加成券,부스터 티켓,ko-KR
Booster Ticket,부스터 티켓,ko-KR
ตั๋วเร่งเวลา,부스터 티켓,ko-KR
启动石,기동석,ko-KR
キーストーン,기동석,ko-KR
啟動石,기동석,ko-KR
Keystone,기동석,ko-KR
คีย์สโตน,기동석,ko-KR
总力战硬币,총력전 코인,ko-KR
総力戦コイン,총력전 코인,ko-KR
總力戰硬幣,총력전 코인,ko-KR
Total Assault Coin,총력전 코인,ko-KR
เหรียญเรดบอส,총력전 코인,ko-KR
战术硬币,전술 대회 코인,ko-KR
戦術コイン,전술 대회 코인,ko-KR
戰術硬幣,전술 대회 코인,ko-KR
Tactical Challenge Coin,전술 대회 코인,ko-KR
เหรียญอารีน่า,전술 대회 코인,ko-KR
稀有总力战硬币,상급 총력전 코인,ko-KR
総力戦レアコイン,상급 총력전 코인,ko-KR
高級總力戰硬幣,상급 총력전 코인,ko-KR
Advanced Total Assault Coin,상급 총력전 코인,ko-KR
เหรียญเรดบอสขั้นสูง,상급 총력전 코인,ko-KR
初级活动报告,초급 활동 보고서,ko-KR
初級レポート,초급 활동 보고서,ko-KR
初級活動報告,초급 활동 보고서,ko-KR
Novice Activity Report,초급 활동 보고서,ko-KR
รายงานขั้นต่ำ,초급 활동 보고서,ko-KR
中级活动报告,일반 활동 보고서,ko-KR
中級レポート,일반 활동 보고서,ko-KR
一般活動報告,일반 활동 보고서,ko-KR
Normal Activity Report,일반 활동 보고서,ko-KR
รายงานขั้นกลาง,일반 활동 보고서,ko-KR
高级活动报告,상급 활동 보고서,ko-KR
上級レポート,상급 활동 보고서,ko-KR
高級活動報告,상급 활동 보고서,ko-KR
Advanced Activity Report,상급 활동 보고서,ko-KR
รายงานขั้นสูง,상급 활동 보고서,ko-KR
最高级活动报告,최상급 활동 보고서,ko-KR
最上級レポート,최상급 활동 보고서,ko-KR
最高級活動報告,최상급 활동 보고서,ko-KR
Superior Activity Report,최상급 활동 보고서,ko-KR
รายงานขั้นสูงสุด,최상급 활동 보고서,ko-KR
神名碎片,엘리그마,ko-KR
神名のカケラ,엘리그마,ko-KR
神名文字碎片,엘리그마,ko-KR
Eligma,엘리그마,ko-KR
เอลลิกมา,엘리그마,ko-KR
咖啡厅设备核心 LV1,카페 설비 코어 LV1,ko-KR
カフェ設備コアLv1,카페 설비 코어 LV1,ko-KR
咖啡廳設備核心 LV1,카페 설비 코어 LV1,ko-KR
Cafe Facilities Core Lv. 1,카페 설비 코어 LV1,ko-KR
แก่นอุปกรณ์คาเฟ่ LV1,카페 설비 코어 LV1,ko-KR
咖啡厅设备核心 LV2,카페 설비 코어 LV2,ko-KR
カフェ設備コアLv2,카페 설비 코어 LV2,ko-KR
咖啡廳設備核心 LV2,카페 설비 코어 LV2,ko-KR
Cafe Facilities Core Lv. 2,카페 설비 코어 LV2,ko-KR
แก่นอุปกรณ์คาเฟ่ LV2,카페 설비 코어 LV2,ko-KR
咖啡厅设备核心 LV3,카페 설비 코어 LV3,ko-KR
