source,target,tgt_lng
Aeroimpulso,Windstoß,de-DE
Affilage,Schwungkraft,de-DE
Affilatezza,Schärfe,de-DE
Affinità all'acqua,Wasseraffinität,de-DE
Affinité aquatique,Wasseraffinität,de-DE
Affondo,Ausfallschritt,de-DE
Afiação,Schärfe,de-DE
Afinidad acuática,Wasseraffinität,de-DE
Afinidade Aquática,Wasseraffinität,de-DE
Agilidad acuática,Wasserläufer,de-DE
Agilité aquatique,Wasserläufer,de-DE
Agilité des âmes,Seelenläufer,de-DE
Alcance,Schwungkraft,de-DE
Alev,Flamme,de-DE
Alevden Çehre,Verbrennung,de-DE
Anatema,Bann,de-DE
Apnée,Atmung,de-DE
Appât,Köder,de-DE
Aqua Affinity,Wasseraffinität,de-DE
Aspecto Flamejante,Verbrennung,de-DE
Aspecto ígneo,Verbrennung,de-DE
Aspetto di fuoco,Verbrennung,de-DE
Ateş Koruması,Feuerschutz,de-DE
Atracción,Köder,de-DE
Atterraggio morbido,Federfall,de-DE
Atılma,Ausfallschritt,de-DE
Aura de feu,Verbrennung,de-DE
Aşma,Durchbruch,de-DE
Bane of Arthropods,Nemesis der Gliederfüßer,de-DE
Barrido,Schwungkraft,de-DE
Bağlanma Laneti,Fluch der Bindung,de-DE
Blast Protection,Explosionsschutz,de-DE
Botín,Plünderung,de-DE
Breach,Durchbruch,de-DE
Breccia,Durchbruch,de-DE
Brèche,Durchbruch,de-DE
Butin,Plünderung,de-DE
Bảo vệ,Schutz,de-DE
Bảo vệ khỏi lửa,Feuerschutz,de-DE
Bảo vệ khỏi sát thương rơi,Federfall,de-DE
Bảo vệ khỏi vật bắn ra,Schussschutz,de-DE
Bảo vệ khỏi vụ nổ,Explosionsschutz,de-DE
Canalisation,Entladung,de-DE
Canalizzazione,Entladung,de-DE
Carga Rápida,Schnellladen,de-DE
Carga rápida,Schnellladen,de-DE
Carica rapida,Schnellladen,de-DE
Caída de pluma,Federfall,de-DE
Chama,Flamme,de-DE
Chance de la mer,Glück des Meeres,de-DE
Channeling,Entladung,de-DE
Charge rapide,Schnellladen,de-DE
Chute amortie,Federfall,de-DE
Chân lạnh,Eisläufer,de-DE
Châtiment,Bann,de-DE
Chậm hỏng,Haltbarkeit,de-DE
Chớp điện,Entladung,de-DE
Colpo di vento,Windstoß,de-DE
Conductividad,Entladung,de-DE
Condutividade,Entladung,de-DE
Contraccolpo,Rückstoß,de-DE
Correnteza,Sog,de-DE
Curse of Binding,Fluch der Bindung,de-DE
Curse of Vanishing,Fluch des Verschwindens,de-DE
Delme,Durchschuss,de-DE
Deniz Şansı,Glück des Meeres,de-DE
Densidad,Dichte,de-DE
Densidade,Dichte,de-DE
Density,Dichte,de-DE
Densità,Dichte,de-DE
Densité,Dichte,de-DE
Depth Strider,Wasserläufer,de-DE
Derin Koşucu,Wasserläufer,de-DE
Dikenli,Dornen,de-DE
Diệt chân đốt,Nemesis der Gliederfüßer,de-DE
Diệt xác sống,Bann,de-DE
Dondurucu Yürüyüş,Eisläufer,de-DE
Efficacité,Effizienz,de-DE
Efficiency,Effizienz,de-DE
Efficienza,Effizienz,de-DE
Eficiencia,Effizienz,de-DE
Eficiência,Effizienz,de-DE
Eklembacaklıların Kıyameti,Nemesis der Gliederfüßer,de-DE
Empalamento,Harpune,de-DE
Empalamiento,Harpune,de-DE
Empalement,Harpune,de-DE
Empuje,Rückstoß,de-DE
Esca,Köder,de-DE
Espinas,Dornen,de-DE
Espinhos,Dornen,de-DE
Estocada,Ausfallschritt,de-DE
Feather Falling,Federfall,de-DE
Fiamma,Flamme,de-DE
Filo,Schärfe,de-DE
Fire Aspect,Verbrennung,de-DE
Fire Protection,Feuerschutz,de-DE
Fisura,Durchbruch,de-DE
Flagello degli artropodi,Nemesis der Gliederfüßer,de-DE
Flame,Flamme,de-DE
Fléau des arthropodes,Nemesis der Gliederfüßer,de-DE
Fortuna,Glück,de-DE
Fortuna del mare,Glück des Meeres,de-DE
Fortune,Glück,de-DE
Força,Stärke,de-DE
Frappe,Schlag,de-DE
Frost Walker,Eisläufer,de-DE
Fuego,Flamme,de-DE
Furtivité rapide,Huschen,de-DE
Gai,Dornen,de-DE
Ganimet,Plünderung,de-DE
Gia tài,Glück,de-DE
Girdap,Sog,de-DE
Golpeo,Bann,de-DE
Gây cháy,Verbrennung,de-DE
Güç,Stärke,de-DE
Hiệu suất,Effizienz,de-DE
Hô hấp,Atmung,de-DE
Hızlı Çekiş,Schnellladen,de-DE
Impacto,Schlag,de-DE
Impalamento,Harpune,de-DE
Impaling,Harpune,de-DE
Impatto,Schlag,de-DE
Impulsion,Sog,de-DE
Indistruttibilità,Haltbarkeit,de-DE
