source,target,tgt_lng
自然木质地板,Natural Wood Floor,en-US
ナチュラルな木の床,Natural Wood Floor,en-US
自然木質地板,Natural Wood Floor,en-US
내츄럴 나무 바닥,Natural Wood Floor,en-US
พื้นไม้ธรรมชาติ,Natural Wood Floor,en-US
天然木墙,Natural Wood Wall,en-US
ナチュラルな木の壁,Natural Wood Wall,en-US
天然木牆,Natural Wood Wall,en-US
내츄럴 나무 벽,Natural Wood Wall,en-US
ผนังไม้ธรรมชาติ,Natural Wood Wall,en-US
天空蓝渐层背景,Sky Blue Gradient Background,en-US
空色のグラデーション背景,Sky Blue Gradient Background,en-US
天空藍漸層背景,Sky Blue Gradient Background,en-US
하늘색 그라데이션 배경,Sky Blue Gradient Background,en-US
พื้นหลังไล่สีฟ้า,Sky Blue Gradient Background,en-US
白板,Whiteboard,en-US
ホワイトボード,Whiteboard,en-US
화이트보드,Whiteboard,en-US
ไวท์บอร์ด,Whiteboard,en-US
原木收纳柜,Wood Storage Cabinet,en-US
原木の収納ケース,Wood Storage Cabinet,en-US
原木收納櫃,Wood Storage Cabinet,en-US
원목 수납장,Wood Storage Cabinet,en-US
ชั้นวางของไม้,Wood Storage Cabinet,en-US
蓝色简约地毯,Simple Blue Carpet,en-US
シンプルな青色カーペット,Simple Blue Carpet,en-US
藍色簡約地毯,Simple Blue Carpet,en-US
파랑색 심플 카펫,Simple Blue Carpet,en-US
พรมเรียบสีน้ำเงิน,Simple Blue Carpet,en-US
原木椅,Solid Wood Chair,en-US
原木の椅子,Solid Wood Chair,en-US
원목 의자,Solid Wood Chair,en-US
เก้าอี้ไม้,Solid Wood Chair,en-US
原木辅助椅,Solid Wood Spare Chair,en-US
原木のサイドチェア,Solid Wood Spare Chair,en-US
原木輔助椅,Solid Wood Spare Chair,en-US
원목 보조의자,Solid Wood Spare Chair,en-US
เก้าอี้เสริมไม้,Solid Wood Spare Chair,en-US
原木收纳桌,Solid Wood Storage Table,en-US
原木の収納テーブル,Solid Wood Storage Table,en-US
原木收納桌,Solid Wood Storage Table,en-US
원목 수납 테이블,Solid Wood Storage Table,en-US
โต๊ะข้างไม้,Solid Wood Storage Table,en-US
原木大型桌子,Large Wood Table,en-US
原木の大型テーブル,Large Wood Table,en-US
원목 대형 테이블,Large Wood Table,en-US
โต๊ะไม้ขนาดใหญ่,Large Wood Table,en-US
窗帘窗户,Curtained Window,en-US
カーテン付き窓,Curtained Window,en-US
窗簾窗戶,Curtained Window,en-US
커튼 창문,Curtained Window,en-US
หน้าต่างติดม่าน,Curtained Window,en-US
白色咖啡桌,White Coffee Table,en-US
白いコーヒーテーブル,White Coffee Table,en-US
흰색 커피 테이블,White Coffee Table,en-US
โต๊ะกลางสีขาว,White Coffee Table,en-US
配色单人椅,Colorful Chair,en-US
カラーのシングルチェア,Colorful Chair,en-US
配色單人椅,Colorful Chair,en-US
배색 싱글 의자,Colorful Chair,en-US
เก้าอี้เดี่ยวสีผสม,Colorful Chair,en-US
花盆组合置物架,Planter Set Shelf,en-US
植木鉢の棚,Planter Set Shelf,en-US
花盆組合置物架,Planter Set Shelf,en-US
화분 세트 선반,Planter Set Shelf,en-US
ชั้นวางกระถางต้นไม้,Planter Set Shelf,en-US
白色甜点桌,White Dessert Table,en-US
白いデザートテーブル,White Dessert Table,en-US
白色甜點桌,White Dessert Table,en-US
흰색 디저트 테이블,White Dessert Table,en-US
โต๊ะของหวานสีขาว,White Dessert Table,en-US
配色双人椅,Colorful Loveseat,en-US
カラーの長椅子,Colorful Loveseat,en-US
配色雙人椅,Colorful Loveseat,en-US
배색 더블 의자,Colorful Loveseat,en-US
เก้าอี้คู่สีผสม,Colorful Loveseat,en-US
配色2段式花盆,Colorful 2-Tier Planter,en-US
カラーの二段植木鉢,Colorful 2-Tier Planter,en-US
배색 2단 화분,Colorful 2-Tier Planter,en-US
กระถางต้นไม้สีผสม 2 ชั้น,Colorful 2-Tier Planter,en-US
Momo好友菜单壁饰,Momo Friends Menu Wall Decoration,en-US
モモフレンズのメニューの壁飾り,Momo Friends Menu Wall Decoration,en-US
Momo好友菜單壁飾,Momo Friends Menu Wall Decoration,en-US
모모프렌즈 메뉴 벽장식,Momo Friends Menu Wall Decoration,en-US
ผนังเมนู MOMO FRIENDS,Momo Friends Menu Wall Decoration,en-US
Momo好友相框柱子,Momo Friends Frame Pillar,en-US
モモフレンズの写真付きの柱,Momo Friends Frame Pillar,en-US
모모프렌즈 액자 기둥,Momo Friends Frame Pillar,en-US
เสาติดรูป MOMO FRIENDS,Momo Friends Frame Pillar,en-US
落地窗,All-Glass Window,en-US
ガラスの窓,All-Glass Window,en-US
통유리 창문,All-Glass Window,en-US
หน้าต่างกระจก,All-Glass Window,en-US
佩洛洛组合置物架,Peroro Set Shelf,en-US
ペロロのセット棚,Peroro Set Shelf,en-US
佩洛洛組合置物架,Peroro Set Shelf,en-US
페로로 세트 선반,Peroro Set Shelf,en-US
ชั้นวางเซ็ตเพโรโร่,Peroro Set Shelf,en-US
紫色抛光地板,Polished Blue Floor,en-US
青いタイルの床,Polished Blue Floor,en-US
紫色拋光地板,Polished Blue Floor,en-US
파란색 폴리싱 바닥,Polished Blue Floor,en-US
พื้นขัดเงาสีฟ้า,Polished Blue Floor,en-US
木吧台,Wood Bar Counter,en-US
木製バーカウンター,Wood Bar Counter,en-US
우드 카운터 바,Wood Bar Counter,en-US
เคาน์เตอร์บาร์ไม้,Wood Bar Counter,en-US
木制收纳吧,Wood Self-Serve Bar,en-US
木製収納付きドリンクセット,Wood Self-Serve Bar,en-US
木製收納吧,Wood Self-Serve Bar,en-US
우드 수납 바,Wood Self-Serve Bar,en-US
บาร์วางของไม้,Wood Self-Serve Bar,en-US
白色佩洛洛椅子,Colorful Peroro Chair,en-US
ペロロ付きのカラーチェア,Colorful Peroro Chair,en-US
배색 페로로 의자,Colorful Peroro Chair,en-US
เก้าอี้เพโรโร่สีผสม,Colorful Peroro Chair,en-US
Momo好友霓虹电子板,Momo Friends Neon Display,en-US
モモフレンズのネオン電光板,Momo Friends Neon Display,en-US
Momo好友霓虹電子板,Momo Friends Neon Display,en-US
모모프렌즈 네온 전광판,Momo Friends Neon Display,en-US
ป้ายนีออน MOMO FRIENDS,Momo Friends Neon Display,en-US
蓝色抛光墙。,Polished Blue Wall,en-US
青いタイルの壁,Polished Blue Wall,en-US
藍色拋光牆。,Polished Blue Wall,en-US
파란색 폴리싱 벽,Polished Blue Wall,en-US
ผนังขัดเงาสีฟ้า,Polished Blue Wall,en-US
木制厨房吧台,Wood Kitchen Bar,en-US
木製キッチンカウンター,Wood Kitchen Bar,en-US
木製廚房吧台,Wood Kitchen Bar,en-US
우드 키친 바,Wood Kitchen Bar,en-US
บาร์ห้องครัวไม้,Wood Kitchen Bar,en-US
Momo好友收纳柜,Momo Friends Storage Cabinet,en-US
モモフレンズのグッズ付き収納ケース,Momo Friends Storage Cabinet,en-US
Momo好友收納櫃,Momo Friends Storage Cabinet,en-US
모모프렌즈 수납장,Momo Friends Storage Cabinet,en-US
ชั้นวางของ MOMO FRIENDS,Momo Friends Storage Cabinet,en-US
咖啡师佩洛洛人偶,Peroro Barista Plush,en-US
バリスタのペロロ人形,Peroro Barista Plush,en-US
咖啡師佩洛洛人偶,Peroro Barista Plush,en-US
바리스타 페로로 인형,Peroro Barista Plush,en-US
ตุ๊กตาบาริสต้าเพโรโร่,Peroro Barista Plush,en-US
粉红色简约小板凳,Simple Pink Stool,en-US
ピンク色のスツール,Simple Pink Stool,en-US
粉紅色簡約小板凳,Simple Pink Stool,en-US
핑크색 심플 스툴,Simple Pink Stool,en-US
เก้าอี้เรียบสีชมพู,Simple Pink Stool,en-US
观叶植物,Foliage Plant,en-US
観葉植物,Foliage Plant,en-US
觀葉植物,Foliage Plant,en-US
관엽식물,Foliage Plant,en-US
ต้นไม้ประดับ,Foliage Plant,en-US
小窗户。,Small Window,en-US
小さい窓,Small Window,en-US
小窗戶。,Small Window,en-US
작은 창문,Small Window,en-US
หน้าต่างเล็ก,Small Window,en-US
白色简约沙发,Simple White Sofa,en-US
白いシンプルソファー,Simple White Sofa,en-US
白色簡約沙發,Simple White Sofa,en-US
흰색 심플 소파,Simple White Sofa,en-US
โซฟาเรียบสีขาว,Simple White Sofa,en-US
红色街机,Red Arcade Machine,en-US
レッドのアーケードゲーム機,Red Arcade Machine,en-US
紅色街機,Red Arcade Machine,en-US
빨간색 아케이드 게임기,Red Arcade Machine,en-US
ตู้เกมอาร์เคดสีแดง,Red Arcade Machine,en-US
紫色街机,Purple Arcade Machine,en-US
パープルのアーケードゲーム機,Purple Arcade Machine,en-US
紫色街機,Purple Arcade Machine,en-US
보라색 아케이드 게임기,Purple Arcade Machine,en-US
