source,target,tgt_lng
%2$sを%1$s体倒しました,Uccisi: %1$s,it-IT
%2$s을(를) %1$s번 죽였습니다,Uccisi: %1$s,it-IT
%s %s öldürdün,Uccisi: %1$s,it-IT
%s hat dich %s‐mal getötet,Morti causate: %2$s,it-IT
%s killed you %s time(s),Morti causate: %2$s,it-IT
%s nunca matou você,Morti causate: 0,it-IT
%s seni %s defa öldürdü,Morti causate: %2$s,it-IT
%s tarafından hiç öldürülmediniz,Morti causate: 0,it-IT
%s đã giết bạn %s lần,Morti causate: %2$s,it-IT
%s убил вас %s раз,Morti causate: %2$s,it-IT
%s ฆ่าคุณ %s ครั้ง,Morti causate: %2$s,it-IT
%sに%s回倒されました,Morti causate: %2$s,it-IT
%s杀死了你%s次,Morti causate: %2$s,it-IT
%s에게 %s번 죽었습니다,Morti causate: %2$s,it-IT
%s에게 죽은 적이 없습니다,Morti causate: 0,it-IT
%s을(를) 죽인 적이 없습니다,Uccisi: 0,it-IT
Abgebaut,Estratti,it-IT
Agua tomada de calderos,Acqua prelevata da calderoni,it-IT
Almalar,Raccolti,it-IT
Alvos atingidos,Bersagli colpiti,it-IT
Alınan Hasar,Danno subito,it-IT
Ambosse benutzt,Interazioni con incudini,it-IT
Animais acasalados,Animali allevati,it-IT
Animales criados,Animali allevati,it-IT
Animals Bred,Animali allevati,it-IT
Animaux engendrés,Animali allevati,it-IT
Aranan Bırakıcılar,Gettatori esaminati,it-IT
Aranan Fırlatıcılar,Distributori esaminati,it-IT
Aranan Huniler,Tramogge esaminate,it-IT
Armaduras de cuero desteñidas,Parti di armatura pulite,it-IT
Armor Pieces Cleaned,Parti di armatura pulite,it-IT
Atla Alınan Yol,Distanza a cavallo,it-IT
Aufgesammelt,Raccolti,it-IT
Ayarlanan Nota Blokları,Blocchi sonori accordati,it-IT
Açılan Ender Sandıkları,Bauli di ender aperti,it-IT
Açılan Fıçılar,Barili aperti,it-IT
Açılan Sandıklar,Bauli aperti,it-IT
