source,target,tgt_lng
"""Abyssal Bounty""",「심연 생선구이」,ko-KR
"""After-Class Practice""",「요리 숙제」,ko-KR
"""Buổi Trình Diễn Thời Trang""",「패션쇼」,ko-KR
"""Bài Tập Về Nhà""",「요리 숙제」,ko-KR
"""Bí Pháp Độc Quyền""",「특별 비법」,ko-KR
"""Calor""",「온기」,ko-KR
"""Caçado e Capturado""",「사냥감」,ko-KR
"""Chatter of Joyful Nights""",「즐거운 밤 이야기」,ko-KR
"""Chuẩn Khuôn Khổ""",「나름의 규칙」,ko-KR
"""Consomme Purete""",「순수한 빗방울」,ko-KR
"""Consommé Purete""",「순수한 빗방울」,ko-KR
"""Consommé Pureté""",「순수한 빗방울」,ko-KR
"""Cứ Chọn Thoải Mái!""",「마음에 드는 걸 골라 봐!」,ko-KR
"""Defile""",「패션쇼」,ko-KR
"""Deniz Kuşunun Yolculuğu""",「바다새의 쉼터」,ko-KR
"""Ders Sonrası Pratik""",「요리 숙제」,ko-KR
"""Empilhar""",높이 쌓기,ko-KR
"""Era Uma Vez em Mondstadt""",「몬드의 과거」,ko-KR
"""Escolha o Que Quiser!""",「마음에 드는 걸 골라 봐!」,ko-KR
"""Fashion Show""",「패션쇼」,ko-KR
"""Gözaltı""",「사냥감」,ko-KR
"""Hiçlik Avı""",「심연 생선구이」,ko-KR
"""Hỗ Trợ Tình Cảm""",「정서적 지지」,ko-KR
"""Không Trượt Phát Nào""",「백발백중」,ko-KR
"""Kế Sách Kỳ Diệu""",「기책」,ko-KR
"""Meu Jeito""",「나름의 규칙」,ko-KR
"""My Way""",「나름의 규칙」,ko-KR
"""Mülkün Temeli""",「푸르저스티스」,ko-KR
"""Một Giọt Mưa Bay""",「순수한 빗방울」,ko-KR
"""Neve na Lareira""",「홍로일점설」,ko-KR
"""Neşeli Gecelerin Sohbetleri""",「즐거운 밤 이야기」,ko-KR
"""Once Upon a Time in Mondstadt""",「몬드의 과거」,ko-KR
"""Pick What You Like!""",「마음에 드는 걸 골라 봐!」,ko-KR
"""Pile 'Em Up""",높이 쌓기,ko-KR
"""Pour la Justice""",「푸르저스티스」,ko-KR
"""Pratica dopo le lezioni""",「요리 숙제」,ko-KR
"""Proustis""",「푸르저스티스」,ko-KR
"""Prática Pós-Aula""",「요리 숙제」,ko-KR
"""Quà Từ Vực Tối""",「심연 생선구이」,ko-KR
"""Saf Konsome""",「순수한 빗방울」,ko-KR
"""Scegli quello che preferisci!""",「마음에 드는 걸 골라 봐!」,ko-KR
"""Seabird's Sojourn""",「바다새의 쉼터」,ko-KR
"""Seç Beğen Al!""",「마음에 드는 걸 골라 봐!」,ko-KR
"""Show de Moda""",「패션쇼」,ko-KR
"""Snow on the Hearth""",「홍로일점설」,ko-KR
"""Sonhos Curadores""",「꿈의 치유」,ko-KR
"""Sweet Dream""",「아름다운 꿈」,ko-KR
"""Săn Bắt""",「사냥감」,ko-KR
"""Tagged and Bagged""",「사냥감」,ko-KR
"""Thiên Nga Tuyết Bên Hồ""",「호숫가의 백조」,ko-KR
"""Tán Gẫu Vui Vẻ""",「즐거운 밤 이야기」,ko-KR
"""Warmth""",「온기」,ko-KR
"""แฟชั่นโชว์""",「패션쇼」,ko-KR
"""Ấm Áp""",「온기」,ko-KR
455特飲,특제 이온음료,ko-KR
455特饮,특제 이온음료,ko-KR
A Buoyant Breeze,찐·바람신의 잡채,ko-KR
A Determinação,회심의 역작,ko-KR
A Fragrant Feast of Flavors,향기로운 맛의 향연,ko-KR
A Leisurely Sip,애프터눈 티,ko-KR
A Prize Catch,낚시의 극치,ko-KR
A Stunning Stratagem,「기책」,ko-KR
A mi manera,「나름의 규칙」,ko-KR
A modo mio,「나름의 규칙」,ko-KR
A non finire,다다야끼,ko-KR
A Única Verdade,진실은 단 하나,ko-KR
Aaru Mixed Rice,아루 비빔밥,ko-KR
Abalone Vegetariano,채식 전복,ko-KR
Abalone vegetariano,채식 전복,ko-KR
Aboul'moras,쇼미더모라,ko-KR
Abulón vegetariano,채식 전복,ko-KR
Abundância Anual,풍요로운 한 해,ko-KR
Acarajé,콩볼 새우튀김,ko-KR
Acılı Ekmek Dolması,매운 고기 찐빵,ko-KR
Acılı Jueyun Tavuğu,절운고추 치킨,ko-KR
Adeptus Doyuran,선도장,ko-KR
Adeptus' Temptation,선도장,ko-KR
Adventurer's Breakfast Sandwich,모험가 계란빵,ko-KR
Ajilenakh Kömür Keki,대추야자 숯탄 전병,ko-KR
Ajilenakh Ngào Đường,대추야자 사탕,ko-KR
Albóndigas de camarón dorado,황금 새우볼,ko-KR
Albóndigas de rábano fritas,무완자 튀김,ko-KR
Albóndigas especiadas,특제 미트볼,ko-KR
Alegria Envolvente,원만한 네 가지 기쁨,ko-KR
Alegría envolvente,원만한 네 가지 기쁨,ko-KR
Alev İzleri,난롯불의 궤적,ko-KR
Alevli Bolonez,불꽃 미트 스파게티,ko-KR
