source,target,tgt_lng
amarela,Màu vàng,vi-VN
Amarillo,Màu vàng,vi-VN
Arancione,Màu cam,vi-VN
Azul,Màu xanh nước biển,vi-VN
azul,Màu xanh nước biển,vi-VN
Azul claro,Màu xanh nước biển nhạt,vi-VN
azul-clara,Màu xanh nước biển nhạt,vi-VN
Azzurro,Màu xanh nước biển nhạt,vi-VN
Açık Gri,Màu xám nhạt,vi-VN
Açık Mavi,Màu xanh nước biển nhạt,vi-VN
Açık Yeşil,Màu xanh lá mạ,vi-VN
Beyaz,Màu trắng,vi-VN
Bianco,Màu trắng,vi-VN
Black,Màu đen,vi-VN
Blanc,Màu trắng,vi-VN
Blanco,Màu trắng,vi-VN
Blau,Màu xanh nước biển,vi-VN
Bleu,Màu xanh nước biển,vi-VN
Bleu clair,Màu xanh nước biển nhạt,vi-VN
Blu,Màu xanh nước biển,vi-VN
Blue,Màu xanh nước biển,vi-VN
branca,Màu trắng,vi-VN
Braun,Màu nâu,vi-VN
Brown,Màu nâu,vi-VN
Camgöbeği,Màu lục lam,vi-VN
Cian,Màu lục lam,vi-VN
Ciano,Màu lục lam,vi-VN
ciano,Màu lục lam,vi-VN
cinza,Màu xám,vi-VN
cinza-clara,Màu xám nhạt,vi-VN
Cyan,Màu lục lam,vi-VN
Eflatun,Màu đỏ sậm,vi-VN
Gelb,Màu vàng,vi-VN
Giallo,Màu vàng,vi-VN
Grau,Màu xám,vi-VN
Gray,Màu xám,vi-VN
Green,Màu xanh lá cây,vi-VN
Gri,Màu xám,vi-VN
Grigio,Màu xám,vi-VN
Grigio chiaro,Màu xám nhạt,vi-VN
Gris,Màu xám,vi-VN
Gris clair,Màu xám nhạt,vi-VN
Gris claro,Màu xám nhạt,vi-VN
Grün,Màu xanh lá cây,vi-VN
Hellblau,Màu xanh nước biển nhạt,vi-VN
Hellgrau,Màu xám nhạt,vi-VN
Hellgrün,Màu xanh lá mạ,vi-VN
Jaune,Màu vàng,vi-VN
Kahverengi,Màu nâu,vi-VN
Kırmızı,Màu đỏ,vi-VN
laranja,Màu cam,vi-VN
Light Blue,Màu xanh nước biển nhạt,vi-VN
Light Gray,Màu xám nhạt,vi-VN
Lime,Màu xanh lá mạ,vi-VN
Magenta,Màu đỏ sậm,vi-VN
magenta,Màu đỏ sậm,vi-VN
marrom,Màu nâu,vi-VN
Marron,Màu nâu,vi-VN
Marrone,Màu nâu,vi-VN
Marrón,Màu nâu,vi-VN
Mavi,Màu xanh nước biển,vi-VN
Mor,Màu tím,vi-VN
Morado,Màu tím,vi-VN
Naranja,Màu cam,vi-VN
Negro,Màu đen,vi-VN
Nero,Màu đen,vi-VN
Noir,Màu đen,vi-VN
Orange,Màu cam,vi-VN
Pembe,Màu hồng,vi-VN
Pink,Màu hồng,vi-VN
preta,Màu đen,vi-VN
Purple,Màu tím,vi-VN
Red,Màu đỏ,vi-VN
Rojo,Màu đỏ,vi-VN
Rosa,Màu hồng,vi-VN
rosa,Màu hồng,vi-VN
Rose,Màu hồng,vi-VN
