source,target,tgt_lng
"""Aquele Garoto vai Fazer uma Fortuna..."" (Efeito)","""Preferirei perdere soldi io stesso..."" (in uso)",it-IT
"""Bir Zamanlar Karanlık Felaketi Uzak Tutan Yalnız Rüzgar...""","""Un tempo, il vento solitario che teneva a bada l'oscura calamità...""",it-IT
"""Burada Görülecek Bir Şey Yok"" Tamoto","Tamoto ""Qui non c'è niente da vedere""",it-IT
"""Bá Vương Tối Thượng Siêu Cấp Ma Kiếm""","""Spada magica del Super Signore Supremo""",it-IT
"""Called In For Cleanup"" (Active)","""Lavoro di pulizia"" (Attiva)",it-IT
"""Called In For Cleanup"" (ระหว่างเกิดผล)","""Lavoro di pulizia"" (Attiva)",it-IT
"""Coi Đồ Nhóc Đó Kiếm Tiền..."" (Đang có hiệu lực)","""Preferirei perdere soldi io stesso..."" (in uso)",it-IT
"""Công Việc Dọn Dẹp"" (Đang có hiệu lực)","""Lavoro di pulizia"" (Attiva)",it-IT
"""Cùng Nghe Ta Ca Tụng, Nâng Ly Rượu Tình Yêu!""","""Libiamo ne' lieti calici!""",it-IT
"""Duyun Sesimi! Aşk Kadehini Kaldıralım!""","""Libiamo ne' lieti calici!""",it-IT
"""Ergueu-se como um penhasco contra a maré das águas escuras...""","""Colui che si oppose alle maree delle acque oscure come un macigno...""",it-IT
"""Flower-Feather Clan"" (In Effect)",Clan Piumafiore (in uso),it-IT
"""Hear Me — Let Us Raise the Chalice of Love!""","""Libiamo ne' lieti calici!""",it-IT
"""Humanity's Name"" Unfettered",Liberazione del Nome dell'umanità,it-IT
"""Hội Hoa Vũ"" (Đang có hiệu lực)",Clan Piumafiore (in uso),it-IT
"""Hỡi Đôi Môi, Hãy Dệt Và Ngân Nga Khúc Hát""","""Salmodiate, o mie labbra""",it-IT
"""I'd Rather Lose Money Myself..."" (In Effect)","""Preferirei perdere soldi io stesso..."" (in uso)",it-IT
"""I'd Rather Lose Money Myself..."" (ระหว่างเกิดผล)","""Preferirei perdere soldi io stesso..."" (in uso)",it-IT
"""Karanlık Gelgitlerin Yıkamadığı Kadim Kaya...""","""Colui che si oppose alle maree delle acque oscure come un macigno...""",it-IT
"""Nothing to See Here"" Tamoto","Tamoto ""Qui non c'è niente da vedere""",it-IT
"""O Lips, Weave Me Songs and Psalms""","""Salmodiate, o mie labbra""",it-IT
"""Once Stood Against the Tide of Dark Waters Like Bedrock...""","""Colui che si oppose alle maree delle acque oscure come un macigno...""",it-IT
"""Once, the Lone Wind That Kept the Dark Calamity at Bay...""","""Un tempo, il vento solitario che teneva a bada l'oscura calamità...""",it-IT
"""Para Kaybetmeyi Yeğlerim..."" (Etkin)","""Preferirei perdere soldi io stesso..."" (in uso)",it-IT
