source,target,tgt_lng
 %s/%s mensagem(ns) selecionada(s),Выбрано %s из %s сообщений,ru-RU
 (con mods), (модифицировано),ru-RU
 (Modded), (модифицировано),ru-RU
 (modificado), (модифицировано),ru-RU
 (modificato), (модифицировано),ru-RU
 (modifiziert), (модифицировано),ru-RU
 (Modlu), (модифицировано),ru-RU
 (version moddée), (модифицировано),ru-RU
 (Đã được sửa đổi), (модифицировано),ru-RU
 (มีการดัดแปร), (модифицировано),ru-RU
 (모드), (модифицировано),ru-RU
"""%s"" adlı oyuncuyu bildiriyorsunuz.",Вы жалуетесь на имя «%s».,ru-RU
"""%s""을(를) 신고하려 합니다.",Вы жалуетесь на имя «%s».,ru-RU
%1$s + %2$s ile araç çubuğunu kaydedebilirsiniz,"Сохраните инструменты, используя %1$s + %2$s",ru-RU
%1$s + %2$s을(를) 눌러 단축 바를 저장할 수 있습니다,"Сохраните инструменты, используя %1$s + %2$s",ru-RU
%1$s 在 %3$s 說：%2$s,%s сказал: %s в %s,ru-RU
%1$s 著,Автор: %1$s,ru-RU
%1$s+%2$sでホットバーを保存します,"Сохраните инструменты, используя %1$s + %2$s",ru-RU
%1$sで立ち上がる,"Нажмите %1$s, чтобы встать",ru-RU
%1$sで降りる,"Нажмите %1$s, чтобы спешиться",ru-RU
%1$sの%3$sでの発言：%2$s,%s сказал: %s в %s,ru-RU
%1$s在%3$s说：%2$s,%s сказал: %s в %s,ru-RU
%1$s이(가) 씀,Автор: %1$s,ru-RU
%1$s／%2$sページ,Страница %1$s из %2$s,ru-RU
%2$s× %1$s,%s (%s шт.),ru-RU
%2$s個中%1$s個のメッセージを選択,Выбрано %s из %s сообщений,ru-RU
%2$s쪽 중 %1$s쪽,Страница %1$s из %2$s,ru-RU
"%s

%s

Buradan daha fazlasını öğrenin: %s","%s

%s

Подробнее по ссылке: %s",ru-RU
"%s

%s

Consulta más información en el siguiente enlace: %s","%s

%s

Подробнее по ссылке: %s",ru-RU
"%s

%s

Erfahre mehr unter folgendem Link: %s","%s

%s

Подробнее по ссылке: %s",ru-RU
"%s

%s

Learn more at the following link: %s","%s

%s

Подробнее по ссылке: %s",ru-RU
"%s

%s

Pour en savoir plus, consultez le lien suivant : %s","%s

%s

Подробнее по ссылке: %s",ru-RU
"%s

%s

Saiba mais no link: %s","%s

%s

Подробнее по ссылке: %s",ru-RU
"%s

%s

Scopri di più al collegamento seguente: %s","%s

%s

Подробнее по ссылке: %s",ru-RU
"%s

%s

Tìm hiểu thêm tại liên kết sau: %s","%s

%s

Подробнее по ссылке: %s",ru-RU
