source,target,tgt_lng
'엄청 뜨거운' 칼,あついないふ,ja-JP
'엄청 무거운' 창,おもたいやり,ja-JP
'엄청 차가운' 도끼,つめたいおの,ja-JP
1인분 요리,一人分の料理,ja-JP
2급 치료 모드,第二態勢・回復,ja-JP
2연사 - 자동,2点・バースト,ja-JP
A Disastrous Drowning,耽溺の結末,ja-JP
A Don's Plenty,当主の余裕,ja-JP
A Meal For One,一人分の料理,ja-JP
A Top Student's Abilities,才女の実力,ja-JP
ATK Up α,攻撃力強化α,ja-JP
ATK Up β,攻撃力強化β,ja-JP
ATK Up γ,攻撃力強化γ,ja-JP
Abundant,満盈,ja-JP
Abyssal Hunter File,アビサルハンターファイル,ja-JP
Abyssal Hunter Model,アビサルハンターのオブジェ,ja-JP
Activate,起動,ja-JP
Activate Beacon,ビーコン起動,ja-JP
Activate Phase Blades,ブレイドビット起動,ja-JP
Adaptive Supply,多機能補給,ja-JP
Advanced Deployment Permit,昇進配分許可証,ja-JP
Aerial Hammer,スカイスマッシュ,ja-JP
After All I See Has Withered,枯朽を視たりて,ja-JP
Against the Flood,斥洪,ja-JP
Aid,援護,ja-JP
Air Burst,ガス噴射,ja-JP
Airflow,源石気流,ja-JP
Airspace Control,空域支配,ja-JP
Al Fine,終曲に至る,ja-JP
All An Illusion!,すべて虚像！,ja-JP
All That I Author,我が記すものを記せ,ja-JP
All That I Command,我が御すものを御せ,ja-JP
All That I Do,我が成すことを成せ,ja-JP
All the Thunderlight,天地通明,ja-JP
All-Dominating Fight,天下劫,ja-JP
All-Out Clash,フルスイング,ja-JP
Allerdale's Guard,アラデルの衛護,ja-JP
Alliance Coin,盟約のコイン,ja-JP
Alluring Treasures,財宝のいざない,ja-JP
Alluring Treasures?,財宝？の誘惑,ja-JP
Ally Support,戦術連携,ja-JP
Along the Easterlies,応東風,ja-JP
Amidst Pleasant Melodies,笑いて瑟を鼓せ,ja-JP
Amidst Thunder,迎雷,ja-JP
An Advisor's Tricks,参謀の手管,ja-JP
Anadi-Avidya,無始無明,ja-JP
Analyze,分析,ja-JP
Anatta,我無,ja-JP
Anchor Point Snap,アンカーポイント,ja-JP
Anchor Strike,アンカークラッシュ,ja-JP
Ancient Statuegeist,いにしえの彫像器鬼,ja-JP
And All Be In My Name,我が名において,ja-JP
Annihilation,湮滅,ja-JP
Answer the Call,夏将軍の号令,ja-JP
Anti-Degradative,腐食抑制,ja-JP
Apocalyptic Scene,天啓の光,ja-JP
Aqua Loop,アクアリング,ja-JP
Arcane Arts Circle,秘術法陣,ja-JP
Arcane Staff - Anti-Gravity Mode,秘杖・反重力,ja-JP
Arcane Staff - Particle Mode,秘杖・微粒子,ja-JP
Arcane Staff - Quick Charge Mode,秘杖・急収束,ja-JP
Area Overwatch,広域警戒,ja-JP
Area Tuning,広域調律,ja-JP
