id,zh-CN,en-US,ja-JP,ko-KR,zh-TW,src_table
ActivityAvgLevel.10005.1,第五话,Act Five,第5話,제5화,第五話,ActivityAvgLevel.json
ActivityAvgLevel.10006.1,第六话,Act Six,第6話,제6화,第六話,ActivityAvgLevel.json
ActivityAvgLevel.10007.1,第七话,Act Seven,第7話,제7화,第七話,ActivityAvgLevel.json
ActivityAvgLevel.10008.1,第八话,Act Eight,第8話,제8화,第八話,ActivityAvgLevel.json
ActivityAvgLevel.10009.1,第九话,Act Nine,第9話,제9화,第九話,ActivityAvgLevel.json
ActivityAvgLevel.10010.1,第十话,Act Ten,第10話,제10화,第十話,ActivityAvgLevel.json
ActivityAvgLevel.10011.1,尾声,Epilogue,エピローグ,에필로그,尾聲,ActivityAvgLevel.json
ActivityIceCreamLevel.2011.1,椰林沙滩,Palm Beach,椰子の浜辺,코코넛 샌드 비치,椰林沙灘,ActivityIceCreamLevel.json
ActivityIceCreamLevel.2013.1,海风栈道,Seabreeze Boardwalk,潮風の遊歩道,바닷바람 산책로,海風棧道,ActivityIceCreamLevel.json
ActivityIceCreamLevel.2015.1,回声溶洞,Echoing Caves,こだまの洞窟,메아리 동굴,回聲溶洞,ActivityIceCreamLevel.json
ActivityIceCreamLevel.2017.1,热浪海湾,Heatwave Bay,灼熱の入り江,열기 가득한 해안,熱浪海灣,ActivityIceCreamLevel.json
ActivityLevelsLevel.1000101.1,夏日激斗 I,Summer Brawl Ⅰ,海辺の激闘Ⅰ,여름 난투 I,夏日激鬥 I,ActivityLevelsLevel.json
ActivityLevelsLevel.1000102.1,夏日激斗 II,Summer Brawl Ⅱ,海辺の激闘Ⅱ,여름 난투 II,夏日激鬥 Ⅱ,ActivityLevelsLevel.json
ActivityLevelsLevel.1000103.1,夏日激斗 III,Summer Brawl Ⅲ,海辺の激闘Ⅲ,여름 난투 III,夏日激鬥 Ⅲ,ActivityLevelsLevel.json
ActivityLevelsLevel.1000104.1,夏日激斗 IV,Summer Brawl Ⅳ,海辺の激闘Ⅳ,여름 난투 IV,夏日激鬥 Ⅳ,ActivityLevelsLevel.json
ActivityLevelsLevel.1000105.1,夏日激斗 V,Summer Brawl Ⅴ,海辺の激闘Ⅴ,여름 난투 V,夏日激鬥 Ⅴ,ActivityLevelsLevel.json
ActivityLevelsLevel.1000106.1,夏日激斗 VI,Summer Brawl Ⅵ,海辺の激闘Ⅵ,여름 난투 VI,夏日激鬥 Ⅵ,ActivityLevelsLevel.json
ActivityLevelsLevel.1000107.1,夏日激斗 VII,Summer Brawl Ⅶ,海辺の激闘Ⅶ,여름 난투 VII,夏日激鬥 Ⅶ,ActivityLevelsLevel.json
ActivityLevelsLevel.1000108.1,决战六角鲸 ~ 普通,Hexhorn Whale (Normal),激流ノ角鯨,뿔고래 결투 ~ 보통,決戰六角鯨 ～ 普通,ActivityLevelsLevel.json
ActivityLevelsLevel.1000201.1,夺宝奇兵 I,Treasure Raider Ⅰ,トレジャーハンターⅠ,보물 쟁탈 I,奪寶奇兵 I,ActivityLevelsLevel.json
ActivityLevelsLevel.1000202.1,夺宝奇兵 II,Treasure Raider Ⅱ,トレジャーハンターⅡ,보물 쟁탈 II,奪寶奇兵 Ⅱ,ActivityLevelsLevel.json
ActivityLevelsLevel.1000203.1,夺宝奇兵 III,Treasure Raider Ⅲ,トレジャーハンターⅢ,보물 쟁탈 III,奪寶奇兵 Ⅲ,ActivityLevelsLevel.json
ActivityLevelsLevel.1000204.1,决战六角鲸 ~ 挑战,Hexhorn Whale (Hard),激流ノ角鯨（ハード）,뿔고래 결투 ~ 도전,決戰六角鯨 ～ 挑戰,ActivityLevelsLevel.json
ActivityLevelsLevel.1001101.1,夏日激斗 Ⅰ,Summer Brawl Ⅰ,海辺の激闘Ⅰ,여름 난투 I,夏日激鬥 Ⅰ,ActivityLevelsLevel.json
ActivityLevelsLevel.1001102.1,夏日激斗 Ⅱ,Summer Brawl Ⅱ,海辺の激闘Ⅱ,여름 난투 II,夏日激鬥 Ⅱ,ActivityLevelsLevel.json
ActivityLevelsLevel.1001103.1,夏日激斗 Ⅲ,Summer Brawl Ⅲ,海辺の激闘Ⅲ,여름 난투 III,夏日激鬥 Ⅲ,ActivityLevelsLevel.json
ActivityLevelsLevel.1001104.1,夏日激斗 Ⅳ,Summer Brawl Ⅳ,海辺の激闘Ⅳ,여름 난투 IV,夏日激鬥 Ⅳ,ActivityLevelsLevel.json
