id,term,src_table
Achievement.1.1,魔王之路 I,Achievement.json
Achievement.10.1,日行一善 III,Achievement.json
Achievement.100.1,术有专精·火 II,Achievement.json
Achievement.101.1,术有专精·火 III,Achievement.json
Achievement.102.1,术有专精·火 IV,Achievement.json
Achievement.103.1,术有专精·地 I,Achievement.json
Achievement.104.1,术有专精·地 II,Achievement.json
Achievement.105.1,术有专精·地 III,Achievement.json
Achievement.106.1,术有专精·地 IV,Achievement.json
Achievement.107.1,术有专精·风 I,Achievement.json
Achievement.108.1,术有专精·风 II,Achievement.json
Achievement.109.1,术有专精·风 III,Achievement.json
Achievement.11.1,日行一善 IV,Achievement.json
Achievement.110.1,术有专精·风 IV,Achievement.json
Achievement.111.1,术有专精·光 I,Achievement.json
Achievement.112.1,术有专精·光 II,Achievement.json
Achievement.113.1,术有专精·光 III,Achievement.json
Achievement.114.1,术有专精·光 IV,Achievement.json
Achievement.115.1,术有专精·暗 I,Achievement.json
Achievement.116.1,术有专精·暗 II,Achievement.json
Achievement.117.1,术有专精·暗 III,Achievement.json
Achievement.118.1,术有专精·暗 IV,Achievement.json
Achievement.119.1,便利店常客 I,Achievement.json
Achievement.12.1,日行一善 V,Achievement.json
Achievement.120.1,便利店常客 II,Achievement.json
Achievement.121.1,便利店常客 III,Achievement.json
Achievement.122.1,便利店常客 IV,Achievement.json
Achievement.123.1,便利店常客 V,Achievement.json
Achievement.124.1,便利店常客 VI,Achievement.json
Achievement.125.1,便利店常客 VII,Achievement.json
Achievement.126.1,便利店常客 VIII,Achievement.json
Achievement.127.1,便利店常客 IX,Achievement.json
Achievement.128.1,便利店常客 X,Achievement.json
Achievement.129.1,萍水相逢 I,Achievement.json
Achievement.13.1,种瓜得豆 I,Achievement.json
Achievement.130.1,萍水相逢 II,Achievement.json
Achievement.131.1,萍水相逢 III,Achievement.json
Achievement.132.1,萍水相逢 IV,Achievement.json
Achievement.133.1,萍水相逢 V,Achievement.json
Achievement.134.1,萍水相逢 VI,Achievement.json
Achievement.135.1,萍水相逢 VII,Achievement.json
Achievement.136.1,萍水相逢 VIII,Achievement.json
Achievement.137.1,萍水相逢 IX,Achievement.json
Achievement.138.1,萍水相逢 X,Achievement.json
Achievement.139.1,大富翁 I,Achievement.json
Achievement.14.1,种瓜得豆 II,Achievement.json
Achievement.140.1,大富翁 II,Achievement.json
Achievement.141.1,大富翁 III,Achievement.json
Achievement.142.1,大富翁 IV,Achievement.json
Achievement.143.1,大富翁 V,Achievement.json
Achievement.144.1,大富翁 VI,Achievement.json
Achievement.145.1,绝对音感·强攻 I,Achievement.json
Achievement.146.1,绝对音感·强攻 II,Achievement.json
Achievement.147.1,绝对音感·强攻 III,Achievement.json
Achievement.148.1,绝对音感·强攻 IV,Achievement.json
Achievement.149.1,绝对音感·强攻 V,Achievement.json
Achievement.15.1,种瓜得豆 III,Achievement.json
