source,target,tgt_lng
诺瓦帝国,노바 제국,ko-KR
Nova Empire,노바 제국,ko-KR
ノヴァ帝国,노바 제국,ko-KR
諾瓦帝國,노바 제국,ko-KR
绯曈传讯,레드 아이즈,ko-KR
Scarlet Sights Media,레드 아이즈,ko-KR
レッドアイズ,레드 아이즈,ko-KR
緋瞳傳訊,레드 아이즈,ko-KR
雏菊之家,히나기쿠의 집,ko-KR
Daisy Orphanage,히나기쿠의 집,ko-KR
ヒナギクの家,히나기쿠의 집,ko-KR
雛菊之家,히나기쿠의 집,ko-KR
余烬,영야,ko-KR
Nocturn Eterna,영야,ko-KR
永夜,영야,ko-KR
餘燼,영야,ko-KR
诺瓦盾,노바의 방패,ko-KR
Nova Dorra,노바의 방패,ko-KR
ノヴァ盾,노바의 방패,ko-KR
諾瓦盾,노바의 방패,ko-KR
空白旅团,공백 여단,ko-KR
New Star Guild,공백 여단,ko-KR
空白旅団,공백 여단,ko-KR
空白旅團,공백 여단,ko-KR
恩赐意志,은혜의지,ko-KR
Grace Imperium,은혜의지,ko-KR
恩恵意志,은혜의지,ko-KR
恩賜意志,은혜의지,ko-KR
联合种业,아그리 유니온,ko-KR
United Harvest,아그리 유니온,ko-KR
アグリ・ユニオン,아그리 유니온,ko-KR
聯合種業,아그리 유니온,ko-KR
花令旅团,하나사키 여단,ko-KR
Petal Bloom,하나사키 여단,ko-KR
花咲旅団,하나사키 여단,ko-KR
花令旅團,하나사키 여단,ko-KR
地理协会,지리 협회,ko-KR
Trekker Association,지리 협회,ko-KR
地理協会,지리 협회,ko-KR
地理協會,지리 협회,ko-KR
凤凰炒蛋,봉황 반점,ko-KR
Fenghuang Diner,봉황 반점,ko-KR
鳳凰炒飯,봉황 반점,ko-KR
鳳凰炒蛋,봉황 반점,ko-KR
白泽公署,백택 관리국,ko-KR
Baize Bureau,백택 관리국,ko-KR
白沢管理局,백택 관리국,ko-KR
白澤公署,백택 관리국,ko-KR
云笈文化,운급문화,ko-KR
Yunji Studio,운급문화,ko-KR
雲笈文化,운급문화,ko-KR
柔光会社,무나 워크스,ko-KR
Neo Grace Organization,무나 워크스,ko-KR
ムーナワークス,무나 워크스,ko-KR
柔光會社,무나 워크스,ko-KR
自由旅人,자유 여행가,ko-KR
Freelance Trekker,자유 여행가,ko-KR
フリー巡遊者,자유 여행가,ko-KR
帝国卫队,제국 호위대,ko-KR
Imperial Guard,제국 호위대,ko-KR
帝国護衛隊,제국 호위대,ko-KR
帝國衛隊,제국 호위대,ko-KR
白猫剧团,백묘 극단,ko-KR
White Cat Troupe,백묘 극단,ko-KR
劇団白猫,백묘 극단,ko-KR
白貓劇團,백묘 극단,ko-KR
灰风俱乐部,윈드 애시,ko-KR
Ashwind Clan,윈드 애시,ko-KR
ウィンドアッシュ,윈드 애시,ko-KR
灰風俱樂部,윈드 애시,ko-KR
万送屋,요로즈 택배,ko-KR
Post Haste,요로즈 택배,ko-KR
ヨロズ配達,요로즈 택배,ko-KR
萬送屋,요로즈 택배,ko-KR
谷风家政,타니카제 가사 대행,ko-KR
Goodwind Homecare,타니카제 가사 대행,ko-KR
谷風家政,타니카제 가사 대행,ko-KR
绯瞳传讯,레드 아이즈,ko-KR
